bin,M_500c,M_hot_gas_500c_mpq,M_hot_gas_500c_mpq-,M_hot_gas_500c_mpq+,T_sl_wo_recent_AGN_500c_mpq,T_sl_wo_recent_AGN_500c_mpq-,T_sl_wo_recent_AGN_500c_mpq+,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq-,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq+,Y_X_500c_mpq,Y_X_500c_mpq-,Y_X_500c_mpq+,Y_SZ_500c_mpq,Y_SZ_500c_mpq-,Y_SZ_500c_mpq+,T_mw_hot_gas_wo_recent_AGN_500c_mpq,T_mw_hot_gas_wo_recent_AGN_500c_mpq-,T_mw_hot_gas_wo_recent_AGN_500c_mpq+,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq-,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq+,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq+
0,13.0,0.10971868174929726,0.10939459561453109,0.11001333906174555,0.23318874900960013,0.2307505418822529,0.23568703361885263,0.29111248973489245,0.2895108966063226,0.2927050625492323,0.11623371317133971,0.11568876296049209,0.11675186257536825,0.09335932995413548,0.09305961758418048,0.09367410353896086,0.15151221572386786,0.150837193491222,0.152138814289002,0.18875052663124137,0.1875230645497581,0.1899101696499922,0.0920116011099914,0.09133477547934077,0.0924543974114538
1,13.051158842105263,0.10335502894503093,0.10304396179674764,0.10368440428894939,0.23218447166442693,0.2290952881231975,0.23491019023918897,0.2758510421917064,0.2740430471096399,0.2774925565530572,0.11259531947913945,0.11195700238104193,0.11326546852270686,0.08897330718933055,0.08866506862899105,0.08927672748763664,0.14676745576467987,0.14611599553992413,0.14737137583140947,0.18003375491457008,0.17890832129234488,0.1811298727523044,0.08771491343446644,0.08704744623178014,0.08813632504511024
2,13.102317684210526,0.09736743709096227,0.09700128850168123,0.09772936326338355,0.23279858734004794,0.2292735215942516,0.2360855223596994,0.2601463151610723,0.2582515855414413,0.2619369478451514,0.10955490735596926,0.10877449786651748,0.11025034098374925,0.08469866925816497,0.08438606645769421,0.08502684834313787,0.142025732502587,0.1413759213169938,0.14265134241683722,0.1712191329497655,0.1700003918181751,0.17246638479020313,0.08345724083020734,0.08290074630284912,0.08386189952528898
3,13.153476526315789,0.09182266059708075,0.09149220063561526,0.09214648259179145,0.23400043512608912,0.2299485206752125,0.23765302443181138,0.24523539613170098,0.24358809122480662,0.24705507861917922,0.10712358889835819,0.10620623635467219,0.10797205899773697,0.0807648800399225,0.08045911844477381,0.08108601066363756,0.1374911860181745,0.13676459471665273,0.1381756988876655,0.16276878736584824,0.16144504473845558,0.16406453414388622,0.07942499913460728,0.07896292518815737,0.07984192888412342
4,13.204635368421053,0.08695326993439007,0.08660706225494925,0.08732071486193181,0.23660948579004057,0.2319769111889202,0.24087883103886115,0.2312486351665104,0.22946758887602076,0.23304033068700092,0.10545678326883808,0.10444181365781804,0.10650403757445104,0.07721008998137732,0.0768802625238524,0.07754337133970467,0.13321541882416899,0.13248431908819777,0.13390676659608033,0.15468038232710363,0.1533137535308696,0.1560391952259988,0.07576545948911884,0.07521557026067227,0.07616468292634765
5,13.255794210526316,0.08279202936947339,0.08241158065500165,0.08318991232801827,0.2400613827229719,0.235029680058642,0.24561802805109365,0.2179293122449753,0.21598156752044256,0.21995100791658978,0.1045933857817491,0.10339509198410118,0.10575527389532745,0.0740343853859315,0.07367770394811438,0.074372818920122,0.1293207093828134,0.12849743190469093,0.13011247420873254,0.14731542781368237,0.14578566209427596,0.1486986656437893,0.07251665225134002,0.07198376236184391,0.07287418244395377
6,13.30695305263158,0.0794697248084726,0.0790988913606274,0.07987039323019539,0.24498925602083274,0.2388210374172932,0.251511861495931,0.20612435823076744,0.20408996668581617,0.20811500563524613,0.1044111989644935,0.10302434018150268,0.10575505196513647,0.07122187434858233,0.07087508779442826,0.0716211787693542,0.1256872735338298,0.12489902751583457,0.12655092227655837,0.14044889087294088,0.13902216620478916,0.14203271492256,0.06966223148364076,0.06909134860347514,0.07004674443596003
7,13.358111894736842,0.07690458509352688,0.07645634756919685,0.07735578150087963,0.24952778796180916,0.24240192829791019,0.25709110335643776,0.19553667338171687,0.1932429439923541,0.19769846992110693,0.10491792911644479,0.1033766796299327,0.10651292253813849,0.06874908056415847,0.06833177013769956,0.06917329258806516,0.1224277033363297,0.12157912667501733,0.12324707769663036,0.1346589228384274,0.1331849826012141,0.13593079820718254,0.06714747553136247,0.06657591032333694,0.0675851004033178
8,13.409270736842105,0.07504967322629286,0.07447983014757655,0.07562472040598284,0.255008889441253,0.24720438981074822,0.26316249606712383,0.18663179660287776,0.18413478154683716,0.18914357957578823,0.10578692760390834,0.10397256538835717,0.10756947904648163,0.06665116926938613,0.06623882207171376,0.06708438442731686,0.11965844531197324,0.1186765262435647,0.1205973850460914,0.12988017474006452,0.12847163343649853,0.1313147477568414,0.06498313082926191,0.06431931495884886,0.06546838855916114
9,13.460429578947368,0.073878398339128,0.07325805412488322,0.07448214951837898,0.26027835580455044,0.25106555462078883,0.26934753607946205,0.17952424173133213,0.17646970271008722,0.18237748937256643,0.10688683435468666,0.10473750928136942,0.10899448979690103,0.06470608485432398,0.06423860799661371,0.06516772647470082,0.11736293974615038,0.11626528228969334,0.1182987044800965,0.12579762622897883,0.12434076097195111,0.12728534128854058,0.06304090081526159,0.06235808335738728,0.0635465543859211
