bin,M_500c,M_hot_gas_500c_mpq,M_hot_gas_500c_mpq-,M_hot_gas_500c_mpq+,T_sl_500c_mpq,T_sl_500c_mpq-,T_sl_500c_mpq+,L_X_ROSAT_obs_500c_mpq,L_X_ROSAT_obs_500c_mpq-,L_X_ROSAT_obs_500c_mpq+,Y_X_500c_mpq,Y_X_500c_mpq-,Y_X_500c_mpq+,Y_SZ_500c_mpq,Y_SZ_500c_mpq-,Y_SZ_500c_mpq+,T_mw_hot_gas_500c_mpq,T_mw_hot_gas_500c_mpq-,T_mw_hot_gas_500c_mpq+,L_X_ROSAT_obs_ce_500c_mpq,L_X_ROSAT_obs_ce_500c_mpq-,L_X_ROSAT_obs_ce_500c_mpq+,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq+
0,13.0,0.22922061287051415,0.22533140433790877,0.2332084276836082,0.2882455884766436,0.27998594270345,0.29721198489046874,0.4913269164360333,0.4793001630829783,0.5053276456509768,0.19438829401466431,0.1909562295394415,0.19754207263232476,0.14022159023111763,0.1378100742859353,0.14251622271227257,0.27199880502603635,0.26675327030263085,0.27745906102826146,0.35506215989666007,0.3460192114623771,0.3639370448551628,0.12045855002781203,0.10352312598935688,0.1281353616276217
1,13.049368,0.21444290349026102,0.21038203606976688,0.2185644393156312,0.2830776778334697,0.27465630275692304,0.2914957834581961,0.4628815567957971,0.4500366318216711,0.4745521767810444,0.1837898842885876,0.18031486940342595,0.187175341571327,0.13273235067006445,0.13042685742194998,0.13507674527578103,0.2621221519775529,0.2573626769653427,0.2677304517602027,0.33988998265395176,0.3318543268097735,0.3489768213360367,0.11464182306263496,0.09796333386684145,0.12239206684362279
2,13.098736,0.19947743578271643,0.19549909801438636,0.20333819599431344,0.27788478507961356,0.2683061905752353,0.2865936139349091,0.43063182732612604,0.4191458534823196,0.44143869929808643,0.17348828708007488,0.17023368715053147,0.17715653274574722,0.12497612363204094,0.12280678595403412,0.12723131336638435,0.25021949702075186,0.2449640644185577,0.2558150351034984,0.32452219409294103,0.3154802875619058,0.33336920717569585,0.10774096317610532,0.09087268413370764,0.11591958245692693
3,13.148104,0.18459550564641639,0.18053082823880187,0.18881787464506894,0.27243905303996896,0.2635100322494247,0.28117590490606387,0.3986853400744772,0.38691979388628017,0.40968543827047,0.16377213023127138,0.16067943135902998,0.16705255384127882,0.11792218360733268,0.1153878995468694,0.12001519043480216,0.2375429679754656,0.23217851275874624,0.24279717921055907,0.30593736147815254,0.2964286433014215,0.31495060375417677,0.10088861131188973,0.08402282794353712,0.10948040928067354
4,13.197472,0.17073834599752363,0.16677867402422117,0.17455087698242475,0.26564452090725343,0.25685983559565057,0.2742263441075055,0.3668540482173215,0.35642614831856567,0.3777635180631788,0.15483391768633953,0.15127381614781266,0.1579467108388623,0.11008745898252836,0.10764471931288694,0.1124563720095414,0.22424317030838425,0.21838660151469516,0.2303762556823726,0.2862465311098833,0.27748447821424005,0.29480830385360957,0.0951201852653408,0.07742433423661725,0.10372120533699279
5,13.24684,0.15773989128119872,0.15303171181212724,0.16229408640799795,0.258571515001791,0.2501417477437097,0.2674313539072032,0.336047372316974,0.3249801851514374,0.34717890999910617,0.1464232695167222,0.14256508231779508,0.15011086000137328,0.10412282853913368,0.10154350014542216,0.1066151783921368,0.21109962307661662,0.20527649834978481,0.21649701883960865,0.26584031085205717,0.25775877660789365,0.27515661170940253,0.08915923725742503,0.06862494715876351,0.09824403945086335
6,13.296208,0.1465083208252183,0.1413211628155881,0.1514055947410041,0.25271101358814574,0.24454639668031738,0.26116712575303896,0.3057775503870611,0.2950393317756262,0.31748210538603944,0.13972579455690154,0.13596610934031747,0.1432970309238296,0.0982036273720268,0.09530942419583081,0.10103746716928881,0.19819716064733772,0.19251592348453248,0.20370668020482466,0.24357516763839449,0.23535336085533318,0.2521814270253584,0.08445307364897775,0.06641673821101572,0.0942305386000273
7,13.345576,0.13568566080176983,0.130084543215655,0.1410166610441306,0.2462820170380403,0.23798726539667475,0.2545097428088766,0.28015628111860225,0.26871109800383325,0.28935011738864713,0.13324446134514098,0.12951717498526513,0.1374890781095356,0.0936339885106248,0.0899805194566882,0.09726114249975108,0.18636019392583697,0.18042143950895492,0.19220786033713652,0.22250505791462938,0.21510838192362947,0.22959943623182572,0.07986365533294125,0.05847501268578937,0.09004854884527319
8,13.394944,0.12620301198737927,0.11836186056392349,0.13400568072907518,0.2430192571138962,0.23443080084964768,0.251671707360064,0.25535130149217444,0.24521124041694217,0.26563055463854984,0.12903367441623306,0.12423597058122925,0.13352300299350728,0.08987294283263364,0.0855461853808393,0.09434633882504737,0.1748582250466209,0.16908302927640828,0.18040437665001635,0.20194869130101323,0.1946058089086674,0.20927430028080662,0.07913482381312192,0.05887395082579971,0.08918466790439564
9,13.444312,0.11904440728732682,0.1091566611340567,0.12816063522132026,0.23975448855654033,0.23035389166393955,0.24776843909670976,0.2324369036730185,0.22212694114770334,0.24280095893363018,0.12521610603252592,0.11996147640858389,0.129930043489292,0.08732660031372254,0.08078380426791515,0.09310612911827405,0.16617746454279664,0.16089318832062635,0.17151471860842146,0.18346160114168739,0.17628962090577135,0.18950318147650463,0.07706855724134706,0.056197021334793526,0.08790535608312884
