bin,M_500c,M_hot_gas_500c_mpq,M_hot_gas_500c_mpq-,M_hot_gas_500c_mpq+,T_sl_500c_mpq,T_sl_500c_mpq-,T_sl_500c_mpq+,L_X_ROSAT_obs_500c_mpq,L_X_ROSAT_obs_500c_mpq-,L_X_ROSAT_obs_500c_mpq+,Y_X_500c_mpq,Y_X_500c_mpq-,Y_X_500c_mpq+,Y_SZ_500c_mpq,Y_SZ_500c_mpq-,Y_SZ_500c_mpq+,T_mw_hot_gas_500c_mpq,T_mw_hot_gas_500c_mpq-,T_mw_hot_gas_500c_mpq+,L_X_ROSAT_obs_ce_500c_mpq,L_X_ROSAT_obs_ce_500c_mpq-,L_X_ROSAT_obs_ce_500c_mpq+,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq+
0,13.0,0.17658657297212,0.17477528836790068,0.17851720919917427,0.22685325010031915,0.22382660005750982,0.22990236091413685,0.35129970880200656,0.34537741963390794,0.3574078783448915,0.14711128395213924,0.14562271639936913,0.14867540645194252,0.1367041729744607,0.13528566017605145,0.13824144138903002,0.20630352487729672,0.20372391385044467,0.20890914025226237,0.32971658719380237,0.3237778477500301,0.33524701901586196,0.12629610218623855,0.1182676597891313,0.12975744346642415
1,13.105263157894736,0.15401806595600764,0.15229257765581536,0.15578408026658924,0.21646694589606835,0.21360099977448666,0.21934302658973356,0.30418147595622,0.2981178086602366,0.3104889161697734,0.13049761713117486,0.1288429086714299,0.13210222728195417,0.12139501707687686,0.11987141176140526,0.1228357716599073,0.18798543331660802,0.18546356891707244,0.19048699110618195,0.29005828577149795,0.28456055383017304,0.295356927258493,0.11388253978994593,0.10531766060055783,0.11715567700765311
2,13.210526315789474,0.13389172549175654,0.13217567573681888,0.13559384332992178,0.2082945122212224,0.20472081119829288,0.21163721441533134,0.2600360937036781,0.2536621846216985,0.26612799234975787,0.11665883312121109,0.11509338893818775,0.11815011490371763,0.10770031235925921,0.10634136880524674,0.10901883960546836,0.17135465918524384,0.16899273702375708,0.17371024333933005,0.25107087908844644,0.24523729926391313,0.2571322350235713,0.1024985461219639,0.09321854681627369,0.10572675285796193
3,13.31578947368421,0.11662144787826957,0.1148068398854661,0.11817494954191185,0.1999513449822642,0.19660176917985925,0.20336445253458174,0.21740990491886936,0.21119702316159297,0.22385105836627903,0.10620617242841593,0.10464921842313377,0.10776669729723026,0.09612697068689749,0.09476878662810337,0.09747799871340612,0.15599666088050257,0.15337260852603446,0.1585521382452489,0.21207354294512565,0.20638096921652235,0.2179187493662168,0.09213819407520556,0.08101295161480118,0.09559112560554137
4,13.421052631578947,0.10291617952682536,0.10133444883502772,0.10447930251678599,0.19094518231847343,0.18659471792494023,0.19504321877259373,0.18210920599419636,0.17581255600811904,0.18749464172481844,0.09820228695318017,0.09657431995232048,0.09986436170951442,0.08653203727423976,0.08500383852265497,0.08795869912014095,0.1417304909221076,0.13899288852084526,0.14420976471006777,0.17851736351196396,0.17276995715206184,0.18487512392640248,0.08251593085133896,0.07187500466491917,0.08631636994747525
5,13.526315789473685,0.09326038739762932,0.09178472444249261,0.09490748636019312,0.18125095459759238,0.17680768961702803,0.18553179079774462,0.15565277913119185,0.14941861017859717,0.16221368274274023,0.09269069207304206,0.0909906840955468,0.09438927404619482,0.07850453938310865,0.07723364665796979,0.07995050061104116,0.1296715863882258,0.12687619068651554,0.1324712979587843,0.15192949025899,0.14462193344792507,0.1589710011523538,0.07438567133423479,0.0626192166251137,0.0786728421924725
6,13.631578947368421,0.08769448495665813,0.08601503836413754,0.08929570374745624,0.16929589714159698,0.16438106508287206,0.1742472233175709,0.1394828391463318,0.12982815494667896,0.14757458634381754,0.08840634565709474,0.08657671596053501,0.09024291619269109,0.07284195521080909,0.0712526204350629,0.0742506569719482,0.1209175231655719,0.11719666391456648,0.12435764025526543,0.13587536619093687,0.12604861993942057,0.14439322531242207,0.06763331711438894,0.055312293732262194,0.07235376026347673
7,13.736842105263158,0.08410931654748932,0.0822438921849215,0.08597797944062559,0.15827370899234636,0.15157809591263896,0.1647845306954253,0.13349993543455196,0.1235155646820913,0.1430496215304132,0.08512149252106174,0.08312357436377488,0.08706344769830213,0.06824504262987705,0.06677879226098209,0.06967357727090323,0.11284889555133842,0.10873044417328732,0.11653739681407839,0.12931470359445463,0.11871552160428199,0.1403479072739973,0.06146872795613319,0.048863273659572846,0.06661749034925007
8,13.842105263157894,0.08132526947449986,0.07947275581022913,0.08316062599859221,0.14641623018587074,0.14018022608606728,0.15274660231745266,0.1327174204951772,0.12319130847242961,0.14073133531475054,0.08157478019527026,0.07946992718638857,0.08362935474827482,0.06422467758760941,0.06270450050604402,0.06591855418101214,0.10629905588262464,0.10168695722624586,0.11037283887004985,0.1285049343811024,0.11857281003476973,0.13718604791265646,0.056254243326206814,0.04294768425262049,0.0620785037283439
9,13.947368421052632,0.07775120658653994,0.07579296690919676,0.07962681715588102,0.13713148654717894,0.13000764115407115,0.143645431452599,0.13428430675829653,0.12690780636447982,0.14177251540382974,0.07803935372996904,0.07565087582143343,0.08015912104336072,0.0604483470981141,0.058749471534031206,0.062083906081533635,0.09910861451395496,0.09477759378963349,0.10388102278107407,0.12906050999178953,0.12127881944005792,0.13665813532611637,0.051804577480431636,0.03945822002469819,0.05780703846165308
