bin,M_500c,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_corr,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_corr-,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_corr+,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_corr,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_corr-,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_corr+,M_hot_gas_500c_Y_X_500c_corr,M_hot_gas_500c_Y_X_500c_corr-,M_hot_gas_500c_Y_X_500c_corr+,M_hot_gas_500c_Y_SZ_500c_corr,M_hot_gas_500c_Y_SZ_500c_corr-,M_hot_gas_500c_Y_SZ_500c_corr+,M_hot_gas_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr,M_hot_gas_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr-,M_hot_gas_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr+,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr-,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr+,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_corr,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_corr-,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_corr+,T_sl_wo_recent_AGN_500c_Y_X_500c_corr,T_sl_wo_recent_AGN_500c_Y_X_500c_corr-,T_sl_wo_recent_AGN_500c_Y_X_500c_corr+,T_sl_wo_recent_AGN_500c_Y_SZ_500c_corr,T_sl_wo_recent_AGN_500c_Y_SZ_500c_corr-,T_sl_wo_recent_AGN_500c_Y_SZ_500c_corr+,T_sl_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr,T_sl_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr-,T_sl_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr+,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr-,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr+,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_corr,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_corr-,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_corr+,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_corr,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_corr-,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_corr+,L_X_ROSAT_obs_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr,L_X_ROSAT_obs_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr-,L_X_ROSAT_obs_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr+,L_X_ROSAT_obs_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr,L_X_ROSAT_obs_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr-,L_X_ROSAT_obs_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr+,Y_X_500c_Y_SZ_500c_corr,Y_X_500c_Y_SZ_500c_corr-,Y_X_500c_Y_SZ_500c_corr+,Y_X_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr,Y_X_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr-,Y_X_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr+,Y_X_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr,Y_X_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr-,Y_X_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr+,Y_SZ_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr,Y_SZ_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr-,Y_SZ_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr+,Y_SZ_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr,Y_SZ_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr-,Y_SZ_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr+,T_mw_hot_gas_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr,T_mw_hot_gas_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr-,T_mw_hot_gas_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr+
0,13.0,0.3324561578153109,0.33005001193930655,0.33467318940499347,0.4281988943489754,0.42625184631783625,0.4303862519791317,0.9095916651901761,0.909084645857166,0.9101070432179146,0.8891923458170379,0.8886062700988157,0.8897455048864853,0.19633186979258238,0.1938285709365563,0.19902727301174988,0.586290242089339,0.5840574451871781,0.5886911887024967,0.3246370604418841,0.32208091462353156,0.3273045560899558,0.6940709016916007,0.6927348377963769,0.6953939895136604,0.6023132475759008,0.6003384437928218,0.6042574415230062,0.7227079056503525,0.7208728404694776,0.7245192124970273,0.47301290631795384,0.46990840480384144,0.47603756846720635,0.4697720667055211,0.46777319590120525,0.47197796572065176,0.45326604976203133,0.45143984447941676,0.45537322054607543,0.23963689749060368,0.23735166656712078,0.2418738856634188,0.7181068402971564,0.716403888808605,0.7198673712224359,0.94395604737387,0.9435501794009863,0.9443515235358847,0.46833068120606164,0.46603876781132253,0.4705666458079742,0.6557692125298287,0.6535017397050503,0.6578789818990404,0.6231805578086905,0.6215554756594156,0.6250745180095985,0.640154253797981,0.6380202227906945,0.6425768654864984,0.3700781529306617,0.3673420038971805,0.3724850392538063
1,13.093647789473684,0.3743512291219844,0.37204171122780144,0.37666937415277174,0.43494160231608536,0.43264996089662233,0.43728480922013085,0.9062556750053602,0.9056448908347864,0.906858456515514,0.8943513942553536,0.8938044064893045,0.8948843393659461,0.2294284681748663,0.2265869122419971,0.23232848160254724,0.6005892807274441,0.5980737945143095,0.6030771134314235,0.31931292144369494,0.3162506449112073,0.32221725066127055,0.7312763433662581,0.7300094865090886,0.7325339499026023,0.6247832748551878,0.6225671395091643,0.6268704237676875,0.7166302234844213,0.7146162272794018,0.7185888437209009,0.453654349080736,0.45018083435558576,0.45738517765828635,0.4654727993578709,0.463319409557952,0.46784124925083653,0.45910849389085284,0.456903040166859,0.4611684134029313,0.2519933840708756,0.2497569399086551,0.25453695341907545,0.7143453730746019,0.7123854312115464,0.716418275897353,0.9426696742065626,0.9421754430601288,0.9431569372865015,0.4953301663368522,0.49305804291217425,0.4977846016917034,0.6487940640156873,0.6462274990329271,0.6514703725503488,0.6406734571668204,0.6389783482077283,0.6424053500040336,0.6502300616499523,0.6475084758112327,0.652926654136034,0.3831110733757635,0.38040216095122414,0.3859203509999321
2,13.187295578947369,0.4154855651743532,0.41267801156108785,0.4181603456348417,0.4511688558718864,0.4485231744152006,0.45367501423081696,0.9046446114345825,0.903889513426727,0.9053240896840633,0.9000468752389806,0.8994413397319507,0.9006482890311767,0.2588422141197477,0.2561930336727758,0.261709324767031,0.6273223561336672,0.624330664345354,0.6301799806467512,0.32122154699172856,0.3179982716246516,0.32481729674153503,0.7635608417230243,0.7623553645780589,0.7647929179547807,0.6460387171270887,0.6434938110383073,0.6484227822812986,0.7102210976158982,0.7077620925921817,0.7126775968199291,0.4394495548014481,0.4347347813581301,0.44373945349014093,0.4708484955392824,0.4682706108508908,0.47340382285548765,0.47240811526252346,0.4697387985063797,0.47468678293562677,0.26376517050339876,0.2611997499027906,0.2663383913099413,0.7135666319893321,0.7112847763415285,0.715962135674443,0.9416395635490495,0.9409595569488313,0.942285935655051,0.516584587555245,0.5138684142582356,0.5189436041471164,0.6508981005408596,0.6477316568381026,0.6540898098253124,0.6541218589195705,0.6521965822550965,0.6560437834042516,0.6680717992514176,0.665148992097779,0.670939878324408,0.39159956272812485,0.38853959581692393,0.39455845154854235
3,13.280943368421052,0.44993426678300164,0.4467483497140146,0.4529495260708874,0.478662815263865,0.4759558065117177,0.48144232506970164,0.9044666893696052,0.9034367162795498,0.9054349188432599,0.9051752386834453,0.9045931158505972,0.905717791657939,0.27660063640664956,0.27341154625752717,0.27978053335454944,0.6662034926399589,0.662997112774049,0.6692417731644764,0.33002502506307574,0.32544108159433727,0.3343869345173919,0.7876692137244605,0.7863908002054975,0.7889613763553268,0.6632636516184532,0.6597271337567827,0.6660861123678126,0.7033074911596352,0.6997965151350466,0.7065151719546653,0.42910533548777696,0.4236912937771265,0.4347759718998016,0.48779917631081016,0.48447349478974505,0.49092773946751905,0.4948693694604167,0.49209990372988033,0.49735142873596344,0.2714797385310927,0.26843587140858544,0.2744073769450101,0.7178988965398236,0.7152331631839136,0.7205882918195311,0.9410442013535754,0.9400567886361976,0.9418827872079064,0.526569704817532,0.5237816235531869,0.5291911377578691,0.6643886757976816,0.6607416584955313,0.668182073005122,0.6587412465238203,0.6566755628912713,0.6609754546630487,0.6932398826002091,0.689844617540369,0.6966376851103289,0.38842672681114243,0.3851119221276358,0.3915617364453757
4,13.374591157894736,0.4708162800098826,0.46694778341894794,0.47446079066895336,0.516323107882357,0.5132141504728711,0.5192044324676169,0.9046605892799178,0.9033013186674397,0.9059118648573588,0.9082585066650115,0.9076113962473537,0.9089410077318705,0.2740061502207985,0.2704369819522867,0.2776136973554934,0.7130303490612981,0.7093489952267099,0.7163275563707979,0.3409542738730037,0.3354576600103157,0.34685720626358363,0.8017146270364612,0.8004219036502107,0.802932871376165,0.6736290422668937,0.6688553676999455,0.6774232849151873,0.6938364048029764,0.6893255109843823,0.6982486401267956,0.4200838468578124,0.4130012035555346,0.4269258493906632,0.5143964743100462,0.5106342122221265,0.5179942380748489,0.5243498872812753,0.5211973004341297,0.527571672898633,0.26901198040163177,0.26587250650643324,0.27228024668985285,0.7273980034972547,0.7242482044829565,0.7303078842919017,0.9403949695234769,0.9391063081018991,0.9415788442281643,0.5209473574697172,0.5180224259441508,0.5240137555113982,0.6854603452027842,0.6804614769589122,0.6904699985995111,0.6513251538933962,0.6488946955057254,0.6537947310424385,0.7215906590270246,0.7182146774067324,0.7251797241099663,0.3659309773133539,0.36213936693366855,0.36943214075877906
5,13.468238947368421,0.47385228194230566,0.4695969442531193,0.47840940884057925,0.5598716234901664,0.5562520515602954,0.5632406241336152,0.904081105743249,0.9021892878178975,0.9056250824469164,0.9084143218925238,0.9076483233579733,0.9091202380381939,0.2472958093138568,0.24323286855649223,0.25174640052119557,0.7603174775140125,0.7569383164473527,0.7638228560171674,0.3484174060467101,0.3415979015327317,0.3551596196204477,0.8049998515790473,0.8034827773155168,0.8064230104217283,0.6742240962688938,0.6682213748203196,0.6789472497128562,0.6813921614965013,0.6758073444269237,0.6867275780647571,0.4061414698631492,0.39741121171292304,0.41423291774505683,0.5466977127987429,0.5418446050656143,0.5509293481718592,0.5571209999182598,0.5539160729941882,0.5607551978333849,0.2511808651782591,0.24747806702726305,0.2548588331579427,0.7412303284709432,0.737826407557414,0.7447448321221792,0.9393890263565678,0.9376344806725355,0.9408971276746433,0.4976737784908947,0.49391869338886996,0.5013197947992081,0.7089932088809863,0.7033270064353521,0.7144731207848115,0.6299633641227992,0.627069135526994,0.6327765331763111,0.7471429347138605,0.7437128869170144,0.7506490980516907,0.3195291186436042,0.315154634754954,0.32354338389453374
6,13.561886736842105,0.45856010978474415,0.4530829525022873,0.4632618057344249,0.6044898081586829,0.6004504111217991,0.6088979150381926,0.9010170632678662,0.8986189200359848,0.9032652450491482,0.9051547039712122,0.9042979633848541,0.9060719742112475,0.1983849015998439,0.19354289815984407,0.2031900667493262,0.8028017996555902,0.7993253253718161,0.806126810474732,0.34683101068244027,0.33856049100798996,0.35395172544457487,0.7982097198127047,0.7964916921263053,0.7999277215959966,0.6639988684616869,0.6574372195821405,0.6703392107492546,0.6654029904061752,0.6578620781512613,0.6725130047878873,0.37864750782761103,0.3692068238140343,0.38875203859877877,0.5790442252166941,0.5737440811741323,0.5840353159169136,0.587987939610815,0.5838566917422957,0.5917966289044223,0.2143870659153968,0.2095887849239165,0.21888918236769514,0.7562585056346827,0.7523827412622156,0.7603963637832395,0.9373125301593943,0.9350547361538718,0.9394456891305616,0.45907128757396803,0.4544852403087709,0.4635909095127291,0.7291565682008047,0.7231685371036447,0.7350636420979159,0.5962258420393444,0.5923178473693093,0.6001813213832213,0.7653679953379311,0.7618010516805971,0.7685285099083373,0.2493944812361218,0.24449170688712416,0.2539136440659475
7,13.65553452631579,0.42412420439862497,0.41784887075310384,0.4298471473162062,0.6456857627172772,0.6406887712242526,0.6502269842185484,0.8953566161719888,0.8921857986597274,0.898260993492803,0.8985631991955426,0.8974405255635887,0.8996239430639724,0.13480511811207424,0.12906575235897289,0.14041323617694146,0.8363002352857891,0.8326015647114988,0.8399260356526533,0.3309039311045111,0.32186419405755895,0.3396849533076507,0.7833065340554588,0.7809911528664056,0.7854454831644119,0.6429337487652967,0.6344515119578609,0.6514868140804505,0.648964207263768,0.6387761868441418,0.6578941997561721,0.3391227753874734,0.3279212644852028,0.3489381823520093,0.6054805605923157,0.5993636432893857,0.6115668470550234,0.6133158985440317,0.6087216878972206,0.6179688571519331,0.16169259183736157,0.15680078047793838,0.16722706606272297,0.7708298856998157,0.7660084756327444,0.7756862922999495,0.9332097917720885,0.9300663846092142,0.9362222050243504,0.4114518935751087,0.40620850675122894,0.41705857358416226,0.7407881846725317,0.7343846358695549,0.7474593127411276,0.5557779932295248,0.5513521929961023,0.5605030079117659,0.7746363175012823,0.7711579927077302,0.7781061967141945,0.16614770408071083,0.16053897910841675,0.17186138231320422
8,13.749182315789474,0.37623633725790734,0.3683771981667614,0.38350223739938066,0.6798029753539379,0.6740824294720907,0.6849869964629269,0.8855774067975037,0.8812721710006299,0.8898439817176037,0.8884324754887489,0.8870196124215936,0.8896183286711951,0.06751774548636089,0.060792589769239555,0.07434799587188494,0.8605592040619012,0.856536994856206,0.8639207156781199,0.302042632292957,0.2909006149446576,0.3124675008245689,0.7635493623894392,0.7604331137343258,0.7666169101608948,0.6133353869427983,0.6020024234803966,0.6250024680623599,0.6337326739811855,0.6193765570257423,0.6462986776295512,0.28655376587225745,0.2751365394450822,0.2997117402280909,0.6248571644780592,0.616500097986215,0.6324275440836414,0.6300676387657154,0.6247106844369572,0.6348233033732632,0.10299493969483228,0.09685270235101638,0.10923514350226343,0.7835249680012755,0.7778218340002426,0.7891872943052555,0.926913187493598,0.921893362940718,0.9314412941457125,0.3652012454572169,0.3589980132595706,0.37178484476083123,0.7434318199106504,0.7346305581259832,0.7519177915550453,0.5183214330292626,0.5126581749557728,0.5236441653969038,0.7748237555764033,0.7713159102155847,0.7784629776182671,0.0815984334252691,0.07446801587829911,0.08869019452176206
9,13.842830105263157,0.31909905988945636,0.3109749204361073,0.32742551012145926,0.7059676561228849,0.6992010959058137,0.7124583304069438,0.8702772429918907,0.8645752159501635,0.8761778901860647,0.8747293505331463,0.8730070864490994,0.8764469957462978,0.008820624381399996,0.0013284328695498564,0.016780254849166128,0.8747272194587996,0.8710785360870371,0.8785422816364857,0.26376526902583963,0.24990097701416403,0.2768861046658259,0.744688984233681,0.7400302933957137,0.7496291336311084,0.5809554565735919,0.5655446248754096,0.5959407013618582,0.6255562639753565,0.6063208398129485,0.6440722320944084,0.23293746032174537,0.21726717899924203,0.24706840666899207,0.6334861686356548,0.6230729995056207,0.6440178756174075,0.6373181923080388,0.631447643634472,0.6428178939862037,0.04671745179094211,0.039951925315867026,0.054291803997885815,0.7947906189673863,0.7876452945022109,0.8015757817923639,0.9178379652945561,0.9105722052940792,0.9243678152471528,0.33039878481624363,0.3227192416961535,0.33833277163593145,0.7376818261146421,0.7253424719019064,0.748279849756056,0.49207533867075925,0.485696442592345,0.4987758834431432,0.7662905345475983,0.7623869062495026,0.7700960924090051,0.01001502517822083,0.0019443458284994217,0.017380943368184732
