bin,M_500c,M_hot_gas_500c_T_sl_500c_corr,M_hot_gas_500c_T_sl_500c_corr-,M_hot_gas_500c_T_sl_500c_corr+,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr-,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr+,M_hot_gas_500c_Y_X_500c_corr,M_hot_gas_500c_Y_X_500c_corr-,M_hot_gas_500c_Y_X_500c_corr+,M_hot_gas_500c_Y_SZ_500c_corr,M_hot_gas_500c_Y_SZ_500c_corr-,M_hot_gas_500c_Y_SZ_500c_corr+,M_hot_gas_500c_T_mw_hot_gas_500c_corr,M_hot_gas_500c_T_mw_hot_gas_500c_corr-,M_hot_gas_500c_T_mw_hot_gas_500c_corr+,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr-,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr+,T_sl_500c_L_X_ROSAT_obs_500c_corr,T_sl_500c_L_X_ROSAT_obs_500c_corr-,T_sl_500c_L_X_ROSAT_obs_500c_corr+,T_sl_500c_Y_X_500c_corr,T_sl_500c_Y_X_500c_corr-,T_sl_500c_Y_X_500c_corr+,T_sl_500c_Y_SZ_500c_corr,T_sl_500c_Y_SZ_500c_corr-,T_sl_500c_Y_SZ_500c_corr+,T_sl_500c_T_mw_hot_gas_500c_corr,T_sl_500c_T_mw_hot_gas_500c_corr-,T_sl_500c_T_mw_hot_gas_500c_corr+,T_sl_500c_L_X_ROSAT_obs_ce_500c_corr,T_sl_500c_L_X_ROSAT_obs_ce_500c_corr-,T_sl_500c_L_X_ROSAT_obs_ce_500c_corr+,L_X_ROSAT_obs_500c_Y_X_500c_corr,L_X_ROSAT_obs_500c_Y_X_500c_corr-,L_X_ROSAT_obs_500c_Y_X_500c_corr+,L_X_ROSAT_obs_500c_Y_SZ_500c_corr,L_X_ROSAT_obs_500c_Y_SZ_500c_corr-,L_X_ROSAT_obs_500c_Y_SZ_500c_corr+,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_corr,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_corr-,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_corr+,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_corr,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_corr-,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_corr+,Y_X_500c_Y_SZ_500c_corr,Y_X_500c_Y_SZ_500c_corr-,Y_X_500c_Y_SZ_500c_corr+,Y_X_500c_T_mw_hot_gas_500c_corr,Y_X_500c_T_mw_hot_gas_500c_corr-,Y_X_500c_T_mw_hot_gas_500c_corr+,Y_X_500c_L_X_ROSAT_obs_ce_500c_corr,Y_X_500c_L_X_ROSAT_obs_ce_500c_corr-,Y_X_500c_L_X_ROSAT_obs_ce_500c_corr+,Y_SZ_500c_T_mw_hot_gas_500c_corr,Y_SZ_500c_T_mw_hot_gas_500c_corr-,Y_SZ_500c_T_mw_hot_gas_500c_corr+,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_corr,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_corr-,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_corr+,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr-,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr+
0,13.0,0.08572401590812787,0.07295355551584108,0.09833875931994841,0.6561909855132444,0.6462789836000666,0.6646081365599465,0.9085534009404106,0.906163202864463,0.9110936720415878,0.9082034400015742,0.9057306638585276,0.910716665831634,-0.06016930463200829,-0.07445590310621242,-0.045696725200731224,0.7064536007120594,0.6963329976725167,0.716259103231044,0.1631732920029541,0.14630766836655862,0.18041023021522293,0.49495653853299904,0.4845366899508444,0.505786853765846,0.3587561161497655,0.34634119202072267,0.3701265684749839,0.6643973865972865,0.6524033764249266,0.6761447792565904,0.1791167500234248,0.16282594748189252,0.19478809801130997,0.6399177809001465,0.6315683208580991,0.6488053852364746,0.5803196564960021,0.5695446276467333,0.591709721672854,-0.07801075985203756,-0.09375046456493677,-0.0622955499924953,0.9345905286242695,0.9305973837216772,0.9387968738021765,0.94279407646519,0.9403841378887764,0.9450066495660682,0.22570906680228972,0.2117445700247366,0.24059830646822292,0.6914607651949389,0.683113644970642,0.6999826518143317,0.36362753715821555,0.3507443008037372,0.37512936158653504,0.6306816239554641,0.6196146886293211,0.6424219796162016,-0.06784264615096686,-0.08287067232371953,-0.051804214138717226
1,13.107746421052632,0.07700759839630164,0.06058261277634588,0.09089887047285328,0.6429465959166085,0.6307912982587965,0.6539904715615238,0.8878363271293525,0.884491291933919,0.8911411826542066,0.9075824122244834,0.9047067156726224,0.9101586225213393,-0.038377259794368235,-0.05539318135411896,-0.023902108503680807,0.6893271591977077,0.6763220511889009,0.7019469099086583,0.09151539345653464,0.07448120547064457,0.11070532412863458,0.5271148555957982,0.5150713844640832,0.5374694307480613,0.3565818794269681,0.343392368503236,0.3700365194623526,0.6816362592334961,0.669951815415957,0.6933053544204227,0.10176819767598365,0.0827422663096234,0.12018488457151891,0.5901850408049999,0.5796596919057226,0.6010914157730358,0.5628196596158574,0.5489525531458603,0.5758795838805016,-0.073908061827248,-0.09131661180023828,-0.056246233023081765,0.9408050460464197,0.9369613458525533,0.9445807334812842,0.9386796004232123,0.9359096121488352,0.941043017924496,0.2804538848305428,0.26545272430573763,0.2955001967161174,0.6353450559453632,0.6227558875463449,0.6464901574781041,0.38457741438688403,0.3713250947057817,0.39731207289135045,0.6114182909106222,0.5965376183080856,0.6265322118599793,-0.06378961746126108,-0.0828586273843927,-0.04520617476095088
2,13.215492842105263,0.08408886603011202,0.06810439803357324,0.10241690774376024,0.6331184830005316,0.6159665156932276,0.6467558237202838,0.8657219724564053,0.8610904195089049,0.8696416244180525,0.907448717475274,0.9043998418549497,0.9102185651978612,-0.010858004175007069,-0.028127573619372452,0.006142413044815883,0.6745177745242894,0.6592271068953924,0.6897564452273361,0.03744457047241065,0.01667741746897385,0.05794806145440461,0.572668799417358,0.5608211641206399,0.5856967074344446,0.3709399077472322,0.35699275107410167,0.3857893987800877,0.6986609358671625,0.6856600435453463,0.7103503637137425,0.04052539396438737,0.020567852215933415,0.06017954284766178,0.538982171359685,0.5238700025523558,0.5537603248650631,0.5521148906910623,0.5364716319663096,0.5675598589722695,-0.058706570372105006,-0.07654601596536313,-0.039303077229179695,0.9461948779050586,0.9416672980701171,0.950418065342368,0.9333622550433611,0.9304770321169324,0.9360868224308161,0.3426930388892856,0.3264343529944078,0.3581087979940054,0.5754873123027158,0.5594093089901307,0.591004691662065,0.4098789432940544,0.39561296206088603,0.42404920648420175,0.5944398291223225,0.5790727383658699,0.611569418257862,-0.0485938478696161,-0.06851056996853508,-0.029150198536124192
3,13.323239263157895,0.11503687951521348,0.09494584348945284,0.13319502005437542,0.6283953338925288,0.6105439418849661,0.6460259001684905,0.8463784046245022,0.8409378359595094,0.8518473691967201,0.9082234011797671,0.9045816971882271,0.911643218362666,0.022772485542084192,0.0024917475344093843,0.041701226080838094,0.6666353406101534,0.6468319697198661,0.6875976144379642,0.010665058407393416,-0.013253149064143746,0.029799838331011415,0.6256160098037473,0.6121046689268479,0.6384191418887903,0.40203824013416656,0.38630481125935406,0.417227590686285,0.7131793088083774,0.7015334783301228,0.7240745033085946,0.009154371815165865,-0.011464828935133689,0.029650300081653556,0.49688236115219575,0.4799550032801006,0.5148927679930928,0.5493316405558917,0.5311931745895577,0.5686473346144718,-0.03586897424196176,-0.05488952645781051,-0.015792514400423115,0.949635795656774,0.9444569850512291,0.9544169302195811,0.9283295016699047,0.9251455394835845,0.9314085159564226,0.39903362106292095,0.38281967892599783,0.4139433264879827,0.528465419292409,0.5091322244513596,0.5486693952221646,0.43931582517741397,0.4245896035717406,0.4537619303127748,0.5901885608277442,0.5699204883427537,0.6097318796213811,-0.024123862001315596,-0.0422194246507969,-0.0042392467809629596
4,13.430985684210526,0.16291183592404146,0.14173384402813805,0.1821430714775495,0.6342693673696309,0.611144995596049,0.6575898148569248,0.8367061512245102,0.8298724515077616,0.842732644487435,0.9089599091868158,0.905080644411972,0.9124933775727911,0.04805617244979982,0.028936874204105605,0.06843130114220819,0.6704684743458011,0.645731545069336,0.6963789787223462,0.012973205365475589,-0.01101054924693079,0.03696357971750622,0.6770607029135066,0.6646980202558472,0.6887817052128749,0.4441086339216781,0.426606058214958,0.46063789986302855,0.716129733840968,0.7049123805974504,0.7274637292577467,0.01302288698065708,-0.009149045226586673,0.03592129555886566,0.48086842704155325,0.4595502226395271,0.5049870236903654,0.5580391088104286,0.5351262125199135,0.5825364504927996,-0.012945537216019567,-0.031969926630167844,0.008456898733772759,0.9506599785511309,0.9430899734611717,0.956797949623239,0.9242006236208149,0.92087468083519,0.9278529926866748,0.4341634692095998,0.41682775188040605,0.4521682321457891,0.5066178767988516,0.4831703622186968,0.53157285881595,0.46199364157833,0.44511497891044677,0.47775210336584634,0.59746082969441,0.5713076009135799,0.6236217784817327,0.0026739639653071473,-0.017990757087795836,0.023306727442008113
5,13.538732105263158,0.21440988582303563,0.19451509693507377,0.2371136661905392,0.6540909640723798,0.6186574913877005,0.684829225866786,0.8374992851513509,0.8307702669180917,0.8443298084328019,0.9082326973739563,0.9035875609284322,0.9123293471770322,0.05042176919576501,0.025822231225893614,0.07305370287767343,0.6908321489139315,0.6524787746505334,0.7268863913267919,0.05322447170421695,0.022610956750563193,0.07947472930725531,0.7127653446344847,0.6993459326366815,0.7268793849592311,0.4827461809132578,0.46344880330164906,0.5018195315258875,0.698959530693148,0.6831748254552543,0.7140611749066043,0.047284314281698395,0.017606661489923174,0.07558792575285193,0.4986622375290537,0.4701013410316598,0.5243042661141851,0.5811664107067148,0.5501966986916343,0.6140686136884534,0.005544760487729557,-0.017511554277095956,0.029250107017534714,0.9515353115442643,0.9412822166062691,0.9608516676764783,0.9214586809689236,0.9165205146964548,0.9260275644536624,0.42630268205735583,0.40505290957236545,0.44651173737145916,0.5213773852296454,0.49218072585482836,0.5484976532577941,0.4649411145026514,0.44390634838506243,0.4828532266621245,0.6193129680149434,0.584277073925557,0.6548902881678678,0.01880045486972852,-0.002971346959503155,0.042072040013627625
6,13.64647852631579,0.2559173240070598,0.23357333240891662,0.27920526858630057,0.6853538717864742,0.6383174083811851,0.7299720499625928,0.8461384933804805,0.8378660012246744,0.8541039667836324,0.9040695025319384,0.8981457331393526,0.9098322628706034,0.017789821305665053,-0.011530654098516006,0.045920040456269164,0.7201053091461975,0.6712061061679683,0.7716668117292493,0.11117871829943923,0.06536487392225272,0.1503210887345464,0.7323380431016275,0.7182868863324128,0.7453414554250015,0.5103197908941672,0.4884065086064354,0.5312604882760658,0.6579906857288853,0.6356426359845593,0.6790221810767677,0.10209205408776217,0.057119758746276374,0.1428220414919591,0.5424329116866002,0.5032867711676814,0.5803948789553762,0.61849174559688,0.5719378844543984,0.6589564971689447,0.005761694623753503,-0.022348254440893403,0.03470564123557339,0.9548403506338948,0.9405091011880414,0.9657455290057682,0.9190213039520063,0.9118343662276087,0.9246735646938347,0.37790960334441315,0.3487317230811756,0.40550017362919133,0.5653781050302651,0.5243895157179286,0.6038491502773136,0.4441804050883771,0.42085256182930497,0.46556500535852685,0.6563395060402513,0.6042170282933343,0.7052390906635633,0.02195296088344901,-0.003496225862608626,0.04944076014352133
7,13.75422494736842,0.2836981469652694,0.25811587151028853,0.3073314576088976,0.7125129057014392,0.659834484953929,0.7586554064916761,0.8557380652460557,0.8455656956776959,0.8648745085679521,0.8983034366646976,0.8901073259260599,0.905402225621539,-0.02882293482495142,-0.059549732742786694,0.0006359220554015142,0.7472641484990759,0.6898464802798763,0.8068541982414082,0.17116239468240857,0.0979051837691878,0.23263492691826113,0.7390229677851612,0.7228529795742679,0.7540045022458449,0.5261002258949623,0.4995425988148212,0.5529807553236958,0.6139294358337908,0.5826329495857479,0.6399653912160453,0.15472786197170751,0.08538304321148463,0.22080625565134063,0.5916945582626147,0.5363390008686909,0.6456505512319636,0.6501008932205334,0.6001623941423168,0.6978107837213905,-0.001368033176555132,-0.03216637713602379,0.031696622485239856,0.9603464181958494,0.9485202283204116,0.9705952164137633,0.9158425537103319,0.9048259519073294,0.9246112105134178,0.3106396143109045,0.2780219461853113,0.3407470399868424,0.6095352971203902,0.5457890939737118,0.6658640826665375,0.4129847604580137,0.3838393728959746,0.4403649566005581,0.6898328923448979,0.6319238145653128,0.7458519604881818,0.017551235170628975,-0.014622585925585378,0.049606272398364536
8,13.861971368421052,0.3029375030111248,0.2763518948683756,0.33226060901881427,0.7180232027028819,0.6752498454068923,0.760292958061814,0.8607068658255086,0.8480464330406067,0.8710738644592328,0.8901639165168664,0.8802430034832386,0.8985855895174719,-0.06793753630212707,-0.10028612639202991,-0.03381513750350529,0.7664477381351503,0.7205220853487416,0.8151628333371272,0.23865523412024042,0.1451047541790103,0.31762812415818087,0.7480727391712445,0.7306656333135532,0.7625447739605405,0.5490229871241255,0.5167786451206938,0.579872616715545,0.5855478820763649,0.5444283982898744,0.6218677493919222,0.2217443615182588,0.12195505104671414,0.31319380594595014,0.6263480268966335,0.5640356851308238,0.68341519502617,0.6656725615013075,0.6240553818034099,0.7033991402465489,0.010933879878615846,-0.0252183149761956,0.04502976173301327,0.9531046762392732,0.9422854422546577,0.9625126495302252,0.9146660255561084,0.9011140256678538,0.9252460132235013,0.2664386555156243,0.22945279637978128,0.2991223692233748,0.6592818857446647,0.5794690612966937,0.7338819566521244,0.3978313411602101,0.3677876854728139,0.4276411245684973,0.7188399302386848,0.6685305037979243,0.7666113222308083,0.022441420658046392,-0.015544553105178681,0.05848600195358093
9,13.969717789473684,0.3254387207713954,0.29258576488651866,0.3570262027395182,0.6819536609385002,0.6467624435786014,0.717648275203496,0.8588463051318624,0.8470570124484413,0.8697517699876446,0.8770970690541955,0.8652515166033634,0.8876747592585391,-0.07629596574712474,-0.11294166467888829,-0.03576543493898898,0.7837069455028789,0.7358847373746866,0.8239328237198855,0.3221709022316874,0.23625499941621234,0.3934978221986855,0.7644032626785118,0.7477378888587554,0.7793205685304417,0.5839941444183456,0.5470786340103214,0.6144100602687743,0.5937017743535654,0.5535153372438696,0.6314939295941269,0.3185795107769228,0.22065882548872398,0.41369211797982525,0.6442307769439426,0.5827286381886932,0.6939715418280534,0.6543170220189882,0.6266147172478752,0.6837546761491661,0.06113466169414944,0.022805809881541402,0.10146910576621417,0.913567256285037,0.8965240823111951,0.9308907142409965,0.91489664328765,0.9008772764042173,0.9255959279952076,0.2698471839666703,0.2311205135578416,0.3058886282000724,0.7087971807242579,0.631657809366613,0.7798654670923373,0.41367116095730166,0.38215133437712756,0.44637875189914455,0.7427746719615957,0.7051799775182079,0.7808302157542548,0.05935340435427247,0.021564160972168366,0.09658963242820769
