bin,M_500c,M_hot_gas_500c_T_sl_500c_corr,M_hot_gas_500c_T_sl_500c_corr-,M_hot_gas_500c_T_sl_500c_corr+,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr-,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr+,M_hot_gas_500c_Y_X_500c_corr,M_hot_gas_500c_Y_X_500c_corr-,M_hot_gas_500c_Y_X_500c_corr+,M_hot_gas_500c_Y_SZ_500c_corr,M_hot_gas_500c_Y_SZ_500c_corr-,M_hot_gas_500c_Y_SZ_500c_corr+,M_hot_gas_500c_T_mw_hot_gas_500c_corr,M_hot_gas_500c_T_mw_hot_gas_500c_corr-,M_hot_gas_500c_T_mw_hot_gas_500c_corr+,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr-,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr+,T_sl_500c_L_X_ROSAT_obs_500c_corr,T_sl_500c_L_X_ROSAT_obs_500c_corr-,T_sl_500c_L_X_ROSAT_obs_500c_corr+,T_sl_500c_Y_X_500c_corr,T_sl_500c_Y_X_500c_corr-,T_sl_500c_Y_X_500c_corr+,T_sl_500c_Y_SZ_500c_corr,T_sl_500c_Y_SZ_500c_corr-,T_sl_500c_Y_SZ_500c_corr+,T_sl_500c_T_mw_hot_gas_500c_corr,T_sl_500c_T_mw_hot_gas_500c_corr-,T_sl_500c_T_mw_hot_gas_500c_corr+,T_sl_500c_L_X_ROSAT_obs_ce_500c_corr,T_sl_500c_L_X_ROSAT_obs_ce_500c_corr-,T_sl_500c_L_X_ROSAT_obs_ce_500c_corr+,L_X_ROSAT_obs_500c_Y_X_500c_corr,L_X_ROSAT_obs_500c_Y_X_500c_corr-,L_X_ROSAT_obs_500c_Y_X_500c_corr+,L_X_ROSAT_obs_500c_Y_SZ_500c_corr,L_X_ROSAT_obs_500c_Y_SZ_500c_corr-,L_X_ROSAT_obs_500c_Y_SZ_500c_corr+,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_corr,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_corr-,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_corr+,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_corr,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_corr-,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_corr+,Y_X_500c_Y_SZ_500c_corr,Y_X_500c_Y_SZ_500c_corr-,Y_X_500c_Y_SZ_500c_corr+,Y_X_500c_T_mw_hot_gas_500c_corr,Y_X_500c_T_mw_hot_gas_500c_corr-,Y_X_500c_T_mw_hot_gas_500c_corr+,Y_X_500c_L_X_ROSAT_obs_ce_500c_corr,Y_X_500c_L_X_ROSAT_obs_ce_500c_corr-,Y_X_500c_L_X_ROSAT_obs_ce_500c_corr+,Y_SZ_500c_T_mw_hot_gas_500c_corr,Y_SZ_500c_T_mw_hot_gas_500c_corr-,Y_SZ_500c_T_mw_hot_gas_500c_corr+,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_corr,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_corr-,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_corr+,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr-,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr+
0,13.0,0.08669289862736025,0.07280804551147467,0.10058501983230947,0.6548701388621382,0.6460491930084135,0.6640831982429833,0.9085688891950697,0.9060894512227889,0.911026805692236,0.9083031880154566,0.9057212425004652,0.9107558892202738,-0.060381027384533284,-0.07537863780386077,-0.044870193559849884,0.7067689046630041,0.6969297793528776,0.7163193241142554,0.16186788370790772,0.14494772379490076,0.17862974366943124,0.4939959151257273,0.4835991097692591,0.5044298281667152,0.35749683065053406,0.34482113182438656,0.3699576321087602,0.6640688344122561,0.6520377024264504,0.6757365198532512,0.1800659502489857,0.16365063390839504,0.19727877677954947,0.6395050415068999,0.6310058571497466,0.6481906000426176,0.5799543403603709,0.5688300188499177,0.5903232701923998,-0.07680185792280997,-0.09404555321810149,-0.06134985041547272,0.9347978304029181,0.9308607309618521,0.9387614716424425,0.9430026510156515,0.9404211160305626,0.9451675009468211,0.22563302241067407,0.211148036751058,0.23977787724504224,0.6913139474171259,0.6830201691849777,0.6996800843939539,0.3630562142079361,0.35064380260675415,0.37466450254639405,0.6314878166694944,0.6201664444752334,0.6431850559699569,-0.06826437451367298,-0.08490986311974037,-0.05156720095117446
1,13.105263157894736,0.07689188437621133,0.06239210722563328,0.09193907605216199,0.6430557894234683,0.6307483343184194,0.6544090094264201,0.8883158782717282,0.8852127857482749,0.8913800339287853,0.9073158775145728,0.9046598500818542,0.9101740616357581,-0.04026106621250715,-0.05657812894885393,-0.02461156339220444,0.6903341867681023,0.6779060202608173,0.702701289673525,0.09364388649866494,0.07474441169295719,0.11260425666522438,0.5258985916845942,0.5152465081532753,0.5365909396137359,0.35646825547748795,0.3446344563689898,0.37047479366623065,0.6824519580753698,0.6696412873780955,0.6948591010597946,0.10181952085253232,0.08246830239678574,0.12062365048713686,0.5916174377639516,0.5806161421253967,0.6028991902861025,0.5628597468181802,0.5494628110813464,0.5740710838384135,-0.07387744862780338,-0.0912050453668383,-0.05675525510435089,0.9405653826167206,0.9362658760344408,0.944669475509444,0.9386026669804768,0.9360112312541197,0.9411543886429855,0.28096069880714347,0.2654152071955981,0.2948726782726411,0.6361195125468957,0.624770384559782,0.6471139378047187,0.3842093009698174,0.3713381053257294,0.39787136683075613,0.6116060839215496,0.5964977401902749,0.6247271417482295,-0.06410833232098889,-0.0812846370273143,-0.04526690167962626
2,13.210526315789474,0.0829049070343506,0.06622568062814893,0.09949574964504482,0.6324268342469477,0.6186033453973874,0.6469487721563658,0.8661824120677324,0.8618175928622667,0.8704826314121129,0.9074356475918794,0.90439685852067,0.9105187546473619,-0.011451637398782195,-0.029042564444236342,0.003487581479663355,0.6754844868850856,0.6600781889453269,0.6905834593007626,0.039400543646296644,0.019641574230283728,0.05925615391815685,0.5697140024930958,0.5565777799857773,0.5814700916831927,0.36918867391765053,0.3539933191490608,0.38459079268509266,0.6976528558438695,0.6854771176778782,0.7102458170947412,0.042991666598734546,0.022855555830765793,0.06338804351202953,0.5412353274598951,0.5260532589019953,0.5564339068972208,0.5523345644430766,0.5363554699846899,0.5672446312275595,-0.06090536554438753,-0.0801072240675119,-0.04229537114955,0.9460051575182884,0.9417943844088922,0.9500873102037205,0.9334588378760988,0.93067857780603,0.9362242811436132,0.33876251243484273,0.3233144831785483,0.35412465565695905,0.5788678924547166,0.5639603480015603,0.5935532347868345,0.40884389143556576,0.3946882121331734,0.42215561813974295,0.5953945051739458,0.5807854301687823,0.6128381594235344,-0.050456449845010375,-0.06923087303675515,-0.03100410396630454
3,13.31578947368421,0.11318957105066364,0.09196966156748258,0.1312318687745685,0.6284864141813019,0.6104917203740073,0.6472455051129398,0.8474530740779016,0.8421685577169601,0.8527046734190915,0.9081737469074452,0.9046564264873682,0.9113399795236216,0.02053794279889557,0.0022595400590576273,0.03860252818096255,0.6671396412410094,0.6460569834755068,0.6869083471099477,0.010191435423735185,-0.010555626250477781,0.030645504445561026,0.6225924485696788,0.6089733219784588,0.6350602537411864,0.3982489411683482,0.3825042227613943,0.41463532732883873,0.7124918127954918,0.7005879970313857,0.7241393435241966,0.010359872837093258,-0.010689267445411597,0.031271616464293286,0.4988393558528248,0.4817528413919638,0.5174086746607095,0.5500474602040641,0.5324039200853146,0.5676889517016367,-0.0371633582200912,-0.05760967883098386,-0.01767151484933579,0.9490445269309558,0.9438447217282727,0.9542551482108976,0.928619775656097,0.9252255797257916,0.9317181598939691,0.39592886175550124,0.3785964360076044,0.4110621423361121,0.5321504315727497,0.5127639409486131,0.5501247549456076,0.43612002566865393,0.4211655038303455,0.45099805148640554,0.5887973012381451,0.569216834236644,0.6097311162854047,-0.025786960259140818,-0.04698880809963526,-0.005290518547194462
4,13.421052631578947,0.15790819600335576,0.1371711610487699,0.17570446839544127,0.6313877703732942,0.6072371452366876,0.6549095534266396,0.8370953274054466,0.8304045650352173,0.8439945291163976,0.9087334416199364,0.9049364077625266,0.9127892641074333,0.04725729160149331,0.026646691086953538,0.06729835177101759,0.6690467977975092,0.6463040248723674,0.6968949814911907,0.012495313586600424,-0.010748425806721912,0.03664500592083371,0.6720672718986388,0.6593628346786827,0.6843772788064154,0.4384506507581845,0.42113814147433615,0.4566208300778254,0.7172154396284282,0.7044341689702944,0.7285885347753828,0.00966317234022148,-0.013344401959539906,0.03307477351580924,0.48015758843654555,0.4583678845003388,0.5034844503821393,0.5587083050553393,0.5346354527217294,0.5798060944351269,-0.013649805743017867,-0.03439740104035112,0.007598901822376844,0.9502926156058644,0.9425364187133201,0.956335776984987,0.9247717637988063,0.9209036867305312,0.9280428863693343,0.4326298141745371,0.41596467405292226,0.4490449482989745,0.5066817272686743,0.4841297114465411,0.5298753121223223,0.46012155839316926,0.44337069811555735,0.4757840103846189,0.5965589568341828,0.5700623444629676,0.6211241123201449,-0.0004599731101410713,-0.021494410979620578,0.019623647927784215
5,13.526315789473685,0.20761446377768877,0.18587495643395457,0.23030428065994785,0.6518547664360899,0.6196928453480298,0.6828368066456431,0.8365568464403943,0.8289385704889569,0.8431276403809445,0.9082082016329363,0.9039155323277128,0.9125470626929697,0.051226050031337934,0.03021238127280743,0.07462369565295875,0.6887318097174777,0.6549369600842635,0.7236036539844202,0.045704734043198886,0.018836424827993956,0.07415822764474173,0.7103683903936128,0.6969291677528734,0.7221771557534526,0.4799013140768428,0.4595998863961895,0.4997042602509493,0.7018018218899028,0.6867569988054086,0.7139993731488428,0.04151913141604502,0.01439739954648039,0.07154421834803927,0.49361183093477706,0.46961516315049917,0.5201276706904635,0.5785816288944916,0.5453048465012175,0.6066093347874936,0.0016037924648066352,-0.019771014814144904,0.02348510347938628,0.950995219256098,0.9406659443048555,0.9596868084344646,0.9217286065212744,0.9174956327216485,0.9260912778569236,0.4306041037135314,0.4096155115040861,0.451164490906926,0.5169733658592315,0.48848911312608434,0.5468242516256707,0.46541725727086714,0.4466649039090243,0.48424491177451723,0.6146742759461745,0.5804668252742744,0.6482998298083357,0.017090237953916218,-0.0054296496657608075,0.03878622879111264
6,13.631578947368421,0.2520452277118598,0.2273290028756097,0.2737614639406338,0.6827054561580902,0.6392594369619798,0.7230146271615514,0.8436443956719886,0.8356019135046838,0.8510859844799573,0.9046425348096261,0.8987798630697286,0.9099041511867022,0.025078604440320035,-0.0026155852699578466,0.05387682216630183,0.7131103337065934,0.6646572459007001,0.7578962789498561,0.0950714028914379,0.05357599880932925,0.13583118870662408,0.7309883516794505,0.7168356292533801,0.7444242563268602,0.5068577390742828,0.4872195478827509,0.52816239523453,0.6644102414572159,0.6429451399769754,0.6822323647176675,0.08818837277387041,0.048379797350203896,0.130982953200581,0.5319179466241757,0.4940497278834964,0.5673156775126421,0.610190696844432,0.5690905554563305,0.651371465026292,0.008325874223118727,-0.019393676481058164,0.0359613333859782,0.9551212212974682,0.9425220676428798,0.9657935199272506,0.9189904114754324,0.9130592927046647,0.924427807746992,0.38945420659785235,0.3610059280375461,0.415412576786201,0.5512038204773998,0.5146500072452751,0.5902792107002487,0.45028605409117983,0.42611640137926765,0.4749313987186374,0.6550723208865026,0.6010599352651004,0.701913692115463,0.025619047977361933,-0.00014342845947085933,0.05290258032212172
7,13.736842105263158,0.2782084818011289,0.2529912131838348,0.30123416456788044,0.7102503376082681,0.6519868388011925,0.7607374050825609,0.8519616020570069,0.8416328665216382,0.861046037143463,0.8982764748268885,0.8904330876482329,0.9049959824144742,-0.01620424063405457,-0.04652473038947145,0.015871343455116094,0.7382544529099799,0.6795361299405203,0.7975052325412567,0.1546760945945687,0.09159835071812472,0.20620983439215315,0.7399708930932454,0.7236481107283392,0.7547422182057877,0.523008996458638,0.4972417214885626,0.5487275887892137,0.6220828341786636,0.5960072280038934,0.6486346017487574,0.1428146645854167,0.0743167621176313,0.2019714783847943,0.5783534739182395,0.5215873773771179,0.6258410952672493,0.6429555900148856,0.5927704874169849,0.6899572925028228,0.0008304519215305966,-0.03258463864996203,0.03376455964843097,0.9630890018642578,0.9492755993681947,0.9720287453480969,0.9154393688047263,0.9060930831696233,0.9232102813841052,0.3265630211234185,0.2923179957019527,0.3575591770832037,0.593716092316855,0.5341041792797832,0.652912864880451,0.42521934454219124,0.3975314379910427,0.45232850126945173,0.6786041820048123,0.6255916773100418,0.7371312527819234,0.023759700368087895,-0.009014472903938,0.05722917274980355
8,13.842105263157894,0.2954450259911857,0.2675285210364483,0.324602320924935,0.730274297993328,0.6820063645436427,0.7787533070120587,0.8573716903747113,0.8450231546550102,0.8685573194154954,0.8903938703432452,0.8799487576971277,0.8997401897541913,-0.04839050848536047,-0.08750218828438408,-0.016899719589384684,0.7567712085149308,0.7027780192939805,0.8113859892348642,0.2105303670939888,0.114163093837906,0.28976048626683293,0.7466236472461891,0.73016925067342,0.7617621612440182,0.5413051951333852,0.5090252394289854,0.5705176519391351,0.5923524505645595,0.5496631753901765,0.6259002886160782,0.19882225128141454,0.09904953734374186,0.28424566690774433,0.6200318109648926,0.5497464395719662,0.6877195135198327,0.6675925959431976,0.6198928088492209,0.7135704897099291,0.0038540085918207343,-0.03282819004206414,0.04142231994198459,0.9710764926617197,0.9626238453370347,0.9778113209589453,0.9127604297152775,0.8989836629392897,0.9232814500672829,0.2814080083181961,0.24615914020374022,0.3161525256153415,0.6346009310061133,0.552091372896437,0.715283012029539,0.4096903989845099,0.3802967077959332,0.43930871495725615,0.7077489645717784,0.6499186644342587,0.7590048275075434,0.029112065847367197,-0.009101331064765907,0.05959546650829501
9,13.947368421052632,0.3142907525986998,0.28221772100023773,0.3499738391505516,0.7451174496353522,0.7048730629822149,0.783722198888828,0.8581271631968161,0.8433958164397934,0.8704823143923364,0.8812545564604868,0.8700925479162013,0.893015017618326,-0.0695702502730237,-0.1089199722443941,-0.029097149503595064,0.7711587148233312,0.7228537825508947,0.8179338070628672,0.2722757347207091,0.17652741384001758,0.36576304382167774,0.7569910148763439,0.7384012062736257,0.7728590877887065,0.5615168563725239,0.5259298203070605,0.5965490934262077,0.5847951245383721,0.5375294839524939,0.6208775236889125,0.266543341682835,0.16060337000925537,0.3695086660831675,0.6641226183256657,0.5830779357357805,0.735200339131961,0.6905741319917547,0.6578855100179781,0.7254784314915935,0.022937943971001663,-0.014450039972317946,0.06018980415966296,0.9741075299685424,0.9686520687950287,0.9785600936850724,0.9114630836609517,0.8966559838769599,0.9232549721293001,0.26683340850674897,0.22727557694321607,0.3030903235577087,0.6801372839734356,0.5855615671601091,0.7621178645904594,0.41442272340339137,0.38362308218030444,0.4444884993111178,0.7275066579197754,0.685262300760711,0.7728196683946541,0.04829575336816219,0.008910578852227485,0.09034812274035761
