bin,M_500c,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_cov,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_cov-,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_cov+,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov-,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov+,M_hot_gas_500c_Y_X_500c_cov,M_hot_gas_500c_Y_X_500c_cov-,M_hot_gas_500c_Y_X_500c_cov+,M_hot_gas_500c_Y_SZ_500c_cov,M_hot_gas_500c_Y_SZ_500c_cov-,M_hot_gas_500c_Y_SZ_500c_cov+,M_hot_gas_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov,M_hot_gas_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov-,M_hot_gas_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov+,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov-,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov+,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov-,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov+,T_sl_wo_recent_AGN_500c_Y_X_500c_cov,T_sl_wo_recent_AGN_500c_Y_X_500c_cov-,T_sl_wo_recent_AGN_500c_Y_X_500c_cov+,T_sl_wo_recent_AGN_500c_Y_SZ_500c_cov,T_sl_wo_recent_AGN_500c_Y_SZ_500c_cov-,T_sl_wo_recent_AGN_500c_Y_SZ_500c_cov+,T_sl_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov,T_sl_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov-,T_sl_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov+,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov-,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov+,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_cov,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_cov-,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_cov+,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_cov,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_cov-,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_cov+,L_X_ROSAT_obs_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov,L_X_ROSAT_obs_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov-,L_X_ROSAT_obs_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov+,L_X_ROSAT_obs_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov,L_X_ROSAT_obs_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov-,L_X_ROSAT_obs_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov+,Y_X_500c_Y_SZ_500c_cov,Y_X_500c_Y_SZ_500c_cov-,Y_X_500c_Y_SZ_500c_cov+,Y_X_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov,Y_X_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov-,Y_X_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov+,Y_X_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov,Y_X_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov-,Y_X_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov+,Y_SZ_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov,Y_SZ_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov-,Y_SZ_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov+,Y_SZ_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov,Y_SZ_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov-,Y_SZ_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov+,T_mw_hot_gas_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov,T_mw_hot_gas_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov-,T_mw_hot_gas_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov+
0,13.0,0.008913939889409474,0.008827128812367014,0.008996767693491423,0.06055847964130207,0.06016599099225091,0.06096366323163711,0.0513944569130189,0.05116885868034,0.05161475782502476,0.04829057186561439,0.04809317138883618,0.04849530670701492,0.005819024050977234,0.005736596018705271,0.0058970607641596635,0.06286413376823448,0.06252312731642999,0.06322563559378841,0.030614886596362516,0.03029319747522436,0.030901641076068583,0.028437111949372006,0.028243740899568492,0.028634514096992813,0.020304522789300502,0.02017591429409361,0.020427218278185822,0.011384553231749285,0.011318888946734372,0.011454460576415403,0.033321367589838585,0.03304089924829165,0.03362657448514377,0.0912025710665659,0.09061611969388464,0.0917781527896843,0.08234858668176262,0.08180525011916974,0.08289909515636915,0.021790748792665425,0.02156916622612873,0.022001277690360605,0.26092388571517994,0.25931886832541956,0.2627144033586296,0.06859220463705737,0.06829523306510558,0.06889989271124677,0.017209687746802767,0.01708244763243778,0.017331336753154895,0.09623097211006423,0.09575090412718701,0.09672724916130927,0.02190645260338879,0.02178049173102814,0.022041593994415656,0.08828480147031688,0.08781338602895024,0.08876573809347507,0.025401364604684357,0.025194818450309506,0.025584889211086422
1,13.078965578947368,0.00853776587681647,0.008460005118865634,0.008619256468089101,0.049909865624384334,0.04958840359723368,0.05026945593262078,0.0434980726414884,0.04329733049121609,0.04369675603404592,0.040256486296066,0.04007289654529316,0.040445995745657305,0.005312604018617035,0.005245338543220638,0.0053823788644540215,0.0520393603301149,0.0517351220456816,0.05235061000582549,0.025927254275281773,0.025633372270695103,0.026195721973709816,0.027732095339194015,0.027481453020584128,0.027980659482864313,0.01860213785278305,0.018481590810686756,0.01872726255401061,0.01007019990189193,0.010004475033459989,0.010138222940951838,0.02738591231320885,0.02713810645512761,0.027669448439637097,0.07584049851623867,0.0753053787621701,0.0764086670268598,0.0681504276797921,0.06772774213163354,0.06860179424390042,0.018230735377890155,0.01803856577813793,0.018421851922719848,0.2112937268933361,0.20973595219084948,0.21277219226998303,0.05887364074671003,0.05860981803387067,0.05914404589067642,0.01537542377297492,0.01526079496818493,0.015503282781287247,0.07944758443380973,0.0789419477548163,0.07991581890043781,0.01871450834248638,0.01858851887321885,0.01883104330247979,0.07321237456387569,0.07282180161233276,0.07357170510569493,0.02119372645683854,0.02101518511095319,0.021379328081815363
2,13.157931157894737,0.008158547914975556,0.008075522794325553,0.008239386357901316,0.0411750163726627,0.0408466993604343,0.04151273925712298,0.03685536957701694,0.036663601680603626,0.037036660376953745,0.03349212454274904,0.03332314437380625,0.033651487002394245,0.004805089300651275,0.00474653000019847,0.00486442712297897,0.043223966072309924,0.04296836950229852,0.04347848579255191,0.02208255553335879,0.021785065564750083,0.022345138623082888,0.02714485794073057,0.026840961479229857,0.027436494683275008,0.017020195481663912,0.01688281224255991,0.01713660799633522,0.0088464265390275,0.008780684411956447,0.008909422118450045,0.02246776243014746,0.02217997104706074,0.022715948850551237,0.06325215851375807,0.06277987467554438,0.06372132530658083,0.05639974980204872,0.05597865499823342,0.056789529259481025,0.015204206717932761,0.015027207723214133,0.015388821855677519,0.16922736901665258,0.16798458611991482,0.17051945274287564,0.050509877671701224,0.05024075342143897,0.050778747190278306,0.013646732659980973,0.013533965960952016,0.013767971410700942,0.06566240383402734,0.06525345236855784,0.066067917940803,0.01584822034645758,0.0157359860588896,0.01597052498033461,0.06072999703418769,0.060361595346233816,0.06111117621788717,0.017527662996525712,0.017352200121509852,0.017697334408762942
3,13.236896736842105,0.007779508159375583,0.00770385314896753,0.007858953421944875,0.03438757788954739,0.03411098270462111,0.0346517085393311,0.03153686678884835,0.031355562905133194,0.0317226872548648,0.028031773252385477,0.027891320841472535,0.028183357295209877,0.004269522303532591,0.004207364310045438,0.0043258751726778085,0.03644289547325631,0.03621611385528928,0.03668207774312179,0.01908342262865005,0.018827154176140698,0.019341789932524896,0.02668143734159977,0.026322955592522217,0.02707579109301419,0.015541275097216806,0.01541569392948089,0.01566151999662198,0.0077617240490923545,0.007694201017715576,0.007827475206560415,0.018570747472153926,0.018334122321944136,0.01880816424374852,0.05347986545427632,0.05305896745168176,0.05393289476685734,0.04712037740819895,0.046747243084107735,0.04750162350004852,0.012724297187769816,0.012570732776788694,0.012885875992335132,0.1354200658375779,0.1341741398843142,0.13664157465605967,0.04355732427611783,0.04332390367569818,0.043826343525968196,0.012017615216646934,0.011912653399132353,0.012136980223144274,0.055031661856739085,0.05461897784542744,0.05546779177453172,0.013382891685687966,0.013271705928588383,0.013487749632521947,0.05091446676381197,0.050592462010811384,0.05125225470976221,0.014439865421181948,0.014289122878285099,0.014583959605624298
4,13.315862315789474,0.007370095629697949,0.007285117635751429,0.0074579161736765725,0.029320557111203842,0.029050596142947964,0.02956055642907638,0.02739636479305479,0.02722070310562055,0.027581410688345638,0.023730008193139786,0.023587119844584507,0.02387047047326378,0.0036963263305508703,0.0036439731691088836,0.0037494459991238814,0.03146428317549557,0.03122392049094988,0.03170608619562421,0.016804834351586945,0.01655404632534914,0.01706949700173806,0.026312472120797084,0.025851705939066605,0.026793740288132965,0.014196613283687851,0.014061406751817298,0.01433145163098973,0.006826306669891217,0.006756942615626225,0.006892841572690782,0.015681106423975147,0.015401393159602667,0.015921427506357198,0.046128182414322254,0.045711722150144476,0.046530478627851715,0.03994110311177118,0.039620168839006195,0.040272201609291174,0.010626942066704743,0.0104688797984026,0.01078468545127431,0.10932510244972524,0.10823702570597468,0.11046527733499181,0.03791501482024571,0.037677913046525964,0.03817493530495762,0.010520813421456204,0.010415677245919054,0.010630719388217401,0.04710734428344286,0.04668935501950803,0.047497239274941476,0.011264856419563787,0.011169769826529492,0.011358208744603348,0.04328641340947287,0.042955166456586584,0.043569140856972964,0.011815383933088959,0.011676923340672364,0.011943751062888388
5,13.394827894736842,0.006891671148720653,0.0067999629843688795,0.006978729950726127,0.0255075307151267,0.025285643510398224,0.025758202192179218,0.02411430878014166,0.023938751011454235,0.024299131147307296,0.02033470996901796,0.02019983265328187,0.020466082133919355,0.0031011677563436146,0.0030483261809728323,0.003150074050894023,0.02776577308724372,0.027547234495484105,0.027978626653140843,0.01498785441394273,0.01471754134742862,0.01525471104105268,0.026008130901371485,0.025448129165107667,0.02663554235920457,0.012911079446657033,0.012784290288200538,0.013044654969448224,0.006018306905051922,0.005950977204891721,0.006084425376267482,0.013329276305692424,0.013066399169678089,0.013596977842184355,0.04049156662527807,0.04010618250806816,0.04092064706600851,0.034324106479832375,0.03400992200000589,0.0346481819332395,0.00879813658863501,0.008660518858195783,0.008933019252564227,0.08956936288988224,0.0885872053971272,0.09066575611824326,0.033255397338604165,0.03301956378657324,0.033496287137658246,0.009123701774888509,0.0090183908963665,0.00922362342063842,0.04108828984499697,0.04066891642818889,0.0415272498372096,0.00947371014066086,0.009390225712008253,0.009569057287656528,0.03726837006804701,0.03697529366430153,0.037533416759245083,0.009513382288887883,0.00938669853666923,0.009642232611591393
6,13.47379347368421,0.006350830649796474,0.006261633241992594,0.006433868507232676,0.02263691056298401,0.02239003727849124,0.022852900742349004,0.021476770043134148,0.02130735514556856,0.02164961734310577,0.01761191806268875,0.017485069828286653,0.017742240339250172,0.002481959424003995,0.0024339319142417533,0.002530574907549553,0.02491390721529828,0.024694956098092573,0.0251191639081828,0.013352361799085954,0.013078014772803421,0.013630985656143568,0.025767630897166872,0.025028266636055094,0.026502681696356764,0.011689516545125029,0.011568070652214062,0.011823039679941425,0.0053491018421243375,0.0052812557130888565,0.005417614426380107,0.01139599497343598,0.011099824522788375,0.011650861814229946,0.03596862193379405,0.03555121137301055,0.0364145305985097,0.02976774165463032,0.029455814364012393,0.030077087208658412,0.007152566121433013,0.007014401187732498,0.007283086371131387,0.07461960673397666,0.07365453188205388,0.0756245967981394,0.02929381502873877,0.029073007255695258,0.02955831730001104,0.007827001425256535,0.0077223738975168744,0.007934852167621277,0.03630291220443644,0.03587679782576679,0.036709735054023536,0.007953231043046767,0.00786646295865042,0.008045703053374058,0.032388346374466886,0.0320899065630218,0.032690005870713,0.007460623686315749,0.007337646722781152,0.007584577255423195
7,13.552759052631579,0.005722433827693986,0.005622162392019626,0.005820720903809307,0.02029332493580259,0.020079378728123605,0.020525534281507555,0.01921497277546256,0.01904721106988933,0.019379587148793388,0.015368993163032744,0.015238674716565065,0.015503131384110943,0.0018736595550047433,0.0018191092307223858,0.0019232677575944518,0.022622009152958894,0.022395011074973596,0.022830813632566657,0.011791365747238667,0.011497026399898502,0.012091277970470923,0.02534285853985922,0.02453128373279907,0.02628455766661741,0.01053016332547633,0.010392535220594353,0.010671406277387498,0.004804113079670153,0.004731940602732893,0.004877445267206452,0.009591208307376517,0.009293852882701502,0.00988184436498349,0.032062048192750985,0.031649800503076475,0.03252678102953984,0.025949156062265596,0.025671211719202103,0.02624684265556545,0.005633183721094339,0.005514655342586645,0.005769426728157602,0.06293470267228381,0.062045550142791464,0.06396838136189498,0.02589541615359929,0.025656878534107648,0.026126257312735553,0.006677473147457435,0.006568386776928378,0.0067780081449770315,0.032202446100884095,0.03178742915821642,0.03261889677244898,0.006682874227442211,0.006597672751320713,0.0067631572019533825,0.02821202273740654,0.027956563904177834,0.028503567495469933,0.005609921071261018,0.005487726811219239,0.005726744376892535
8,13.631724631578948,0.005054201574959808,0.0049555387449422535,0.005152114766365951,0.018298520792172885,0.018064350126931444,0.018519793916916664,0.017224215426602504,0.01704033981204956,0.017398559862444762,0.013457820990551678,0.01334388502168807,0.013580085809551456,0.0013001022554222901,0.0012508779124369822,0.001351755258670401,0.020650671967291295,0.020438806902418047,0.020861106700849247,0.010232400039215436,0.00990820466505061,0.010540037104912697,0.024797653530965302,0.023751723367303447,0.025963592570940327,0.00942848181715478,0.009281645172733595,0.00957536124814255,0.004382993101112807,0.004301415636345418,0.004462059475606508,0.00785865757745598,0.0075298756429702735,0.008193851994389923,0.02855258762100605,0.02807444252436519,0.028985949462741495,0.022600128117818752,0.022316520692428142,0.022888110766196807,0.0042914563521487875,0.004168746686429317,0.0044173296599944595,0.053611777509279826,0.052737889890020484,0.05448886554199407,0.02289149355202124,0.0226491771271173,0.023134468933806305,0.005680446874184962,0.0055824654112843096,0.0057926071122188375,0.028534515266972642,0.028049181024137337,0.028963118895238442,0.0056431688109279,0.005562891806590916,0.0057189597421950485,0.02461308970417457,0.02436350876227464,0.024872171334625735,0.003963610254414296,0.003853376510544231,0.004082346388648456
9,13.710690210526316,0.004385444130145605,0.004277869509454695,0.004495566449605211,0.016523511219002085,0.01631165549545927,0.016759840499966674,0.015378190952522512,0.01518818442913699,0.015560725585004848,0.01179377338948583,0.011665768485758565,0.011911346713898057,0.0008007817366999614,0.00075039523095051,0.0008527520148811068,0.018881711173107545,0.018669705226480315,0.01912367247316496,0.008691988328647177,0.008352399518964243,0.00905617024704947,0.024315453317346712,0.02309159887804611,0.025584475628383646,0.008457152104084705,0.008294892419807166,0.00863956832854279,0.004075192740034676,0.003992055187905224,0.004160145416810786,0.006274077109719042,0.005904750923919593,0.0066181541661219576,0.02527354833851178,0.02479022674643342,0.025689285581580252,0.01965261565566223,0.01939014633332419,0.019927235581070298,0.003116034587222402,0.0029870553576667623,0.0032475819149221092,0.04612131343811719,0.045412951369919644,0.046909399245826405,0.020245828639370467,0.01999770431170869,0.020495107685927834,0.004869614576465271,0.0047494035636143055,0.004993722649356114,0.02512806659211922,0.024647358726405992,0.02557134096287431,0.0048307523199800275,0.004749784306115157,0.004912571431457319,0.021426954990085057,0.021183694683994635,0.02169529968962922,0.0025542647227542415,0.0024395307484617094,0.00267432408995081
