bin,M_500c,M_hot_gas_500c_T_sl_500c_cov,M_hot_gas_500c_T_sl_500c_cov-,M_hot_gas_500c_T_sl_500c_cov+,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov-,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov+,M_hot_gas_500c_Y_X_500c_cov,M_hot_gas_500c_Y_X_500c_cov-,M_hot_gas_500c_Y_X_500c_cov+,M_hot_gas_500c_Y_SZ_500c_cov,M_hot_gas_500c_Y_SZ_500c_cov-,M_hot_gas_500c_Y_SZ_500c_cov+,M_hot_gas_500c_T_mw_hot_gas_500c_cov,M_hot_gas_500c_T_mw_hot_gas_500c_cov-,M_hot_gas_500c_T_mw_hot_gas_500c_cov+,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov-,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov+,T_sl_500c_L_X_ROSAT_obs_500c_cov,T_sl_500c_L_X_ROSAT_obs_500c_cov-,T_sl_500c_L_X_ROSAT_obs_500c_cov+,T_sl_500c_Y_X_500c_cov,T_sl_500c_Y_X_500c_cov-,T_sl_500c_Y_X_500c_cov+,T_sl_500c_Y_SZ_500c_cov,T_sl_500c_Y_SZ_500c_cov-,T_sl_500c_Y_SZ_500c_cov+,T_sl_500c_T_mw_hot_gas_500c_cov,T_sl_500c_T_mw_hot_gas_500c_cov-,T_sl_500c_T_mw_hot_gas_500c_cov+,T_sl_500c_L_X_ROSAT_obs_ce_500c_cov,T_sl_500c_L_X_ROSAT_obs_ce_500c_cov-,T_sl_500c_L_X_ROSAT_obs_ce_500c_cov+,L_X_ROSAT_obs_500c_Y_X_500c_cov,L_X_ROSAT_obs_500c_Y_X_500c_cov-,L_X_ROSAT_obs_500c_Y_X_500c_cov+,L_X_ROSAT_obs_500c_Y_SZ_500c_cov,L_X_ROSAT_obs_500c_Y_SZ_500c_cov-,L_X_ROSAT_obs_500c_Y_SZ_500c_cov+,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_cov,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_cov-,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_cov+,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_cov,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_cov-,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_cov+,Y_X_500c_Y_SZ_500c_cov,Y_X_500c_Y_SZ_500c_cov-,Y_X_500c_Y_SZ_500c_cov+,Y_X_500c_T_mw_hot_gas_500c_cov,Y_X_500c_T_mw_hot_gas_500c_cov-,Y_X_500c_T_mw_hot_gas_500c_cov+,Y_X_500c_L_X_ROSAT_obs_ce_500c_cov,Y_X_500c_L_X_ROSAT_obs_ce_500c_cov-,Y_X_500c_L_X_ROSAT_obs_ce_500c_cov+,Y_SZ_500c_T_mw_hot_gas_500c_cov,Y_SZ_500c_T_mw_hot_gas_500c_cov-,Y_SZ_500c_T_mw_hot_gas_500c_cov+,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_cov,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_cov-,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_cov+,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov-,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov+
0,13.0,0.00370826888807626,0.0030993745866713398,0.0042972247000759535,0.18860146016907076,0.18386592851698794,0.1934625472229223,0.09338321027941893,0.0915306125177988,0.09527475712462066,0.08723660460256194,0.0853813568680659,0.08907075880662357,-0.0024216300675301812,-0.0029740309015086996,-0.0018440233609766689,0.20551102865640886,0.2009004280764036,0.210354286920297,0.022502560930411322,0.01997992004486362,0.02524185797429653,0.024417201315752896,0.023498969340059926,0.02532566698644116,0.01653652213759696,0.01579490488257947,0.01725881856642718,0.012848141275301286,0.012493967749529307,0.013232228274589222,0.025237954008462786,0.022675018232113566,0.027749980628179214,0.2116254995647666,0.2053961203399712,0.21750872544563532,0.17867051231577014,0.17404818338811542,0.1837502206680137,-0.010031743724568807,-0.012219196585330255,-0.00796723682327585,0.8741905704627682,0.8441066477354255,0.9033892757804998,0.10367462770914099,0.1015253926352834,0.10585410351133887,0.0104092471096684,0.00973990487452906,0.011156983384148932,0.23062049245197924,0.2245718412270785,0.23682480801035422,0.01564426223147331,0.014926877100240793,0.01626491949511425,0.19671866306915314,0.1919333699671857,0.20184555604708335,-0.008725115032473658,-0.011140792741283243,-0.006574782202693769
1,13.107746421052632,0.0028207707153288498,0.0022590511484113663,0.0033359378873833593,0.13802663012747934,0.13415644925743675,0.1419692524188279,0.07074885705844303,0.06901308553070636,0.07218885057638129,0.06643784616096923,0.06498250121515543,0.06803797903184464,-0.0012180125399342077,-0.0017167011069580292,-0.0007574479682237079,0.1504217268903998,0.14668676285123514,0.15452954798775836,0.010936049457967681,0.008461686095068224,0.012938440969925769,0.022617630200834973,0.021811421922840833,0.02347640400203637,0.014195882958940899,0.013499481959077301,0.01483834771065243,0.011373817517305086,0.011022859231723525,0.011729140077308176,0.011827056231775126,0.009488861623231318,0.014280677175911284,0.14892986044922968,0.14397276870992226,0.15406826504782406,0.1304491911117684,0.1270382974030062,0.13439467908638245,-0.007261060538247129,-0.008940194690471647,-0.005563010192678416,0.6486928687174516,0.6230246944817107,0.6757585305795806,0.08082765078623519,0.07898882902586267,0.08251904242377005,0.010155664412370495,0.009520372950934847,0.010768620496446184,0.16232275261747728,0.15743388538082673,0.1677107855767078,0.012831842862667088,0.01229898422366085,0.013407448252507441,0.14402329559278293,0.1404041865095343,0.14834885707071982,-0.006499953389394455,-0.008308809481652127,-0.004603626866921748
2,13.215492842105263,0.0026084489386801217,0.002051806360378812,0.0031912819239229406,0.09773394850947459,0.09492916722282324,0.1004665093136094,0.0527370614336636,0.05129163208198543,0.05408017169135883,0.049954775516035776,0.04872684518920345,0.051253699869876004,-0.00025922262262812455,-0.0006509624798859623,0.00012167065147358663,0.10615042800884733,0.10312768642069789,0.10928125999690051,0.003603354962020771,0.0016511630556423527,0.005543446952830863,0.021313179713470472,0.020414068895417723,0.022147688526954083,0.012453397439119367,0.011812483957082445,0.013101240932529614,0.009836770725899382,0.009528321352802712,0.010213080177938089,0.003921869528930813,0.0019700746703903028,0.006059686420178709,0.10133373443606966,0.09746140853788013,0.10508350929606858,0.09361295653394142,0.09062196354752962,0.09662773028124685,-0.00418576396840564,-0.0055772130180653115,-0.002754227106996619,0.45918991286488975,0.4371526606906919,0.48325367336506403,0.06235035630349027,0.060749012945725725,0.06391792350943738,0.00959688293207555,0.009059429121748338,0.010156173325259725,0.11006371248796082,0.10636275660708461,0.11424551019762998,0.010387495210744611,0.009891808889419294,0.01090011581050532,0.10269179847323692,0.09944712070962618,0.10581929844414402,-0.0034888217098401784,-0.004998177928389039,-0.002046215987996526
3,13.323239263157895,0.002836260435534032,0.002364686156124779,0.0033709160199409172,0.06829289294625455,0.06581155645284949,0.07067208637783962,0.0396047731750592,0.03831669803458091,0.040904719986971066,0.03721147300620092,0.036101231985579046,0.03828377537361841,0.00040115705862745865,6.484387090127429e-05,0.0007056184416366641,0.07368048777896362,0.0712324513064565,0.07605541695041376,0.0007119368753965954,-0.0009195018295797186,0.002425959940165239,0.020046547335827287,0.01910059817163019,0.02091427670805284,0.011235561932727633,0.010629154812778138,0.011841707229128225,0.008314094340431372,0.008013407793183356,0.008647431077216822,0.0007905102353868779,-0.0007557283224538157,0.0024524198941338225,0.06876924313903737,0.06602755811133457,0.07182298958410083,0.06652119059321812,0.0639151526091661,0.06900390615660897,-0.0018266723125520243,-0.002828983592279584,-0.0008580535791958266,0.3099486824242543,0.29430315418907915,0.32698149543467636,0.04831121920817995,0.04688953796633009,0.049775577282765104,0.008708367477377698,0.008210713230352022,0.009218679302058597,0.07446103390077813,0.07147262664234151,0.07752811328935699,0.008354273448478961,0.007942165343930434,0.008764263272770833,0.07252804953267318,0.07004353268665023,0.07482746182639115,-0.0012234154537931893,-0.0022352325241802606,-0.00015919763664819513
4,13.430985684210526,0.0032817251280131653,0.002861263095114039,0.003746035139871923,0.04828299710971384,0.04657864568086067,0.05009616236913298,0.030473544197948062,0.029416116896138298,0.031490960436835407,0.0278655541801574,0.026991626600119677,0.02877572714609547,0.0006161727518700115,0.00038045947671736695,0.0008644481702961901,0.05161529688914112,0.04980224522741808,0.05349579815343056,0.0007619063807701035,-0.0005286558854841584,0.0020863251563456534,0.01846347995407506,0.017530292069384886,0.01933301370931184,0.01008291278943708,0.009512903589145128,0.010707465939403313,0.0068284557072462535,0.006511956398250245,0.007122840465076709,0.0006465836088037119,-0.0007132535425337817,0.002008534818598038,0.04912230982228301,0.0468098639664291,0.05151182301788228,0.04802648316214443,0.045921612638593366,0.04991977734601233,-0.0004311624876617876,-0.0011417866057029833,0.00031533804659872544,0.20427039967386057,0.19048777376500564,0.21870449403986736,0.03802677767225457,0.03674121328747413,0.03926649844647671,0.0074534238007372,0.007022582328208148,0.00791218290909214,0.052206778252071984,0.04991286763224509,0.05472044626136318,0.006625469242936426,0.006242684216375433,0.007014268001773248,0.051739333124255694,0.04966028064646177,0.05364930996649227,8.268065739885905e-05,-0.0006822170982838968,0.0008079393354252583
5,13.538732105263158,0.0035324207926845583,0.00311200271825814,0.003923637369285102,0.03621056047793868,0.034854975273195136,0.037790345483585064,0.024549032929931262,0.023664866850633685,0.025467784103446238,0.021522152980657565,0.02070293971345211,0.02223642616586098,0.0004975899257430661,0.0002658448018540096,0.000742156575817759,0.038358015038081436,0.036949741382289285,0.039857500307912824,0.002273635311469468,0.0009286541642781537,0.0036197120749517394,0.016298666687355745,0.015418714325086645,0.017138166446957245,0.008904575672436393,0.0084106255094811,0.009458996525054775,0.005411050186908586,0.005139176979958154,0.005677343393442783,0.002077172232553278,0.0008053470125561133,0.0034311424128040625,0.038653870351433445,0.03649712107590919,0.04087121454883449,0.036533622832041396,0.03490427297469975,0.038181803697629926,0.00010062727548483511,-0.0004968761598342738,0.000692339290202107,0.13962409041473212,0.12729377496935582,0.15513216841155986,0.030448804228359584,0.02936772707976081,0.031554858061901475,0.005912376377082876,0.005471993980788889,0.006342832791616088,0.040625484396800596,0.03839416602443756,0.042808574269059464,0.005184854453686711,0.004845913589716848,0.00553083312383521,0.038926479687013925,0.03737551242965368,0.04040817969768318,0.0004911284566351855,-0.00011256558586865503,0.0010894838760049821
6,13.64647852631579,0.003462293328445857,0.0031060156701696578,0.0038395164880329546,0.029934622532581084,0.0285700077441161,0.031237123134171613,0.02056773217708798,0.019747503929343328,0.02138994523853346,0.017280164715563352,0.016628344539348527,0.01801054981351366,0.00016939418618063857,-5.646656127259994e-05,0.00038484591765679314,0.031166557219563813,0.029972385353037086,0.03233735310157153,0.0036610018945428657,0.0021419965247002717,0.005146572905095011,0.01389081137378525,0.013085759655606958,0.014791782389450602,0.007644864634098612,0.007182893988304478,0.008144675950776864,0.0042100605741097466,0.00394167801924428,0.0044734243666460435,0.0034750102575388507,0.0018329131255309904,0.004977514518659756,0.033604323120816716,0.03133955703858783,0.035986619864589973,0.03003689518763916,0.02864214855503172,0.03140917099034583,0.00010153878628766507,-0.00044933609365479805,0.000698266659106219,0.10502608288201198,0.09199448933048503,0.12133408384253289,0.024960020113895774,0.02396691976433155,0.025955328717840915,0.004389075855064778,0.0039686824465063044,0.004832298627013414,0.034623735941841406,0.03238631132352982,0.03685096172443986,0.004048301273931682,0.0037397074218166156,0.004382112871040674,0.031557902315850775,0.03022060655654561,0.032970031970373744,0.00048541696780069767,-7.019738845726784e-05,0.0010433224734899115
7,13.75422494736842,0.0031951575596882442,0.0028761778809547178,0.0034764043259851115,0.026388467649798655,0.025213554550718203,0.027580145592197246,0.017674506639044504,0.01693334186484778,0.018508066080978634,0.01429257277819104,0.013689539271379397,0.014922693946494677,-0.0002159548161078343,-0.00043664315246360306,2.4424782989178257e-05,0.026992825475105335,0.02585361563503039,0.028257754168329482,0.004763317306822839,0.002879545608203717,0.006432569722979849,0.011813720461849975,0.010980322705504291,0.012618286484201574,0.006464966379738802,0.006050593913005771,0.006905073396078607,0.003285446028385042,0.0030417638631403763,0.0035432101639469166,0.0043964985701354705,0.0023998632153055637,0.005972450388634733,0.03138730880158926,0.028923150216020172,0.033429289387468766,0.026526036087572785,0.025171526178257544,0.02782798633772312,-1.6036651990384147e-05,-0.00057054995673074,0.0005262758047156681,0.08902128226331193,0.07671648161717551,0.10415053631688877,0.02076219628153901,0.019961844379767613,0.021636800860546885,0.0030773227886269376,0.0026845492510152347,0.0034826206111228976,0.03149364046107328,0.029253012821903658,0.03383928127065828,0.0031961942217230135,0.0029024811209485465,0.003497960678277593,0.027400148538151724,0.026090151699913047,0.028712323789343165,0.0003625929404092597,-0.00020386239039395834,0.0009400679676469233
8,13.861971368421052,0.002853980486969795,0.0025702997571829594,0.003148255921655189,0.023900869810835973,0.022764726589590684,0.02508774277298019,0.015121334917916963,0.014380710045693034,0.015812865204422863,0.011847968008465605,0.011319058484127115,0.012483056213204257,-0.00041195717154421624,-0.0006268031305199023,-0.00019553068492662084,0.024038164351045714,0.02283764699687354,0.025135675982216475,0.006019181424354973,0.0038893274033333825,0.007714090783836728,0.010016204985339762,0.009307521801584596,0.010793814126649898,0.005567954066444026,0.005173181921934635,0.006008799006497929,0.0027237001210159385,0.002506267258367025,0.0029460518511478097,0.005446687266488181,0.0034174632722253294,0.0071270519229933394,0.029922553280558477,0.027428188356476,0.032110862637830036,0.024107661395698775,0.022915485385472945,0.02547921992116188,0.00017498231009175583,-0.0004018514807609593,0.0007544855361944466,0.08177460040382944,0.07221362549934894,0.09281226536822172,0.01740846549537021,0.01662318571465467,0.018288087891266694,0.0022981457501478303,0.0019721526699359487,0.0026453447295203317,0.029282268841898933,0.026893015411241734,0.03143236757887566,0.0026265202763670397,0.002358169064560495,0.0029068861055231185,0.024480114720684596,0.023250219859509057,0.02568250435764194,0.00035975239378573023,-0.00016952383958489844,0.0009533780367622157
9,13.969717789473684,0.0025887225084949917,0.0023146280308141607,0.0028808677679157883,0.0218700441195695,0.020596405575651608,0.023074349610572913,0.012641296605837477,0.012027399116189049,0.013233492292344102,0.009615271830333161,0.009098553964086844,0.010148717844969991,-0.0004043391590373501,-0.0006220882121540859,-0.0001933855887859083,0.0213025324332365,0.020167429105055194,0.022423585680077664,0.00805646624590178,0.006227903339714575,0.009659287232735602,0.008869362768769165,0.008187067696320558,0.009587677126956627,0.005074811697498246,0.004679726202635856,0.005473716284855996,0.0024765809157082834,0.0022629867726062175,0.0027140984333322037,0.006836860801714655,0.005111454598757929,0.008407773807225983,0.02988091574009028,0.027382137293269857,0.03211358706582873,0.022886319771500692,0.02151641953843016,0.024224590868206122,0.0011201240574516135,0.0004900253070155623,0.0018119370358715841,0.07841767377374603,0.07166752343830421,0.08701129766777829,0.014607371900368574,0.01384766336092678,0.015433028472716593,0.002103285037764666,0.0017620157675076879,0.002410666087632615,0.02807409204006779,0.025912662699455424,0.03002203133531083,0.0023980008828363543,0.0021410336632081374,0.0026694389068071017,0.02208732451143914,0.020909261761979162,0.023366217420208394,0.000848220291772117,0.00029662266156246537,0.0014473406569500095
