bin,M_500c,M_hot_gas_500c_T_sl_500c_cov,M_hot_gas_500c_T_sl_500c_cov-,M_hot_gas_500c_T_sl_500c_cov+,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov-,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov+,M_hot_gas_500c_Y_X_500c_cov,M_hot_gas_500c_Y_X_500c_cov-,M_hot_gas_500c_Y_X_500c_cov+,M_hot_gas_500c_Y_SZ_500c_cov,M_hot_gas_500c_Y_SZ_500c_cov-,M_hot_gas_500c_Y_SZ_500c_cov+,M_hot_gas_500c_T_mw_hot_gas_500c_cov,M_hot_gas_500c_T_mw_hot_gas_500c_cov-,M_hot_gas_500c_T_mw_hot_gas_500c_cov+,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov-,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov+,T_sl_500c_L_X_ROSAT_obs_500c_cov,T_sl_500c_L_X_ROSAT_obs_500c_cov-,T_sl_500c_L_X_ROSAT_obs_500c_cov+,T_sl_500c_Y_X_500c_cov,T_sl_500c_Y_X_500c_cov-,T_sl_500c_Y_X_500c_cov+,T_sl_500c_Y_SZ_500c_cov,T_sl_500c_Y_SZ_500c_cov-,T_sl_500c_Y_SZ_500c_cov+,T_sl_500c_T_mw_hot_gas_500c_cov,T_sl_500c_T_mw_hot_gas_500c_cov-,T_sl_500c_T_mw_hot_gas_500c_cov+,T_sl_500c_L_X_ROSAT_obs_ce_500c_cov,T_sl_500c_L_X_ROSAT_obs_ce_500c_cov-,T_sl_500c_L_X_ROSAT_obs_ce_500c_cov+,L_X_ROSAT_obs_500c_Y_X_500c_cov,L_X_ROSAT_obs_500c_Y_X_500c_cov-,L_X_ROSAT_obs_500c_Y_X_500c_cov+,L_X_ROSAT_obs_500c_Y_SZ_500c_cov,L_X_ROSAT_obs_500c_Y_SZ_500c_cov-,L_X_ROSAT_obs_500c_Y_SZ_500c_cov+,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_cov,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_cov-,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_cov+,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_cov,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_cov-,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_cov+,Y_X_500c_Y_SZ_500c_cov,Y_X_500c_Y_SZ_500c_cov-,Y_X_500c_Y_SZ_500c_cov+,Y_X_500c_T_mw_hot_gas_500c_cov,Y_X_500c_T_mw_hot_gas_500c_cov-,Y_X_500c_T_mw_hot_gas_500c_cov+,Y_X_500c_L_X_ROSAT_obs_ce_500c_cov,Y_X_500c_L_X_ROSAT_obs_ce_500c_cov-,Y_X_500c_L_X_ROSAT_obs_ce_500c_cov+,Y_SZ_500c_T_mw_hot_gas_500c_cov,Y_SZ_500c_T_mw_hot_gas_500c_cov-,Y_SZ_500c_T_mw_hot_gas_500c_cov+,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_cov,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_cov-,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_cov+,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov-,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov+
0,13.0,0.0036963017948029578,0.003132472581589296,0.004350007010893561,0.18890718712356333,0.18423981701797967,0.19406228100715578,0.09320786945107186,0.0913462103553623,0.09511846855169127,0.08711845760469622,0.0853404000973411,0.08907429073895108,-0.0024111325636131217,-0.0029820980603640257,-0.0017825389547629093,0.20560480722593477,0.20090602602370716,0.21034001714796496,0.02253784814463466,0.020186205099161893,0.024952459757178736,0.02443713654845722,0.023570218433793682,0.025294677266875357,0.016525650788475572,0.01581558312144216,0.017232337691401964,0.012813746474087836,0.012480261732985547,0.013194759519169362,0.025185418290375985,0.02228597616201834,0.027748115494849422,0.21172135575649903,0.20572574177349995,0.2182651405960135,0.17860660997142386,0.17398416036602551,0.18340852991176362,-0.010069175778111934,-0.01207516116490204,-0.007824698459111476,0.8729123302247106,0.8434020041471807,0.9036609912643047,0.10366797207579931,0.10147462225778246,0.1058749800517594,0.010468704681816092,0.009724877892341107,0.011084102275253131,0.23052849769847206,0.22429261532876688,0.236770158870548,0.01566765291328274,0.015025296724787293,0.016370095804647076,0.19672592699161007,0.19159466737114209,0.2014293230926338,-0.008722017118303275,-0.011167808815590515,-0.006689063350733861
1,13.105263157894736,0.0028100569770352648,0.0022557261492662226,0.0033609774667358147,0.13876042421667947,0.13476866059986867,0.1426322245731383,0.07102305031509085,0.06943324302368643,0.07275649403090867,0.06698686458106799,0.06555309004623595,0.06841458443182417,-0.0012281647928199654,-0.0016833404611796823,-0.0007321649635144615,0.151641502999216,0.14763512230863113,0.15566702409964558,0.011003526038745923,0.008846121814141072,0.0132381948581312,0.022669992861278403,0.021855070504613366,0.023500977824085376,0.014241365830704643,0.013534566422794535,0.014930350015995904,0.011417788168802578,0.011059441768876339,0.011760280773489035,0.012119445916608459,0.009807315638289038,0.014512662938903737,0.14988442690321013,0.14557699385956402,0.15436588407532614,0.1315465919523141,0.128024056373463,0.1352479003470262,-0.007304597464713388,-0.008982472005654512,-0.00551039737464667,0.6551187630621529,0.6280720518594484,0.6835035242381653,0.08132871416556703,0.07930248656092015,0.08328773922481489,0.010183530396903926,0.009572043681896103,0.010834125140786178,0.16347160859339332,0.15856933830983078,0.16869966556792862,0.012837520046097572,0.012237944089942781,0.013463195570027122,0.14555883225423505,0.14149156778347036,0.14940520956102105,-0.006466791923327282,-0.00832107897160371,-0.004668568006097356
2,13.210526315789474,0.002564621382194629,0.0020400344035662256,0.0030861312408793098,0.09931931879575992,0.09649739026515318,0.10216592060019507,0.05346103066556627,0.052108568178458485,0.054872058856478674,0.05056256880388671,0.049230663984025334,0.05191542736364112,-0.00030103956238099205,-0.0006957832205665152,7.173134104497009e-05,0.10782281069740604,0.10488619916924058,0.11105271867834636,0.003831618615072854,0.0018252731698645927,0.005751939446038612,0.021354798591566408,0.02051570404057546,0.022234556776712305,0.012521539010266983,0.011831101186550683,0.013183875868588227,0.009947762963877536,0.00958036678283681,0.010282754799964836,0.004151632006423631,0.0020433451440249805,0.006036970838211431,0.10316162558753317,0.09931271977568558,0.10668976297347253,0.09495427575468883,0.09187094093895992,0.09789838719835176,-0.004278135216278803,-0.0057009010057985626,-0.002984741178642593,0.46657366391607147,0.44603396745730833,0.4883028009120783,0.06300954860119393,0.06142246307262299,0.06476646140972875,0.009626111090657129,0.00908140973316283,0.010180863612399397,0.11204038579591702,0.10822814202795716,0.11596543496104228,0.010491423292914089,0.010006891440632487,0.010969052112050617,0.10458333899868345,0.10123358176119114,0.10755480112743514,-0.0036491417837761254,-0.005141853065481796,-0.0021934013107669636
3,13.31578947368421,0.002806864233883795,0.002325741032108539,0.0033176714745938836,0.06992798277851237,0.06769238031313812,0.07229756034938825,0.04034019269446833,0.03922801055856693,0.04164955452903689,0.0378264871142779,0.03678598959195678,0.039000545388390644,0.00035067402990458904,2.3676786019725746e-05,0.0006540216220793202,0.07543524999942991,0.07315840020783003,0.07784596626596806,0.0007453062696718462,-0.0009648912014293233,0.0024040986972301333,0.020126968979083656,0.019179133037203838,0.021060367515159415,0.011321727170891928,0.010721689822187462,0.011982478360581332,0.008422149298767369,0.008109874991408207,0.008751454953821127,0.0008166357102649774,-0.0009043793518271188,0.002439009601908016,0.07056098550576508,0.06748355918286238,0.07367939827814851,0.0678489602091395,0.06550140357145591,0.07055594469590785,-0.0020491326658930165,-0.0030792587709577253,-0.0009037220188041132,0.3180548010489921,0.30211096610917587,0.3364508047328024,0.0492232563991394,0.047873500121543726,0.050777270654750545,0.008813572873967442,0.008319159536554242,0.009310506206604363,0.0763459365558433,0.0732367734216655,0.07924650865776105,0.008467087966997335,0.0080349592362123,0.008872556211732434,0.07403094613798528,0.07134544259285854,0.07663974334737512,-0.0014145408126917387,-0.0024040007567163488,-0.0004097882744650299
4,13.421052631578947,0.0032374536076126316,0.002787260674056438,0.0037072960105427977,0.049725106460964764,0.047933657526531,0.05172161949564232,0.031231765405644683,0.030114715868009286,0.03232705885115745,0.028606948635067964,0.027646445327158115,0.029536824267600643,0.0006128086314043037,0.00036171801549043773,0.0008764884479824146,0.053125803245440056,0.051290775650802464,0.05495395493782087,0.0006613501215997306,-0.0007252872904015872,0.00201846149630473,0.018470980426804062,0.01765613864047287,0.019402264100283693,0.010206630841109862,0.009573702717098691,0.010835518530713531,0.006967064272161018,0.006665116507131507,0.007253258182970834,0.0005615831464549409,-0.0007311927649842246,0.0018424452960091688,0.05059226547539382,0.048127391366554806,0.05308038331882213,0.04940037050777926,0.04745107410709564,0.051590204046638354,-0.0005137799316438879,-0.0011970519524632064,0.0002344832727957794,0.21222898101840318,0.19918300442146722,0.22676687600665915,0.038667430685087684,0.03750678106785959,0.03996945287729423,0.0075803011200776815,0.007136576715249658,0.00802713499274124,0.05371886237913184,0.05136440622806535,0.05633869288239824,0.006776608467379347,0.006417790681574133,0.007143118866819003,0.053232942693742735,0.051064577076690106,0.055126425048619934,-2.4041545663574772e-05,-0.0007458365490395899,0.000777043126727291
5,13.526315789473685,0.0035017124886516024,0.0031397450016405312,0.003894721777885325,0.03729815445883407,0.035865709473948876,0.03878606759503575,0.02506246716303943,0.024133149139365512,0.025985865938566687,0.022035797054708352,0.021327870400946854,0.022830534916881782,0.0005371627843386857,0.0003016132480483367,0.0007863883746300012,0.03940084986230927,0.0379197397143347,0.04093555354145752,0.0020818970179741726,0.0007445238032574984,0.0033512675293530685,0.016529366521639065,0.015627971824283975,0.017400449513053234,0.009058078505443823,0.00855558005230357,0.009652811477769729,0.005567631670882494,0.0052963456165444345,0.005850389872675138,0.0018455686532520294,0.00047401205063833077,0.0031052662131399295,0.039550064847861936,0.037418696070640224,0.0417174189816924,0.037437266976878575,0.03596036857700664,0.03913064794701585,7.494652310921988e-05,-0.0005267537472450493,0.0006919995289690728,0.14561609046944018,0.13288037430663274,0.16043514200911838,0.031098321426372835,0.030051686844371036,0.0323258628039395,0.006104753167030677,0.0056822944730053945,0.0065667503412464865,0.04133219260223109,0.03900601611592269,0.04348838190828404,0.005321099693809865,0.005007462070571978,0.00570017975278625,0.03984093123457426,0.03815899584810378,0.04160141002063808,0.0004950685386922264,-8.878694065799559e-05,0.0011154044118500959
6,13.631578947368421,0.003449044283394432,0.003094466755133854,0.0038216629096731887,0.030327984383200925,0.02913725174408538,0.03158672155554838,0.020895535157979032,0.020148379872863536,0.02172984633208373,0.01762111466618611,0.01697249881516901,0.018323779136501482,0.00022323601421641147,-3.5331645696396975e-06,0.00046025437797642956,0.031587247074036734,0.030413853503071603,0.0328873596001017,0.003450882846533476,0.001989794171916663,0.004803157369921221,0.014247998478127615,0.01343545710486512,0.015156489771349868,0.007813520109501045,0.007295981981721318,0.008365286145450339,0.004375185923963893,0.004104982319968486,0.0046787186797114825,0.00313954059913756,0.0017005489637477067,0.004716647729020777,0.03381979553847216,0.03170263882722069,0.03607653730403089,0.030553653654370627,0.029227432622082907,0.03193742510353318,9.593051090760131e-05,-0.0004577612530718804,0.0007321611554445115,0.10794905769287352,0.09484723402454737,0.12425441923813181,0.02546448438619102,0.02441838103894996,0.026457930596045023,0.004578823143786365,0.004190827558502633,0.0049900011224361515,0.03482635816510311,0.03256092129473022,0.0369157577040397,0.004220358460256108,0.003897505017513676,0.004540795382553789,0.03211755096454684,0.03077394522410712,0.03357263504027244,0.00047148582018007913,-7.847371058361107e-05,0.0010916535842131786
7,13.736842105263158,0.0031782363269636195,0.002848141695643746,0.0034898078692308944,0.02639478990108146,0.025170018012241287,0.027772857700296152,0.01782904957817453,0.017021044651907794,0.018526546748996287,0.01450890111170362,0.013947771156685483,0.01512788823216836,-0.00010889436950750606,-0.0003612130776136319,0.0001224364668002418,0.02702090206049116,0.025862686377062682,0.028243844300654464,0.00445899200715376,0.0027831700992360297,0.006092146335816945,0.012059322122869101,0.011207350797932402,0.012975131059117153,0.006584424281645656,0.006100433230698272,0.007106110846336166,0.003435881634902796,0.0031968117889507783,0.0036967442780242894,0.00404084045271242,0.002102646686107728,0.005751557480598201,0.030847693079780095,0.028462460419967996,0.03309094738934157,0.02655810781644065,0.02524954530665147,0.027775836906475667,6.904442678946282e-06,-0.0005188048203954689,0.0005942114393529856,0.08933470457089542,0.07719851658614285,0.10630298980785445,0.021125848387612646,0.020174885636126665,0.022104538442457546,0.003342941746594979,0.0029453101935405196,0.003696696726661978,0.031061244652333453,0.02856217192935699,0.03335373142800286,0.003350289801666389,0.003060727691997742,0.0036623700948273537,0.027399341898792267,0.026169392862637177,0.02866497696515621,0.00044244428093384813,-9.570458882762086e-05,0.0010020285784503784
8,13.842105263157894,0.0028211628201052076,0.0025163461347435393,0.003127948339828929,0.023666699745538804,0.022573239931411852,0.024817660831055466,0.015075805035690094,0.014424691938886198,0.015830699371244518,0.011943573403584432,0.011397990888547002,0.012552026746558524,-0.0003165647376342373,-0.0005442330233375763,-7.878158786538384e-05,0.02369104762460482,0.022553680025672217,0.024861990747138865,0.005137374913755623,0.0029733010077416786,0.006940454206845919,0.010209117241705794,0.00945651095577302,0.011039389546683681,0.0056164521903470455,0.005215816836784537,0.00605357506316242,0.0028054568534356143,0.0025836265208993956,0.0030599660933055407,0.004700972758654627,0.0024869150537626186,0.006467203417243233,0.02896051006538799,0.026597646980576563,0.03125950503386709,0.02386615993356089,0.022544113354378753,0.025115326660819982,3.291108746462182e-05,-0.0005570221472431473,0.0006445292123214495,0.0801114509794462,0.06899689810688646,0.09368055781767114,0.01759092117512498,0.016727864635312676,0.01849964219738796,0.002469116903776428,0.002109823121628268,0.002847388739851222,0.028391983710261658,0.025933982547410524,0.030630109686629842,0.0027500881130029103,0.0024794032719643116,0.0030683509665112587,0.024147880963961532,0.022892450096745762,0.025203172538977678,0.00042611260063816906,-0.00011737927459227133,0.0010185186795852977
9,13.947368421052632,0.002498588353824515,0.0022251339499468905,0.0027958266283097982,0.021644034698676193,0.020429381780952327,0.022846516090450113,0.012720061635799456,0.012040666987092101,0.013360600683351603,0.009829548851831972,0.00932143563638274,0.010385604439831914,-0.00034948880482683366,-0.000566329305319614,-0.0001439832791402669,0.020882737001915414,0.019871595165365304,0.022040324187686738,0.006263088434346281,0.004294454080823357,0.007827910976158479,0.00882446057320907,0.00813578385369954,0.009651623985398814,0.004884959392871576,0.0044983124651983165,0.005305963901795793,0.0024059958332405427,0.0021978179389045517,0.0026323670658568456,0.005613325313769145,0.0034010093264713066,0.007179007791463289,0.027803046514018676,0.025224270213004454,0.030125909603993636,0.021824990957735022,0.02056673344796431,0.023205795522672795,0.00038403216596101557,-0.00025423050173091255,0.0009793968995606796,0.07445052674234945,0.06690512414450121,0.08375396823909081,0.01480044511105203,0.013979806010164972,0.01571179826450524,0.0020771999468041807,0.001731205056165108,0.002410429513446057,0.026589887948559727,0.02427467599177685,0.028718246828351772,0.0024100271307261048,0.0021312809013370754,0.002682933837144345,0.021623626329635916,0.02046818228655213,0.022816044941862724,0.0006637699757771243,0.00013169001496620894,0.0012316432877257188
