bin,M_500c,M_hot_gas_500c_norm,M_hot_gas_500c_norm-,M_hot_gas_500c_norm+,M_hot_gas_500c_slope,M_hot_gas_500c_slope-,M_hot_gas_500c_slope+,M_hot_gas_500c_scatter,M_hot_gas_500c_scatter-,M_hot_gas_500c_scatter+,T_sl_wo_recent_AGN_500c_norm,T_sl_wo_recent_AGN_500c_norm-,T_sl_wo_recent_AGN_500c_norm+,T_sl_wo_recent_AGN_500c_slope,T_sl_wo_recent_AGN_500c_slope-,T_sl_wo_recent_AGN_500c_slope+,T_sl_wo_recent_AGN_500c_scatter,T_sl_wo_recent_AGN_500c_scatter-,T_sl_wo_recent_AGN_500c_scatter+,L_X_ROSAT_obs_wo_recent_AGN_500c_norm,L_X_ROSAT_obs_wo_recent_AGN_500c_norm-,L_X_ROSAT_obs_wo_recent_AGN_500c_norm+,L_X_ROSAT_obs_wo_recent_AGN_500c_slope,L_X_ROSAT_obs_wo_recent_AGN_500c_slope-,L_X_ROSAT_obs_wo_recent_AGN_500c_slope+,L_X_ROSAT_obs_wo_recent_AGN_500c_scatter,L_X_ROSAT_obs_wo_recent_AGN_500c_scatter-,L_X_ROSAT_obs_wo_recent_AGN_500c_scatter+,Y_X_500c_norm,Y_X_500c_norm-,Y_X_500c_norm+,Y_X_500c_slope,Y_X_500c_slope-,Y_X_500c_slope+,Y_X_500c_scatter,Y_X_500c_scatter-,Y_X_500c_scatter+,Y_SZ_500c_norm,Y_SZ_500c_norm-,Y_SZ_500c_norm+,Y_SZ_500c_slope,Y_SZ_500c_slope-,Y_SZ_500c_slope+,Y_SZ_500c_scatter,Y_SZ_500c_scatter-,Y_SZ_500c_scatter+,T_mw_hot_gas_wo_recent_AGN_500c_norm,T_mw_hot_gas_wo_recent_AGN_500c_norm-,T_mw_hot_gas_wo_recent_AGN_500c_norm+,T_mw_hot_gas_wo_recent_AGN_500c_slope,T_mw_hot_gas_wo_recent_AGN_500c_slope-,T_mw_hot_gas_wo_recent_AGN_500c_slope+,T_mw_hot_gas_wo_recent_AGN_500c_scatter,T_mw_hot_gas_wo_recent_AGN_500c_scatter-,T_mw_hot_gas_wo_recent_AGN_500c_scatter+,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_norm,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_norm-,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_norm+,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_slope,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_slope-,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_slope+,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_scatter,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_scatter-,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_scatter+
0,13.0,11.654563878105286,11.654261468272148,11.654860230058217,1.4272097725092592,1.4260900752143006,1.4283870565483026,0.15657277243509976,0.15612259285156016,0.15702009466182507,6.8723692380716574,6.87196987474706,6.872720696249188,0.5741386817179657,0.572741058337809,0.5754578821789303,0.1338130435218264,0.13235106559362295,0.1352381663810266,42.226653523801644,42.22527074198922,42.228016842864285,2.2907867382451372,2.286209166843398,2.2956577467224686,0.6669349938946891,0.6636597072333441,0.6702442407639295,18.52687758654924,18.526317929558026,18.52747380398022,2.0012696633297162,1.9992510712864804,2.003344906591064,0.2324766435497158,0.2314867302663485,0.2334978215485672,18.66171758595706,18.661308831399662,18.662115787164208,2.0692115205281647,2.0676819039169345,2.070697306912158,0.19321802614676448,0.1926262466711913,0.19381360608900533,7.007140058430284,7.00692223541117,7.007353739933597,0.641922437652768,0.6412096103137519,0.642706367543052,0.09730731788749719,0.09692585475177797,0.09770285861985918,42.07703795312069,42.0760972134124,42.07802961598577,2.473349939424946,2.4698389680082498,2.4769021043291666,0.46672902225091184,0.46398906696973685,0.4696299663478409
1,13.051158842105263,11.727411009365623,11.727077281751843,11.727742994125437,1.4261456948607636,1.4250498196434715,1.4272535882569595,0.14742353088644422,0.1469905984254623,0.14788259823600675,6.903305072429898,6.902894813861086,6.9037360809156105,0.5834642315459375,0.5820530485171099,0.584851597237821,0.1355536624773153,0.13395790049586712,0.13718557850068794,42.343629932432094,42.34212277390645,42.345067863673954,2.28972630084501,2.2852330238437557,2.2946805310713296,0.6312415211628839,0.6277324123466902,0.6349184417868347,18.630687611433483,18.630065753540126,18.631253824800304,2.0095108261710237,2.00746322793425,2.0114636569932194,0.22627490051616125,0.22510071362871273,0.22744443267558268,18.766935245828094,18.766483797922337,18.767327198188447,2.065547674144854,2.0641412614194046,2.066946153758606,0.1837544855177271,0.18317134158224024,0.18434350618749662,7.039523326794013,7.039295427850746,7.039770283235761,0.6393903010202744,0.6386054985872892,0.6401233668089943,0.09379263066231497,0.0934103481233783,0.09422048960516194,42.20189319329536,42.20084139049567,42.20302456526858,2.463708578199233,2.4599532579164296,2.4671195377809436,0.44352092850581337,0.4406763137367064,0.4464730674978831
2,13.102317684210526,11.799959716328425,11.79960314077832,11.800292126000537,1.4238957355769777,1.4227095069922353,1.4250481719036632,0.13863978521595818,0.13817831991810925,0.13910045726735237,6.934755622211625,6.9342744117329245,6.935245791798922,0.5924542786785907,0.5908817865511938,0.5939403768435814,0.13784395722824355,0.13603579910530525,0.13986968077167466,42.460332703832485,42.458875912601165,42.46183666026295,2.2870502226025624,2.2822530961182514,2.2919962620069163,0.5952455688118169,0.5913756643632845,0.599054923090805,18.73467570905044,18.733968186945802,18.73533160077547,2.016171257785982,2.0139475493142234,2.018202170197366,0.22087134146503978,0.2195522496141384,0.2222187101985799,18.87165122922952,18.87118331341071,18.872160613823983,2.06012573042517,2.0587089223299113,2.0615967753110374,0.17450424115124824,0.17391559770770282,0.17512070507030858,7.071694483129267,7.071446524303284,7.071933804689078,0.6362468769220019,0.63555182893526,0.6370473626668236,0.09037541445919414,0.08999057200688991,0.09078314339157854,42.325601418026395,42.32461115338615,42.32668894947534,2.4506364014004127,2.4473152053130214,2.453934614500401,0.41974934660136354,0.41672582923380674,0.42271717909198886
3,13.153476526315789,11.872092403785643,11.87175507354888,11.872442831093553,1.419986699381484,1.4187720333570184,1.4212213633671773,0.1303733474664187,0.12990699523226862,0.13085653505231132,6.9665926551486175,6.965985273986101,6.967130146035228,0.6006059240698466,0.598833188621348,0.6023137826502276,0.14071317104068465,0.13831763499546249,0.14319596854364613,42.576261886223534,42.57468578874538,42.577886567538016,2.2815889915421774,2.276634470373849,2.2863226578930402,0.5597931709132717,0.555705398513543,0.5633745106055502,18.83865882939807,18.837922273999546,18.83944556687858,2.020576388736789,2.0181389141983197,2.0227956224524597,0.21641954522465873,0.21501401107497217,0.2181842118064991,18.975656761653262,18.97513783485932,18.976157226568056,2.0526414934685118,2.0511484639599806,2.0540922111583106,0.1657805632370209,0.16507268913199263,0.1664496732805547,7.103599739577822,7.103334411104618,7.103879219866656,0.6327360669793215,0.631967182341022,0.633593995409057,0.08700195955704576,0.08656751456971608,0.08745532015353011,42.447926797869854,42.446933559812024,42.44910363382526,2.4340264826749243,2.430458091790504,2.4375166444109206,0.3963404072017971,0.39317163543622446,0.39962998069689415
4,13.204635368421053,11.943657572281088,11.943279270500904,11.944049868133586,1.4141919279289354,1.4130805540131008,1.4155117969181077,0.12296610257305088,0.12247194686503986,0.12341140157773206,6.9986908868859725,6.998032199616213,6.999342866194619,0.6077255282918623,0.6058785950646456,0.6098450425342591,0.1439571019865214,0.14109450414255068,0.14674773442797215,42.69141002359791,42.68981114325635,42.69295898980799,2.2725940839467,2.2679115559929106,2.2773806012996776,0.5252330393904585,0.5210205144074856,0.5291793609238222,18.942406505828757,18.941474373543006,18.943247377469476,2.0221535333173217,2.0197934600773197,2.024890282536686,0.2133326333671669,0.2113167319339046,0.21534239028170646,19.07886684299514,19.078310568234773,19.07939608418186,2.0429090231648224,2.041309770101337,2.044596345742554,0.15766130052546962,0.1569676387679143,0.15840696823478884,7.135211593079317,7.134891784937919,7.1354910519020684,0.6287552838426494,0.6278196527832731,0.6296071801459683,0.08376352982068491,0.08332781869128265,0.08419719101814646,42.56851837500197,42.56744448029612,42.569579507364026,2.4132492093064464,2.409944805005305,2.416549105843542,0.3732484591038874,0.369991332850519,0.3765892591877169
5,13.255794210526316,12.014505686969665,12.014069923209844,12.014944897146451,1.406533297193453,1.4052778944270745,1.4078805191295796,0.11645968587859082,0.11595718311025652,0.1169887171151335,7.030954983559993,7.030198225806276,7.031701970341209,0.6137872009669488,0.61168792376174,0.6160399539034189,0.14762835530142804,0.14436299619214973,0.15111606347056514,42.80528996691541,42.803777396808286,42.80696183630683,2.261047891778855,2.2559453676929944,2.265919551114363,0.4925700646758463,0.4882458906764813,0.4968578431417267,19.045578860956372,19.04457238659303,19.04658464760045,2.020611426647724,2.017728327968589,2.0234388540658284,0.2112498174932308,0.20890980542559873,0.21355678894570848,19.181021550886946,19.180419103352524,19.18160468573924,2.030949376225809,2.029331382023413,2.0325344907859746,0.15029326688184058,0.14961335765390055,0.15105618908761287,7.166503443668281,7.166202982647846,7.166864630997592,0.6244212339493078,0.6234761908412471,0.6253035014078182,0.08070042973327485,0.08023348851570855,0.08116409159962977,42.687093268605175,42.68583493951268,42.688423853213344,2.388049006385122,2.3844166356278644,2.392066178258926,0.3514658007430663,0.348018284213511,0.3549878661509552
6,13.30695305263158,12.084534620409578,12.084038874071956,12.084980228053269,1.396691853821932,1.395270592498368,1.398165696396664,0.11100166972878533,0.11045406581350575,0.11157760532211307,7.063293947530771,7.062420048668669,7.064194331235234,0.6185181742847284,0.6161171722205041,0.6211014427868954,0.15167462417306588,0.1475701356589511,0.15517934021764254,42.917924465506744,42.916054233519965,42.919840532586356,2.244807325271159,2.2397356817791443,2.250223515744671,0.46286686357026274,0.45806810628951716,0.4671813425256065,19.147871847546824,19.146820091527417,19.148894238005585,2.0155479590274457,2.0124875931049306,2.018530165663643,0.21073855668003993,0.20795368082046153,0.21325510188654523,19.282084124510536,19.281480723476097,19.282735871849574,2.0166030640692307,2.014679585296801,2.0184731949334216,0.14359667999266124,0.14280191470628836,0.14436026270751856,7.197550443100072,7.197205974394283,7.197921340604679,0.6199195008206755,0.6188327368843867,0.6210335664493736,0.07789494192037619,0.07737366594880707,0.07837899392673284,42.803366351618024,42.80207661772374,42.80475468145864,2.358380899841594,2.354464267854257,2.3622624643079324,0.3314607171413997,0.3278696442822632,0.33469159582932007
7,13.358111894736842,12.153570553382986,12.152956931039036,12.154145961548876,1.3849217801103695,1.3832124741979224,1.3867632979331628,0.10651249806140092,0.10590903170097463,0.10716812901090567,7.095780779736309,7.09465292318562,7.096871009498403,0.6225487257382945,0.6195865398651366,0.6256701741138996,0.1552714307021087,0.1509898126381034,0.16012611433676258,43.028797345750945,43.02669544456466,43.030893172172085,2.226118790852845,2.2199098543275557,2.2322767539440784,0.4355403512220898,0.43066892231023457,0.4401010843934938,19.249410775981822,19.24806174573475,19.25072437338751,2.0075941496233067,2.0038689477481126,2.011593712957734,0.21072400548354953,0.207593853759875,0.2139498930997939,19.382036248423635,19.381276156599196,19.382674499673122,2.000627600538441,1.9987463361230056,2.0025805670470267,0.13757937816396643,0.13668928762457977,0.138381563516673,7.228390045602749,7.227991758171623,7.228776986865469,0.6154991328692008,0.6143894959988032,0.6166470738993257,0.07540109341881354,0.07489125314290893,0.07589625339689166,42.91722264598398,42.915715449873396,42.91876282280947,2.3251571192377893,2.3206180661506868,2.3296153398387767,0.31315284708133984,0.3097417673569541,0.31675812865361486
8,13.409270736842105,12.221567339733983,12.220910638275978,12.222271348298724,1.371335342893878,1.369449378619771,1.3734004384561507,0.10295646980993764,0.10221052345193624,0.10364761040724284,7.128198754093496,7.126985347206165,7.129387614634683,0.6253767052500885,0.6220478614103324,0.6287814288859769,0.15948959977588445,0.15453087592428938,0.16445078108468847,43.13794188645723,43.13559146345285,43.14020563040685,2.2026120420930324,2.1965226729171863,2.2095041875074597,0.4112505876037553,0.40561902962806495,0.41682524134418475,19.34978647801242,19.348237742006482,19.35121426638144,1.996790125425083,1.992604003711406,2.000729860502025,0.21125627418130521,0.2075019516923991,0.21534543310834023,19.48060014377281,19.479807625977468,19.48133825501593,1.9827658456680073,1.9804404119427061,1.9849885330403443,0.13205937858488093,0.13119953264258186,0.13297694485828096,7.259004956993984,7.258541743598907,7.259467950490978,0.6114037702091453,0.6100761263121819,0.6127328757872335,0.07311171429299185,0.07257924212506722,0.07369480345351094,43.02841568012276,43.02663035764925,43.03005372512686,2.2881427748591703,2.2829883054310267,2.2929059006228587,0.2965799394860934,0.29321619908525226,0.30031543696886936
9,13.460429578947368,12.288481680878338,12.287748189154469,12.28921772861813,1.3563293267240106,1.3542107646128823,1.358449096329495,0.10016143590005765,0.0993181285994495,0.10093029483246287,7.160680272172519,7.159231695003434,7.162118489299387,0.6275110329545039,0.6237548622747476,0.6315378897746227,0.1635734779456851,0.1581616992233282,0.16955097557407423,43.244824393772255,43.24240029746544,43.24725176274316,2.1760008278480703,2.169160603458488,2.1834353213295836,0.39029166538591503,0.38493280236693544,0.3961766970487198,19.449146913630837,19.447559297119746,19.45072531712572,1.9838112723796177,1.9789651470017746,1.9885998610227296,0.21241295120979592,0.20842261810342244,0.2170246767269582,19.578019678920164,19.577195787829474,19.57890423743174,1.9641664854976821,1.9616884295863881,1.9666278215089856,0.12715122825338776,0.12620020660639372,0.1280583749678516,7.289478483384367,7.288928827169834,7.290035080315344,0.6075797134474499,0.6061104599852969,0.6090330547997266,0.07127952602036514,0.07074371003558974,0.07189824558728346,43.136896465057774,43.13478639186287,43.13883508383868,2.2483149405072513,2.2421933868053237,2.254134799729716,0.2831305670090942,0.27989080721460485,0.2863743477422576
