bin,M_500c,M_hot_gas_500c_norm,M_hot_gas_500c_norm-,M_hot_gas_500c_norm+,M_hot_gas_500c_slope,M_hot_gas_500c_slope-,M_hot_gas_500c_slope+,M_hot_gas_500c_scatter,M_hot_gas_500c_scatter-,M_hot_gas_500c_scatter+,T_sl_500c_norm,T_sl_500c_norm-,T_sl_500c_norm+,T_sl_500c_slope,T_sl_500c_slope-,T_sl_500c_slope+,T_sl_500c_scatter,T_sl_500c_scatter-,T_sl_500c_scatter+,L_X_ROSAT_obs_500c_norm,L_X_ROSAT_obs_500c_norm-,L_X_ROSAT_obs_500c_norm+,L_X_ROSAT_obs_500c_slope,L_X_ROSAT_obs_500c_slope-,L_X_ROSAT_obs_500c_slope+,L_X_ROSAT_obs_500c_scatter,L_X_ROSAT_obs_500c_scatter-,L_X_ROSAT_obs_500c_scatter+,Y_X_500c_norm,Y_X_500c_norm-,Y_X_500c_norm+,Y_X_500c_slope,Y_X_500c_slope-,Y_X_500c_slope+,Y_X_500c_scatter,Y_X_500c_scatter-,Y_X_500c_scatter+,Y_SZ_500c_norm,Y_SZ_500c_norm-,Y_SZ_500c_norm+,Y_SZ_500c_slope,Y_SZ_500c_slope-,Y_SZ_500c_slope+,Y_SZ_500c_scatter,Y_SZ_500c_scatter-,Y_SZ_500c_scatter+,T_mw_hot_gas_500c_norm,T_mw_hot_gas_500c_norm-,T_mw_hot_gas_500c_norm+,T_mw_hot_gas_500c_slope,T_mw_hot_gas_500c_slope-,T_mw_hot_gas_500c_slope+,T_mw_hot_gas_500c_scatter,T_mw_hot_gas_500c_scatter-,T_mw_hot_gas_500c_scatter+,L_X_ROSAT_obs_ce_500c_norm,L_X_ROSAT_obs_ce_500c_norm-,L_X_ROSAT_obs_ce_500c_norm+,L_X_ROSAT_obs_ce_500c_slope,L_X_ROSAT_obs_ce_500c_slope-,L_X_ROSAT_obs_ce_500c_slope+,L_X_ROSAT_obs_ce_500c_scatter,L_X_ROSAT_obs_ce_500c_scatter-,L_X_ROSAT_obs_ce_500c_scatter+
0,13.0,11.76455707625856,11.762449969506513,11.76656014955334,1.3368133580236647,1.3284192844417015,1.3443875533059821,0.30901006601969283,0.3057121611255187,0.3124542123663877,6.705823385192136,6.704531378311313,6.707079299510125,0.5363641825606166,0.5320112867388479,0.5407384196388048,0.14816578554705656,0.14508714343218157,0.15127732372150982,41.75559865647456,41.74774601470426,41.76352628224792,2.2218491116219825,2.1937657862297733,2.2525066911443536,1.1934697276549133,1.1771499234549376,1.2082330756593302,18.470228905424385,18.46777505178845,18.47257395135657,1.8734964233260625,1.8640133734171742,1.881827417184954,0.3435951747899036,0.3397805707692527,0.3475296205304177,18.585016744483767,18.583083186253315,18.586959526994896,1.9509936976391429,1.943251684403697,1.9582481936531282,0.2899901336036721,0.28671405566495206,0.29324384957137606,6.820534270579117,6.819356523461301,6.821668483672955,0.6133567649696712,0.6092706316496663,0.6173664699130609,0.15301856947148484,0.1514122529303858,0.1548296111668357,41.637655228356124,41.63071243880682,41.64489609247041,2.4723734603273817,2.4457038305982395,2.4996721879934984,1.0841022697049854,1.0678071298148704,1.0991941034563095
1,13.076400526315789,11.869542150446573,11.867687640292834,11.871541929227394,1.3568608064191081,1.3495615902445324,1.3642474699466285,0.2767525451172612,0.2736584314712415,0.27974886205630944,6.749049905770295,6.7476152174940065,6.750440435325039,0.5513717732567645,0.5471107582044433,0.5561312058603206,0.14852875164894955,0.1455707020075886,0.1516265217846626,41.93048328793545,41.92306594073915,41.937810681636236,2.257148784028022,2.230195978096696,2.283101964964262,1.0709335059217664,1.0555137337889517,1.0864270390331083,18.618550509692362,18.616262446515158,18.62102751059026,1.9090167015946098,1.9001460551798703,1.9172558664304824,0.3138442697421975,0.3097667000341468,0.31823843644451694,18.736236085443828,18.734324598860795,18.73804633521546,1.9650536807288,1.9581933704627128,1.9722805413640379,0.26308569257194314,0.26013743183981786,0.26600241989748036,6.866488949303167,6.8653498523576015,6.867713175621397,0.6075501558831268,0.6037488542726865,0.6118758455033233,0.14355616569820795,0.14185783482567696,0.1453682848294607,41.82594233211245,41.819440796345766,41.83358985538891,2.471927824328432,2.4494400960598988,2.495913468242815,0.9825092550374288,0.9657108213442395,0.9995558000861747
2,13.15280105263158,11.975857980034085,11.973949838825245,11.977789495106709,1.3739467033063546,1.3678755930546396,1.380721262049554,0.2446637861627719,0.24150951289354525,0.24769969913232068,6.793899145900819,6.792275094254416,6.795577479587225,0.5689986754460209,0.5639225392770171,0.574050369695087,0.1492067367269395,0.1462966313480687,0.15268242773083565,42.108266673650135,42.10101060355027,42.11500983499663,2.290270839026041,2.2645078186690277,2.3149266715323153,0.9484530326178591,0.9323369644889625,0.9648910991835611,18.7697747331893,18.767183933831056,18.772049446548458,1.9427275318232873,1.9344888159265312,1.9510839210770559,0.28586944083340904,0.28166533351250944,0.2896570113380732,18.88830405284353,18.886280538245305,18.890172416554385,1.9771659590544197,1.9701247267092132,1.9837646949173986,0.23669471544678178,0.2337565415175242,0.2394908617937693,6.9122498391878615,6.911018821367774,6.913431601336985,0.6029978409836187,0.5991915439920426,0.6065170648873656,0.13348585382859368,0.13157799914612964,0.1352983675251668,42.014286495344905,42.007925038455056,42.02098292305617,2.4696388519269354,2.4464932048643786,2.492305929358763,0.8763706459697223,0.8610631179357103,0.8930193216538913
3,13.229201578947368,12.082741317679835,12.080903601059077,12.084560155330918,1.3868873360447784,1.3805306633075536,1.3927649630310974,0.21478036390659444,0.21188591711880086,0.21773234439709085,6.839909339655951,6.838210105841914,6.841488684854109,0.5863498600591792,0.5808421802218465,0.5917703933798417,0.15006676511840433,0.14755587490229813,0.1532777637432218,42.287093981500874,42.280169511718434,42.294302692706054,2.3138357631314905,2.2901061878632154,2.33878100261875,0.8301207901293397,0.8152034393359892,0.8458070187183548,18.92269154803082,18.92020254958583,18.92541606284083,1.973472944065569,1.9646750515931215,1.981907791225761,0.2608990816378838,0.25698638268256907,0.2649576287252992,19.04049294260082,19.038435757713366,19.042488334700998,1.9850056576481196,1.9782072707879423,1.9921073492376784,0.2127568365460035,0.20958336841834385,0.21575443355433935,6.9575329200576554,6.956346547133665,6.958816106249239,0.5980442708209079,0.5941697475362604,0.6017053671396729,0.12359185655701327,0.12176172329554512,0.12536712970043407,42.20243023348579,42.195515610014596,42.209207792471425,2.4641245106039067,2.4412082114817664,2.4854563144583266,0.7724257506130234,0.7557270572664045,0.7899827447166573
4,13.305602105263159,12.189897212199252,12.187973557423772,12.191734901389923,1.39285654594097,1.386782207281132,1.3991059383253055,0.18797283488601046,0.18486486741623634,0.19113091096442691,6.8872481416381515,6.885262160032752,6.889192443373954,0.6033712078743898,0.5975325079063812,0.609592975567782,0.1507534504596913,0.1480059919622796,0.1539041107031179,42.46612493597677,42.45981488389183,42.473350841313845,2.3326617228727446,2.3117299629282795,2.3547961490115257,0.7217224754138332,0.70559680661653,0.7377315344842101,19.077078017333392,19.074371216012278,19.079804529019952,1.9966866414806796,1.9879377620356817,2.005935615905615,0.24141536202917302,0.23713157219234363,0.24533349841711433,19.192202535053084,19.190204155128992,19.194428738107415,1.9854225835144024,1.9782921476551691,1.9918921483600371,0.19227804154399797,0.18888992291684953,0.19584320505704472,7.002422154884823,7.001062148658811,7.0035981047765965,0.5923915025112116,0.5883315395421286,0.5964209028617647,0.11399655689290726,0.11205830499010953,0.11599115375909916,42.38969516714354,42.38348012536133,42.39580965796244,2.455056619266997,2.4340453420345156,2.476247519672314,0.6759281394499983,0.6589757865919676,0.6930915676295578
5,13.382002631578947,12.295888170418227,12.2941240941913,12.297798038451365,1.3906145403324266,1.3852960821420006,1.3969633621216275,0.1655058253859632,0.16268193079488316,0.16870858896613578,6.935509918198974,6.933359442650669,6.937682499642275,0.6180327336077422,0.6116628459419086,0.624340422334771,0.15090232232700068,0.14817930577795857,0.15392166885901104,42.64592219253167,42.63980620365316,42.6525317744449,2.344637075685501,2.3220444387097436,2.364866187648867,0.6258200975914259,0.6093168382982901,0.6415136639037758,19.23167039723927,19.228590676043762,19.234545930432635,2.0087698321017715,1.9995483165268024,2.018114279993913,0.22663439067222174,0.22259405585894046,0.23068535269920157,19.342486794431117,19.340483468708367,19.34472050754403,1.976315562095909,1.9697623224009166,1.9828836089925055,0.17628411460710466,0.17258860722322836,0.1798701743451135,7.046596593099551,7.045493931692525,7.047823509469218,0.5851378127873388,0.5813467631110584,0.5891759578281252,0.10525100040141504,0.10335827972764268,0.10725275200931404,42.57520183671964,42.5690570523354,42.581357895904695,2.4406153584452195,2.4191531821744543,2.4616849128189813,0.5865922246234752,0.5703106955751055,0.6032510174572945
6,13.458403157894738,12.400873960905002,12.399054559474202,12.402518657168347,1.380408942612149,1.3744870930238289,1.3862186030847796,0.1471778876719921,0.14402428036778753,0.15048872228957913,6.984246405777946,6.981930414909869,6.9866024496618175,0.6279562531147764,0.6211802344542278,0.6347244259279127,0.15099743532541487,0.14814832098945516,0.1539746886136061,42.82537468891353,42.81984892247384,42.83215259346688,2.3469335922647816,2.3249376940674966,2.3684582687810924,0.5413929622045519,0.5275132287453927,0.5569876507091018,19.385031316901653,19.381834030999542,19.388099936695163,2.008340543400693,1.9987775952450024,2.017779081529056,0.21572759785111134,0.21178235471847104,0.22029015313346487,19.490982328096592,19.488692331818577,19.493223434828025,1.9571227230709978,1.950256166158136,1.9641528262589703,0.16348362745708475,0.15937323970736259,0.1675921198904348,7.090131331912554,7.088843073911471,7.0913542229584445,0.5766287679657398,0.5728722622051814,0.5805690100945243,0.09720646574428791,0.09527145546607865,0.09917794457290825,42.75846009768625,42.75278235447647,42.76407222428953,2.4153613038175887,2.395090485966619,2.43510093476532,0.5089400346616854,0.4924997428818071,0.5258616765138275
7,13.534803684210527,12.503852210590349,12.502023768754427,12.505604267750636,1.3623107831347192,1.3559812263173552,1.3685391802302889,0.13205817989850327,0.12872588620960895,0.135944224322824,7.032861415543763,7.0305014364283105,7.035213410424519,0.6324676733550727,0.6252510186692936,0.6400621396513786,0.1501107799991583,0.1468902635502379,0.15303190543957865,43.003616905727085,42.99773971239045,43.00948719522691,2.335142083262284,2.315156249253881,2.3544130601046875,0.4707528206009437,0.4550197533683825,0.4864497238831883,19.53674326196161,19.533598626827064,19.53990430301215,1.9951270422474916,1.9855282814619388,2.0043344110942933,0.2081717168018577,0.20356202495824555,0.21289295350734655,19.63677896083548,19.634700419420547,19.638974469186156,1.9299382039932225,1.92328197017565,1.9366325243665479,0.15236231700918748,0.14792440115409294,0.15729677982426615,7.13279790009555,7.131605789256482,7.13425386925627,0.567067453681816,0.562798482586702,0.5712673936503175,0.08967160791256078,0.08785917383476438,0.09169168577449208,42.938141465248876,42.93270959118888,42.94375168001435,2.382975170735878,2.363643082950882,2.40194161097967,0.4417791088339311,0.42509895051330354,0.45773952598699563
8,13.611204210526315,12.604973529863699,12.60310342820365,12.606786994472577,1.339313090079742,1.3336125098782134,1.3446928686454338,0.11979818750748791,0.11569612213841429,0.12446003260162063,7.081523180247422,7.078888893490677,7.084182397216063,0.6346873551834492,0.6261614450419656,0.642998226752415,0.14867434691074222,0.14560240374775407,0.15165803226427843,43.178855320345406,43.17313463911527,43.1847642937819,2.3126856925515202,2.293834561013592,2.3320979336969,0.41061288526759243,0.39594217419269356,0.4270847775946188,19.686103814701784,19.683116154057075,19.689727213977005,1.9740658577156776,1.9629257950853451,1.9851392348084436,0.2024422373516677,0.19797095196627085,0.2068668752718619,19.779903911190814,19.77765740399507,19.782284666469184,1.8978991729353465,1.891387922461347,1.9047729247504368,0.14300688634180442,0.13797584687767164,0.14873521635288206,7.1750499606391696,7.173758233275689,7.176363011941153,0.5587126997523071,0.5546093273118654,0.5628169859118944,0.08288168041228426,0.0810581025994572,0.08488346696230134,43.11437009915655,43.109413912597546,43.119597887405725,2.336634841219722,2.3199193748587383,2.354433428319137,0.3845362296527862,0.3680630587949536,0.4018626850752959
9,13.687604736842106,12.704084440370766,12.702285369605782,12.705831598991306,1.3125683700553967,1.3065729041929988,1.3181333290223205,0.10965721388842353,0.10517209727225443,0.11494585831888562,7.130032727900396,7.127622200167109,7.13272033382301,0.6353513448495445,0.625843639201844,0.6432030769761816,0.14696569155251182,0.1437529857754934,0.1502426294012685,43.35089166604744,43.3458479981676,43.356638747294525,2.2729042658944643,2.2546670000557807,2.2923151131020316,0.36223385550561427,0.3478223192171693,0.37679558124242946,19.834208621868605,19.830538890830773,19.837811710377625,1.9480072253978062,1.9373457914838625,1.9580247422247574,0.19764977745242585,0.19252472940877075,0.20247438674085375,19.921155565957644,19.918941685680306,19.923509672616696,1.8655675790145845,1.8588141187326317,1.8722987270653662,0.133643757093016,0.12822744522680188,0.14030043127772412,7.217090006988679,7.215902478546172,7.218387867811487,0.5538000347713246,0.5496452420600937,0.5581215412991215,0.07658453725438867,0.07455291229519068,0.07864007284931947,43.286417049400114,43.28126728563763,43.29113288926743,2.278384173976467,2.262179795893614,2.2951936148327636,0.33763442490287865,0.32313657180537336,0.35256478059024043
