bin,M_500c,M_hot_gas_500c_mpq,M_hot_gas_500c_mpq-,M_hot_gas_500c_mpq+,T_sl_wo_recent_AGN_500c_mpq,T_sl_wo_recent_AGN_500c_mpq-,T_sl_wo_recent_AGN_500c_mpq+,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq-,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq+,Y_X_500c_mpq,Y_X_500c_mpq-,Y_X_500c_mpq+,Y_SZ_500c_mpq,Y_SZ_500c_mpq-,Y_SZ_500c_mpq+,T_mw_hot_gas_wo_recent_AGN_500c_mpq,T_mw_hot_gas_wo_recent_AGN_500c_mpq-,T_mw_hot_gas_wo_recent_AGN_500c_mpq+,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq-,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq+,T_sl_500c_mpq,T_sl_500c_mpq-,T_sl_500c_mpq+,T_mw_hot_gas_500c_mpq,T_mw_hot_gas_500c_mpq-,T_mw_hot_gas_500c_mpq+,L_X_ROSAT_obs_500c_mpq,L_X_ROSAT_obs_500c_mpq-,L_X_ROSAT_obs_500c_mpq+,L_X_ROSAT_obs_ce_500c_mpq,L_X_ROSAT_obs_ce_500c_mpq-,L_X_ROSAT_obs_ce_500c_mpq+,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq+
0,13.0,0.1097306907231009,0.1094183747754491,0.110060343720546,0.2329502742900398,0.2304130465422084,0.2355826647003412,0.291114788670286,0.2893866866378644,0.2928082983202162,0.1161794362086268,0.1157056509261006,0.1166973451433625,0.0933682605257319,0.0930756939853684,0.0936653409621614,0.1514868784357039,0.1508220026966037,0.1521112525360283,0.1886480049365383,0.1874893124866838,0.1896787157027957,0.6012506347351463,0.5955581466851374,0.6073194033495477,0.1561235391386068,0.1554994247729135,0.1567490521156225,0.8004062012307276,0.795087067190876,0.8060195918469614,0.3938307904952639,0.3912828395717744,0.3965034118904642,0.0920083448091093,0.0913043838818398,0.0924762894000243
1,13.051158842105265,0.1033710105819563,0.1030588878702834,0.1037003327209759,0.2325282761584636,0.229381985270347,0.2354049351291572,0.275609233703795,0.2738625343626987,0.2772520598897732,0.1125762964329411,0.1120093900621854,0.1131738133292391,0.0889713184719349,0.0886740427320095,0.0892871710632074,0.1467205188951482,0.1461536574427267,0.1473024516753686,0.180082410153308,0.1788323287386572,0.1813834458072317,0.5973322791586118,0.5910072249566405,0.6029272129291343,0.1505713844148562,0.1499542254606898,0.1511747422968728,0.7722827099400902,0.7668974734830185,0.7776770057484276,0.3908628582691447,0.3880131731983727,0.3936806225686293,0.0876874254948399,0.0870341772594622,0.0881206379687862
2,13.102317684210526,0.0973722253982137,0.0970057462032871,0.0977101876634742,0.2328743412202583,0.229738740160038,0.2359832119357424,0.2602476524256371,0.2585237330634927,0.2620066970505046,0.1094746831071325,0.1087719836657314,0.1102365860473513,0.0847258063231565,0.0844295006475704,0.0850258308138749,0.141968815412461,0.1412968985857376,0.1426196680432268,0.1712048549304225,0.1700612839060977,0.1724710113522898,0.5930899763322383,0.587556258632386,0.5994810438316852,0.1452759780159462,0.1446305184186036,0.1459630659519017,0.744769041042852,0.7395719922567068,0.7499331488447912,0.3877747288248696,0.3846289814715121,0.3909748741882453,0.0834858313018065,0.0829615259119506,0.0838784034379274
3,13.153476526315789,0.0918240144016229,0.0915190119468471,0.0921509250172351,0.234404228092047,0.2304882766071448,0.2382248612856837,0.245396541426268,0.2436902033856743,0.247195897997912,0.1071857572997207,0.1063694179803561,0.107992447429602,0.0807770402189926,0.0804627650748641,0.0810957011092555,0.1375442910758257,0.1368186469378577,0.138187951731767,0.1627227635203511,0.1614323987413561,0.1640173603700579,0.5874168076454631,0.5810160972852133,0.5933694839703754,0.1402044717315559,0.1394963218602424,0.1408498111106231,0.7158416250045728,0.7106990348459955,0.7212785497888374,0.3841068517833822,0.3806373902441189,0.3876128156094266,0.0794845164974048,0.0789508050898559,0.0798652729147458
4,13.204635368421052,0.0869608762668166,0.0865463710595445,0.087333876173133,0.2364454451231754,0.2317884824115759,0.2409716720666841,0.2310257411926061,0.2291906939347982,0.2328346644240904,0.1055330863122058,0.1045718565054657,0.1064359266680914,0.0771839147701972,0.0768274457094096,0.0775041144973689,0.1331651410967413,0.1324732214857141,0.1339313315343236,0.1546020499524128,0.1531465595996403,0.1561306600518648,0.5818372004230468,0.5748947353556869,0.5881722546562766,0.1353843759453489,0.1346889530722457,0.1361344675571435,0.6879888084315822,0.6822186703134779,0.6936404616287849,0.3799864169644896,0.3765116919805195,0.383422672636639,0.0757780472630801,0.0752993932664043,0.076166621998583
5,13.255794210526316,0.0827978892308337,0.0824183276265031,0.0831643813319983,0.2399934952417471,0.2344091165743904,0.2455434396691157,0.2180285913038115,0.2162734093384248,0.2196189659082511,0.104561596006962,0.1033873966734975,0.1057773431835545,0.0740132799893401,0.0736689678619459,0.0743554310648195,0.1292500715829932,0.1285129462258626,0.1299569170237292,0.147240836070434,0.1457725980427135,0.148571704635737,0.5754728075657374,0.5676303614357506,0.5824036389635281,0.1310548738663042,0.1303284919239913,0.1317738956769409,0.6593699599659899,0.6535258538578185,0.664990333733891,0.3754220115080627,0.3717270842657486,0.3791515439433878,0.0724980436578126,0.0719621605237964,0.0728877974700309
6,13.30695305263158,0.0794365259286123,0.0790674472336557,0.0798766221150351,0.2447640166076505,0.2384613782933042,0.250891269045221,0.2060123305777947,0.2040967286118481,0.2079889472155407,0.1043413162131014,0.1028596290791102,0.1058628327121781,0.0712393426073195,0.0708158754760319,0.0716221581872919,0.1256840366043919,0.1248587458080795,0.1265479580463079,0.1404914786549671,0.1389664801590241,0.1419327124776638,0.56744714121193,0.5591965582114541,0.5750004987246707,0.1271766197462922,0.126433971734075,0.1279316380175732,0.6318458185106453,0.6256952138557821,0.6386466490506412,0.370996245688125,0.36653244755553,0.375053678447615,0.0696096265220673,0.0690672456184495,0.0700683278347033
7,13.358111894736842,0.0768935889091585,0.0764370073094362,0.0773127888764097,0.2499568284841158,0.242794697296649,0.2564898474537118,0.1954312656301984,0.1932467798770043,0.1977117209188606,0.1049302530985096,0.1032487572926271,0.1065500644453583,0.0687768087709227,0.0683783986455587,0.0691866843354108,0.1224990189773854,0.12160659271747,0.1232993963771289,0.1345842586640158,0.1330832116727554,0.1360441321603627,0.5588379227357143,0.5512786902352,0.5669708720047777,0.1235968757015014,0.1227635192829031,0.1244436850559456,0.6068704196939665,0.6004834460824716,0.6125436909751097,0.3663606515840942,0.3617472554880392,0.3710033708161347,0.0671585924785864,0.0666024287025825,0.0676052979791967
8,13.409270736842103,0.0750513876837669,0.0745116837227678,0.0756028216731455,0.2552998016572003,0.247479165772004,0.2633399910504029,0.1865732492796497,0.1840472689789485,0.1891169875225664,0.1059579079378932,0.1039479188371532,0.1078585835808147,0.0666498392186255,0.0661901730315563,0.0670863461714658,0.119670212598371,0.1187313096545295,0.120584011450234,0.1296931977230013,0.1282030613139819,0.1312136781681228,0.5489690969373822,0.5402093953646271,0.5573057748862775,0.1206233174872058,0.1195884876112925,0.1215867966801927,0.5825439535104218,0.5754356218918809,0.5896577516435791,0.3610693142657912,0.3558412670985514,0.3660152748519117,0.0649718015002311,0.0642480408614519,0.0654832502248205
9,13.460429578947368,0.0738064707266924,0.0732184417492447,0.0743860026661147,0.2610343554194914,0.2525978516016186,0.2694112504010809,0.1792292623106044,0.1763027572633289,0.1818182104654797,0.1068897689494831,0.1046527513872346,0.1091013318462924,0.0647177113147118,0.0642932146625154,0.0651983995565014,0.117342348408413,0.1163466304332548,0.1183109238791042,0.1260293853386508,0.1245402188218322,0.1275199774451127,0.5369328633297437,0.5276543673449162,0.5481808514896231,0.1180867987135694,0.117076934249379,0.119161981844771,0.5612836211861338,0.5534867788664806,0.5681740953452598,0.3559437294607852,0.3504899445861317,0.3614569024269634,0.0631117364818317,0.0624250094531389,0.0636541401358991
