bin,M_500c,M_hot_gas_500c_mpq,M_hot_gas_500c_mpq-,M_hot_gas_500c_mpq+,T_sl_wo_recent_AGN_500c_mpq,T_sl_wo_recent_AGN_500c_mpq-,T_sl_wo_recent_AGN_500c_mpq+,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq-,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq+,Y_X_500c_mpq,Y_X_500c_mpq-,Y_X_500c_mpq+,Y_SZ_500c_mpq,Y_SZ_500c_mpq-,Y_SZ_500c_mpq+,T_mw_hot_gas_wo_recent_AGN_500c_mpq,T_mw_hot_gas_wo_recent_AGN_500c_mpq-,T_mw_hot_gas_wo_recent_AGN_500c_mpq+,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq-,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq+,T_sl_500c_mpq,T_sl_500c_mpq-,T_sl_500c_mpq+,T_mw_hot_gas_500c_mpq,T_mw_hot_gas_500c_mpq-,T_mw_hot_gas_500c_mpq+,L_X_ROSAT_obs_500c_mpq,L_X_ROSAT_obs_500c_mpq-,L_X_ROSAT_obs_500c_mpq+,L_X_ROSAT_obs_ce_500c_mpq,L_X_ROSAT_obs_ce_500c_mpq-,L_X_ROSAT_obs_ce_500c_mpq+,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq+
0,13.0,0.109691597190647,0.10935644461463549,0.11003241216959427,0.23304554164313918,0.23052842281814656,0.23551759586523452,0.2911662839183385,0.28953977120283736,0.29277473931424214,0.11619154346811589,0.11566167725640912,0.116706734243158,0.09335811457295008,0.09308290023030816,0.09368516594540627,0.15154427770914705,0.1509038501488649,0.15224369402070614,0.18862039774679717,0.18750096048740708,0.189739907106851,0.6012780544636595,0.5957089227800957,0.6068047174512462,0.15602744745470012,0.15537886897089967,0.1566700661516651,0.8002443893819424,0.7950858506825031,0.8062477254869356,0.3935415048447075,0.39067508730048656,0.3962453812814518,0.09204635786589271,0.09133090452018232,0.09247233297413025
1,13.051158842105263,0.10337332049525841,0.10306640867778517,0.10368459403817623,0.2321645839373171,0.22926023940105497,0.23517298669438003,0.2755876694968991,0.27389691435910146,0.27734856090477455,0.11261115687587431,0.11199671639852805,0.11316862505391165,0.08895078707714275,0.08863433776443654,0.08928388456290788,0.14678609790359742,0.14614419484856214,0.14737895413478308,0.18004664214078658,0.17897636895273056,0.18125674729780605,0.5974839619517146,0.5920820314138,0.6030500736570288,0.15055586230599266,0.14994877720625752,0.15117395764237218,0.7726572973305849,0.7673657660732708,0.7782839285170491,0.3911398115887701,0.3882296656636721,0.39405985060343995,0.08767859309684384,0.08704567659268714,0.08811666983051444
2,13.102317684210526,0.09734673641150912,0.0970421972647654,0.09769017027008388,0.2328231115664749,0.22939137163549686,0.23584776747572656,0.26032694862039807,0.2582938825900045,0.2621311552229641,0.10950444139354552,0.10875712950501441,0.11020917061841044,0.08474764017213654,0.0844286023674141,0.08504608606205245,0.14197456306584866,0.1413702186808311,0.1425976980230917,0.17121561277694752,0.16997411514714028,0.17254608016727227,0.5922498598597024,0.586370358945244,0.5979039554164192,0.1452747471422126,0.14463921198011015,0.14595070196069745,0.7450024024259441,0.7397681576552608,0.7496203632807585,0.38748350710473967,0.3845338442381682,0.39065770478837136,0.08345614844404492,0.08290168509846005,0.08387958371769662
3,13.153476526315789,0.09180670460029737,0.09147864536714463,0.0921407845163198,0.2338724541670154,0.22994203307753236,0.23764021207013797,0.24522166942177576,0.24341327852059516,0.24700155051910938,0.1071044309485246,0.10618783928705708,0.10795709211910573,0.08075685389747098,0.08044079654916876,0.0810704344082269,0.13751201058280324,0.136865025847012,0.1381020003417604,0.1628449965638198,0.16150474945918022,0.164035454393251,0.5874438213470962,0.5814056814071481,0.593956928686121,0.1402128295947888,0.13956395070441285,0.14086648065570873,0.7154468051771872,0.7102246273254295,0.7209427783362155,0.3842857507277432,0.380843502198198,0.3874700474881074,0.07943336936566045,0.07892291542571324,0.0798132169802902
4,13.204635368421053,0.08695982716512371,0.08657840024225141,0.08732052556032371,0.23686538485256325,0.231810989577578,0.24154084586526703,0.23119945453347915,0.2294362072895965,0.23306765446371874,0.1054255102655959,0.10443008434304589,0.10646617781381573,0.07718902950616396,0.07685072154560504,0.0775415412474854,0.1332060436114737,0.1324526280360644,0.1338953492142499,0.15464178397495768,0.15323685464916567,0.15596630077152454,0.5809445853124118,0.5739655724431488,0.5882544030343047,0.13537781765087953,0.13463362847986382,0.13605523521597132,0.687091959546718,0.6818847848941673,0.6924614144408793,0.380054229765004,0.3765710774055545,0.38350803172507714,0.075780220675459,0.07528585566502273,0.07618885519489249
5,13.255794210526316,0.08283322416018297,0.0824536766177088,0.08319760598475778,0.2404217591239204,0.235266825939789,0.24550386139202654,0.21797478590308494,0.21602311936666108,0.21994456917263527,0.10471145749108066,0.10348131761145175,0.10589799468902017,0.07401594647382227,0.07367662065156987,0.07435648212767795,0.12928845725680949,0.12856733561389092,0.13001054781056628,0.14731899301714318,0.14582944327437417,0.14871681722081082,0.5746866124128949,0.568154202547282,0.5822660817622134,0.13102248033330186,0.13024855374497088,0.13175061268380958,0.6599996977215483,0.654478935580763,0.6658183534700842,0.3758584513232377,0.37187451703500973,0.3796313438095079,0.07253278452647115,0.07200650675400778,0.07286826936465306
6,13.30695305263158,0.07945318954830219,0.07907271186808912,0.07990348425107904,0.24495427526480573,0.23928522467447583,0.2510303551288768,0.20610309943573712,0.204066887646383,0.20804139526989937,0.1045505542015413,0.10302277140734911,0.1060047953387974,0.07120170913856966,0.07079638006783721,0.07160012608065487,0.12559308149026613,0.1247564157066655,0.12645251756934806,0.14040750309791555,0.1389439867336922,0.14198363030603334,0.5677660811807694,0.5597451462721568,0.5752982647667011,0.1270762505311545,0.1261729071194171,0.12792973333281285,0.6329299652556671,0.6267901081474914,0.6387057696109545,0.3710966285992977,0.36719570219864706,0.3755096937019489,0.06963176045461772,0.0691052244938993,0.07003840110520196
7,13.358111894736842,0.07691842152727302,0.07641102053351267,0.07737457435283862,0.24976553381103295,0.24256313530449083,0.2567726446753825,0.19557162140146964,0.1934380274137542,0.1978865665938669,0.10495755412563423,0.1032119019653957,0.10662439446333943,0.06878433006737858,0.06837097869852983,0.0692021664304162,0.12241534504695775,0.12148262422835741,0.12327665895434496,0.13469314786258008,0.13311801502345844,0.1362077184055487,0.5584871444111694,0.5496454055583344,0.5665945462196823,0.12361138760810514,0.12270850365953019,0.12457426743483604,0.6065069828739516,0.5996027700383151,0.6129851274089674,0.36592990631000366,0.3611342767058798,0.37099061165833963,0.0671281734348461,0.06658139838998245,0.06756647913645109
8,13.409270736842105,0.0750422158575747,0.0745308747042246,0.07562589679934949,0.2544156201232344,0.24689395124300306,0.26148290708343297,0.1868325059634628,0.1844056041666843,0.18915547842185043,0.10564485811582891,0.1038135228067674,0.10754568721581169,0.06660771688753235,0.06617410994054916,0.06701695456166547,0.11960333806806644,0.11857974974586907,0.12063038981497036,0.12960343463226173,0.12830564223808993,0.13109992179710944,0.5489309782984655,0.5401999343451618,0.5582842291790492,0.12054310523736742,0.11966314996741192,0.12145432068097989,0.5825653637628152,0.5755836059562757,0.5903763912559032,0.36138270951073326,0.3562592804310754,0.3662513932017061,0.06495142624659497,0.06435860731618355,0.06545149687613655
9,13.460429578947368,0.07383421166623753,0.07329527869954613,0.07439925321730373,0.26121301172821587,0.252184845485205,0.2686041668600355,0.17932243928031844,0.17623432426966507,0.18198935265044172,0.10698516477207004,0.10487498869863829,0.1093815742460067,0.06471709240510636,0.06424159945535435,0.0652212790327778,0.11729851550280224,0.11623735818998092,0.11846691164407448,0.12576155637390093,0.12408755347117577,0.12748342765224005,0.5382853559490485,0.5274999382465423,0.547707604047987,0.11819778866188624,0.11727275963075046,0.11916732920012572,0.5604714740058064,0.5528101756896976,0.5679972511051499,0.3564474653109502,0.3511316287776316,0.3619921236398701,0.06305849737293515,0.062343663117583804,0.06359177238737958
