bin,M_500c,M_hot_gas_500c_mpq,M_hot_gas_500c_mpq-,M_hot_gas_500c_mpq+,T_sl_500c_mpq,T_sl_500c_mpq-,T_sl_500c_mpq+,L_X_ROSAT_obs_500c_mpq,L_X_ROSAT_obs_500c_mpq-,L_X_ROSAT_obs_500c_mpq+,Y_X_500c_mpq,Y_X_500c_mpq-,Y_X_500c_mpq+,Y_SZ_500c_mpq,Y_SZ_500c_mpq-,Y_SZ_500c_mpq+,T_mw_hot_gas_500c_mpq,T_mw_hot_gas_500c_mpq-,T_mw_hot_gas_500c_mpq+,L_X_ROSAT_obs_ce_500c_mpq,L_X_ROSAT_obs_ce_500c_mpq-,L_X_ROSAT_obs_ce_500c_mpq+,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq+
0,13.0,0.22151552771512134,0.2189578824282034,0.22394639351362067,0.2713099841280687,0.2664778113341202,0.2759905878077934,0.5219624136431746,0.5131903713658591,0.5307403345219907,0.17656229837046616,0.17456682297851325,0.17857261629749158,0.15368719065376799,0.15201439681220003,0.15518010897881374,0.24038247214283986,0.23755684144344735,0.24314823759210938,0.4555648002552159,0.4484945409210441,0.4625803637696834,0.1347005678456084,0.1215682087985689,0.13926122761878124
1,13.095847789473684,0.18921001338809934,0.1867971517887517,0.19158892251799006,0.260280343516746,0.255724696625011,0.2641275226579584,0.4472581949334875,0.43936491911321474,0.4554217993405204,0.1531388061035416,0.15122026400622,0.15507689179082434,0.1348741009422254,0.13330919201056807,0.13641769624957872,0.22366429128004445,0.22065095371032478,0.22654325240660908,0.3979780548165367,0.39090581922007284,0.40488481743148474,0.12281899706133989,0.11301547163396795,0.12673313782485773
2,13.19169557894737,0.1596673142145743,0.1578803445786063,0.1615261760289539,0.2497727387340643,0.24576357614833547,0.2537524900788385,0.3763916675151264,0.36945458368800477,0.3832426703351614,0.13297977888563284,0.13131996218791658,0.13461025976396324,0.11756129741284878,0.11611872693367153,0.11904007068064494,0.2061888307908641,0.2032191125100206,0.2090658433737025,0.34107815469537434,0.3343755591126159,0.34685507391796155,0.10959359808071746,0.10082524631811252,0.11336531631488639
3,13.287543368421053,0.13472014031883045,0.13286806136572926,0.13648337964466475,0.24013983833978222,0.23630751294760008,0.24411780882396303,0.3113342006393377,0.3053008483945646,0.31736887581248435,0.11753754952232891,0.11583413584289755,0.11914125454361488,0.10309610140773161,0.1016180465468638,0.1045541015066442,0.1884264181100107,0.1853600664283483,0.19154929489318834,0.2863754138747129,0.28102528517858905,0.291974040518749,0.09787114433787308,0.08769414449427121,0.10136510235870873
4,13.383391157894737,0.11519148054047681,0.11342777038780874,0.1169771477204402,0.23194491592643623,0.2281660735875829,0.2361961424023164,0.25545879557988,0.24954620709271,0.26158063159518724,0.10713593374763117,0.1052101144654297,0.10902008451429956,0.09170895850423899,0.09020289865944911,0.09317831315089199,0.1708710019085584,0.1676587898200073,0.17411418149380864,0.23970691202374114,0.23389473318734466,0.24536739088285828,0.08805250314248916,0.07830595344946754,0.09164877220141833
5,13.47923894736842,0.10067441526950384,0.09888809658720354,0.10261177303067173,0.22642751465729188,0.2218257239095897,0.2313194146594302,0.21277879214932513,0.20523749199803334,0.21945714398534638,0.1014280344556005,0.09914417800563641,0.10360670735393246,0.08340703624649175,0.08177829121590632,0.08502229650579532,0.15442840014229764,0.15094282261488565,0.15785620949519594,0.20249642487614022,0.19596189051703528,0.2084977676134581,0.07972709590026486,0.0700453947798187,0.08333250212286707
6,13.575086736842106,0.09050582520479884,0.08876724369223297,0.09225419044815177,0.22344635568110632,0.21847924136850494,0.22843555153803344,0.18301238040213613,0.17413910052461368,0.19086698385017153,0.09920625945876839,0.09684060813621903,0.10160512111837142,0.07739243553264608,0.07585982905159754,0.07903957653052375,0.14016646498784363,0.13702094705953746,0.14344880455205566,0.17380756426621569,0.1672055315291662,0.18051228911693537,0.07286578967399357,0.06303933765349398,0.07669152121317532
7,13.67093452631579,0.08305979305663222,0.08113963636321721,0.08497176064812097,0.22299687585576106,0.2167714672507401,0.22918358013217183,0.160283029243091,0.15198947911757663,0.16801140912781284,0.09944804810764699,0.09705459317771721,0.10187289374740896,0.07306241244606887,0.0714398185348637,0.07469562339311124,0.12917583538504593,0.1257131181608763,0.13252602171894617,0.1525651026311557,0.1461925000973601,0.15839935487255802,0.06672029873627622,0.055090162030797925,0.07119148733313957
8,13.766782315789474,0.07686128298551576,0.07527473623307103,0.07850867003578657,0.22367744798481914,0.21670334514490738,0.23035593474382593,0.14308024475409192,0.1365503724616723,0.14875475726481233,0.10076040093714783,0.09807352525581382,0.10349800816479877,0.06944593000679308,0.06778368237556788,0.0711039163628831,0.12234566991610057,0.11903495500738284,0.1254880820953651,0.13696895352100058,0.13018881889831982,0.1432901614851343,0.06041473166003372,0.048269480352151665,0.06544205306847278
9,13.862630105263158,0.07173973489328592,0.06986752877602204,0.07361635441259778,0.22496141467422898,0.21683633525037316,0.23350292200404646,0.13128851817764925,0.12587920617993295,0.13609040486137788,0.10160057704772958,0.09839556961082442,0.10486698705885479,0.06724559927691104,0.06548007603444905,0.06878710079719386,0.11846607000796486,0.1146079732999101,0.12218171519201272,0.12531212946451398,0.12022007808236447,0.1299438559950747,0.056182864588702655,0.04479752595948508,0.06101992772227439
