bin,M_500c,M_hot_gas_500c_mpq,M_hot_gas_500c_mpq-,M_hot_gas_500c_mpq+,T_sl_500c_mpq,T_sl_500c_mpq-,T_sl_500c_mpq+,L_X_ROSAT_obs_500c_mpq,L_X_ROSAT_obs_500c_mpq-,L_X_ROSAT_obs_500c_mpq+,Y_X_500c_mpq,Y_X_500c_mpq-,Y_X_500c_mpq+,Y_SZ_500c_mpq,Y_SZ_500c_mpq-,Y_SZ_500c_mpq+,T_mw_hot_gas_500c_mpq,T_mw_hot_gas_500c_mpq-,T_mw_hot_gas_500c_mpq+,L_X_ROSAT_obs_ce_500c_mpq,L_X_ROSAT_obs_ce_500c_mpq-,L_X_ROSAT_obs_ce_500c_mpq+,M_hot_gas_500c_T_sl_500c_mpq,M_hot_gas_500c_T_sl_500c_mpq-,M_hot_gas_500c_T_sl_500c_mpq+,M_hot_gas_500c_L_X_ROSAT_obs_500c_mpq,M_hot_gas_500c_L_X_ROSAT_obs_500c_mpq-,M_hot_gas_500c_L_X_ROSAT_obs_500c_mpq+,M_hot_gas_500c_Y_X_500c_mpq,M_hot_gas_500c_Y_X_500c_mpq-,M_hot_gas_500c_Y_X_500c_mpq+,M_hot_gas_500c_Y_SZ_500c_mpq,M_hot_gas_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_Y_SZ_500c_mpq+,T_sl_500c_L_X_ROSAT_obs_500c_mpq,T_sl_500c_L_X_ROSAT_obs_500c_mpq-,T_sl_500c_L_X_ROSAT_obs_500c_mpq+,T_sl_500c_Y_X_500c_mpq,T_sl_500c_Y_X_500c_mpq-,T_sl_500c_Y_X_500c_mpq+,T_sl_500c_Y_SZ_500c_mpq,T_sl_500c_Y_SZ_500c_mpq-,T_sl_500c_Y_SZ_500c_mpq+,L_X_ROSAT_obs_500c_Y_X_500c_mpq,L_X_ROSAT_obs_500c_Y_X_500c_mpq-,L_X_ROSAT_obs_500c_Y_X_500c_mpq+,L_X_ROSAT_obs_500c_Y_SZ_500c_mpq,L_X_ROSAT_obs_500c_Y_SZ_500c_mpq-,L_X_ROSAT_obs_500c_Y_SZ_500c_mpq+,Y_X_500c_Y_SZ_500c_mpq,Y_X_500c_Y_SZ_500c_mpq-,Y_X_500c_Y_SZ_500c_mpq+,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_mpq,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_mpq-,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_mpq+,M_hot_gas_500c_T_sl_500c_Y_X_500c_mpq,M_hot_gas_500c_T_sl_500c_Y_X_500c_mpq-,M_hot_gas_500c_T_sl_500c_Y_X_500c_mpq+,M_hot_gas_500c_T_sl_500c_Y_SZ_500c_mpq,M_hot_gas_500c_T_sl_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_T_sl_500c_Y_SZ_500c_mpq+,M_hot_gas_500c_L_X_ROSAT_obs_500c_Y_X_500c_mpq,M_hot_gas_500c_L_X_ROSAT_obs_500c_Y_X_500c_mpq-,M_hot_gas_500c_L_X_ROSAT_obs_500c_Y_X_500c_mpq+,M_hot_gas_500c_L_X_ROSAT_obs_500c_Y_SZ_500c_mpq,M_hot_gas_500c_L_X_ROSAT_obs_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_L_X_ROSAT_obs_500c_Y_SZ_500c_mpq+,M_hot_gas_500c_Y_X_500c_Y_SZ_500c_mpq,M_hot_gas_500c_Y_X_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_Y_X_500c_Y_SZ_500c_mpq+,T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_mpq,T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_mpq-,T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_mpq+,T_sl_500c_L_X_ROSAT_obs_500c_Y_SZ_500c_mpq,T_sl_500c_L_X_ROSAT_obs_500c_Y_SZ_500c_mpq-,T_sl_500c_L_X_ROSAT_obs_500c_Y_SZ_500c_mpq+,T_sl_500c_Y_X_500c_Y_SZ_500c_mpq,T_sl_500c_Y_X_500c_Y_SZ_500c_mpq-,T_sl_500c_Y_X_500c_Y_SZ_500c_mpq+,L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq,L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq-,L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq+,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_mpq,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_mpq-,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_mpq+,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_SZ_500c_mpq,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_SZ_500c_mpq+,M_hot_gas_500c_T_sl_500c_Y_X_500c_Y_SZ_500c_mpq,M_hot_gas_500c_T_sl_500c_Y_X_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_T_sl_500c_Y_X_500c_Y_SZ_500c_mpq+,M_hot_gas_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq,M_hot_gas_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq+,T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq,T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq-,T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq+,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_T_sl_500c_L_X_ROSAT_obs_500c_Y_X_500c_Y_SZ_500c_mpq+
0,13.0,0.1764829295129348,0.1745882261569019,0.178122439234609,0.2268973128631592,0.2240271154798764,0.2297609597392498,0.3518774903050905,0.3454761079134911,0.3581509849525373,0.1473410268233175,0.1458605431190555,0.1489530069107144,0.1367475086684282,0.1351918731570843,0.1382249878139646,0.2063056722467427,0.2036979887694203,0.2089840774229429,0.3290684672684406,0.323601344431535,0.3352474200533581,0.1449459975298616,0.1435789710191613,0.1464466298611862,0.1728251421508528,0.1703493690945823,0.1754049333500258,0.1447950336156502,0.1407931062688154,0.1476357985717397,0.129794165874768,0.1241435380271431,0.1342523652605173,0.2036539450909649,0.2013683132243057,0.2060414349331847,0.1450329679574443,0.1435583823396581,0.1463397826326439,0.132212098405688,0.1309614666336113,0.1334184306350717,0.1413475337130976,0.138712120986563,0.1437929994996473,0.1330420828703948,0.1311536036047462,0.135227977014217,0.1362785606143495,0.1334171398816734,0.1380584427331182,0.1406399832310985,0.1385748735017195,0.142550876662216,0.1442743195205503,0.1428650517155559,0.1452294877533598,0.1295590534809454,0.1235882338703262,0.1323950449501473,0.1402233079804453,0.1363391927114423,0.1433148369099351,0.1287778743918643,0.1234563478834828,0.1325915627856423,0.1286845995439443,0.1219456423346871,0.1325306573227119,0.1405654852427909,0.1383936610686031,0.1425548933248055,0.129394320305799,0.1278246290681243,0.1309227737485633,0.1297451206610176,0.1239228678870101,0.1326238481097172,0.1326174673736067,0.1302139686561643,0.134162079089127,0.1395691335262539,0.1373444203541882,0.14111282713983,0.1283435178133589,0.1234626207555839,0.130644472713933,0.1274028401989845,0.1177178960660028,0.1314517177553144,0.1271644826003574,0.1215668344733906,0.1310334198275471,0.1280793953248772,0.1232280318784647,0.1306510921660194,0.1263201360494348,0.1177584262818435,0.1298556328430898
1,13.107746421052632,0.1534803583633091,0.1516973187319593,0.1555316523555502,0.2163096226997018,0.2133143405073638,0.2191464542998369,0.3030236905048926,0.2968072152746206,0.309300449503374,0.1300944776338733,0.1285219837065618,0.1316510673818411,0.1209692309012903,0.1197331830555294,0.1222719757001193,0.1877415348097229,0.1852893631527339,0.190178490318931,0.2894680191851637,0.2827202219298536,0.2957204576107018,0.1296172625756519,0.128112631506583,0.1309251410340517,0.1509299011177641,0.1485756845843382,0.1534523137981279,0.1295349684357419,0.1272748951896786,0.1314503245534165,0.1164292020988484,0.1117760204348506,0.1197092455833341,0.1835826103162866,0.1811787156431518,0.186123903735855,0.1295931212635957,0.1282759984839623,0.1308501410282536,0.118227901061831,0.1171041854416912,0.1192519787843973,0.1275342210220504,0.1255617238845223,0.1293364033060446,0.1186558827766298,0.1169046791697734,0.1203778989789912,0.1207698734797822,0.1188220054909006,0.1220428362355829,0.1275620893887046,0.125598867212428,0.1292547372058462,0.1288405838828444,0.127676656640261,0.1298278507732513,0.1161712426914937,0.1110897514352761,0.1187558204953846,0.1274463336087109,0.1251742705290198,0.1293076324789833,0.115764486163124,0.1111304353966414,0.1187647611741892,0.1152223500415363,0.1100488405523445,0.1184252475314302,0.1273129173887615,0.1254911158734445,0.1290725185678466,0.1165957553478342,0.1151744475496784,0.118043919080156,0.1161838571192271,0.1096814724725968,0.1186818442465635,0.1184108571513432,0.1164673155906591,0.1197946505596191,0.1265663462740202,0.1246801282934076,0.1278428236328668,0.1155556554876694,0.1116670298840458,0.117684349457874,0.1139943032122802,0.1037573205507284,0.1175364242670892,0.1148326469738874,0.110205827437645,0.1177528707112701,0.115650545110608,0.1108473038297355,0.1177396196613499,0.1135387037890985,0.1038694861374021,0.1168816416037441
2,13.215492842105265,0.1330665432197706,0.1314996869524449,0.1346133798349729,0.2077628540785032,0.204447188347832,0.2109120000515595,0.2574972969144787,0.2513003959878814,0.263542295789201,0.1162807153543454,0.1147141107622333,0.117770531003051,0.1072893848227245,0.1058508223806856,0.1085076539262597,0.1703550962083719,0.1678630092180803,0.1728364012093919,0.2487183488524482,0.2420876252832998,0.2548776420791401,0.1163004035254818,0.1149175326523404,0.1175495649804914,0.1316406045995456,0.1296059699773815,0.1335600474927405,0.1159547476014423,0.1146307738037792,0.1174598431259907,0.1041242759346349,0.0991403135774112,0.1072046437910838,0.1645094054343426,0.1621279224079435,0.1673305750832466,0.1161228551863876,0.1146156113911512,0.1177152940989204,0.1059682351931238,0.1048681103092076,0.1071242155072841,0.1154915498584633,0.1138037020742089,0.1171655641339796,0.1058878847828161,0.1041545399414565,0.1074927241661373,0.1069236246361982,0.1048931595654869,0.1084219065958828,0.1153450811927183,0.113817498181857,0.1167218549430852,0.1155208251182818,0.1141864279511276,0.1164085816617958,0.1042553513662086,0.0987489033364338,0.1064507029446361,0.1152496814104664,0.1136168551496187,0.1166002240608254,0.1039482772792354,0.0995281079915477,0.1066102883125352,0.1034245012371336,0.0975833929311133,0.1063722526991957,0.1153302127218652,0.1131427545479227,0.1171627900661285,0.1049751335527175,0.1035755425481181,0.10633226322842,0.1043607297255703,0.0980173956116361,0.1065833860418732,0.1055359563542358,0.1030834350796614,0.1071681435437562,0.114438570347942,0.1128296375549272,0.1156516987423286,0.1036791813109635,0.0988354322111777,0.1060410502634133,0.1024383974387261,0.091758788597005,0.1059619883487714,0.1032828678235852,0.0974682797408569,0.1059190442011942,0.1039492252379512,0.0984846842228731,0.1061600225434765,0.1013433900314357,0.0911519179097272,0.1052479161658576
3,13.323239263157896,0.1155383772245603,0.1140341296543334,0.1171902420609869,0.199466905360674,0.195770850814203,0.2031784801965415,0.2155428130814478,0.2100059179729048,0.2211088665135591,0.1056294150634768,0.1040165619703005,0.107205576942163,0.0953720039243166,0.0940722275088036,0.0967862817555341,0.1548172402985963,0.152395740692169,0.1571137905463882,0.2101597473899344,0.2042496502227777,0.2160336900558895,0.1046776517670305,0.1033154413183793,0.1060462132429993,0.1146972810094735,0.1127181348004456,0.1165861983166635,0.1046692834525147,0.1033990054849167,0.1058434903800241,0.0934657958976347,0.0890678907350382,0.0959786433687889,0.1468748085051944,0.1439291672788064,0.1495587073695899,0.10475469102122,0.1026792209747923,0.1066874962298055,0.0950145606338498,0.0938351011441259,0.0963256147566223,0.1056346108056998,0.103891327818589,0.1073026469570452,0.0947476795270376,0.0930622095690959,0.0963687333864193,0.0950546618975489,0.0925037213938496,0.096638741484232,0.1042772367620781,0.102834473269908,0.1057861936827528,0.1040772600185132,0.1026468682875291,0.1050515492148215,0.0935202218786094,0.0882555689912912,0.0957566246560551,0.1043953538665089,0.1030746399752945,0.105580282309693,0.0932216424562088,0.0891301044164646,0.0957413586257459,0.0932350516472081,0.0870140380976801,0.0957958959745662,0.1044273115495357,0.1018836260229014,0.1065734804696672,0.0946199711959408,0.0930011821749848,0.096068711252461,0.0939686050532448,0.0882874780504694,0.0961349683048773,0.0942464464412313,0.0907979992497877,0.0961577969516136,0.1036152603543088,0.1017992156059868,0.1047653892688414,0.0931121569511858,0.0873078947029919,0.0957623945122349,0.0918111274470899,0.0813856726535931,0.0953711870201603,0.0924198396425289,0.0853184447889693,0.095444059579318,0.0933759086867965,0.0876047371108572,0.0957540679649275,0.0913181352506851,0.0812086398127684,0.0949601914540562
4,13.430985684210526,0.1020284269697617,0.1004194758235351,0.1034962816640369,0.1901309598485525,0.1864758283267022,0.1946319641354839,0.179249904622353,0.173204126579909,0.1847460947468795,0.0978237083965722,0.0960041635354937,0.0993272264677669,0.0855312207323695,0.0841284207643397,0.0867573761224896,0.1405064420944831,0.1380041902850989,0.1430509188054848,0.1757993354536741,0.1692749739516673,0.181801052592581,0.0953959418095174,0.0939361096047006,0.0967695878970884,0.1016441363367545,0.099747633485096,0.1034364042079961,0.095293279502908,0.0942935860046647,0.0962813984477258,0.0840601101759819,0.0800061468451431,0.0863802957931122,0.1314699895458975,0.1283804622476288,0.1343574756362405,0.0954702761734717,0.0928488464769437,0.0978206751597168,0.0855420071083441,0.0841005778240011,0.0869002163911251,0.0974512449215355,0.095923223418308,0.098844584847395,0.0850070433970389,0.0835272436157735,0.0865114275398984,0.0846603160719186,0.0809067548475649,0.0866097379860154,0.0952562794041018,0.0938236916615586,0.0966698874433283,0.0946103343850333,0.0931683666363942,0.0956780265843739,0.0837288484761127,0.0767287264811418,0.0863110046870337,0.0952033640658442,0.0942336524378175,0.0962611621752185,0.0837672765278743,0.0797203818860352,0.0861817750371481,0.0832309505613774,0.0746438021561865,0.0862560578950149,0.0951038131494646,0.0918515921952447,0.0973044747294842,0.084879366914787,0.0833288502838041,0.0865104912951013,0.0842567650514962,0.0776959827835175,0.0864633111214186,0.0840221861275785,0.0794132738046799,0.0863248834221655,0.0945329109584798,0.0927079587529818,0.0956404335915526,0.0835408285654246,0.0763619291400657,0.0861432559206219,0.081612969920478,0.0699761884784361,0.0856462799576214,0.0831347736729339,0.0757565840096334,0.085903757512117,0.0836903686930247,0.077494604508902,0.0861564853422515,0.0812129439514424,0.07007186576886,0.0853667573268218
5,13.538732105263158,0.0926146865377845,0.0909854168658775,0.0942982958061779,0.1802129205503359,0.1754562458342431,0.1847977927083855,0.1529118212753641,0.145705715072706,0.1602161591608392,0.0922553788695197,0.0903683649570959,0.0939424563206414,0.0778237815758125,0.0764774463696542,0.0792636785694888,0.1287565362168937,0.1257369939909474,0.1314614896830161,0.1495190993693589,0.1416161537879278,0.1568442808881583,0.0885856489094202,0.0871677359411457,0.0899664145157296,0.0924309718021642,0.0905723156517138,0.094128370211534,0.0884234961194228,0.0875441360510291,0.0894252352386396,0.0769923738832182,0.0731762558647031,0.0789887981101977,0.1194866015277854,0.1157540788929261,0.1229865612838806,0.0883438421706822,0.0851692643154769,0.0911638195287375,0.0776927823567361,0.0762591548038558,0.0791035677835604,0.0914943011831686,0.090036507796486,0.0929362019801851,0.0775445270939673,0.0757878325662665,0.0790774885674237,0.0762934919971054,0.0711544909133137,0.0787836973791575,0.088587413871308,0.0870258510809064,0.0899011899034799,0.087905058960048,0.0862426287698394,0.0889062833156689,0.0759510086080725,0.0690299679370443,0.0787614721509037,0.0883313087888747,0.0873149600153616,0.0893610136485159,0.0766683144666283,0.0730248035651325,0.0787473461953797,0.0754755443666991,0.0676652382565782,0.0785165833744651,0.0882335132936425,0.0842782391195659,0.0909555280020614,0.0772110756852801,0.0752304716244196,0.0789137960900956,0.0764345718029396,0.0702575585090552,0.0788537038277272,0.0759330369268217,0.0696701981597631,0.0786626187217149,0.087847521326815,0.0861332384078341,0.0888305877087969,0.0756865886845794,0.06803843376956,0.0786422178508055,0.0732622979233611,0.0614477564392071,0.0779639216490241,0.0744936965071928,0.0656474422518515,0.0781516530315458,0.0759352443914383,0.0699533064093305,0.0786040859601677,0.0735947639533971,0.0631493994025976,0.0775560761581148
6,13.64647852631579,0.0877189388817644,0.085810540603608,0.0894903831221015,0.1687130494320183,0.1636926199240738,0.1741363326374338,0.1384201583718515,0.1281819290116481,0.1469310201873229,0.0883485014278044,0.0864445442015669,0.0900187789275881,0.0725648550101247,0.0709940772941845,0.0738910205883348,0.1193286610126036,0.116067507301741,0.1227081409664068,0.1360001726173971,0.1253719285713942,0.1451342255194214,0.0846196703849887,0.0829905289562735,0.0862235671553504,0.0874593290693609,0.0853049789770515,0.0891539013954203,0.0844361105382769,0.0833692894785267,0.085468098503533,0.0710927533952637,0.0670513507260114,0.073462272269065,0.1119115373302885,0.1068269183714943,0.116851827238024,0.0844124611910155,0.0805092810025601,0.0871697192124434,0.0719083372893576,0.070270301929786,0.073574085615335,0.0876367345677908,0.0860773975222988,0.0890645961664579,0.0718991729811423,0.0699669468283981,0.0735338081922869,0.0703583583361975,0.0648257215957725,0.0732176524188624,0.0843113186098316,0.0824385900866085,0.0858953341937936,0.0836629726168098,0.0817880756670449,0.0848618584867982,0.069853831771205,0.0613807970828526,0.0728937433421176,0.0841692102834591,0.0829029498345048,0.0853064757885845,0.0708549476911791,0.0663459425852287,0.0734001906422357,0.0686077499265593,0.0584110004585042,0.0725252530463747,0.0840689241475835,0.0787868077197531,0.0872527109989254,0.0711145099393295,0.0686540330606924,0.0730952476491957,0.070175356141709,0.0620069476891038,0.0730411905745311,0.0691482538369056,0.0613601106003712,0.0726438656897419,0.0834499812958213,0.0812327961558196,0.0848348966195283,0.0692868234917891,0.0599158833294409,0.072751329517793,0.0674664997348416,0.0558373173201474,0.0720826684209566,0.0680980175346435,0.0584454246829137,0.0723035535012678,0.0692292190837671,0.0623004377113272,0.0723396284752793,0.0669622040372411,0.0547403608745657,0.0716329857110634
7,13.75422494736842,0.0851404820348718,0.0833163036737898,0.0869888195318048,0.1567095544655673,0.1511232589541895,0.1622765577306804,0.1349884858787166,0.1245049782067855,0.1447208732533159,0.0854267632217412,0.0835500746247672,0.0874696640140194,0.0682757175285244,0.0668319953699285,0.0698041782828735,0.1119403658471091,0.1077196003936392,0.1159544745433258,0.1301604805275792,0.1192876207866217,0.1405432670225362,0.0822133135671781,0.0807619060428026,0.0836285887301769,0.0846399347568471,0.0821470263898144,0.086731056047522,0.0821112676955624,0.081006243587232,0.0832142395700304,0.0667472799784423,0.0622032443774042,0.0691899470074348,0.109666126878919,0.1042209224493737,0.1147659184706176,0.0817429129227845,0.0777957419791002,0.0850239680731086,0.0679480668148606,0.0660395692421309,0.0696194192234345,0.0852799638768979,0.0834596614079261,0.0870397001113883,0.0671109297925385,0.0648721238260374,0.0690359732795887,0.0655936372365808,0.0586325273836235,0.0688419255109879,0.0817059337012469,0.0797709295313394,0.0834522903977448,0.0815002783397424,0.0796754803909341,0.0826407989586669,0.0656334825595523,0.0578885878059622,0.0688601645950981,0.0815690659063118,0.0801113945998781,0.0828334030707285,0.0659577967030636,0.0618397651008282,0.0685706699332944,0.0642065753457244,0.0551778163768208,0.0682574928065871,0.0813228055164212,0.0739765751012026,0.0850111571509496,0.0660263461303061,0.0630944470319083,0.0683916013057254,0.0654138826107082,0.056578278316283,0.0685574465796706,0.064156485506356,0.0561830259662695,0.0678359045594363,0.080899259940399,0.0783748838675769,0.0823780417891651,0.0640798754718467,0.055807547928316,0.0678213047921701,0.0627788402038238,0.0509499482890364,0.0676355379853695,0.0629292102918201,0.052393301224137,0.0672949922636283,0.0639788861998352,0.0562253580984891,0.0675504027726417,0.0615355263596616,0.0479033828495842,0.0667338124084532
8,13.861971368421052,0.0831659245442803,0.0812919142434749,0.0849627769102186,0.1468097975244598,0.1398162532090911,0.152899116291774,0.1388538059708542,0.1300175652682869,0.1469266442693792,0.0828845700531356,0.0810590751046981,0.0849856242013667,0.0648006289255789,0.0632047789447505,0.066404821275935,0.1048849512535256,0.1005305829835085,0.1091804476632877,0.1322884323941058,0.1223846732849128,0.1409736975582142,0.0799917724695774,0.0785383400235405,0.0816125291166063,0.081791523342628,0.078790083926243,0.0840514995736294,0.0799097799412972,0.0787464403526622,0.081039255045499,0.0627799332023406,0.0576521999841761,0.0654883169160427,0.1112041972869729,0.1067038809827695,0.115998190346027,0.0802335846952946,0.0754938349042592,0.0832866387878088,0.0640971950392936,0.0622353204750895,0.0658050215834554,0.0827594018365412,0.0804161930774572,0.0848078665006628,0.0624817653987955,0.0596103566492141,0.0647582963263242,0.0618349373824452,0.0547438997682895,0.0650924654553602,0.078668920778826,0.0761963161960541,0.0808724417684177,0.0792711712591651,0.0773902802490946,0.0805348649061586,0.0608627020904454,0.0518326993916847,0.065296834283785,0.0785434823472421,0.0766507797992477,0.0802010081866274,0.0612820202444453,0.0560812331122241,0.0643130570915103,0.0599067186511774,0.0474970404686016,0.064319325386236,0.0788181805413711,0.070872769148961,0.0826628589861518,0.0612175155085427,0.0574500900516605,0.064196183620558,0.0613997035001719,0.0533680794883996,0.0648902520321413,0.0595201249039047,0.0498649701245538,0.063634589452811,0.0775731830376867,0.0741942356947655,0.0796245722691856,0.0589420628932068,0.050330501404839,0.0634037292759644,0.0580188183600778,0.0450497953439755,0.0638351137379566,0.058175566871472,0.0468882932937847,0.0631041297564988,0.0598122281398852,0.0516147457758629,0.0633823194766511,0.0564645931445168,0.0441302473480002,0.0622384126954968
9,13.969717789473684,0.0797213269808805,0.0777507129300558,0.0816505152287469,0.139592890352095,0.1328755512610271,0.1455973056558432,0.1533112149240852,0.146394479663159,0.1597205247621359,0.0803597486871199,0.0781970180134636,0.0825308067083387,0.0610955660262818,0.059458278910081,0.0627069597608727,0.0986608436293017,0.0943810335279838,0.1028957045757412,0.1363532246531845,0.1285105510575417,0.1435728521860361,0.0769658307646603,0.0753712338431485,0.0787737012236472,0.0774502175984572,0.0741886223120138,0.0802337759987143,0.0766559976690801,0.0754134974764285,0.0778957802471823,0.0597414459763462,0.055204390829983,0.0621851828925323,0.1185793946241199,0.114418395894907,0.1225954506987883,0.0768498473666279,0.0711122858303293,0.0801716811935568,0.0601563500625935,0.0578979029005324,0.0621405273922071,0.0793134291210981,0.0764273155182459,0.0818343574972242,0.057768538530414,0.054722347914333,0.0603195774657778,0.0575205457243902,0.0485808226605847,0.0614487146832113,0.0743376659210227,0.0713059254694778,0.0769439433530881,0.0761216806832146,0.0741576578717689,0.0774344415439466,0.0575157764653325,0.0498937631934794,0.0614718247115752,0.074024881703198,0.0713882356781113,0.0759874871214231,0.0567978015254281,0.0521114405745657,0.059852343364193,0.056120155978282,0.0464159291811156,0.0608499507974048,0.0738706554776495,0.0638121622607689,0.0790550584746623,0.0566828895028416,0.0526687344752227,0.059814728998241,0.0577925460173318,0.0496438696044889,0.0612031676213569,0.0550075208263551,0.0460975732689701,0.0593316074519472,0.0731635166049021,0.0691772960745181,0.0754066088569887,0.0546614788593745,0.0468697172769403,0.0590166633811304,0.0548166280005477,0.0425066538793726,0.0600838002644101,0.0538375884570074,0.0428712820966546,0.058972441476981,0.0547873544895243,0.047146758075174,0.0587338289548042,0.0524288366995994,0.0402553649195252,0.0581251023541374
