bin,M_500c,M_hot_gas_500c_mpq,M_hot_gas_500c_mpq-,M_hot_gas_500c_mpq+,T_sl_500c_mpq,T_sl_500c_mpq-,T_sl_500c_mpq+,L_X_ROSAT_obs_500c_mpq,L_X_ROSAT_obs_500c_mpq-,L_X_ROSAT_obs_500c_mpq+,Y_X_500c_mpq,Y_X_500c_mpq-,Y_X_500c_mpq+,Y_SZ_500c_mpq,Y_SZ_500c_mpq-,Y_SZ_500c_mpq+,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_mpq,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_mpq-,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_mpq+
0,13.0,0.1766506883788339,0.1748679642879188,0.1784646039643583,0.2269384477412606,0.2237541376102846,0.2299198540269425,0.3525101342578938,0.3460953678769388,0.3581868771875597,0.1473400699059546,0.145838586611932,0.1490223465595801,0.1367154948140319,0.1353149907410702,0.1382823723167306,0.1693615776236194,0.1671368347717965,0.1715988413839588
1,13.107746421052632,0.1534958365554958,0.1517145924529278,0.1552106925480428,0.2161234035401499,0.2133952722772172,0.219072239216016,0.3033254287825123,0.2975150118468995,0.3093717934811439,0.1301192134161373,0.1286296576032044,0.131437068978725,0.121007049905867,0.1196442032272419,0.1224060840598173,0.1526452709793516,0.1501959477148954,0.1546580912869271
2,13.215492842105265,0.133105346735658,0.1315495541856959,0.1346637946403075,0.2075108867519,0.2038643641261862,0.2108527405508058,0.2574840543770955,0.2514486802319186,0.2629423790693644,0.1160849360526021,0.11451169846168,0.1176011298580033,0.1071553258831673,0.1057160711100421,0.1085231048347714,0.1374712392043218,0.1354194993027248,0.139693710161593
3,13.323239263157896,0.1154844710240926,0.1139820031496325,0.1170291020162909,0.1996805348818356,0.1958316521728541,0.2032114552659005,0.2155626385863186,0.2103460584546693,0.2217680428067102,0.1055284119376761,0.1039526932962775,0.1070670276169207,0.0954648616424407,0.0940749911108921,0.0968502395163896,0.1231380096394949,0.1212183222915066,0.1252834630526135
4,13.430985684210526,0.1019828977035867,0.100413456665087,0.1034961596963764,0.1903953771856662,0.1860301284330054,0.194469963788061,0.1796155961066315,0.1735419711192196,0.185082409954675,0.0975028102127311,0.0959574752659527,0.0991079665752016,0.0855842532888277,0.0840594577745578,0.0870066943834174,0.1098102038697274,0.1072131735621473,0.1119682715743488
5,13.538732105263158,0.0925098163604956,0.0909234618818974,0.0941280443496281,0.1797143985922485,0.1754249421224608,0.184014250228979,0.1529065725890395,0.1462483189854513,0.1598484554684337,0.0920789413852651,0.0900568588119916,0.0938004635298388,0.0777834121610638,0.0764645690328922,0.0790897466283218,0.0981526860364942,0.0954040547390143,0.1007459473098316
6,13.64647852631579,0.0870175591640902,0.0852885558987875,0.0886674067673795,0.1679024844163705,0.1627521375787756,0.1734759387014163,0.1379633730540387,0.1293060732422985,0.1467231736370335,0.0880077479957462,0.0860888691339464,0.0896834616787891,0.072050835984365,0.0706701085759325,0.0733115895765568,0.0906197893204493,0.0868163425707363,0.0939402023056308
7,13.75422494736842,0.0837775369365723,0.0818298601755544,0.0858601678945119,0.1564759808584022,0.1510133047400596,0.1622043027179539,0.1324641150592485,0.1228980021348422,0.1407984821210454,0.0845351257439687,0.0825741434223481,0.0864258172534576,0.0677735682734936,0.0661920527290098,0.069191798618686,0.0852432543651516,0.0814092829145139,0.0891475707235843
8,13.861971368421052,0.0806399850106458,0.0786756345829076,0.0825515879276809,0.1446181611908325,0.1381820542625701,0.1510267573717828,0.1330230023078487,0.124334792866602,0.140805335130896,0.0809402399182427,0.0789695186568917,0.0829860745927515,0.0635140526884398,0.0621734825714716,0.0650943241816041,0.0818209407427745,0.0783698705350734,0.0848737555287226
9,13.969717789473684,0.0768090807876249,0.0747265833963806,0.0789064772660158,0.1353474990436892,0.1286489499761416,0.141389720461687,0.1361672328555673,0.1295756518790081,0.1428704219719921,0.0774229348996466,0.0751427303348385,0.0795826118617564,0.0597810640031281,0.0581566085896379,0.0614095611990054,0.0794181795602927,0.0761675909210895,0.0827257976515459
