bin,M_500c,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_corr,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_corr-,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_corr+,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_corr,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_corr-,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_corr+,M_hot_gas_500c_Y_X_500c_corr,M_hot_gas_500c_Y_X_500c_corr-,M_hot_gas_500c_Y_X_500c_corr+,M_hot_gas_500c_Y_SZ_500c_corr,M_hot_gas_500c_Y_SZ_500c_corr-,M_hot_gas_500c_Y_SZ_500c_corr+,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_corr,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_corr-,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_corr+,T_sl_wo_recent_AGN_500c_Y_X_500c_corr,T_sl_wo_recent_AGN_500c_Y_X_500c_corr-,T_sl_wo_recent_AGN_500c_Y_X_500c_corr+,T_sl_wo_recent_AGN_500c_Y_SZ_500c_corr,T_sl_wo_recent_AGN_500c_Y_SZ_500c_corr-,T_sl_wo_recent_AGN_500c_Y_SZ_500c_corr+,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_corr,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_corr-,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_corr+,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_corr,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_corr-,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_corr+,Y_X_500c_Y_SZ_500c_corr,Y_X_500c_Y_SZ_500c_corr-,Y_X_500c_Y_SZ_500c_corr+
0,13.0,0.2783175844673603,0.2735427097777664,0.2825936033842213,0.4476951830732421,0.4444725583513352,0.450782520217442,0.8337288378160195,0.8305105784877197,0.8368133212494069,0.8657701364282893,0.8647605068725687,0.8667806554727304,0.2881827584893675,0.2831467096271564,0.293607951741853,0.7628589682029943,0.7605612478867075,0.7648742020771625,0.4608828704503699,0.4552902892267878,0.4663937886444322,0.4672446155574111,0.4634200692058238,0.4711125554526067,0.4497374714643768,0.4466114894973844,0.4533455729296101,0.8479301852009153,0.8448811649559945,0.8509483958137691
1,13.051158842105265,0.2763119669152491,0.2714204073012868,0.2818659917523038,0.4482949031760863,0.4447434323398534,0.4516952252806948,0.8177092447899404,0.8139967076599895,0.8213631135741076,0.8618717752064522,0.8607042620249419,0.8629969399908003,0.271560335622337,0.2658893588900752,0.2767180862793617,0.7795571879092029,0.7771810374715148,0.7819118239543256,0.4563145981642118,0.4500436177140859,0.4624149322918552,0.4550321063383148,0.4508458720179047,0.4594735641163263,0.4462224807237037,0.4427025274274724,0.4494834592582359,0.8350996453405994,0.8312247225167648,0.8386780046729682
2,13.102317684210526,0.2754912302126747,0.2699885189053148,0.2804315161832352,0.4485480590044996,0.4447687288399672,0.4525531814568729,0.8000357367279776,0.7951228533217451,0.8044258108130834,0.857824864021292,0.8565634140056686,0.8590647248739203,0.2545002670536139,0.2488864796433681,0.2603368797331395,0.7973273020901628,0.7947481976713415,0.7999910567985018,0.4514412310246062,0.4442444811158323,0.4581031397318084,0.4409661967332112,0.4363250885431981,0.4456805104274512,0.442639593864752,0.4382451042989028,0.4465944535933479,0.8206250863785411,0.8157618337402178,0.8254639219372554
3,13.153476526315789,0.274151333160648,0.267449225229209,0.28006876777593,0.448517951294508,0.4442058520284037,0.4527816305962398,0.7806818840547403,0.7753136796714141,0.786326504167244,0.8539019402440158,0.8524761336309966,0.8552565782835577,0.2383389674795578,0.2320374316989633,0.2445736535820168,0.8150947601192343,0.8119810015522408,0.8179935235112821,0.4466570660801014,0.4389817370481116,0.4550102213295356,0.4252563666402146,0.4201548915523507,0.4305806842048501,0.4396422562105691,0.4353137912801025,0.4438580895659533,0.8044086814959261,0.7986317676371724,0.8101498934539483
4,13.204635368421052,0.272953059929211,0.2661112090308601,0.2798378751027879,0.4479573113094679,0.4430528386469936,0.4526751699364987,0.7607619451336256,0.7536740428733588,0.76735979594236,0.850099993142353,0.8486528922776917,0.8517742213126266,0.2234896220986991,0.2169012600627308,0.230459542309205,0.8320224389038485,0.8291676441285578,0.8353052262377246,0.4409206598350244,0.4321440118753026,0.4502121253663292,0.4089983850436928,0.4031266830589748,0.4146801901568432,0.4367701016543177,0.4319383916973153,0.4415482764896919,0.7878767489920769,0.7806196402166006,0.7946204426021081
5,13.255794210526316,0.2718264115817747,0.263887910563342,0.2793974419123432,0.4477202592817103,0.4425708147330599,0.4533182006172923,0.7404317072822529,0.7323809080009022,0.7485985301765603,0.8465275022251588,0.8447605891663921,0.8483084621955177,0.2102736944340378,0.202783613264309,0.2177549285119951,0.8478686662142594,0.8445554853391206,0.8512516429544008,0.4349852128132287,0.4246257163164265,0.4458308585547433,0.3939978575028235,0.3873787750364887,0.4002907305186962,0.4355991358666693,0.4298325833110843,0.4408691349686373,0.7702707637947633,0.7616069508173963,0.7789307935780457
6,13.30695305263158,0.269517269653456,0.2609080033708047,0.278671327210351,0.4477771960799405,0.4414407887232423,0.4536760278515174,0.7210319503853571,0.711842921514039,0.7304406161886823,0.842855743960384,0.8408237468266667,0.8450478353113409,0.1993515220381622,0.1917937687440247,0.2069652165840085,0.8615099728619472,0.8577757217394979,0.8649484232396394,0.4288461633089191,0.417903808196176,0.4402405923210772,0.3793566081587363,0.3719439693687577,0.3868571271799377,0.4356320404490805,0.4293545508069893,0.4414243974388901,0.7529144007869836,0.7423595935058537,0.763374109731051
7,13.358111894736842,0.2666897151315819,0.2560017541009801,0.2767250357475978,0.447448607904355,0.4409606692298231,0.4541864804193982,0.70295903292976,0.6907378234882292,0.7136553464048387,0.8389464457497838,0.8367617191323037,0.8413536593790287,0.1893453366794473,0.1810354069110218,0.1982178758173115,0.872759789738857,0.868968454141656,0.876815471196643,0.4223577806143551,0.4093443406770012,0.4357551465255072,0.3661882470930187,0.358099254968091,0.3754118381876613,0.4368290895542569,0.4301592079412961,0.4438023670649558,0.7370740912617224,0.7254248314080805,0.7483985465184132
8,13.409270736842103,0.2623330011747927,0.2499488980578279,0.2749985715277458,0.4481238607747014,0.4400516207605343,0.4556774028876516,0.6853678326724237,0.6723925112455714,0.6986299845024849,0.8346834093510749,0.8320820011629068,0.83721579160584,0.1820063611278929,0.1723871713606407,0.1912319184856186,0.8825824022352349,0.878361974461488,0.8868050251507376,0.4162011740364864,0.401468068261286,0.4310388749720592,0.3555267153107487,0.3456197141719016,0.3657705306087463,0.4401149501011979,0.4314921909466006,0.4475273577251993,0.7213823032328608,0.7084504076322256,0.7334735743220986
9,13.460429578947368,0.2560284674176221,0.2424062529278829,0.2692023283517166,0.4486702013817819,0.4391116166501514,0.4579713212808276,0.6684481976599865,0.6531591391597794,0.6832899534322182,0.8290027928614034,0.8259172840183884,0.8319970327373459,0.1758871102010553,0.1654396150809746,0.1870380127969673,0.8901811911411384,0.8857860883699739,0.8946815777606943,0.410187989934067,0.3957367697108829,0.4262738852074667,0.347277121713345,0.335184084775785,0.3579745563574185,0.4434538619964252,0.4343809266066437,0.4523103436218376,0.7071293192266431,0.6917430737221372,0.7218091059658492
10,13.511588421052632,0.2491531043989069,0.2337699551560619,0.265776184063646,0.4487836577162818,0.4380702741772978,0.46024275296238,0.6534705669665251,0.637650542746183,0.6702102938747216,0.8222374986709995,0.8189386349143902,0.8254463790909025,0.1711974936309513,0.1575230460089645,0.1839229183223317,0.8959141017397074,0.8909855977941744,0.9009679066383466,0.4048879707221117,0.3882629972014143,0.4248599641003737,0.3396297843993198,0.3271619312453842,0.3530591777193,0.4479313510876028,0.4378317835517463,0.457401371059917,0.6947745748056882,0.6776517901783093,0.7107944303511817
11,13.562747263157895,0.2412111110359983,0.2238501019411172,0.2584191065346941,0.4502350304219702,0.438154206278946,0.4626948386488519,0.6399735837483518,0.6202131942238249,0.6582639422835402,0.8145313492195315,0.8099613042073819,0.8186593905941334,0.1661139276146219,0.152152642158967,0.180482388004347,0.9005267917807962,0.8947460800267221,0.9060276482594166,0.4017318716542652,0.3823404580078955,0.4229699965635178,0.3330927371452884,0.3187772340118068,0.3488348269903573,0.4517543540487992,0.4402598556234261,0.4632318501033555,0.6810627733266116,0.6630943775254228,0.7001919912084147
