bin,M_500c,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_corr,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_corr-,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_corr+,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_corr,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_corr-,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_corr+,M_hot_gas_500c_Y_X_500c_corr,M_hot_gas_500c_Y_X_500c_corr-,M_hot_gas_500c_Y_X_500c_corr+,M_hot_gas_500c_Y_SZ_500c_corr,M_hot_gas_500c_Y_SZ_500c_corr-,M_hot_gas_500c_Y_SZ_500c_corr+,M_hot_gas_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr,M_hot_gas_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr-,M_hot_gas_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr+,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr-,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr+,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_corr,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_corr-,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_corr+,T_sl_wo_recent_AGN_500c_Y_X_500c_corr,T_sl_wo_recent_AGN_500c_Y_X_500c_corr-,T_sl_wo_recent_AGN_500c_Y_X_500c_corr+,T_sl_wo_recent_AGN_500c_Y_SZ_500c_corr,T_sl_wo_recent_AGN_500c_Y_SZ_500c_corr-,T_sl_wo_recent_AGN_500c_Y_SZ_500c_corr+,T_sl_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr,T_sl_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr-,T_sl_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr+,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr-,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr+,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_corr,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_corr-,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_corr+,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_corr,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_corr-,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_corr+,L_X_ROSAT_obs_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr,L_X_ROSAT_obs_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr-,L_X_ROSAT_obs_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr+,L_X_ROSAT_obs_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr,L_X_ROSAT_obs_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr-,L_X_ROSAT_obs_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr+,Y_X_500c_Y_SZ_500c_corr,Y_X_500c_Y_SZ_500c_corr-,Y_X_500c_Y_SZ_500c_corr+,Y_X_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr,Y_X_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr-,Y_X_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr+,Y_X_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr,Y_X_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr-,Y_X_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr+,Y_SZ_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr,Y_SZ_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr-,Y_SZ_500c_T_mw_hot_gas_wo_recent_AGN_500c_corr+,Y_SZ_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr,Y_SZ_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr-,Y_SZ_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr+,T_mw_hot_gas_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr,T_mw_hot_gas_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr-,T_mw_hot_gas_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_corr+
0,13.0,0.338821811182778,0.3363059475456717,0.34145556240347785,0.5130021564748576,0.5110810230362774,0.5151490679139,0.929460103624212,0.929058954822591,0.9298351649843224,0.8984302752643131,0.8978839549917043,0.8990495180483892,0.1452665958747691,0.14217253839582533,0.14817019411953422,0.6541035924303138,0.6521254837993303,0.6559058975637134,0.29528033845255985,0.2925797458538753,0.29768561126280196,0.6620837186368578,0.6604507844132199,0.6636378512108019,0.6264236481444321,0.6247287884095196,0.6280753637299167,0.774925704740659,0.773434921530814,0.7764040560434329,0.4078849327799907,0.4050222184489262,0.4108720530362998,0.5243673949435188,0.5223207789463715,0.5263571798813788,0.5160365686406393,0.5140580761124687,0.5178549196612298,0.19854413210749813,0.19577401735172284,0.20117444903945172,0.782583285853544,0.7811768935898402,0.7840029581823428,0.9613256969399788,0.9610578431456036,0.961618256542589,0.4193314961582748,0.4171011591654801,0.42178807490513404,0.6809533023445916,0.6790836010728222,0.6828791030419314,0.5649247727931046,0.5631113939213394,0.566900798130867,0.67936951925496,0.6774816865058223,0.6811781601690607,0.30133861768802483,0.29846786179761253,0.30423034437884067
1,13.103992368421052,0.38166370568209984,0.379189398016237,0.38414712396348033,0.5290453334500957,0.5269322098869204,0.5313613689912393,0.9295762921397434,0.9291783290707011,0.930000084410401,0.904022397975548,0.903448429738534,0.904542831647321,0.17049198627929527,0.16750594520274115,0.17352285965738873,0.6892073952308789,0.68711028597826,0.6912814271593911,0.30563789960994603,0.30265950681105264,0.30845679140816507,0.6953578477557067,0.6938141395645708,0.6969153440860689,0.6511245150996434,0.6494134113180691,0.6529139819710997,0.7708215516694457,0.7691970501159904,0.772252562529159,0.4114553784343988,0.40807874053453713,0.4145979024027751,0.5331126326193052,0.5307079444752342,0.53544291805369,0.5332880207645811,0.5312392993078836,0.5354713334744388,0.21672980402152023,0.21385364462054465,0.21931358201858248,0.7746950059394067,0.772934416407591,0.7763595355189973,0.9624449466145458,0.9621681671307889,0.962770469766459,0.43981822364189554,0.43716997071434466,0.4421857960839805,0.6998331291518909,0.6976989349759127,0.7019404055079035,0.5752878679320208,0.5732355449057815,0.5773016673359203,0.7077931966406075,0.7058346104070786,0.7097227103842754,0.3127064922932207,0.3097461660717735,0.31587021115802116
2,13.207984736842105,0.40922775651392407,0.40682074879954616,0.41166149101750277,0.5661062229729232,0.5637397737672892,0.5685084240469817,0.9306340334871288,0.9301781228037228,0.9310582212146848,0.9094212403379648,0.9088312384161273,0.9099874006474854,0.1792706209275456,0.1762815706432821,0.1825974675954382,0.7430690084095115,0.7409175676823013,0.7452375584793761,0.3145811116029755,0.31129839349515787,0.3178065932703441,0.7148162343488547,0.7132062727275025,0.7164301107904664,0.6667856312820108,0.6648820834468688,0.6687199926311375,0.770235179753991,0.7684147561479651,0.7722364736309643,0.4045050926896744,0.4006096775741867,0.40829012836410417,0.5599659304198653,0.5574269439438002,0.5625283130090852,0.5646965825631985,0.5625170543126379,0.5669943683371858,0.21965084434870924,0.2164128662493234,0.2227891170919563,0.7758124090326385,0.7739366868966857,0.7777559060695008,0.964515750675776,0.9641845233052461,0.9648508766751299,0.4464810738986293,0.4434245071909174,0.4494243387232857,0.7317019940806265,0.7291233050856184,0.734244612214648,0.5721550362838776,0.5696465336847989,0.5745666955232345,0.7443157917774181,0.7422086786657134,0.7464972406660341,0.29563678768868185,0.2918272852338288,0.2989736420521718
3,13.311977105263157,0.4131027412677234,0.41021843850298145,0.41562558735533967,0.62367505209339,0.6212208841720034,0.6262856939307994,0.9316859169028929,0.9312283303523118,0.9321517682488811,0.913373241746387,0.91281542285078,0.9139695300893009,0.16148403473914041,0.15782591851530295,0.16506548794150325,0.8065741131741198,0.8044808238546695,0.808474847285494,0.31602304942740744,0.3124270173842953,0.3197396425725117,0.715714339442945,0.713935287560832,0.717396456228576,0.6686141393538865,0.6663749576040437,0.6708271486578754,0.7732511584150701,0.7710439794626873,0.7754425955016905,0.3816211677749512,0.3773947162431505,0.3855027946229981,0.6045066470370221,0.6015973986176053,0.607356539846328,0.6097197570277714,0.6071670598822838,0.6121004054848308,0.19768405664434008,0.19414257419298214,0.20125508089302596,0.7897239623293821,0.7876814023948451,0.7918163307520263,0.9672354620964984,0.9668489561045928,0.9675921030316543,0.4322266599628889,0.4291829547300425,0.435727923555729,0.7710907409519097,0.7681202934743625,0.7734389009676073,0.5496613677575238,0.5468286545891439,0.5523352827688969,0.7820367031350364,0.7799220342018132,0.7840164763630288,0.24064297702578458,0.2372277049446873,0.24438847780718537
4,13.41596947368421,0.388239533594763,0.38508202118146495,0.39145714420855166,0.6925213347211183,0.6899904865477984,0.6951959764297544,0.9322703278529945,0.9317918874446766,0.9328308811280425,0.9149754826370007,0.9144170485665408,0.9155571660453046,0.11230932081461378,0.10858758444422344,0.11647695221217214,0.8646006633507242,0.8628986677782742,0.8663817203440503,0.3008051621581026,0.29677052322159186,0.3047492578559355,0.6951946268065079,0.6931768723832444,0.6973463849885208,0.6530447084278693,0.6502101247810176,0.6559095858402997,0.7774879576843963,0.7749866650031098,0.7801499725206981,0.33716539904376175,0.3329852396587212,0.3415899419372567,0.6582748458460035,0.6552156923955922,0.6610782469081454,0.6602364972072723,0.6576751417434175,0.662776618277946,0.14273702618264053,0.1389641825499368,0.14675740524502476,0.815122908861099,0.8128104704647073,0.8175643565324217,0.9700227260179606,0.9696145395515477,0.9704314402498188,0.39292818782380035,0.38895518828478987,0.39678170195598594,0.8066421955553937,0.8042333907440327,0.8090996679098683,0.5038173472239658,0.5001309720873797,0.5071263850873297,0.8119628389390833,0.8102379263924581,0.8137163147039002,0.14853298979964472,0.14393325004582092,0.15270648046359325
5,13.519961842105262,0.33358147871796817,0.3298517650075444,0.33755296341913466,0.7593735328674811,0.7565155257910027,0.7624550417230368,0.9320932310195592,0.9314424464597288,0.9328230947607584,0.9136646839234509,0.912930062831514,0.9143661500973509,0.03610909111745912,0.03154236482858736,0.04072301767561653,0.9076501622026827,0.9063534497633492,0.9090733838968836,0.2593122426895055,0.2548899651121547,0.2637176293091161,0.6523590772789174,0.6498189124272011,0.654810440760156,0.6188776451030982,0.615387905839278,0.6221905243217201,0.7841180060387374,0.7808076684041915,0.7872792228445107,0.2694965000791002,0.26465594857033714,0.2743597227246394,0.7102559585005089,0.7071012136019826,0.713178112819042,0.7053912987228201,0.7028321593924522,0.7079396983424487,0.055690005160969794,0.0506552417927921,0.06070423260375988,0.8461161130618388,0.8432677732296173,0.8491382933020152,0.9723220545356412,0.9716852169452189,0.9727898485319137,0.3301059470884612,0.32570788977831394,0.3346043588077424,0.8332118461588756,0.8311190194868957,0.835462792598453,0.4391917973713778,0.43547225045726634,0.44339596951285465,0.8286547699917743,0.8270410371827803,0.8303145180256134,0.031042660826479093,0.02645468098930745,0.035916111822916
6,13.623954210526316,0.25433718449271425,0.24935088547396442,0.2587720337851406,0.8137488424640311,0.8103548256655556,0.817183829032659,0.930732933052389,0.9297372463617252,0.9315540680217727,0.9090715984119968,0.9082082201808581,0.9099306999136301,-0.05284232367993591,-0.057678167492279366,-0.04808562183819629,0.9348192281346226,0.9337656409548403,0.9358901079420452,0.19022525654384193,0.18473913509683434,0.1954905022780882,0.5903544264005487,0.5868540924653571,0.5937295489360086,0.5687760594524283,0.5639276892860042,0.5737666340954023,0.7961574636701416,0.7912859015624767,0.8005450607950455,0.18113576909519374,0.1752806495339693,0.1860865252138322,0.7509994490055332,0.7475606178117752,0.7546022584130994,0.7366678958056312,0.7338745879450409,0.7395706561802551,-0.05004218613907601,-0.05514329979989,-0.04413007910493683,0.8763544970937904,0.8727583279648732,0.8795601006870876,0.9738145320871421,0.9728858883960982,0.9745368140479543,0.2571371934275244,0.25176179409235216,0.26202355172543246,0.8484321457473305,0.8461424621755436,0.850644428414771,0.3680285094261461,0.36295775118467877,0.3731133766052616,0.832395520280744,0.8308789891593956,0.8338366615125977,-0.09075138699046657,-0.09603141408329788,-0.08554684880188912
7,13.727946578947368,0.162402533438762,0.1569232455432643,0.16791777044143552,0.8532488155637133,0.8494336858864926,0.8568846601156849,0.9273528415031516,0.9258516066454466,0.9286281669143805,0.9010969353918581,0.9000802189419929,0.9021765390125913,-0.13532430105943136,-0.14128746410726253,-0.12981807540210855,0.9496458574427001,0.9487564064636266,0.9505816408088541,0.10580754012930466,0.09872323595965811,0.11228508427974018,0.5195999113981731,0.5151263959059629,0.5241493158300108,0.5119719723567375,0.5053099146142612,0.5182559353045197,0.8138128121150519,0.806115961953579,0.8199620046534382,0.08528155527989847,0.07850768078118454,0.0918832345296747,0.7784283892820264,0.7741802980279875,0.7829969754406267,0.7526517549540519,0.7492852361151208,0.755444903704803,-0.15250476564276275,-0.15879819931730302,-0.14624470015416674,0.9019887253905148,0.8981427724525941,0.9053293110849179,0.9744303877580298,0.9729817091584431,0.9754963021437834,0.19128556603803337,0.1849369848936579,0.19739385934530448,0.8546588231473158,0.8510445292368792,0.8576436854554734,0.3078638092525215,0.30165825687678316,0.3138332181555018,0.8257884149336419,0.8241798800575653,0.8274350621894885,-0.19652467102603052,-0.20221503680403177,-0.19086166717717123
8,13.831938947368421,0.07787805511615041,0.07183937291153712,0.08417603919387837,0.8788275813006174,0.8750222077675004,0.8819940306175544,0.9209501655179824,0.9189448561481391,0.9225446275687155,0.8894959533985412,0.8880511284441905,0.8909719034285396,-0.1965832132175202,-0.20296243379013107,-0.19024103933285566,0.9559079770197725,0.955085199596371,0.9566827353079062,0.029122662181950865,0.021317540798580836,0.03643141571336966,0.46003323532289664,0.45468639093481916,0.46601147288436334,0.46464531019738764,0.45621901216625554,0.47244077324545275,0.833349700550247,0.8231790989751873,0.8418369844723678,0.006089150024035681,-0.0014935654717699938,0.013348898674544387,0.793776522138122,0.7894509272213492,0.7983522783347434,0.7535536997383855,0.7500901385604443,0.7570268121540005,-0.2320676525639488,-0.23840511132835615,-0.22570278631849863,0.9222660567199299,0.9186929509701245,0.9257309242257673,0.9737350975333505,0.9719289667820911,0.975141582918506,0.15106411183965746,0.14356391023687232,0.1583322596126812,0.8535771435764883,0.8490443903931498,0.8569611186617231,0.27389378059025277,0.26678622645585937,0.28073214435099847,0.811318675786586,0.8092343097044408,0.8134065065507949,-0.2713715117061642,-0.27721416005149335,-0.26452884226664436
9,13.935931315789473,0.019059621716595337,0.012498273977432483,0.025496935820596128,0.8924484930864582,0.8881061130935575,0.8962725515019069,0.9096359539825241,0.9072822878333514,0.911723925961811,0.8738830645043814,0.8719754645575691,0.8757010131238699,-0.22778045639885997,-0.23443303947473812,-0.22105849099487013,0.9557086814895017,0.9549613999222167,0.9564244919000569,-0.016670724293506578,-0.025061905039616823,-0.008532377527203198,0.4323524321081733,0.4260061143812969,0.439317246057994,0.4410371426327887,0.4326537292791621,0.44847908643556983,0.8459327009040529,0.8351982397831703,0.8547359428489548,-0.03818486622455094,-0.04664888800582712,-0.030708425755628273,0.7980932934698042,0.7924993787358693,0.802963408971236,0.7423884067436397,0.7382596252276092,0.7465162252527713,-0.2780207227727896,-0.2852786268830928,-0.2715872929468193,0.9372804166267883,0.9329968292814471,0.9406887108057361,0.9711966397124366,0.9691234660564627,0.9727989242952351,0.1457543194164176,0.1369815813914193,0.15318700366782695,0.8459702267238438,0.8417614897809541,0.8494649684455152,0.27369876522269915,0.26543666061374066,0.2813639143838764,0.7901119920121402,0.7875006678996729,0.7924255034534939,-0.30816435044956747,-0.31488335427136194,-0.3016067927030202
