bin,M_500c,M_hot_gas_500c_T_sl_500c_corr,M_hot_gas_500c_T_sl_500c_corr-,M_hot_gas_500c_T_sl_500c_corr+,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr-,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr+,M_hot_gas_500c_Y_X_500c_corr,M_hot_gas_500c_Y_X_500c_corr-,M_hot_gas_500c_Y_X_500c_corr+,M_hot_gas_500c_Y_SZ_500c_corr,M_hot_gas_500c_Y_SZ_500c_corr-,M_hot_gas_500c_Y_SZ_500c_corr+,M_hot_gas_500c_T_mw_hot_gas_500c_corr,M_hot_gas_500c_T_mw_hot_gas_500c_corr-,M_hot_gas_500c_T_mw_hot_gas_500c_corr+,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr-,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr+,T_sl_500c_L_X_ROSAT_obs_500c_corr,T_sl_500c_L_X_ROSAT_obs_500c_corr-,T_sl_500c_L_X_ROSAT_obs_500c_corr+,T_sl_500c_Y_X_500c_corr,T_sl_500c_Y_X_500c_corr-,T_sl_500c_Y_X_500c_corr+,T_sl_500c_Y_SZ_500c_corr,T_sl_500c_Y_SZ_500c_corr-,T_sl_500c_Y_SZ_500c_corr+,T_sl_500c_T_mw_hot_gas_500c_corr,T_sl_500c_T_mw_hot_gas_500c_corr-,T_sl_500c_T_mw_hot_gas_500c_corr+,T_sl_500c_L_X_ROSAT_obs_ce_500c_corr,T_sl_500c_L_X_ROSAT_obs_ce_500c_corr-,T_sl_500c_L_X_ROSAT_obs_ce_500c_corr+,L_X_ROSAT_obs_500c_Y_X_500c_corr,L_X_ROSAT_obs_500c_Y_X_500c_corr-,L_X_ROSAT_obs_500c_Y_X_500c_corr+,L_X_ROSAT_obs_500c_Y_SZ_500c_corr,L_X_ROSAT_obs_500c_Y_SZ_500c_corr-,L_X_ROSAT_obs_500c_Y_SZ_500c_corr+,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_corr,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_corr-,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_corr+,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_corr,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_corr-,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_corr+,Y_X_500c_Y_SZ_500c_corr,Y_X_500c_Y_SZ_500c_corr-,Y_X_500c_Y_SZ_500c_corr+,Y_X_500c_T_mw_hot_gas_500c_corr,Y_X_500c_T_mw_hot_gas_500c_corr-,Y_X_500c_T_mw_hot_gas_500c_corr+,Y_X_500c_L_X_ROSAT_obs_ce_500c_corr,Y_X_500c_L_X_ROSAT_obs_ce_500c_corr-,Y_X_500c_L_X_ROSAT_obs_ce_500c_corr+,Y_SZ_500c_T_mw_hot_gas_500c_corr,Y_SZ_500c_T_mw_hot_gas_500c_corr-,Y_SZ_500c_T_mw_hot_gas_500c_corr+,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_corr,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_corr-,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_corr+,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr-,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr+
0,13.0,0.008654464205402456,-0.006281374170183769,0.023327292093212736,0.7332691685701,0.7253042427310004,0.7406890218479285,0.9024271348450001,0.898602122962894,0.9063915216338227,0.8714456959350634,0.8677992733151023,0.8748917200769056,-0.36842421083862,-0.3817891873812423,-0.3544106714173249,0.7307323242049374,0.7218919359068886,0.7397904878331892,0.20968689939584156,0.18921672178000412,0.23176716530536698,0.4382401023688559,0.4232348172137726,0.45294917206748847,0.3116713344381503,0.2963790929419281,0.3258975186043471,0.5734867331280473,0.5548702136063364,0.5923292555702262,0.2903883749692018,0.2697831641281446,0.3109842461997715,0.7496095405129076,0.7421069134367725,0.7569859278683405,0.6161898941174897,0.6056469130891131,0.62657169323849,-0.3130331557336316,-0.3263778431912948,-0.2992340678590865,0.8929120514267981,0.8876655530199786,0.8979314314684297,0.9170722357327468,0.9120085879554731,0.9218950597342227,-0.08476418982394843,-0.10090770392116734,-0.06872223719796808,0.7820963089490206,0.7751701581071403,0.7885273972173413,0.13655700528332992,0.11967595064860613,0.15090497895405122,0.6252344632060347,0.6127789098739881,0.637799484168178,-0.29137259047786024,-0.30502458334102484,-0.2763142114557608
1,13.076400526315789,-0.0002781193771252479,-0.01616713356059008,0.015211445647414874,0.7166232908297374,0.708574131644779,0.7249813142483731,0.8808201993190043,0.8764191256195071,0.8853533787342618,0.8597521581049286,0.8555720045235572,0.8639819234094974,-0.353025203826913,-0.3666844978261823,-0.3373074465100958,0.7189836806461983,0.7086125527897561,0.728125288212379,0.17847183078589496,0.15632472975636397,0.20028697159463785,0.47206981041941504,0.45605522347404137,0.48730456229750646,0.3267527998799393,0.31089221136757483,0.3411583162778686,0.6011937572155812,0.5810877438618612,0.6196995729610694,0.24225178877245793,0.21895833148810837,0.2663918581949168,0.7164140772198437,0.7076174727448223,0.7254389791351417,0.5874168991439064,0.5760703528298072,0.5986642652178379,-0.30409213041683103,-0.31825171722547607,-0.2907899158590356,0.8971003190323449,0.89108388671056,0.9023133914373219,0.9125142908177031,0.9066704196360955,0.9173965400086755,-0.026255234012673635,-0.04424695604577267,-0.008709055674998642,0.7484570877192885,0.7402454993900665,0.7570532886536353,0.17485843603091172,0.1578993864279595,0.19044448301266934,0.5989523213691489,0.5846894092580263,0.6126623100593813,-0.28883615733495044,-0.30345119258473247,-0.2739688197141862
2,13.15280105263158,-0.007427078153242736,-0.024952059610412344,0.009633300539898597,0.6986340364133781,0.688698783178296,0.7074726854202117,0.8527964458461156,0.8465221739023009,0.858294399142522,0.84647393015451,0.8415739145965843,0.8512919368118733,-0.33223481213595474,-0.3480795621732633,-0.31502726626266736,0.7040048824634455,0.692494797454334,0.7149081934328373,0.14198483163343328,0.11546030417167955,0.17008041943129265,0.5159435871576479,0.501742362483465,0.5317743378279718,0.3453699246260577,0.33173823716627315,0.36268507852390686,0.6285754667868722,0.6096721039548358,0.6471920396694023,0.19089785083313765,0.163526380322657,0.2207725473638097,0.6724826196019057,0.6610020421768605,0.6839413559286981,0.5558243290197604,0.5426054132183925,0.5696007788461301,-0.2927330610193002,-0.3079531892899157,-0.27653390392647464,0.9010906732389956,0.8947930906958277,0.9070105860802548,0.906907305761759,0.9006964353928091,0.9121778926469462,0.04407956785709793,0.026471858987666984,0.062233807037040755,0.7038767717237091,0.693389385105427,0.7130464792184213,0.2227517247212536,0.2042498703325578,0.24100645087494757,0.5693160676941827,0.5550601431428066,0.5843279811335633,-0.2830485667100021,-0.2991459961505975,-0.26700254750466534
3,13.229201578947368,-0.008096442688819427,-0.027136044274073318,0.012861588373544232,0.6757671184519776,0.6641965045186037,0.686928791356082,0.8190920525351792,0.8117136914955021,0.826032320187919,0.8332335402509488,0.8272966169967226,0.838746625673167,-0.3026889829186824,-0.3207476144357729,-0.28487980699222215,0.6879440048606767,0.6744359248003302,0.7011797562373905,0.10139628806451473,0.07532694574949074,0.1326437165101574,0.5680987118537468,0.5534902954136932,0.5841205737774666,0.3741399817339211,0.35629083539148854,0.39121676759928653,0.6582969019646314,0.6388680627491645,0.6755182767221547,0.14030409877136413,0.11137986128667543,0.17064716282553447,0.6162187479671495,0.6026320418562838,0.6308180715425679,0.522116111561258,0.5050387033079288,0.5380789849282995,-0.2736149286789319,-0.29020302075814614,-0.25710057703947303,0.9030885072947122,0.8956759478747136,0.9101486289206505,0.9008582689432166,0.8943630226135768,0.9067922864596232,0.1290325139116363,0.10896459209835008,0.14967271804795648,0.6478682616656416,0.6341065848839575,0.6600203379430636,0.2755772988813329,0.2572805863197137,0.29566055686344583,0.5380962932855198,0.5209751463365726,0.5552318182718385,-0.2706393948602134,-0.28797298026223955,-0.25162964446697256
4,13.305602105263159,0.0019733672237779148,-0.021109518914664005,0.022434977085190114,0.6515631411004539,0.6352391696949926,0.6652426311682359,0.7807152017783638,0.7714797671722734,0.7899836531021661,0.820621794855575,0.8134079520827343,0.8280188512732539,-0.2649884551551803,-0.2867038335594531,-0.24304775547676385,0.668735587709508,0.6523412087920466,0.6841114381390903,0.0716817177780981,0.0436601439318306,0.09994549477171676,0.6259176662822377,0.60950513957811,0.6408621676570315,0.4070951726035209,0.38842600170359975,0.42531949637994043,0.6859875530603505,0.6693785557597625,0.7020884477914301,0.09339454173247755,0.06577494458568166,0.12645076334701694,0.5525174608373002,0.5339036805727239,0.5708189090278547,0.48710939164981193,0.46725373101913487,0.5061950325118413,-0.2518028861160311,-0.27149129110444475,-0.23135163055635166,0.9057761301123152,0.8960963974289821,0.9136366731457317,0.8947537830568897,0.8881986392462934,0.9011388528631875,0.221988073131368,0.20013283505172003,0.24227452958656126,0.5815149952520187,0.5648987956334534,0.5970774167659525,0.3328657581100723,0.3123128281520952,0.35466588792741516,0.5061556858413596,0.48636317983459165,0.5256849055959573,-0.24799422772474589,-0.2675159854549555,-0.22939403054868604
5,13.382002631578947,0.0198981693169436,-0.005265895900598549,0.0446635066811623,0.6250735667090792,0.6059402432121996,0.6423967131098739,0.7449023308712914,0.7333844215672434,0.7560299315576109,0.8124261111425621,0.8044105860929532,0.8207755102074605,-0.21681099960795674,-0.24138799537141864,-0.18984041251794245,0.6455324962400466,0.6244093031516231,0.6656459152641239,0.04042629100146554,0.012251527506155496,0.06971912098518085,0.6810636848582449,0.6665877063484537,0.6951887623418689,0.44253062086517136,0.4214282833316002,0.4615746576342864,0.710976320607611,0.6953524533143193,0.7249921203346501,0.05639317646841185,0.02577211506744738,0.08916774017102622,0.4862895946740068,0.461387280405252,0.5072652428021405,0.45516311631383255,0.4324268638399927,0.478880182419803,-0.2209363472737824,-0.24487030332567214,-0.19982357356546104,0.9076564362343676,0.8979656766125799,0.9169949149341756,0.8896765390456394,0.8824962890977464,0.8962508300095937,0.31656221634077963,0.29358808860394,0.338881479719183,0.5094617912235901,0.4883723414540522,0.5312741183034619,0.3962139034241388,0.37456921642623386,0.4193454243233852,0.47737194063155863,0.45303718540783,0.5006007827073223,-0.2168391654142191,-0.24037542979157775,-0.19389997896415764
6,13.458403157894738,0.04695174342824564,0.018318284020089393,0.07400850372400988,0.6014217023996457,0.5773067076351064,0.6235465467906214,0.71513015509325,0.7021848258634267,0.7282413985720769,0.8083453520047021,0.797431924974061,0.8186047447036913,-0.15526823615984459,-0.18447253079401196,-0.1265318349665542,0.6214975146315332,0.5957343325914278,0.6454742422088291,0.020601578931823163,-0.00759126528425769,0.05152278983951571,0.7310044744012265,0.7180374107865989,0.7442182870754691,0.47419142063086406,0.451262616349168,0.4948926215209697,0.727014021583549,0.7122542570518504,0.7410925649977946,0.02811179373256159,-0.0028721316570930948,0.062222356336213536,0.42501578369952003,0.3988487582225848,0.45125699775266087,0.4288879108580681,0.4024588075132779,0.4564082996307417,-0.1835259821213689,-0.21032554701343714,-0.157553316700215,0.9095970377880588,0.8986804692946578,0.9202875367277443,0.8847450138990607,0.877775901005493,0.890829834822099,0.4033176138242818,0.3803744076793878,0.4254143717351816,0.4444592952245085,0.41758941898246404,0.47030087121466824,0.453464978189626,0.43073750158852736,0.4756505071172601,0.4573060585552035,0.42816964126339874,0.48544724319910637,-0.1765699987688471,-0.2022613988925926,-0.14850700445211798
7,13.534803684210527,0.08127394590459353,0.0526601686520372,0.11019458237031282,0.5749834838783251,0.5501953524281049,0.6013673556742537,0.6954594880618605,0.6790043561005877,0.7121613844431384,0.8105786531587132,0.7974174418102055,0.8229067796132279,-0.09716290886755954,-0.13328988437712866,-0.06258875259324322,0.5946739428244272,0.5659001145357886,0.6227517719913316,0.018456432281401362,-0.019790928143777854,0.05484818060396112,0.7724351764434284,0.7589270844594793,0.7867264528841779,0.5045001112018709,0.4804482918608988,0.5274526532042252,0.7358754721079028,0.7209700449437657,0.750406336369768,0.010551088169787969,-0.023574801500748616,0.05108517153130872,0.3789956143497816,0.34892268997295917,0.4077139376625782,0.41805971181651363,0.3861597062836513,0.4488368710587754,-0.1400067220326769,-0.17001555614299543,-0.10938592305283726,0.9136639131066482,0.9022795279528147,0.9234300216228807,0.879179356543814,0.8716081580587753,0.8859674594005923,0.47029048468000473,0.4472972365808498,0.4911447104323298,0.38686420766038165,0.35680248986470825,0.4161651031515398,0.5047920327233364,0.4812707478873062,0.5266464259764384,0.4434379924426275,0.41046989858633737,0.4753660706505137,-0.12442173436933149,-0.1536575157702364,-0.09450662097459366
8,13.611204210526315,0.1232482058640556,0.09066633496848163,0.153060200567449,0.5563999915042852,0.5301669991369141,0.587019780150726,0.685217307197789,0.6673912534157654,0.7011067891407036,0.814766369611095,0.7998555650796845,0.8312085225650131,-0.04351420336086788,-0.08380555298297625,-0.007421965309377088,0.5710474550160296,0.5408040566862894,0.600414746103355,0.027559884400570132,-0.008507767963400952,0.07015256524743022,0.8081313612598444,0.7931963583795532,0.8215432846499617,0.5283503759044003,0.5030263553146519,0.5571462888838037,0.7330441027235279,0.7160896145783476,0.7482675310907199,0.01635367059065366,-0.021730275294285072,0.057808830771927236,0.3522283954076779,0.3196258827687356,0.3874692436601567,0.42060169150816407,0.39165277428350886,0.4500106172659752,-0.08350107695888523,-0.117478617205207,-0.048369427391360395,0.9193962355909451,0.9084313372034595,0.9289459852291859,0.8724575206322509,0.8640697854488252,0.8802774506884627,0.515791568243942,0.4924494557615739,0.5361933252739938,0.35009760617601915,0.31603419049631826,0.3874694973526949,0.5427963273831807,0.5197364636912644,0.5645609725419111,0.44507266809822743,0.41377753504046233,0.4759016592849998,-0.06346852486876337,-0.10010377811466048,-0.030245001772420642
9,13.687604736842106,0.1629942285230967,0.130239040610121,0.19940440811796906,0.5420698054552997,0.514988161436567,0.5705443943527905,0.6792307248607132,0.6593272488800351,0.6993752336328143,0.8195849525443926,0.802890106030155,0.8369107884278714,-0.00280790488006218,-0.04258126890657158,0.038716617982906966,0.5566972050231755,0.5263410726081877,0.5870921201053445,0.06385031074890679,0.020984806148751707,0.10402340862637886,0.8375301542329322,0.821663563214155,0.8505226906029639,0.5516410295183765,0.5171723880966532,0.5806567945520766,0.7237752773704955,0.7045333900630734,0.7394171130861581,0.03446021815898287,-0.007466318280140314,0.07974117688958948,0.34997324409691155,0.31113145122105607,0.3866692840264986,0.43713255179695754,0.40506256225416565,0.46864398444813526,-0.016386510352771697,-0.05437040319781798,0.018989008519280287,0.9250859297756848,0.9146776731814121,0.9342296689935454,0.8660053188890116,0.8568233251431628,0.8742111319735727,0.5371302500559093,0.5123759565810069,0.5614069183152337,0.33622666817945224,0.2975256874275497,0.3761137704676446,0.5708101629629987,0.5463893356471767,0.5930875524037766,0.4598653707973969,0.42852948667314744,0.4941677684846845,0.003864232343411509,-0.03188429373983613,0.040030268047762066
