bin,M_500c,M_hot_gas_500c_T_sl_500c_corr,M_hot_gas_500c_T_sl_500c_corr-,M_hot_gas_500c_T_sl_500c_corr+,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr-,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr+,M_hot_gas_500c_Y_X_500c_corr,M_hot_gas_500c_Y_X_500c_corr-,M_hot_gas_500c_Y_X_500c_corr+,M_hot_gas_500c_Y_SZ_500c_corr,M_hot_gas_500c_Y_SZ_500c_corr-,M_hot_gas_500c_Y_SZ_500c_corr+,T_sl_500c_L_X_ROSAT_obs_500c_corr,T_sl_500c_L_X_ROSAT_obs_500c_corr-,T_sl_500c_L_X_ROSAT_obs_500c_corr+,T_sl_500c_Y_X_500c_corr,T_sl_500c_Y_X_500c_corr-,T_sl_500c_Y_X_500c_corr+,T_sl_500c_Y_SZ_500c_corr,T_sl_500c_Y_SZ_500c_corr-,T_sl_500c_Y_SZ_500c_corr+,L_X_ROSAT_obs_500c_Y_X_500c_corr,L_X_ROSAT_obs_500c_Y_X_500c_corr-,L_X_ROSAT_obs_500c_Y_X_500c_corr+,L_X_ROSAT_obs_500c_Y_SZ_500c_corr,L_X_ROSAT_obs_500c_Y_SZ_500c_corr-,L_X_ROSAT_obs_500c_Y_SZ_500c_corr+,Y_X_500c_Y_SZ_500c_corr,Y_X_500c_Y_SZ_500c_corr-,Y_X_500c_Y_SZ_500c_corr+
0,13.0,-0.001252928067169,-0.0150401038442527,0.0114730842040348,0.7168008707619887,0.7092204123278556,0.7242057247982215,0.9038789039709564,0.9005457898449822,0.9072084149227948,0.8912138269082307,0.8882273622470889,0.8938323294037269,0.1404972257534514,0.1213379041193236,0.1589757538513589,0.4266061458758309,0.4129981767164501,0.4393637408191542,0.2923504714641395,0.2786979610680126,0.3055279231203587,0.7092533635141554,0.7015497647161538,0.716159231725094,0.6034916386784873,0.592962425511546,0.613821158528822,0.9312371016230054,0.9264845401256784,0.9351675819823868
1,13.095847789473684,-0.0169109993623555,-0.0307937578432261,-0.0030562012753681,0.6998640734059747,0.6910786971677565,0.7077599181384492,0.8765157945613657,0.8729158157625068,0.8802332164391897,0.8803124422708749,0.8770035132569087,0.883611150278675,0.069248256162107,0.0492839907379418,0.0907005026845123,0.4668538747570343,0.453996339541656,0.4802374045510297,0.3081413883689993,0.2942861766360614,0.3204917937885149,0.6524801291171188,0.6431328590856783,0.6614691629212626,0.5703133257843305,0.558043737415899,0.5820460914408494,0.9269115950549728,0.9223886617050172,0.9315878291026742
2,13.19169557894737,-0.025143450223952,-0.0422373533773881,-0.0087238107090108,0.6814663201466246,0.6716333321522702,0.6917885015805073,0.8398048600359151,0.8347456931814278,0.8452394469335263,0.8684698171414118,0.8644454995451483,0.8723762275763614,-0.003389924705603,-0.0225567433566259,0.0167960375274832,0.5225421922843072,0.5096638673422229,0.5347065669894426,0.3310258360571445,0.3161509101223045,0.3459131200594637,0.5803875892083501,0.5682261809470852,0.5914864479395976,0.536128757219684,0.5223536362975624,0.5497070366432095,0.921152610053206,0.917066138801544,0.9252687699787024
3,13.287543368421051,-0.01991576956146,-0.0381599918675978,-0.0015786573475963,0.6611670334891704,0.6494943449273168,0.6732710778788371,0.7974686953286176,0.790851918265342,0.8040524269576738,0.8581880757659475,0.8534112438353978,0.8632408549326073,-0.0658823493748215,-0.0867984138358115,-0.0452604304461435,0.5887253056162696,0.5761669310701812,0.6010487143945299,0.3607142284840398,0.3452939937567719,0.3780402749042013,0.4952198045327495,0.481589927229349,0.5080503729053788,0.5041520787125577,0.4870645871544503,0.5191537690891206,0.9129112971067854,0.9084259015319192,0.916838756143962
4,13.383391157894737,0.0093859615887021,-0.0102197755124971,0.0303297115971792,0.6359707254306848,0.6199979583459995,0.6508333588700095,0.7585033062152353,0.7496983991892511,0.7665038805654061,0.8530729605876552,0.8476367193789772,0.858952288344971,-0.1072534632675194,-0.1279867307042032,-0.0856670687782152,0.6596999378409272,0.6469612164873392,0.6721988479711251,0.4004201380044847,0.3828853828396911,0.4174770300461335,0.4088972167874147,0.3890352148337767,0.427837081831953,0.474503297266551,0.4529384239915379,0.4951873520393783,0.9020763948954552,0.8975001163863763,0.906932151295999
5,13.47923894736842,0.0664946569821752,0.0398126947609209,0.0915431499564642,0.6114338329363478,0.5863042532818196,0.6318185565266562,0.7331377049819963,0.7217790467615319,0.7438148725589421,0.8547502641346458,0.8485146871052289,0.8615693324155922,-0.1158564448615525,-0.1415858552581508,-0.0901910003732902,0.7267060680541089,0.7144292448822864,0.7374894892570067,0.4444880911578791,0.4231962621267098,0.4632415085270636,0.341508647137775,0.3142541939974146,0.368791199706765,0.4548343571008275,0.4254553671055736,0.4835826425119451,0.8923891565628468,0.8872975439336487,0.8978963031789178
6,13.575086736842106,0.1383900580857199,0.1089831750929537,0.1674251020184629,0.587739054844692,0.5619599792858175,0.617156952791568,0.7253028178479826,0.7126381721363146,0.7379097570914624,0.86160149355033,0.8538473375097072,0.8684699185664553,-0.0835168365679912,-0.1160904746142527,-0.0511803895291495,0.7823449357720766,0.7709928018715395,0.7930796471923083,0.4954926571496242,0.474054456242044,0.5175721809777091,0.3106936845376099,0.2789641294542753,0.3451445135619725,0.4551322099249046,0.4180402211538168,0.4913923068030896,0.8867451032303764,0.8802619866027759,0.892966731942569
7,13.67093452631579,0.2229935398662622,0.1915766238128629,0.252377440701136,0.5800048863813432,0.547001094902351,0.6090190182542798,0.7287481098533897,0.713613809630788,0.7435254518103221,0.866363694524454,0.8582446867403288,0.8741231333351652,-0.0122759613660103,-0.0460724037003346,0.0229927591089348,0.8292394542087119,0.8191534719492664,0.8389093037207876,0.5535880859171765,0.5320131685191515,0.5752199466077532,0.3253392686558418,0.289630227101362,0.3613314298351286,0.4759239956850797,0.4369647142695347,0.516172725539287,0.8849897522182439,0.878138081987376,0.8919229744394259
8,13.766782315789474,0.3035651252502994,0.2762215011480576,0.3358504769210763,0.5823111006644852,0.5519137386720477,0.6138415343749591,0.7398931742991756,0.7246838350563131,0.7529561509318796,0.8662313930328357,0.8579668482279702,0.8742170399293158,0.0958897473387763,0.0606605959724402,0.1338882187548131,0.8673584096201746,0.8579733960970133,0.8755821157615646,0.6137335651033007,0.5917161340140342,0.6345511745079074,0.3757046092386522,0.339572091321733,0.4091929495181211,0.518215315602329,0.4797339193473329,0.5525135466150387,0.8882764163800241,0.8806341255636326,0.8954856447386254
9,13.862630105263158,0.3795778677947322,0.3490939598311004,0.407808742777954,0.5977973102838953,0.5704445067978821,0.6247246510353655,0.7504668283194664,0.7346783828886921,0.7643597086452256,0.8591955713849828,0.8491166375208963,0.8685412706047067,0.2351401774423383,0.1977230792428573,0.2712766601501261,0.8963352377543786,0.8881888749356561,0.9040402831130134,0.6744260396202717,0.6531203918091316,0.6932725359109495,0.4541822727151239,0.4216138291593878,0.4862275278924838,0.5655061862321531,0.5345769661934981,0.5945697674656588,0.8938320540006494,0.8856208046317351,0.9021812784327456
