bin,M_500c,M_hot_gas_500c_T_sl_500c_corr,M_hot_gas_500c_T_sl_500c_corr-,M_hot_gas_500c_T_sl_500c_corr+,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr-,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr+,M_hot_gas_500c_Y_X_500c_corr,M_hot_gas_500c_Y_X_500c_corr-,M_hot_gas_500c_Y_X_500c_corr+,M_hot_gas_500c_Y_SZ_500c_corr,M_hot_gas_500c_Y_SZ_500c_corr-,M_hot_gas_500c_Y_SZ_500c_corr+,T_sl_500c_L_X_ROSAT_obs_500c_corr,T_sl_500c_L_X_ROSAT_obs_500c_corr-,T_sl_500c_L_X_ROSAT_obs_500c_corr+,T_sl_500c_Y_X_500c_corr,T_sl_500c_Y_X_500c_corr-,T_sl_500c_Y_X_500c_corr+,T_sl_500c_Y_SZ_500c_corr,T_sl_500c_Y_SZ_500c_corr-,T_sl_500c_Y_SZ_500c_corr+,L_X_ROSAT_obs_500c_Y_X_500c_corr,L_X_ROSAT_obs_500c_Y_X_500c_corr-,L_X_ROSAT_obs_500c_Y_X_500c_corr+,L_X_ROSAT_obs_500c_Y_SZ_500c_corr,L_X_ROSAT_obs_500c_Y_SZ_500c_corr-,L_X_ROSAT_obs_500c_Y_SZ_500c_corr+,Y_X_500c_Y_SZ_500c_corr,Y_X_500c_Y_SZ_500c_corr-,Y_X_500c_Y_SZ_500c_corr+,M_hot_gas_500c_T_mw_hot_gas_500c_corr,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr,M_hot_gas_500c_T_mw_hot_gas_500c_corr-,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr-,M_hot_gas_500c_T_mw_hot_gas_500c_corr+,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr+,T_sl_500c_T_mw_hot_gas_500c_corr,T_sl_500c_L_X_ROSAT_obs_ce_500c_corr,T_sl_500c_T_mw_hot_gas_500c_corr-,T_sl_500c_L_X_ROSAT_obs_ce_500c_corr-,T_sl_500c_T_mw_hot_gas_500c_corr+,T_sl_500c_L_X_ROSAT_obs_ce_500c_corr+,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_corr,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_corr,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_corr-,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_corr-,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_corr+,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_corr+,Y_X_500c_T_mw_hot_gas_500c_corr,Y_X_500c_L_X_ROSAT_obs_ce_500c_corr,Y_X_500c_T_mw_hot_gas_500c_corr-,Y_X_500c_L_X_ROSAT_obs_ce_500c_corr-,Y_X_500c_T_mw_hot_gas_500c_corr+,Y_X_500c_L_X_ROSAT_obs_ce_500c_corr+,Y_SZ_500c_T_mw_hot_gas_500c_corr,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_corr,Y_SZ_500c_T_mw_hot_gas_500c_corr-,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_corr-,Y_SZ_500c_T_mw_hot_gas_500c_corr+,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_corr+
0,13.0,0.0862013260597114,0.0729247570185336,0.0997135903518697,0.6554143178327088,0.6463013498061436,0.6647296510444871,0.908525767201644,0.9060604567886564,0.9109572796156078,0.908152286941588,0.9056835648055858,0.910708633434715,0.1624948349047087,0.1455606190751893,0.1796698958993654,0.4951917817687289,0.4835046411684659,0.5058426345107783,0.3587292756028779,0.3462862893759502,0.3709348830834627,0.6396496422250417,0.6305777590710392,0.6489411821130946,0.5788175461732081,0.5681256875905324,0.5906499613219364,0.9426597368122468,0.9403226687228466,0.9449550317446532,-0.0597272122083951,0.7064753821952582,-0.0740889894983341,0.6968830598121618,-0.0463962912228156,0.7157145237155766,0.664066847854557,0.1775647882496377,0.651658163453037,0.1606855718555873,0.6760539953381324,0.194603741212928,-0.0777963490655175,0.934811544351412,-0.0941676518253527,0.9307012978844634,-0.0621842841100964,0.9386314590390008,0.2262740795605989,0.6913847065010353,0.2116548474583998,0.6829166715693796,0.23980527122296,0.6994045380668069,0.3631012892192027,0.6318251106972218,0.350569454951245,0.6204406993348777,0.3745183498614233,0.6430830287924012
1,13.107746421052632,0.0766224098612089,0.0608974494893415,0.0918342777521941,0.6431694055557575,0.6319958545491255,0.6541299347930525,0.8879720479089082,0.8847187856130799,0.8911061048156478,0.9073481293682842,0.9046949331315224,0.9100246201041098,0.0920971712488766,0.0731982305392176,0.1111155549799082,0.5263885079433757,0.5147533695538115,0.5377811697106571,0.3575045461642416,0.3440459609112363,0.3713348512367856,0.5907954725853835,0.5789833770135562,0.6014659375477968,0.5631804459841074,0.550685552752859,0.5756547255083766,0.9386677759219322,0.9361771882582512,0.94102992554751,-0.0398471300605878,0.6899746282661351,-0.0555991874234868,0.6771642510912648,-0.0234099521134636,0.7021985700228274,0.6816199243074776,0.1009008558547975,0.6686312774281775,0.0846321903344178,0.6923058956260519,0.1183361939716573,-0.0740473269171386,0.9407980379182797,-0.0912920778666851,0.9368329777575106,-0.0567027432076784,0.9447430097053728,0.2800055279668688,0.6350404597095336,0.2650708297485832,0.6237186457534021,0.2948296876668485,0.6461959072228708,0.3832339559422036,0.6095242554142547,0.3715178386768837,0.5959408256964602,0.3970903033452899,0.6239266152521354
2,13.215492842105265,0.0856180172228347,0.0681275865946335,0.1025512619297417,0.6329818099923965,0.6181696517218948,0.6476454196220064,0.865654398912793,0.8612945446328514,0.8696957309574306,0.9074606773000362,0.904230690076635,0.9103545086011492,0.03733707744727,0.0164940903976504,0.0605558676264182,0.5723492198523263,0.5592512211424893,0.5851248412207133,0.3720782191661382,0.3567616750177425,0.3877273709981674,0.5394778746514415,0.523832205293032,0.5548535814624795,0.5510545403126328,0.5350981315969463,0.5675130790346214,0.9333580147273935,0.9304466674942732,0.9362655808909688,-0.0112801071060231,0.6736054992407756,-0.0287311491988285,0.6577628562933102,0.0061500512762436,0.6901232636893619,0.6994508815327358,0.0414952866159548,0.6861936808083384,0.0211929013487871,0.7110045148437689,0.0607287063322773,-0.0579877829245878,0.9460587389882772,-0.0763760249669198,0.9418420298859318,-0.0397754212357753,0.9502770244463896,0.3416601923833225,0.5758327031078344,0.3251778706342357,0.559917176932057,0.3565101354820142,0.5912981002621996,0.4095397175423699,0.5948391622295495,0.3955617602367744,0.5777250363402983,0.4239360759286327,0.6122397142295349
3,13.323239263157896,0.1149321292483754,0.0951067872095083,0.1343253134189159,0.6285038542673411,0.6101032964865467,0.6463408045123522,0.8465170903814616,0.8410652567524525,0.8516629522976897,0.9080376775614628,0.9046322483526146,0.91154032062257,0.0102734362958857,-0.0135541242108756,0.0303836610177006,0.6266082261041426,0.6131348808095337,0.6391352710728727,0.4013289044228351,0.3852969009277197,0.4180195190999333,0.4979525235772729,0.480428019195701,0.5159741972150916,0.5498343373696009,0.5322861493908243,0.5668449646765252,0.9281516008358858,0.924700431516721,0.9313941635359432,0.0224459710396156,0.66766582997753,0.0036215795442969,0.6466649137631006,0.0393416268049964,0.6867572514654926,0.7133379134732245,0.0086604981036598,0.7013377858864471,-0.0128087132421991,0.7253148543135894,0.0307332761340791,-0.0367988355002881,0.9490600224459348,-0.0564403507551803,0.9437581075062084,-0.0164277995880374,0.9540756878957442,0.3991355648470263,0.5286449743071415,0.3833653779168998,0.5089880350351915,0.4166937017879345,0.5479825188942915,0.4380224752008093,0.5900583457754661,0.423331429472491,0.5689406349623028,0.4529834953052394,0.6093304366086102
4,13.430985684210526,0.1616034013451796,0.1408885980684665,0.1812487410459944,0.6341926260203039,0.6095318043655757,0.6579786693589094,0.8360742737871607,0.8296266738412436,0.8430244539527645,0.9089150853095866,0.9049622169946748,0.91244301669064,0.014410523254143,-0.0094665170899507,0.0375406927141784,0.6767726120998193,0.663406650748718,0.6890239999938701,0.4424709710629189,0.4265698108773975,0.4606302898530044,0.4814746259243772,0.4577255405720009,0.5045551814463822,0.5593915895053018,0.5353057738335952,0.5828628119136233,0.9241978715778874,0.9205064875679282,0.9279533829587344,0.0491398039480203,0.672758294811362,0.0288981989071915,0.647353012898878,0.068640139150145,0.6968668484418687,0.7161161570173857,0.0117113467424833,0.7054964631310082,-0.0128899661040491,0.7281745425868028,0.0356265900879304,-0.0142635814515229,0.95016391931159,-0.0324502116246647,0.9424969175205448,0.0057086307085856,0.9564875103457988,0.4350817559700397,0.5078779875792969,0.4180226740357702,0.4836791682935162,0.4515828209676977,0.5307889910794862,0.4614362259969415,0.5971421554166874,0.4454842930714597,0.5708142424047072,0.4769362111198225,0.6208796099524959
5,13.538732105263158,0.2142328901573702,0.1929708455629108,0.2371109166158723,0.6538547163235724,0.6204155476101156,0.6857494964141316,0.8375572600452671,0.8296090861947497,0.8443204256642443,0.908318143104881,0.9033571852583322,0.9126827191771518,0.0503450620469944,0.0220310656547726,0.0796818465316751,0.7133695687493644,0.701633932865375,0.7260131298629707,0.4822285107696371,0.4646196241312162,0.5014462939281712,0.4977950002474486,0.4695419498002364,0.5256016549440111,0.5818253201298045,0.5482819565146623,0.6150437923257991,0.921826659236066,0.9174057264100304,0.9260122443722304,0.0488261915428395,0.6907212338880421,0.0261668034063283,0.6528115534919733,0.0735439956636198,0.7283216323526766,0.6983091926623881,0.0474676073224591,0.6830208515938572,0.0201505759408358,0.7134396753551876,0.0774084444608671,0.0038961127833663,0.9507835709218642,-0.0184377478845372,0.94075213800032,0.0270368996917727,0.9602344835622684,0.4263482636108426,0.5202280947357509,0.4043473997190835,0.4944086042939361,0.4464198772879175,0.550074205448068,0.4644866086715824,0.6228916215075272,0.4457933320669798,0.5843728346658552,0.4850419115638388,0.656369000979151
6,13.64647852631579,0.2574684136709968,0.2344686422748615,0.2804256846264453,0.6849534781630003,0.6381734820882472,0.7295360369973971,0.8461789522486224,0.8372855701468536,0.8539223216671673,0.9044131416570692,0.8987479234207381,0.910058783256139,0.1106287630562899,0.0695574027862067,0.1500305748528771,0.7326089856415927,0.7184930188780388,0.7458946283649805,0.5108687433152121,0.488729843485421,0.5319534149130641,0.5419069038101,0.5015442170181271,0.5759985104426626,0.6162150124811223,0.5670735173545556,0.6595236473210673,0.919464872570254,0.9128350923242108,0.925347555302838,0.0207137715748983,0.7211257864031997,-0.0075865673721858,0.6690187318930145,0.0467593850149033,0.7689325575658937,0.6585842126283876,0.0985770588218516,0.6354806970044872,0.0551993639055457,0.680500771641384,0.1434599174993137,0.0053349331255335,0.956044655445372,-0.0222994658729027,0.942874842176241,0.0316828820004857,0.9664276343354642,0.3750128778044946,0.5617769922177591,0.3478592246116827,0.5179680103704839,0.40220997761275,0.6054933520303616,0.4439642913424068,0.653660751909617,0.4190164867074639,0.6053228524801599,0.4683839199742374,0.7008789887257126
7,13.75422494736842,0.2817011393682976,0.2583379486413193,0.3064726710580305,0.7104216235321306,0.6593626710155001,0.7619451927735333,0.8554859421357017,0.8461660167792268,0.8646475655235774,0.8980933807934096,0.8889964649969472,0.9049932044010948,0.1669768058857493,0.0946474267169073,0.226888763502978,0.7397307529506719,0.7246538345968909,0.7542209960895064,0.5250595264942248,0.5002121009291697,0.553619744173482,0.5904112215340809,0.5287763300067576,0.6434344179668221,0.6468124646696034,0.5958992399371402,0.6931234010837095,0.9158859905308608,0.9063201939732914,0.9239904695619816,-0.0281998688915115,0.7475867355446204,-0.0622723895384401,0.6831326209837847,0.0027071732546091,0.8079329533096145,0.6129452314638077,0.1572193032217215,0.5814271518424834,0.0809213021677281,0.642422215101118,0.220297859249215,0.0022426226057515,0.960376201658504,-0.031436249694142,0.9482828719435368,0.0340599947581717,0.9707526400370602,0.310489465727112,0.6084871623581136,0.2762906640664042,0.5450558123624285,0.3422499119407311,0.6688167573409103,0.4131032243820877,0.6903655186083109,0.3853913344587533,0.6340636470678158,0.4416771495837179,0.7429284466596372
8,13.861971368421052,0.3042318223106599,0.2735990828171341,0.3335450631486458,0.7162611151546989,0.6726453491270816,0.7570361743576473,0.8609359655412305,0.8493778480068274,0.8715842919855238,0.8891257962350345,0.8792318217237373,0.897968955898933,0.2353049228181632,0.1484903928532695,0.3135429195181036,0.7477626005487756,0.7315844749620135,0.7626316144028645,0.5483924169489205,0.5178152413598317,0.5763590741606571,0.627087480664942,0.557923946882781,0.6913420435166302,0.6689564517444484,0.6261390370892348,0.7051341500134055,0.9144794488930806,0.9001481922989444,0.9253846328884078,-0.0692706921855641,0.7670642805469292,-0.1039336363519676,0.7111060791122137,-0.0327793923358447,0.8163984436845638,0.5865122230487115,0.2221935416762303,0.5455300481042153,0.1192551397724807,0.620654498217289,0.3125330375088449,0.0109510515483499,0.9542435827572628,-0.0246845825482024,0.9434257101037568,0.0459767094496262,0.9625554394210688,0.262987148304902,0.6560470028591703,0.2261440666652132,0.577290164298358,0.3033352317719152,0.728843368942733,0.3984881288382429,0.7189749574344857,0.3661316881737181,0.6678718569620249,0.4303457855453474,0.7685859445099408
9,13.969717789473684,0.3244546900532307,0.289954437734631,0.3561587021397549,0.6830284192303769,0.6504885350396498,0.7160799256368543,0.8591749624005494,0.8467358628138943,0.8712678716928116,0.8766960193244553,0.8653815274203704,0.8874180035763571,0.3177292355987031,0.2346116753944461,0.3971010413742299,0.7652909115077613,0.7480700924784807,0.7803693793162014,0.5846912176382011,0.550609241453052,0.6162990684940344,0.6450137182374556,0.5818338650176443,0.698342501979384,0.657324128708322,0.6281148235526492,0.6856640814374511,0.9146020405540468,0.9007537494456462,0.925781264197126,-0.077760809274259,0.7842352515841341,-0.113594365204041,0.7404997134884627,-0.0373192110493804,0.8250736831306819,0.5966214575232004,0.3220905351591573,0.5521670959334611,0.2201477047342899,0.6316302865441557,0.4106367195704211,0.0618491655376972,0.913238766549535,0.0250764930903741,0.8964864932615317,0.1018938469774568,0.9306082588201192,0.2671367454821105,0.7090708386473092,0.2296326118335747,0.6272341959627965,0.3049119373223549,0.7825334769721725,0.4159028687323317,0.7447694093993972,0.3828948701267239,0.7070509779645303,0.4445861439886888,0.7804325680278643
