bin,M_500c,M_hot_gas_500c_T_sl_500c_corr,M_hot_gas_500c_T_sl_500c_corr-,M_hot_gas_500c_T_sl_500c_corr+,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr-,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr+,M_hot_gas_500c_Y_X_500c_corr,M_hot_gas_500c_Y_X_500c_corr-,M_hot_gas_500c_Y_X_500c_corr+,M_hot_gas_500c_Y_SZ_500c_corr,M_hot_gas_500c_Y_SZ_500c_corr-,M_hot_gas_500c_Y_SZ_500c_corr+,T_sl_500c_L_X_ROSAT_obs_500c_corr,T_sl_500c_L_X_ROSAT_obs_500c_corr-,T_sl_500c_L_X_ROSAT_obs_500c_corr+,T_sl_500c_Y_X_500c_corr,T_sl_500c_Y_X_500c_corr-,T_sl_500c_Y_X_500c_corr+,T_sl_500c_Y_SZ_500c_corr,T_sl_500c_Y_SZ_500c_corr-,T_sl_500c_Y_SZ_500c_corr+,L_X_ROSAT_obs_500c_Y_X_500c_corr,L_X_ROSAT_obs_500c_Y_X_500c_corr-,L_X_ROSAT_obs_500c_Y_X_500c_corr+,L_X_ROSAT_obs_500c_Y_SZ_500c_corr,L_X_ROSAT_obs_500c_Y_SZ_500c_corr-,L_X_ROSAT_obs_500c_Y_SZ_500c_corr+,Y_X_500c_Y_SZ_500c_corr,Y_X_500c_Y_SZ_500c_corr-,Y_X_500c_Y_SZ_500c_corr+,M_hot_gas_500c_T_mw_hot_gas_500c_corr,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr,M_hot_gas_500c_T_mw_hot_gas_500c_corr-,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr-,M_hot_gas_500c_T_mw_hot_gas_500c_corr+,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr+,T_sl_500c_T_mw_hot_gas_500c_corr,T_sl_500c_L_X_ROSAT_obs_ce_500c_corr,T_sl_500c_T_mw_hot_gas_500c_corr-,T_sl_500c_L_X_ROSAT_obs_ce_500c_corr-,T_sl_500c_T_mw_hot_gas_500c_corr+,T_sl_500c_L_X_ROSAT_obs_ce_500c_corr+,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_corr,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_corr,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_corr-,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_corr-,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_corr+,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_corr+,Y_X_500c_T_mw_hot_gas_500c_corr,Y_X_500c_L_X_ROSAT_obs_ce_500c_corr,Y_X_500c_T_mw_hot_gas_500c_corr-,Y_X_500c_L_X_ROSAT_obs_ce_500c_corr-,Y_X_500c_T_mw_hot_gas_500c_corr+,Y_X_500c_L_X_ROSAT_obs_ce_500c_corr+,Y_SZ_500c_T_mw_hot_gas_500c_corr,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_corr,Y_SZ_500c_T_mw_hot_gas_500c_corr-,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_corr-,Y_SZ_500c_T_mw_hot_gas_500c_corr+,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_corr+
0,13.0,0.0862959902577908,0.0730773857631381,0.0994392019938038,0.6553815294627962,0.6468439950539311,0.6642970709813893,0.9086008041956626,0.905922943235106,0.9110775348712484,0.9083340922816244,0.905759368227229,0.9107700075351688,0.1624326085008104,0.1456860159041084,0.1786269019754507,0.4946773044860247,0.4834925947729878,0.5050655976228374,0.3587248631245839,0.3468482965122684,0.3708496674886685,0.6399700485444523,0.6320450462049061,0.649022833447683,0.5795428534237036,0.5679835284936829,0.5901429522891039,0.9427508446164392,0.9404208510471088,0.9450822624369296,-0.0603489495197342,0.7067012554948922,-0.0744261128707437,0.6963982325873707,-0.046230054160284,0.7159438308401971,0.6639687087429513,0.1795825735765859,0.6508197355915746,0.163652737565652,0.6756949717504365,0.1959351438041065,-0.077658427499538,0.9346474624887062,-0.093572952302385,0.9307910745931178,-0.0621380082162484,0.9385786899420812,0.2254340015108822,0.6915643175818562,0.2118551325862875,0.6834811179264103,0.2398852230286091,0.6997286297524922,0.3635797178975606,0.63180148681439,0.3518077076641617,0.6188883516494721,0.3751322210889607,0.6429985673504168
1,13.107746421052632,0.0760356353787791,0.0608911452951574,0.0911655870824719,0.6427008950794451,0.6314168150332852,0.6546734829851908,0.8878427317815084,0.8845873506454556,0.8911557266901243,0.9072872110156234,0.9046377378602908,0.9101460515619072,0.0918761027611534,0.0733205497674209,0.1100444249143448,0.5264042810800369,0.5153253866295655,0.5373470049561133,0.3572672723221449,0.3438325812363171,0.3698913173642247,0.5913250487463311,0.5797920674736763,0.6021431552941564,0.562774373820639,0.550537477627615,0.5763333123678224,0.9387111825392354,0.9360888500350664,0.9409945923025846,-0.0385435399970007,0.6905290703904805,-0.0545248356795851,0.6771798762398994,-0.0240750508908175,0.7017416716705849,0.6815661271260709,0.1003806764094529,0.6687129533115029,0.0825095950657055,0.6937000282231417,0.119680442337753,-0.0746974307508536,0.9406385999771883,-0.0910659315115072,0.9365709112601902,-0.0556772322242743,0.944744669268332,0.2800277605004191,0.6347856200569757,0.2652243913565932,0.6228571000475628,0.2945517047547739,0.6458418599467969,0.3849067690681828,0.6094907917304471,0.3711400589238571,0.5955640315443759,0.3974326573993783,0.6243119353989041
2,13.215492842105265,0.0851650491926434,0.0671020029558927,0.1021937023898276,0.6326294132422577,0.6175541537760924,0.6474456524497375,0.8655922682210015,0.8615047983606872,0.8701152436054963,0.9074073052248608,0.9043087324928376,0.9104872888747229,0.0367288414693449,0.0159966649563235,0.0579828617214813,0.5718881225297824,0.5603866927134552,0.5841365916453034,0.370922788122722,0.3563228326743934,0.3852932559585767,0.5394458046634044,0.5236877981918625,0.5544816590633801,0.5520047120644691,0.5364010221549421,0.5686428479265091,0.9333020101399064,0.9302218372862618,0.9362349396709128,-0.0102674535216815,0.6752162306629201,-0.0279920794826909,0.6587883882004557,0.00473503167237,0.6914409714524389,0.6990208114386292,0.0401157157646817,0.6873313239599048,0.0198844538711528,0.7111707381061982,0.0600111890233966,-0.0589354697006352,0.9461920711399454,-0.0786416321122862,0.9418949808561962,-0.0405681796781599,0.9501839023775358,0.3428656334948129,0.5772681571483038,0.3262572674341465,0.5610361058408904,0.3581002726798178,0.5920657942099437,0.4097349518991516,0.5950398520369711,0.3961172655507251,0.5776876099162044,0.4242107768337438,0.6118252098223337
3,13.323239263157896,0.1146592091272095,0.0961550129947944,0.1357262538602764,0.628533378494039,0.6096944209995308,0.6475100437213556,0.8463941939853331,0.8411700126441296,0.8514877864379123,0.9083291317226584,0.904604182643548,0.9118075535564472,0.009924280620777,-0.0123026767271838,0.0313638297142276,0.6258578737272674,0.6124232398478576,0.6393684852303079,0.4003011339081219,0.3837978402613962,0.4159260780056723,0.4971070293373554,0.4789083351239474,0.5162962163288114,0.5489764711589412,0.5306533682865506,0.567530867995576,0.9283835721842436,0.9250780882987666,0.9315441067612548,0.0234532300691189,0.6668679361127646,0.0054847710791268,0.6476075410095791,0.0407358118648672,0.6864675426162951,0.7132957108740832,0.0086819159224003,0.7017450105380925,-0.0109705349001605,0.724852786892569,0.0311989809616551,-0.0361136149940267,0.9489115766527046,-0.0565405945375561,0.9438902817721406,-0.0153077620575097,0.9538499014378136,0.3998177236234357,0.5283256941229377,0.3838706800433011,0.5069292803367738,0.4155223162380529,0.5488224302239543,0.4382333190017703,0.5901928348791347,0.4231059816566642,0.5693732098916856,0.452947413654639,0.6095909594277231
4,13.430985684210526,0.1623426295097203,0.1412862006062698,0.1816265778210191,0.6338281559547948,0.6099339648782355,0.6565020045262897,0.8363322012682007,0.8295328137963021,0.8429246990403807,0.908932166895026,0.9052909342280197,0.912706034780724,0.0138946191423364,-0.0086360076747265,0.0388408955360596,0.6763357389875628,0.6633603567320401,0.6885892715142238,0.4431322385415875,0.4254948709054377,0.4604816467695976,0.4791957580043364,0.4576314457051542,0.5019575075008786,0.560016703958889,0.5355738666357484,0.5827528960509212,0.9241736352963892,0.9207606419758212,0.9277024090967118,0.0477378152649269,0.6692210599832424,0.0283034912488461,0.6452958870040426,0.070127125878289,0.6950990894587004,0.7164067545266523,0.0128198432447762,0.7041333754460557,-0.0100547311624925,0.7279539489138037,0.0356210255107607,-0.0126999836758732,0.9500326304500764,-0.0324602750769271,0.94248388651976,0.0093600937184839,0.9568765842878284,0.4334297709208562,0.5068992742773151,0.4160473762026468,0.4823832701081915,0.4513707885660483,0.5303452644688277,0.46094164996159,0.5972758738265986,0.4452857013615899,0.5722936517112188,0.4768208931760753,0.621365035821685
5,13.538732105263158,0.2125694808315658,0.1910569604920021,0.2326756881441646,0.6517076973667981,0.619023545933827,0.684798761102254,0.8373451417412006,0.8297666685084111,0.8444827747618352,0.9079227018958682,0.9031987394107278,0.9123108890758193,0.0525924823304404,0.0242656675670626,0.0807297354187361,0.7138424607665242,0.7009175703572104,0.7267692473372847,0.4837658604815763,0.4633670011798444,0.5017693210872972,0.4962921035762231,0.4686854239047747,0.5229520196015291,0.5809491601776193,0.5500573449377694,0.6128296450038537,0.9217534673628148,0.9170667702062498,0.9258489008783968,0.0509564781677519,0.6917911560766407,0.0284284152624178,0.6542097681442427,0.0730105609489771,0.7244520654662845,0.6987961063241485,0.0464543035133014,0.6824768105579458,0.0153539526386265,0.7119683930277388,0.0775129380399933,0.0058339111060241,0.9506184885780412,-0.0164399632005879,0.9400966616261168,0.0285581932266097,0.9602754001399912,0.4274966696061857,0.5212221865096929,0.4061239416771163,0.4914378958908496,0.4497772820710823,0.5491711083409775,0.4642181298750711,0.6220561660171051,0.446116537872453,0.5841903174185415,0.4833314934678072,0.6566968101338829
6,13.64647852631579,0.2554294401644824,0.2340377610795071,0.2792517092385739,0.6854373640980085,0.6371803525717419,0.7275195796562492,0.8447733556160293,0.8371902068950743,0.852939047722224,0.9036630462249632,0.8976135829159573,0.9099858316032712,0.1090236401036877,0.067214128055515,0.1497808615235515,0.7332011526358588,0.7189525659144246,0.7471003610687508,0.510648579888036,0.4878240588955531,0.5298121032204572,0.5386575082226286,0.5002532549617925,0.5766593500053102,0.6179181836295491,0.5695151141312502,0.662033306746239,0.9188418365405944,0.911330965600458,0.9252762702319264,0.0219622185651016,0.7157801879559178,-0.006901203155485,0.6640968334576968,0.0485049363026959,0.7679754431390117,0.6591419334623443,0.1010876834963034,0.6357535747566132,0.0541513709838295,0.6793212971076763,0.1423704418123678,0.0062499826459585,0.955756042945795,-0.0204607019646643,0.9426653670522428,0.0360135847210265,0.9666084200155876,0.3785450995957388,0.5614898031123521,0.3497917354194301,0.5203901560438088,0.4069320478421694,0.6019387923950923,0.448169218241471,0.6545510669581819,0.4232201167204519,0.6047517644606456,0.4709702351946122,0.7030012450200807
7,13.75422494736842,0.2808784933669682,0.2556635698796415,0.3058515867176907,0.7138587680308777,0.6639931622831793,0.7664875408255096,0.852844216094494,0.8433260830709624,0.8625234358124358,0.8976498297117257,0.8893566051042028,0.905234048427496,0.1626515982958806,0.0930503772391501,0.2237876197072853,0.7401929382940236,0.7258143580649258,0.7544769161574811,0.527413604603185,0.5020377343194427,0.5543568278224772,0.5880681609993187,0.5295479496677198,0.6396206460754702,0.6455997710119632,0.5952438725886321,0.6951039139739463,0.9153426157172192,0.9042661922974622,0.922907719712412,-0.0193019721154161,0.7456154563405373,-0.0560268631279913,0.6852203193981706,0.0120504460671294,0.8033754477466973,0.6156117647145023,0.1573405010531361,0.5828760757735213,0.0776566052697096,0.6425043814664563,0.2171928873833373,0.001500149911372,0.9640350965083024,-0.0313161837965107,0.9527769842932496,0.0364604646103952,0.973975753264482,0.315027070032879,0.6032193107484215,0.2809268998827225,0.5335802123869943,0.3504979572200796,0.6581485866276479,0.4213776885459385,0.6858394367975582,0.3942103439756211,0.6286161056886818,0.4503564945904799,0.7403763238977318
8,13.861971368421052,0.2989737928222597,0.2690609472459709,0.3291047336888585,0.7369941102460924,0.6855157234279159,0.7819256394280094,0.8576051779071525,0.8455256586792373,0.8684683719193507,0.888354517696925,0.877818073295117,0.8972324366318134,0.2230414910457074,0.1301560795023698,0.3044483423903522,0.7476871526839399,0.7312759544715329,0.7636741506850412,0.5414098847778361,0.5095751428506138,0.5714778923358046,0.6319364454588768,0.554954764888393,0.6979578333007319,0.6745586666958272,0.6274803231787653,0.7177845922611228,0.9117650747795556,0.8970223769857383,0.9229965269840356,-0.0564874551327649,0.7571654128184885,-0.0935192593372461,0.7022904276910543,-0.0153586711871285,0.8113298602951247,0.5877765244087018,0.2053980066962912,0.5470009405831474,0.1073827772318939,0.62078851509257,0.2957122909803369,0.0055382927816336,0.9720714300533526,-0.0305008360075149,0.963982503379234,0.045340438579587,0.9785107019782664,0.2757100159042697,0.6400294172127245,0.2366693990313434,0.5491304840552351,0.3129873128488719,0.7214793368255434,0.410641069659865,0.70430192249973,0.3796146490576895,0.6556678660405902,0.4377219613816395,0.7603040941332552
9,13.969717789473684,0.3172654369741617,0.2793821723080017,0.3526479853945752,0.7452624503483087,0.7060620198743208,0.781756338908191,0.8586399962795788,0.8451204131763695,0.8704268123450521,0.8786105253621908,0.8667794782640454,0.8896999104445895,0.2964582390686704,0.1873461422630788,0.3837831137071695,0.759230855077689,0.7410792323306705,0.7762284065051888,0.5694337713637784,0.533611606802626,0.6027254290662976,0.6714947759169395,0.5991763286171743,0.7422166585813563,0.6921585462495887,0.6544273970211726,0.7261899144280622,0.9110785253126928,0.8959840885069773,0.923387713648271,-0.0702187592547315,0.7735534376278237,-0.1077266780272006,0.7266642667078883,-0.0267879551109915,0.8209588878847985,0.5825669368697952,0.2834163030881134,0.537981471849944,0.1621744840986282,0.6235014195316326,0.3857800601314409,0.0307296697472354,0.973933514966683,-0.0103784074102352,0.969339757386156,0.0727636019517292,0.9775401890959026,0.2695979976333559,0.6894446281210591,0.2297059582939715,0.6027237766451006,0.3106685142875084,0.7672402366148776,0.4184787802674279,0.7331076796825392,0.3824743592084374,0.6944866478253615,0.4509705618029474,0.7727671753446884
