bin,M_500c,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_cov,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_cov-,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_cov+,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov-,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov+,M_hot_gas_500c_Y_X_500c_cov,M_hot_gas_500c_Y_X_500c_cov-,M_hot_gas_500c_Y_X_500c_cov+,M_hot_gas_500c_Y_SZ_500c_cov,M_hot_gas_500c_Y_SZ_500c_cov-,M_hot_gas_500c_Y_SZ_500c_cov+,M_hot_gas_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov,M_hot_gas_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov-,M_hot_gas_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov+,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov-,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov+,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov-,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov+,T_sl_wo_recent_AGN_500c_Y_X_500c_cov,T_sl_wo_recent_AGN_500c_Y_X_500c_cov-,T_sl_wo_recent_AGN_500c_Y_X_500c_cov+,T_sl_wo_recent_AGN_500c_Y_SZ_500c_cov,T_sl_wo_recent_AGN_500c_Y_SZ_500c_cov-,T_sl_wo_recent_AGN_500c_Y_SZ_500c_cov+,T_sl_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov,T_sl_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov-,T_sl_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov+,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov-,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov+,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_cov,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_cov-,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_cov+,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_cov,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_cov-,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_cov+,L_X_ROSAT_obs_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov,L_X_ROSAT_obs_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov-,L_X_ROSAT_obs_wo_recent_AGN_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov+,L_X_ROSAT_obs_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov,L_X_ROSAT_obs_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov-,L_X_ROSAT_obs_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov+,Y_X_500c_Y_SZ_500c_cov,Y_X_500c_Y_SZ_500c_cov-,Y_X_500c_Y_SZ_500c_cov+,Y_X_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov,Y_X_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov-,Y_X_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov+,Y_X_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov,Y_X_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov-,Y_X_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov+,Y_SZ_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov,Y_SZ_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov-,Y_SZ_500c_T_mw_hot_gas_wo_recent_AGN_500c_cov+,Y_SZ_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov,Y_SZ_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov-,Y_SZ_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov+,T_mw_hot_gas_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov,T_mw_hot_gas_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov-,T_mw_hot_gas_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_ce_500c_cov+
0,13.0,0.005823080506296575,0.005739399490862871,0.0059149194585124765,0.04674240240827754,0.04631193462011402,0.04717311140539612,0.030349487058018234,0.030162699468738497,0.03054348229701644,0.026189162156284626,0.02602020163120987,0.0263456728274727,0.0016767716160862587,0.0016123680674839374,0.0017404544170719458,0.04164406270201647,0.041338693258974796,0.04199270662484441,0.02570402571482753,0.02529036182237684,0.026112521856675376,0.02372427089602739,0.023346212278008812,0.024115018784414386,0.011908336673632664,0.011791404456249465,0.012027035416072638,0.006072660457355177,0.006006430306825056,0.006140849129299561,0.026188651900240244,0.025733309444357175,0.026593556060265585,0.07245212245553675,0.0717486897881273,0.07315100561446886,0.0579466055218832,0.05742622491240534,0.05849332014806975,0.011197487893280341,0.010994536300689842,0.011455864930464,0.20851419177756148,0.20614334484876787,0.21099917991998143,0.03810048349245225,0.037856477599614094,0.038344420496609265,0.0077596651311268635,0.007642475914171615,0.007873320949483637,0.06782066183299167,0.06724030068200366,0.06841753267396876,0.011132647179569265,0.011027519373713122,0.011247431720200743,0.054595918847771846,0.05412652160414405,0.05500053808957376,0.01293376043100444,0.012736543280035779,0.013125706466578799
1,13.051158842105263,0.005524728091068479,0.0054350383513810255,0.005614741757031463,0.041726171802540596,0.04128769297739084,0.0421259986611697,0.027265812582309274,0.02708563889428121,0.027454851826346705,0.0233560825066045,0.023205425076502032,0.023509807337665972,0.0016068292868584065,0.0015435956020123046,0.001668876716024186,0.03744402183530981,0.03710498611962302,0.037780523303189574,0.023219413859397776,0.022820325256202787,0.02364987781222846,0.02390021447052911,0.023449645787801728,0.02440482038045286,0.011362525475825015,0.011235267803333872,0.011493753429315745,0.005838049780173388,0.005769536907320964,0.005911339747943607,0.02320294219327216,0.02278149615087572,0.023586848149140464,0.06497116761586763,0.0642505309243446,0.0656526320507215,0.05177849565146363,0.0512808060787162,0.052273338615830806,0.010025414379270734,0.009809303077486784,0.010257937579877523,0.18757214680738177,0.185144196406161,0.19010891709138117,0.0347217379427233,0.0344878222838994,0.03496057642075451,0.0074500178920968605,0.007331003915986654,0.0075581718120232575,0.060641027503678,0.06009309790532371,0.061157307917107294,0.010414342888387825,0.010309066160803501,0.0105210682704544,0.04897205489849117,0.048561024586584255,0.049398732876818605,0.011522256307821017,0.011336693974726635,0.011710324589880227
2,13.102317684210526,0.005254387214875068,0.005167464567109141,0.005342350899561902,0.03701462703549863,0.03659598499944822,0.03741843450776628,0.0244721919273225,0.024282622765274053,0.02465865008937082,0.020753004362691264,0.020598201052977282,0.020900159120388125,0.001537673507506354,0.001476437756648638,0.0015960728136518623,0.033521173648857844,0.03324707635015354,0.033823374267437326,0.02092281530153307,0.020464186985650345,0.021346357464837575,0.024281017579408454,0.023713991419526688,0.02488293765341879,0.010872606154117195,0.010738803413264013,0.010993543673917524,0.005607126141550622,0.0055321656510354065,0.005679793042144895,0.020416526591159057,0.0200064363210023,0.020813774539529394,0.057957958637724606,0.05728131331938476,0.05861714468025154,0.04592207589705284,0.045478728599948365,0.04644081170163098,0.008973070148309295,0.008749038671210532,0.009215205489098712,0.1672206590639338,0.1649665187689791,0.1693954488624005,0.031611905921862,0.03139626548360955,0.0318639760582292,0.007138973802909636,0.00702664428722941,0.007256573189372704,0.0539173263216858,0.053390218061739866,0.054501272169754686,0.009712394293133066,0.009603706241396856,0.00981633003947459,0.0437132471933505,0.04336474842554179,0.04412558695792252,0.0102156877922034,0.01003189398444081,0.010401800200378805
3,13.153476526315789,0.005027618628299971,0.004932395926997559,0.005121695418791247,0.03268873225050349,0.03232638212224983,0.03310877408279445,0.02201788382830313,0.021840252655192082,0.022207460434243292,0.018457446070972792,0.018322333997447537,0.01860313951610738,0.0014570151779062788,0.0013929910690703617,0.0015198018557761293,0.030028055068762983,0.029707195708381512,0.03030450947527392,0.018796034095673805,0.018357181814071283,0.019218352650533857,0.024833876322911314,0.02420696505733059,0.025506282107312993,0.010410132355503761,0.01028278760145026,0.01054423432840794,0.0053816544294765095,0.0052957789062044736,0.005463258344549745,0.017764960338961435,0.01735951666690539,0.01818339329108351,0.05154056096592852,0.05084465232161906,0.05217534514786126,0.04077158777733171,0.04030814182610193,0.04130928052036914,0.008050703590728996,0.007815152446378247,0.008280388015453832,0.1481864698685712,0.14580600809968575,0.1505107664738873,0.028871314397892558,0.028635020492838944,0.029123767760854607,0.006833159049663079,0.006716182485662722,0.006958916105104083,0.047798045850845884,0.04723095729279628,0.04835567825149147,0.009027647701701363,0.008907581217708566,0.009132647945714776,0.03902294397299307,0.03862916963427434,0.039406282898265844,0.009018779102757996,0.008818072012295529,0.009195725121584512
4,13.204635368421053,0.0048317616661110434,0.004728805691449992,0.004932219266924331,0.02895084505261014,0.028611417946759702,0.029329528426242913,0.01993887046576395,0.01975372677941518,0.020137868292507896,0.016485165744743464,0.01634776379461642,0.016632397652359365,0.0013659161676358384,0.0013072178136563988,0.0014258824591656112,0.026932426494674665,0.026634622979595533,0.02722551237719381,0.01690499250378227,0.01648738002653409,0.017361629430362135,0.025548776223013804,0.024757611711366468,0.02636743867442053,0.010000873155583807,0.009866605412844117,0.0101380573692356,0.005178418087007473,0.005094599228417191,0.0052595238997405185,0.01538012785489198,0.014978097300103396,0.01578675446181419,0.0458787719453779,0.045219864668934656,0.04652858138014545,0.036195911782226725,0.035706685198740186,0.03667793689572443,0.007237047991716178,0.0070189052883828556,0.007468691241575348,0.13075229014721784,0.12874113078534677,0.1331565225111807,0.026471727432446232,0.02622172662588825,0.026734916417672904,0.0065377492377437126,0.0064113153939285945,0.006673322578012531,0.042303464906919365,0.04174278974662968,0.04288111413554391,0.00838610306505026,0.008275833292029805,0.008495246094272418,0.034864491717468166,0.03449219669902258,0.03523768328284159,0.007935583944716966,0.007761931862779289,0.008116270698975494
5,13.255794210526316,0.004670230182750831,0.004566004943656016,0.004784879787592461,0.02569890949665562,0.025331951466880793,0.02605270561573254,0.018225171131302474,0.018024925457244413,0.01842390391004436,0.01481174634643748,0.01467073454096169,0.014956739853123369,0.001254436945172529,0.0011969769743029742,0.0013183832796965702,0.024341570101728743,0.024064580968476128,0.024635922645835147,0.015311777843556477,0.014883431232392294,0.01576205684533685,0.026448404279662698,0.025534860070853385,0.027490805299369946,0.009650389488396097,0.009505228293353174,0.009818992786041937,0.004985453426283664,0.004892895521574705,0.005075804739173099,0.013275415184446467,0.012895016215639366,0.013717662055450532,0.040986308109114626,0.04026865591183334,0.04165082596294457,0.032240026795450155,0.031760652165612115,0.03271442311754017,0.006553464487975811,0.006333863885533181,0.0067935573190509475,0.11505835056093983,0.11298053003366862,0.11717720670688216,0.02446831076043053,0.024209311714572586,0.024743826160068698,0.006231955658418955,0.006112453861129043,0.006362904867970014,0.03763509646357925,0.03708821120884378,0.0381823044279006,0.007770737862169827,0.007665482294435794,0.007886912889330387,0.03133557441699657,0.030951152713833655,0.03170644387840699,0.006964147683776249,0.00677238671258319,0.0071388615687618655
6,13.30695305263158,0.004535971920828588,0.004418112374031507,0.0046569384051947105,0.022984001329071996,0.022615036751034875,0.023342798944118625,0.016857052516909082,0.01663370462563648,0.017073088141034316,0.013429984311195235,0.013293407407115492,0.013581437239197395,0.0011135607875524067,0.001055530568908987,0.0011734233242398015,0.022246003344479653,0.02196508551400796,0.022517871929862435,0.01395799483683021,0.01349537576031326,0.014422604744705464,0.027461178732658797,0.026358103942013485,0.028585053934375385,0.009337554727291097,0.00915383289837615,0.009493269156127915,0.00479540927403003,0.004704553739040243,0.004893028143171142,0.01139893140438572,0.011001830618891848,0.011817650296979605,0.03691310520970581,0.03618140443536048,0.03762314553150576,0.02894111319843063,0.028451395516068217,0.02943576774851305,0.005952733973939121,0.005709196693267653,0.006208314101822299,0.10145731603527455,0.09952076822042477,0.10381185552469502,0.022770025755080456,0.022515772949379884,0.023053666732711687,0.005912875305612245,0.005778420351737861,0.006060832292809023,0.0336345584250555,0.03307912790566358,0.034239794910453224,0.007178752019071464,0.007074266343499137,0.007294067471331131,0.02830030797395742,0.027955609924886417,0.028692274803749775,0.006065899143218681,0.005885215379907203,0.00625679061837317
7,13.358111894736842,0.004422631872428294,0.004285578332254745,0.004562443688787767,0.020780663009981316,0.020377452790968476,0.021147726019402405,0.01576424086609753,0.01553190888092509,0.01598631653118357,0.012292581641784886,0.01214464911723843,0.012439827034235209,0.0009489101209279202,0.0008809287757055329,0.0010197785798788746,0.020551263934437597,0.020260368025745684,0.020835084513996453,0.01285250575666111,0.012395777923601584,0.013384797259782208,0.028561504277701877,0.02728680244973471,0.02992868667425585,0.009039318325009258,0.00886250768547989,0.009214475876924878,0.004639025886051154,0.0045285532134639265,0.004751463901693347,0.009827093559638466,0.00932958706472235,0.010295530817849273,0.03360206317318411,0.032891855197177605,0.03438475270979446,0.026207570325590793,0.025728697396183445,0.02668383880201717,0.00540214918707132,0.005160512836005388,0.005644126581930934,0.08976477016227012,0.08786755897664932,0.09172680098128155,0.021334738810778735,0.0210472510190638,0.021634354652098953,0.005578931706140169,0.005437473377457422,0.005732419951411694,0.030393671965630347,0.029740603727337507,0.030947965759588608,0.006632564361097103,0.006515508415520273,0.006746642847528878,0.025785519940250797,0.025439044072315547,0.026171009400783346,0.005236889573616848,0.005052178472118877,0.005423219761868087
8,13.409270736842105,0.0042877364564934736,0.004137761032250924,0.004441585517452208,0.018976571201709837,0.01857068269376305,0.019370526666072755,0.01489585208127758,0.014647991854863552,0.015142436056866724,0.011342800238982504,0.01120253524334273,0.011508100237434678,0.0007529566964901875,0.0006842580130468595,0.0008272128621271653,0.019231908568397092,0.01892540752261703,0.019544984870584307,0.011979417098836624,0.011378419132660807,0.01249855718283758,0.029793513618919937,0.028256511449631278,0.03134423665247473,0.008784173954900179,0.008577411750702079,0.008985720847755362,0.0044837545307389835,0.00435414842683331,0.004612671128408436,0.008410856087514062,0.007870994973770857,0.008916426219761473,0.0308417616927486,0.03011377455730002,0.03165460673251831,0.023889800726379844,0.02340903727663504,0.024393064505172174,0.004925227459439949,0.004664732558100288,0.005213691554605961,0.07999227920007954,0.07813258576343102,0.08199371664231739,0.020124376767913066,0.019813550084180186,0.020443481075522834,0.005231746333251794,0.005079182080127807,0.005395439570393074,0.027667550423132937,0.02699117469138081,0.028360258571022964,0.006094732939403441,0.005988412226418059,0.0062160909652453755,0.02368988716676055,0.023332439618775395,0.024063773038778942,0.004435384131900021,0.0042467142353892475,0.004627519780165175
9,13.460429578947368,0.00419365188609698,0.004011093741221408,0.004365319015456852,0.017517449226814023,0.01709255386924647,0.017934944557476667,0.014214041584619138,0.013934930801277815,0.014474570903049043,0.010546582255411288,0.010378577753652083,0.010710064859757102,0.0005228203288315965,0.00044213124342977646,0.0006012957662172428,0.018264791432931353,0.01789166833022444,0.01860576361256443,0.011233603003667415,0.010592133591001078,0.01181797740510604,0.030957327397378838,0.02928171935172606,0.03265606192093538,0.008540464563988838,0.008300691971981307,0.00875534190975677,0.004347013117714092,0.0042127016704130256,0.004489247414586199,0.007252975120202823,0.006644811517471155,0.007827684114982901,0.028713264417149303,0.027862977840495587,0.02956950053329546,0.021965572810857044,0.021482462236401028,0.02249933546431902,0.004472663746296981,0.0042077286915315785,0.004742790734317295,0.07180436003451621,0.07010430999847164,0.07370146036707922,0.01907852811826731,0.018745850517932747,0.01938136273865393,0.004865534237932305,0.004674052157666677,0.00504590832424489,0.025456287910458363,0.024763213273556767,0.02624582415788256,0.005606008154971778,0.005485481851313689,0.005736053714239237,0.021929533810845447,0.02153396069491585,0.022316111311363976,0.0036648520389935364,0.003457239502967408,0.003859152816833149
