bin,M_500c,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_cov,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_cov-,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_cov+,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov-,M_hot_gas_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov+,M_hot_gas_500c_Y_X_500c_cov,M_hot_gas_500c_Y_X_500c_cov-,M_hot_gas_500c_Y_X_500c_cov+,M_hot_gas_500c_Y_SZ_500c_cov,M_hot_gas_500c_Y_SZ_500c_cov-,M_hot_gas_500c_Y_SZ_500c_cov+,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov-,T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_cov+,T_sl_wo_recent_AGN_500c_Y_X_500c_cov,T_sl_wo_recent_AGN_500c_Y_X_500c_cov-,T_sl_wo_recent_AGN_500c_Y_X_500c_cov+,T_sl_wo_recent_AGN_500c_Y_SZ_500c_cov,T_sl_wo_recent_AGN_500c_Y_SZ_500c_cov-,T_sl_wo_recent_AGN_500c_Y_SZ_500c_cov+,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_cov,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_cov-,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_cov+,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_cov,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_cov-,L_X_ROSAT_obs_wo_recent_AGN_500c_Y_SZ_500c_cov+,Y_X_500c_Y_SZ_500c_cov,Y_X_500c_Y_SZ_500c_cov-,Y_X_500c_Y_SZ_500c_cov+
0,13.0,0.0115382989854443,0.0114405258606558,0.0116289500456246,0.0731661180954279,0.072684245700752,0.073651906362489,0.0717058557371301,0.0714144219809849,0.0719790807721166,0.0670659096711485,0.0667818519547072,0.0673334288954106,0.032012550158311,0.0317007500242024,0.0323022309196419,0.0315731151027495,0.0314057140398609,0.0317395075010557,0.0262250595557919,0.0260793514866388,0.0263732604202946,0.1052377497498955,0.104586265570652,0.1058497472828649,0.0971354396704228,0.0966108555472606,0.0977021973258326,0.0932922439913838,0.0929271426477813,0.0936553273705479
1,13.093647789473684,0.011157289111945,0.0110748103681739,0.0112389295647305,0.0587175594023105,0.058332107854914,0.0590981113122662,0.0592535880893007,0.0589900803037233,0.0594824018263161,0.0545214412570806,0.0543129778994278,0.0547408473774032,0.0267068517693277,0.0264533387887372,0.0269625864341804,0.0296281340693212,0.0294572883096243,0.0297926345134009,0.0235932589224967,0.0234670110309361,0.0237387939562789,0.0854661450575178,0.0849111831078688,0.0860195880404845,0.078532779010567,0.078083578672078,0.0790355656577452,0.078128953110721,0.0777735820067099,0.0784503062754351
2,13.187295578947367,0.0105920915028848,0.0105167320529068,0.0106725117919544,0.0478334995261626,0.0475005232563188,0.0481440145181914,0.0492121902861056,0.0489828518875881,0.0494458213738902,0.0443764572528684,0.0441853816549542,0.0445604833073838,0.0224920745416729,0.0222518185710979,0.022716356310427,0.0274146262918248,0.027246217444761,0.027586040876095,0.0210258434128565,0.0208834026370866,0.0211580432282824,0.0703143765677347,0.0698335988207569,0.0707810201361865,0.0639671006867326,0.0635389148431826,0.0643497252942198,0.065421289559297,0.0651045577088834,0.0656977720108736
3,13.280943368421052,0.009864687573542,0.0097815451842232,0.0099409718741084,0.0402139903372871,0.0399252947005544,0.0404912850715604,0.0415473366084838,0.0413470316551416,0.0417550706205781,0.0366271399450343,0.0364515837749858,0.0368091858454994,0.0191983016830149,0.0189573103259554,0.0194121057102219,0.0250334110663472,0.0248411698448786,0.0252411062220022,0.0185769334718589,0.0184651457760035,0.0187050177453399,0.0593993406624651,0.0589595321730503,0.0598102631970563,0.0530824752478567,0.0527119763701131,0.0534559733604026,0.0552080046168554,0.05491788664992,0.0554860686585151
4,13.374591157894736,0.0089561548856608,0.0088801488610928,0.0090354142732777,0.0349327784026209,0.0346669284972534,0.0352020482133375,0.0356483302327999,0.0354366629202868,0.0358391028692015,0.0307206638465891,0.0305720687052064,0.0309045146816767,0.0164704985381075,0.0162369959882048,0.0166815862035164,0.022533481259587,0.0223109177408368,0.0227494980585853,0.0162410862084387,0.0161225285706182,0.0163636428006401,0.0514070978986179,0.0510036381948849,0.0518039394206584,0.0449821379602001,0.0446576210666368,0.0453086783507243,0.0469674791640408,0.0467062675789547,0.0472413158378576
5,13.46823894736842,0.0078581989278999,0.0077863734406372,0.0079308530447894,0.0310706243622548,0.0308412739226092,0.0313433674572251,0.0308523621047313,0.0306550870411531,0.0310381965037973,0.0260503636245167,0.025889757846561,0.026204416628051,0.013952740324227,0.01374800679296,0.0141620877449377,0.0197995270819762,0.0195630258468295,0.0200541981173747,0.0139366039397121,0.0138075268195083,0.0140566766528394,0.0450313322373294,0.0446257554193806,0.0453998850822601,0.0385707673044603,0.0382436298298564,0.0388899139899954,0.0399711814987641,0.039729836541533,0.0402245971272956
6,13.561886736842103,0.0065990710568182,0.0065269002970733,0.006672876026965,0.0278946165740369,0.0276510991757024,0.0281273478285043,0.0266253482111717,0.026443172899859,0.026807636790271,0.0221302000193928,0.0219736771902457,0.022287515703741,0.0115079188247571,0.0113056956169497,0.0116892395629245,0.0169851231137898,0.0167432198752641,0.0172284180305682,0.0116825099030612,0.0115615561845993,0.0118008425013673,0.0394103034603181,0.0390365625163868,0.0397809780446666,0.0331414859316921,0.0328403529937868,0.0334257475380153,0.0338148707259466,0.0335695859542271,0.0340666935745183
7,13.65553452631579,0.0053001113615028,0.0052250708396134,0.0053707951448105,0.0250008630829327,0.0247369988839723,0.0252513687485971,0.0227451468228207,0.0225801593237064,0.0229178803904744,0.0186796271292891,0.0185459013010311,0.0188297480826709,0.0091783023854802,0.0089967364782389,0.0093466543643239,0.0142426637932478,0.0139588397971546,0.0145550836391686,0.0095836921199005,0.0094659406089558,0.0096853003643436,0.0341709308938341,0.03385222637296,0.0345197171807051,0.0283122397781157,0.0280619504197234,0.0285852104467871,0.0282590014366952,0.0280373421851067,0.0284964002892123
8,13.749182315789474,0.0040718779420597,0.0040016312134506,0.0041450970684022,0.0221969792474865,0.0219731611169094,0.0224222724516997,0.019141281066828,0.0189687064883735,0.0193103984749934,0.0156243857012675,0.0154907735432387,0.0157582185332146,0.0070901040596813,0.0069188476149483,0.0072496405490536,0.0118852770039441,0.0115220233249626,0.0122688776818414,0.0077681042385546,0.0076658897969091,0.0078793440299514,0.0292689306853002,0.0289405796179434,0.0295678492845204,0.023994511379671,0.0237517616077507,0.0242461701419691,0.0233799343810436,0.0231716978177554,0.0235766401661323
9,13.842830105263156,0.0030252791649374,0.0029541463678475,0.0030894234569987,0.0194659026444806,0.019224656818736,0.0196758312453541,0.0158705602990829,0.0157181741154565,0.0160166010421198,0.0129078909326849,0.0127806357385865,0.0130325954293926,0.0053576197423795,0.0051745685561223,0.0055247327607148,0.0099967228830829,0.0095944918567935,0.0104933040714982,0.0063230242643786,0.0062205950844177,0.0064189012891584,0.024838143550632,0.0244950091911768,0.0251483123022522,0.0201840380475147,0.0199368891698242,0.0204221070065437,0.0192146667158711,0.0190303907643029,0.0193986805999663
