bin,M_500c,M_hot_gas_500c_T_sl_500c_cov,M_hot_gas_500c_T_sl_500c_cov-,M_hot_gas_500c_T_sl_500c_cov+,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov-,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov+,M_hot_gas_500c_Y_X_500c_cov,M_hot_gas_500c_Y_X_500c_cov-,M_hot_gas_500c_Y_X_500c_cov+,M_hot_gas_500c_Y_SZ_500c_cov,M_hot_gas_500c_Y_SZ_500c_cov-,M_hot_gas_500c_Y_SZ_500c_cov+,T_sl_500c_L_X_ROSAT_obs_500c_cov,T_sl_500c_L_X_ROSAT_obs_500c_cov-,T_sl_500c_L_X_ROSAT_obs_500c_cov+,T_sl_500c_Y_X_500c_cov,T_sl_500c_Y_X_500c_cov-,T_sl_500c_Y_X_500c_cov+,T_sl_500c_Y_SZ_500c_cov,T_sl_500c_Y_SZ_500c_cov-,T_sl_500c_Y_SZ_500c_cov+,L_X_ROSAT_obs_500c_Y_X_500c_cov,L_X_ROSAT_obs_500c_Y_X_500c_cov-,L_X_ROSAT_obs_500c_Y_X_500c_cov+,L_X_ROSAT_obs_500c_Y_SZ_500c_cov,L_X_ROSAT_obs_500c_Y_SZ_500c_cov-,L_X_ROSAT_obs_500c_Y_SZ_500c_cov+,Y_X_500c_Y_SZ_500c_cov,Y_X_500c_Y_SZ_500c_cov-,Y_X_500c_Y_SZ_500c_cov+
0,13.0,0.006591393169442,0.0056248911087571,0.0074623177169627,0.2170506675584049,0.2094384560784489,0.225663127441183,0.0884478457056537,0.0858777666817519,0.0912379021121048,0.0612620194927304,0.0590203114464102,0.0634288676940237,0.0581167598339309,0.0534723033813045,0.0635246320332719,0.0277582196637049,0.0261163924284096,0.0294849453548387,0.0166839915941528,0.0157934097916723,0.0175625097266493,0.2753078883818491,0.2641598087960683,0.2860586195552624,0.1677714017257973,0.1610183581582384,0.1749990882269634,0.0779734997953165,0.0755166073431325,0.0804265896465328
1,13.049368,0.0062332200212077,0.0052848102332131,0.0071542069997891,0.1912537497110527,0.1841213996615867,0.1984792475151558,0.078739939287715,0.076301338096976,0.0814728909641901,0.0544825284924859,0.0524528333631508,0.0565392556714344,0.0538302355259156,0.0482493702576103,0.0594971180551363,0.0273809809148178,0.0257326550146137,0.0291807100159337,0.0163354669158798,0.01548068074997,0.0172292713234585,0.2440433835324989,0.2342362705458324,0.2545191776188805,0.1473674391194945,0.1410564565086512,0.1539322846680553,0.0707471290977323,0.0683733055917636,0.0730539305110051
2,13.098736,0.0058978525952495,0.0049984850514322,0.006902810162517,0.1655723174258751,0.1585012906771389,0.1727179910405527,0.0692164071210249,0.0665223690725812,0.0718934471302065,0.0476642926540883,0.0457877765526267,0.0494522294676698,0.0484485794475607,0.0433697020587157,0.0542912045662932,0.0270994837509007,0.0253560775805121,0.0289652201492408,0.0160624861362471,0.0151335425148542,0.016976446151472,0.2149010390401837,0.2045675518709248,0.2245939773296273,0.1288241326412816,0.1228719141791825,0.1344144630480046,0.0637098190219583,0.061452439666697,0.065880268546951
3,13.148104,0.0057258806638117,0.0047733646324448,0.0066981683585419,0.1426153821284428,0.1358887368063154,0.1493532926516135,0.0603708541164092,0.0577551191683472,0.0629737432938344,0.0413804894901731,0.0396079107482906,0.043175459675317,0.0438835821106251,0.0388231538944252,0.0493758453890062,0.0267268139189279,0.0250471954950477,0.0286701042009862,0.0157310230961253,0.0148514232582941,0.016666386013584,0.1866844170309291,0.1770000900284805,0.1954252278798307,0.1108791764969099,0.1052746304170446,0.1171583966835745,0.0571438069270764,0.0549434890928459,0.0595250279308453
4,13.197472,0.0055464222178279,0.0045952084950009,0.0064721340423413,0.1209556914737979,0.115346581605681,0.127999927350279,0.0522085567531827,0.0497929147470588,0.0548917887429769,0.035743565168506,0.0339171293284691,0.0375488925075939,0.0398357785523067,0.0345604599009541,0.0445998906229779,0.0265651215674758,0.0246698823616352,0.0284529104327685,0.0153109369904808,0.0143546215938389,0.0163594624699379,0.1607141522904959,0.1520238209887283,0.1705848412520571,0.0947727499671861,0.0887511766992368,0.1002512161361838,0.0512953339551055,0.0489274841591238,0.0534063807566403
5,13.24684,0.0054000626907174,0.0044436449879703,0.0063694863813226,0.1018686439810123,0.0955644264377585,0.1077535512486296,0.045248325455223,0.0428317104050133,0.0478937578680076,0.0310782719391901,0.0292318901035845,0.0331606785856355,0.035817858335547,0.0311157604214914,0.0406736479408262,0.0263439621414064,0.0246696534047633,0.0282845009455164,0.0149704868387615,0.0139929933800268,0.0160709509195395,0.1384036573448719,0.1296100153701795,0.1468730030248584,0.0802784325265004,0.0756199345164592,0.0856976416509678,0.0461362861884315,0.0439991698018315,0.0485507928313215
6,13.296208,0.005322006946089,0.0044113989191837,0.0062501253207043,0.0851117311087545,0.0794816410867676,0.0909705046586899,0.0395049581817213,0.0370578327240944,0.0419814197243631,0.0270587315056642,0.0250524804088584,0.0290604975373152,0.0326823701683584,0.0284460319244733,0.0368334992093963,0.0262265348767354,0.0243659403164229,0.0281162830543638,0.0146588411783758,0.0135873124827136,0.0157587198023176,0.1178576763491176,0.11019012504568,0.1257507079124448,0.0687241713921954,0.0638101881764221,0.0738653740226954,0.0417352595685246,0.0393295022212052,0.0443069072485538
7,13.345576,0.0053022672988709,0.0043833999772318,0.0062018980869766,0.0711816806139395,0.0660793233241705,0.0767315868004286,0.0345475904966882,0.0321334612346388,0.0376759511616965,0.0237937174356831,0.0217006484556597,0.0263737339628535,0.0293895408850763,0.0254526856938485,0.0333560142956606,0.0261521014096331,0.0243916216881845,0.0280180199217477,0.014408032256908,0.0133743817604188,0.0154023576366994,0.1006666479202966,0.0938455831722411,0.1075086947923522,0.059125428180292,0.0542161991132866,0.0640732474437827,0.0384774087393425,0.035784018060786,0.0413205757893506
8,13.394944,0.0052763385650084,0.0043983228847978,0.0062647480035614,0.0591225048620259,0.0542536315717566,0.0639745869893381,0.0304001476030164,0.0277625797687111,0.0332763081782623,0.0212076835415767,0.018704536920898,0.0243635392829371,0.0271381805571843,0.023491348112609,0.0305168259709409,0.0262708847373806,0.0243924490647119,0.0281074556430091,0.0141220690551078,0.013046406976091,0.0152396040589464,0.0860482057035617,0.0795005130285595,0.0933019784795361,0.0507312558898267,0.0461703172592019,0.0558222102373312,0.0353376597435181,0.0324696720574461,0.0386159870220696
9,13.444312,0.0053091962833231,0.0045218941701782,0.0062550707088934,0.0494911693206692,0.0446158397204045,0.0545048650855082,0.0273739673904781,0.0240517748860564,0.0312958116705316,0.019131732617389,0.0157065465000243,0.0226202314318646,0.0256030193472376,0.0225787171421181,0.0288869611851078,0.0265054751459417,0.024512107257543,0.0283653661323144,0.0140558122631672,0.0129000359858809,0.0150915585474027,0.0747578569330995,0.0685579149278315,0.0816415395210574,0.0435377146178253,0.0388768693903504,0.0489844307288509,0.0331620609063899,0.0300014682354747,0.0370692066109052
10,13.49368,0.0052349659924715,0.0044513836964282,0.0060185264934982,0.0409637672879908,0.0364484410163353,0.0463111268319078,0.0248721056225865,0.0208985053982695,0.0296838027214711,0.0172819776151931,0.013412273446426,0.0215965275503173,0.0239198441039099,0.0208447893280711,0.026927383201038,0.0268319580120675,0.0249524377677776,0.0289065471154586,0.0139119662546485,0.012894134537517,0.0150953594734932,0.0650985576768939,0.0586096393314592,0.0721577128117764,0.038403590370674,0.0335100496103756,0.0438000419530125,0.0313659777726655,0.0275346080776434,0.0363116809563334
11,13.543048,0.0052815749230018,0.0044682591958633,0.0060851463340998,0.0339586439721971,0.0291603163932784,0.0400442064332152,0.0223591344108049,0.0182083570363209,0.0275356744501724,0.0161810072255322,0.0116818433819141,0.0213812940745758,0.0229993297041587,0.0199252116388294,0.0260721203199032,0.0274306292619623,0.0253897828244693,0.0293610076123649,0.0140613478435042,0.0128643545864479,0.0152744517451811,0.0576933674996216,0.0517391927856253,0.0641054320769635,0.0341010131707936,0.0291178751526854,0.0394240951325945,0.029919934628467,0.025559844501913,0.03564724242162
