bin,M_500c,M_hot_gas_500c_T_sl_500c_cov,M_hot_gas_500c_T_sl_500c_cov-,M_hot_gas_500c_T_sl_500c_cov+,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov-,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov+,M_hot_gas_500c_Y_X_500c_cov,M_hot_gas_500c_Y_X_500c_cov-,M_hot_gas_500c_Y_X_500c_cov+,M_hot_gas_500c_Y_SZ_500c_cov,M_hot_gas_500c_Y_SZ_500c_cov-,M_hot_gas_500c_Y_SZ_500c_cov+,M_hot_gas_500c_T_mw_hot_gas_500c_cov,M_hot_gas_500c_T_mw_hot_gas_500c_cov-,M_hot_gas_500c_T_mw_hot_gas_500c_cov+,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov-,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov+,T_sl_500c_L_X_ROSAT_obs_500c_cov,T_sl_500c_L_X_ROSAT_obs_500c_cov-,T_sl_500c_L_X_ROSAT_obs_500c_cov+,T_sl_500c_Y_X_500c_cov,T_sl_500c_Y_X_500c_cov-,T_sl_500c_Y_X_500c_cov+,T_sl_500c_Y_SZ_500c_cov,T_sl_500c_Y_SZ_500c_cov-,T_sl_500c_Y_SZ_500c_cov+,T_sl_500c_T_mw_hot_gas_500c_cov,T_sl_500c_T_mw_hot_gas_500c_cov-,T_sl_500c_T_mw_hot_gas_500c_cov+,T_sl_500c_L_X_ROSAT_obs_ce_500c_cov,T_sl_500c_L_X_ROSAT_obs_ce_500c_cov-,T_sl_500c_L_X_ROSAT_obs_ce_500c_cov+,L_X_ROSAT_obs_500c_Y_X_500c_cov,L_X_ROSAT_obs_500c_Y_X_500c_cov-,L_X_ROSAT_obs_500c_Y_X_500c_cov+,L_X_ROSAT_obs_500c_Y_SZ_500c_cov,L_X_ROSAT_obs_500c_Y_SZ_500c_cov-,L_X_ROSAT_obs_500c_Y_SZ_500c_cov+,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_cov,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_cov-,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_cov+,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_cov,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_cov-,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_cov+,Y_X_500c_Y_SZ_500c_cov,Y_X_500c_Y_SZ_500c_cov-,Y_X_500c_Y_SZ_500c_cov+,Y_X_500c_T_mw_hot_gas_500c_cov,Y_X_500c_T_mw_hot_gas_500c_cov-,Y_X_500c_T_mw_hot_gas_500c_cov+,Y_X_500c_L_X_ROSAT_obs_ce_500c_cov,Y_X_500c_L_X_ROSAT_obs_ce_500c_cov-,Y_X_500c_L_X_ROSAT_obs_ce_500c_cov+,Y_SZ_500c_T_mw_hot_gas_500c_cov,Y_SZ_500c_T_mw_hot_gas_500c_cov-,Y_SZ_500c_T_mw_hot_gas_500c_cov+,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_cov,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_cov-,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_cov+,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov-,T_mw_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov+
0,13.0,-9.986214510309462e-05,-0.0008173232158816126,0.000620337624920347,0.290665423561535,0.2839352942831885,0.2973919886781619,0.10516664865294569,0.10317757405191723,0.1075071569946737,0.09288935711480956,0.09102640946145919,0.09492145384371331,-0.012366490551659354,-0.013084365763606966,-0.011651056905338348,0.2816261619949444,0.2752732281441578,0.288123806800255,0.02680859348758416,0.022806048942036704,0.031632280503688444,0.023591535577567525,0.02247310894188367,0.02476871572110874,0.014487376233788719,0.01375601524218227,0.015249038975769312,0.014497494319341513,0.014070213725835164,0.015007588754033435,0.03437652033665481,0.030423076497053603,0.038810731598160036,0.31757851382773733,0.30945075856020643,0.32681793790920194,0.24237103745153304,0.23591601367916076,0.24928771972224437,-0.048108219298906914,-0.05099802926183791,-0.04524882369558272,1.3763192595975826,1.3383325087562923,1.4125958937168768,0.1072548955983275,0.10502723426047808,0.10943607235037313,0.0020724577858363307,0.0012749237411138004,0.002952923856898869,0.3159805282857312,0.30699074538271076,0.32460905742296464,0.010318988836020074,0.009575558897059511,0.011100119733971047,0.2372605720479667,0.2305478520248033,0.24279922662554332,-0.044390430885245996,-0.04706502377036727,-0.04172565170746163
1,13.095847789473684,-0.0007135810372121592,-0.0013689320409293127,-0.00010139313444908369,0.212335376574634,0.20681345236443896,0.21862564963222364,0.07837663951157615,0.07655009163871579,0.08032672011539033,0.0701435383834946,0.06853329022981924,0.0719333702823802,-0.008831374077277238,-0.009437095472186382,-0.008236474041926145,0.2081968354892628,0.20297131112589809,0.21309077107218605,0.011646196758857662,0.008150575650443562,0.01541451417405263,0.02274733689173473,0.021647607847230316,0.023786661848545235,0.013390244099386533,0.012668660749849377,0.01402245777807137,0.014075250085655357,0.013639333482957046,0.014539833481344385,0.016291417873443112,0.012868973583648764,0.020241771589557606,0.22346165481274144,0.21650042938582614,0.23036714001600447,0.1748250968028378,0.1697373266988754,0.18020318916088235,-0.0375523660878227,-0.040111517994368046,-0.035248274774273454,1.0352262387306683,1.003730876889523,1.0651936439293912,0.08369527760027784,0.08158751956012557,0.08566507197832202,0.0053256898886778715,0.004573258364822213,0.006062306053096413,0.22535538745722455,0.21906202144596135,0.23165831350735847,0.010321542563283758,0.009661638453849635,0.010943477063734046,0.1726966502952733,0.16799100057433428,0.1777097428826152,-0.03561907933286597,-0.03790285395421276,-0.03325632550821447
2,13.19169557894737,-0.0009054594284896911,-0.001515699317315564,-0.0002693067784466435,0.14872062600699493,0.1444218816513141,0.15304703705295708,0.05648096651632613,0.05492148731045108,0.05808328072825828,0.05157804044068154,0.05025568084465257,0.052930449211626374,-0.005815642879473462,-0.006288061207735451,-0.005291603617591818,0.14676285355511703,0.14249175066982955,0.1509497321211199,-0.00036935795236173316,-0.0032791335053519327,0.0024653016521983206,0.02233835027045939,0.021442449100852905,0.023241465473702067,0.01250630949551388,0.011833049337348463,0.013262033180871834,0.01344779045625418,0.013004072135979592,0.013838873777498489,0.002590220583325509,-0.00019285843725038213,0.005415733623874995,0.14822249147361544,0.14303751900150527,0.15344063588029266,0.1210591685204998,0.11674641003021693,0.12530527915870182,-0.027558507577594454,-0.02949239832629653,-0.025442976519426886,0.7410100479641792,0.7184164751550065,0.7649044865752992,0.06403767198078802,0.06234189145713649,0.06580130492691298,0.007617182062354408,0.006927401479473025,0.008292580328539927,0.14964435981608232,0.14446584959100614,0.1546598607912834,0.009875607151519618,0.009301083691242835,0.01046449455736137,0.12039624371656696,0.11631692872189729,0.12457299096860336,-0.026432210715814728,-0.028553623313680648,-0.024365335269700715
3,13.287543368421053,-0.0005819363101083371,-0.0011165135187180188,-2.745489674457116e-05,0.10065902156981207,0.09752646289298031,0.1040094144121866,0.04038338814492909,0.039260909328395044,0.04162391192312426,0.03761192257392644,0.03648637586718095,0.03860971346061256,-0.0034050328188641923,-0.0038191926758615827,-0.002979648156680972,0.10041000279148943,0.0972214603729513,0.10343123889712674,-0.007401396053981364,-0.009544962700795714,-0.005055512854894788,0.022189355896240007,0.0213606497667146,0.02318473782300043,0.011878114787908425,0.011161591177897681,0.012593676614734562,0.012368943829071067,0.011970083229548931,0.012833789974624508,-0.0057521809362010325,-0.0080953619585003,-0.003530552591761815,0.09313588767685362,0.08932015421189886,0.09677663559605452,0.08172072041457842,0.07854288680773729,0.08514554830393552,-0.01891229227386514,-0.02062843197876098,-0.017082602780124294,0.5091862133491918,0.49077846915454826,0.5280699293280614,0.0493941151075846,0.0479353961188324,0.050859084504569274,0.008980311507748931,0.008380331507539928,0.009579042282908996,0.09468949660075415,0.0907523214768044,0.09871943581690293,0.009250166680374622,0.008672363953952864,0.009801883213599222,0.08225896292963807,0.07908318248894466,0.0856009259365789,-0.01798585977375696,-0.01986024274453137,-0.01622525135077446
4,13.383391157894737,0.00026682088518383847,-0.0003043808199047204,0.0007972552509579365,0.06737929749015661,0.06502749044207665,0.06981698470280456,0.02970124569298438,0.028528280897943598,0.0308061014513688,0.027802738470492153,0.026902383749394798,0.02876547519258488,-0.0015962691923883559,-0.0019524674131845747,-0.0012239707636792767,0.06763371251906271,0.06527549979779723,0.07002931326123477,-0.009941660827132433,-0.01198102188118088,-0.007746248438309911,0.022480185762157115,0.02151747372750075,0.02341549823178259,0.01130100778922894,0.010610319404684638,0.011972980344072768,0.011088636718715248,0.010638494047429958,0.011516305917213416,-0.008863498788851848,-0.010815519325828554,-0.006979434198389612,0.057462468380496255,0.05447689567412553,0.0606378017942412,0.055506421419653645,0.05292231882210018,0.05819295166259978,-0.011749705533701131,-0.013410569172223271,-0.010269436712500525,0.3433469649896931,0.3290239632345973,0.3574631535034155,0.03912785194778114,0.03780840408232048,0.04057878468843215,0.009467763072261642,0.008884123923187737,0.010112189234597863,0.05882552454202565,0.05574850748446418,0.06193644215800767,0.0082978708190222,0.007819172858823975,0.008833881561821626,0.05675499652702509,0.054022976885271606,0.059330817114697156,-0.010958569932062108,-0.01252220086651782,-0.00933816500086117
5,13.47923894736842,0.001361174663795317,0.0008273103864838642,0.0019061312461577371,0.045859179617987314,0.04385713831439156,0.047616043559563795,0.023115086850372668,0.022210242691209234,0.024189734910549987,0.021400192050994242,0.020648705467379562,0.02234422347575312,-0.0003679134093197412,-0.0006790701275622459,-4.6183797312552354e-05,0.04633173348767014,0.044477228626686675,0.04817501391661145,-0.00853389855799176,-0.010673191485191342,-0.006469750997745504,0.022704111195685966,0.02175678623244851,0.02378580680726544,0.01101954881492094,0.010294966714420909,0.011710376746839234,0.009614497282299976,0.009215918980933784,0.01004847701180909,-0.007947937450332884,-0.009739151042571134,-0.006041352890015037,0.0372837327559421,0.03437346690570049,0.04014486912294992,0.03935461567487394,0.037060116606607456,0.041921939904158954,-0.006485889137498037,-0.007951319619636313,-0.0050649067583520705,0.2323641455458639,0.2208888708556014,0.24664898911070374,0.03246742526142084,0.031263882329346966,0.03372840056926632,0.009273376586713086,0.008732660224089972,0.009864134562901184,0.03852474253215275,0.03569620915876435,0.041491651909615686,0.007426116293929344,0.006938481231698165,0.007894479467993012,0.04079713117383936,0.03844042272908838,0.04353298289198264,-0.00549027259012227,-0.006976664128485508,-0.004191552154780364
6,13.575086736842106,0.0025512932730633537,0.002002488045565972,0.0030974769809011407,0.03238985394821117,0.03074320915229652,0.034074807063186024,0.019290697264587084,0.0184547325620669,0.020233019646150936,0.01713076382771707,0.016429694075718943,0.017913174898893693,0.00039828584237703484,0.00012005874659468998,0.0006893679075277944,0.03302833802740292,0.031296742158229626,0.03469070994063352,-0.005219775180622307,-0.0071908101470945516,-0.003242466543466102,0.02297234194870563,0.021810759294936623,0.02416522065384911,0.010899203462368046,0.010163287512631049,0.011616691671199884,0.008371966434996624,0.007968261348093371,0.008778369733415201,-0.0050451067734145,-0.006756658389054774,-0.0032159809817623587,0.027189977668874286,0.024507565833934864,0.0300673586093849,0.029890245263283738,0.0277259412107904,0.03214207524969218,-0.002603834563275069,-0.003894826501928186,-0.0013553810929626284,0.16367203078252246,0.15146123217047192,0.17685531801189333,0.028044574423342936,0.026756545403887205,0.02934155378749478,0.008749607234560617,0.00824877550083718,0.009243246180690256,0.028332102899731898,0.025656540699245695,0.030707636944581028,0.006478569406926836,0.0060626909724647605,0.00691822698562639,0.03155389363078359,0.02921007323196671,0.03373809785710419,-0.0016805102065239512,-0.0029366195338975643,-0.00040010797120694047
7,13.67093452631579,0.0035981377241644822,0.0030810995055235947,0.004147217918903598,0.02413365187000443,0.02276710019928208,0.025519098354687124,0.016752398122597927,0.015872627817781714,0.017636473539052757,0.013985521205111102,0.013393952760411134,0.014622977186954605,0.0008171679478107051,0.0005843167396407034,0.0010581552791180853,0.02461423975310921,0.023193196963119188,0.0259666832685556,-0.0007279055384713435,-0.002466596971480959,0.0011187807729198312,0.02343857288736821,0.022131896197440937,0.024639173356955302,0.010900478409358046,0.010149412475255035,0.011665014600685968,0.007374330686141042,0.007002774608566216,0.007787874266575057,-0.0008909839800889247,-0.0025465301939253744,0.0009250943731999631,0.023550752708065115,0.02118791142042038,0.026231431410518227,0.024362276123099415,0.022599383568695147,0.026234998153943423,0.0002841980130298412,-0.0008541470143904895,0.0013146754667724093,0.11880684980235716,0.10909758686153745,0.13045930785097273,0.025005760086441134,0.02393659147862118,0.026218323858668298,0.008232049217433741,0.0077395808987847994,0.008732168477738902,0.0238545184284115,0.021457069401355534,0.026363105436455512,0.0058295744471497995,0.00546592244007317,0.00620091808239568,0.025526707846821282,0.023772530107109145,0.027477350609028953,0.0009385127170121782,-3.9369402836568934e-05,0.001879140830622012
8,13.766782315789474,0.00437911193834142,0.003892948258066793,0.004869798652748057,0.018682801047237053,0.017613208210885693,0.019853414970865003,0.014829790471929775,0.01410078790193835,0.015766632296539948,0.011571725092355656,0.011022551594197554,0.01214693464413079,0.0010395329886546982,0.0008327243438759651,0.0012424736592381623,0.01919509093726638,0.018081990839122944,0.02025988063014723,0.004326414484835662,0.002699760691232007,0.005720998042726578,0.023703655555045184,0.022300964822656782,0.02518478783701108,0.011101800948210682,0.01031600044880488,0.011952945417105638,0.006765964717542339,0.006374168365538522,0.007194032218428006,0.003303763614931324,0.0017836306657218696,0.00464713732821873,0.02302852222262471,0.020776004948707485,0.02515295934199177,0.021060600581609412,0.019513369293177193,0.02249650409121699,0.0022718558608703686,0.0014767175419106353,0.0030593621224673344,0.08863425682138268,0.08123102271878085,0.09606282061341215,0.022697042187919528,0.021473658867115913,0.023951993686188493,0.007812079199951,0.007290473270690772,0.00836636795940462,0.022451528443104968,0.020281273879989268,0.024672228202898095,0.005363793976925263,0.005033979999817322,0.005751727248225625,0.02175024574320779,0.020234698416914765,0.023243405079925967,0.002683137615298067,0.0019026668940760974,0.0035226247410822596
9,13.862630105263158,0.004827900316435856,0.004273298685503555,0.0053383719781201575,0.015296535131747242,0.014315840236602217,0.016220745438008007,0.013347444247267947,0.012521332656938784,0.014087571013563813,0.009656250380834674,0.009134791007839958,0.01020384095290028,0.0011665033220816662,0.000956640412380378,0.0013677755689808396,0.015499225118997161,0.014568345277106504,0.016391571072658012,0.008916874285938148,0.007480813264256216,0.010386140420943499,0.023613421969717906,0.022022547791733668,0.02530172385970031,0.011286703329118346,0.01043932833857854,0.012170996059970388,0.006473286543994653,0.006001284013929443,0.007008162111904123,0.007231771766168598,0.0058020527778161225,0.008685181476915542,0.024438445854138333,0.02219017227270862,0.02654675906964034,0.01918189443838767,0.017838897363725188,0.020515180988554704,0.003819728128778738,0.0031179867477145037,0.004472981753345456,0.06912963609642402,0.06372025528045756,0.07436855698710734,0.020961864424404016,0.019695445731658677,0.022338867691999408,0.00768187925615034,0.0070524177241187485,0.008304429628973356,0.022780875661120678,0.020725090738658976,0.024799280723858435,0.005215936898717445,0.00486748714809776,0.005602959256577069,0.019299228732236065,0.018005584154318143,0.020610359630448737,0.0038478427513512587,0.003188614313828842,0.004553888334617099
