bin,M_500c,M_hot_gas_500c_T_sl_500c_cov,M_hot_gas_500c_T_sl_500c_cov-,M_hot_gas_500c_T_sl_500c_cov+,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov-,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov+,M_hot_gas_500c_Y_X_500c_cov,M_hot_gas_500c_Y_X_500c_cov-,M_hot_gas_500c_Y_X_500c_cov+,M_hot_gas_500c_Y_SZ_500c_cov,M_hot_gas_500c_Y_SZ_500c_cov-,M_hot_gas_500c_Y_SZ_500c_cov+,T_sl_500c_L_X_ROSAT_obs_500c_cov,T_sl_500c_L_X_ROSAT_obs_500c_cov-,T_sl_500c_L_X_ROSAT_obs_500c_cov+,T_sl_500c_Y_X_500c_cov,T_sl_500c_Y_X_500c_cov-,T_sl_500c_Y_X_500c_cov+,T_sl_500c_Y_SZ_500c_cov,T_sl_500c_Y_SZ_500c_cov-,T_sl_500c_Y_SZ_500c_cov+,L_X_ROSAT_obs_500c_Y_X_500c_cov,L_X_ROSAT_obs_500c_Y_X_500c_cov-,L_X_ROSAT_obs_500c_Y_X_500c_cov+,L_X_ROSAT_obs_500c_Y_SZ_500c_cov,L_X_ROSAT_obs_500c_Y_SZ_500c_cov-,L_X_ROSAT_obs_500c_Y_SZ_500c_cov+,Y_X_500c_Y_SZ_500c_cov,Y_X_500c_Y_SZ_500c_cov-,Y_X_500c_Y_SZ_500c_cov+,M_hot_gas_500c_T_mw_hot_gas_500c_cov,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov,M_hot_gas_500c_T_mw_hot_gas_500c_cov-,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov-,M_hot_gas_500c_T_mw_hot_gas_500c_cov+,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov+,T_sl_500c_T_mw_hot_gas_500c_cov,T_sl_500c_L_X_ROSAT_obs_ce_500c_cov,T_sl_500c_T_mw_hot_gas_500c_cov-,T_sl_500c_L_X_ROSAT_obs_ce_500c_cov-,T_sl_500c_T_mw_hot_gas_500c_cov+,T_sl_500c_L_X_ROSAT_obs_ce_500c_cov+,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_cov,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_cov,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_cov-,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_cov-,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_cov+,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_cov+,Y_X_500c_T_mw_hot_gas_500c_cov,Y_X_500c_L_X_ROSAT_obs_ce_500c_cov,Y_X_500c_T_mw_hot_gas_500c_cov-,Y_X_500c_L_X_ROSAT_obs_ce_500c_cov-,Y_X_500c_T_mw_hot_gas_500c_cov+,Y_X_500c_L_X_ROSAT_obs_ce_500c_cov+,Y_SZ_500c_T_mw_hot_gas_500c_cov,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_cov,Y_SZ_500c_T_mw_hot_gas_500c_cov-,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_cov-,Y_SZ_500c_T_mw_hot_gas_500c_cov+,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_cov+
0,13.0,0.003761100281707,0.0031114152174925,0.0043526764826848,0.188487861500113,0.1839043049313045,0.1936051887985642,0.0932550630357602,0.0913469099874409,0.0954327837296748,0.0872172818454979,0.0854361011687589,0.0890368273376952,0.0224974367818769,0.0200804509741855,0.0250303955257638,0.0243881851797424,0.0235460478688282,0.0252424522881257,0.0165742521359641,0.0158690653789991,0.0172453486598413,0.2111417919273509,0.2052952469816885,0.2171559784642802,0.1789306205429159,0.174242342711947,0.1835642166732193,0.1037569837926686,0.1016221764415968,0.1058625128005188,-0.0024347890442372,0.2057382877490624,-0.0029693916088707,0.2008882956920489,-0.001850116371688,0.2107820692508585,0.0128482467152357,0.0250202970252836,0.0124551982523601,0.0225170616413037,0.0132032836799493,0.0277757896033811,-0.0099095539869796,0.8744919773185649,-0.0119583164362645,0.8458840143564976,-0.0077987413854447,0.9018354478124386,0.0104322256490936,0.2303039704763052,0.009681147560831,0.2241039418494925,0.0111514833266737,0.2364535516079284,0.015635588173632,0.1968679607591256,0.015018770815971,0.1922684140076941,0.0163055766253945,0.2016437650629256
1,13.107746421052632,0.0027612462191406,0.0022574497371673,0.003314226489082,0.1379971262915353,0.1342362596658535,0.1418473172637982,0.0707476140270231,0.0691285339335434,0.0722854616751045,0.0665202165926076,0.0651188659308444,0.0680726455419931,0.0107938553866227,0.0086048452161114,0.0130002124095328,0.0226555435771213,0.0218528476851537,0.0234979136730655,0.0141515813148503,0.0135571482016036,0.0148206254143667,0.1485523295409827,0.1437638094832986,0.1531538803649338,0.1306741329324218,0.1268137082364409,0.1345929774053132,0.0807180511378337,0.0788195872808417,0.082615444775197,-0.0011980385194806,0.1504715718344527,-0.0016563009128389,0.146623295890514,-0.0007191792020612,0.1544038895328329,0.0114018783461774,0.0118645678624126,0.0110598590344179,0.0096178060125005,0.0117574984980634,0.0142564662957375,-0.007169158788518,0.6484986697586443,-0.0089834650739394,0.622579811676319,-0.0054540611657595,0.6749044180631345,0.010173758723572,0.1621878298977607,0.0095090746451145,0.1574171190364368,0.0107401737210885,0.1671408210163285,0.0128765305461104,0.1438307880751874,0.0123006958856598,0.1399973909159544,0.0134126673711375,0.1474681582757695
2,13.215492842105265,0.0025508519500879,0.0020032495750218,0.0030666197587164,0.0977052481654451,0.0947315686079971,0.100828629362044,0.0527557838392933,0.051459850438499,0.0542068227074969,0.0498490392856458,0.0486819132128878,0.05112276644654,0.0035469517725368,0.0015024557583666,0.0054368033795193,0.0212979134313548,0.0203994253409724,0.0221734143798213,0.0124217622492735,0.011855607388665,0.0131145518222679,0.1013963854455938,0.0975688240145031,0.1050326698510998,0.0933137533503309,0.090492342173583,0.0965038097620806,0.0623481800320199,0.0607824416868313,0.0638968303332433,-0.0002672382668464,0.1062514509522776,-0.000678781283247,0.1032829695940785,0.0001252250893869,0.1095423121385992,0.0098260908289019,0.0038378216813066,0.0095058593231076,0.0020545359498861,0.0101793486518022,0.0057396521756765,-0.0040498898344353,0.4571207022440017,-0.0055238831997598,0.4363566106010266,-0.0027829719218468,0.4789385685510125,0.0096236165863023,0.1100362518763364,0.0090856188476327,0.1063103261889146,0.0101507435353887,0.1139497109315622,0.01040493632033,0.1026019252268697,0.0099174670835117,0.0993653637053964,0.010920226219652,0.1055805997664456
3,13.323239263157896,0.0028953717089506,0.0024460409277017,0.0033869263454101,0.068229496514723,0.0661920982234507,0.0705660221773988,0.0395984652123861,0.0384696768220745,0.0407691462859822,0.0370758393104058,0.0360340277184606,0.0382302956388741,0.0006044891666072,-0.0010160901243563,0.0022440796785588,0.0200066061955644,0.0192115207376876,0.0208898096866585,0.0112159859919893,0.0105738172960157,0.0118780639873161,0.0687422067611188,0.0659518164059499,0.0716576850830537,0.066569271550318,0.0641390677070515,0.0692023421282501,0.0483609517491313,0.0468710204410286,0.0498402943701705,0.0003659844287871,0.0736199738842614,4.563117753929717e-05,0.0712774283132786,0.0007076627560893,0.0760106071934545,0.0083388030911196,0.0006511495492183,0.0080216358413917,-0.0008653300254632,0.0086590061276839,0.0022994965786544,-0.001814597178765,0.3098638610340677,-0.0028357050471309,0.2934016131152095,-0.0007850387780705,0.328232462282983,0.0087120301773759,0.074283942121653,0.0081900147276845,0.071210182811773,0.0091924986058034,0.0772157176166813,0.0083367005808604,0.0722681634646839,0.007911230737856,0.0698034704921389,0.0087355638805464,0.0749213693291087
4,13.430985684210526,0.0032960142910998,0.0028436359846536,0.0037385234183818,0.0483591903842783,0.0466200574808856,0.0502313823495042,0.0304935294863881,0.0294736734065302,0.0314771365831407,0.0278914085759068,0.0269972915739443,0.0288514996628775,0.0007873454054653,-0.000390004163169,0.0021351162189714,0.0184124523745506,0.0175824630255176,0.0193694518674965,0.0100955714620826,0.0095077775018499,0.0106976232957128,0.0491311372925624,0.046781497029688,0.0517242473548862,0.0479830710942558,0.0460713319702008,0.0499637627599334,0.0380388129025,0.0366783864565146,0.039184993507983,0.0006228262096788,0.0516263633729685,0.0003680642704378,0.0496739750216579,0.0008967848555246,0.0535224679253592,0.0068282013459887,0.0006947512854197,0.006535358336323,-0.0007195924833594,0.00711497218876,0.0020119811581969,-0.0004967575431519,0.2044472707706817,-0.0012347397911517,0.1913898703055607,0.0002605182038947,0.2188787302123462,0.0074437445358986,0.0523671402192649,0.0070099369733008,0.0499807549456485,0.0078847757953436,0.0547402501914363,0.0066305279956184,0.0515983497283154,0.006259105126004,0.0495502961893732,0.0070077235565121,0.053552117731762
5,13.538732105263158,0.0035074647795362,0.0031245126211063,0.003935056385857,0.0364084525238845,0.0349359760899042,0.0378680907747305,0.0245360999186599,0.0236137160387792,0.025444893208006,0.0215230511390212,0.0207622736254831,0.0223003011416974,0.002238351657714,0.0009680038006741,0.0036103202834531,0.0163285746073484,0.015477833895109,0.0172253700931454,0.008889480514637,0.0083247937619041,0.0094575989448951,0.0386432578329933,0.0362961044889004,0.0409742170589444,0.0365354434853826,0.0348009690887304,0.0382118537987761,0.030468834535544,0.029392296587292,0.0315469643708509,0.0004965164493836,0.0383593999068072,0.000286787473944,0.0369971384972293,0.0007290660132403,0.0396868694820667,0.0053871861623548,0.0020317397686169,0.0051084381451732,0.0007852245239036,0.0056530179452683,0.0033851102080332,0.0001084215727343,0.1390881186929671,-0.000499255024567,0.127299272154876,0.0007671138957365,0.1537260254814471,0.0059270660841107,0.0404149299066177,0.0054845151768682,0.0383454564079301,0.0063800065076942,0.0425856629731848,0.0051888125380374,0.0388782795064126,0.0048645827329,0.0371377012258188,0.0055379769253139,0.0404341994512927
6,13.64647852631579,0.003440292188532,0.0030829714806915,0.0037651413600072,0.0299434395835466,0.028699251004062,0.0311667674707339,0.0205800174809184,0.0197700460205287,0.021376371332938,0.0173217944156036,0.0166550214307931,0.0179910932340533,0.003714284794283,0.0022264893112859,0.0051677775831676,0.0139594673532211,0.0131131490910802,0.0148290436338624,0.0076470361546229,0.0071656416460364,0.0082143040774773,0.0336962797157507,0.0313753647693172,0.0358782083488145,0.0300973927469525,0.028724861278769,0.0315744346869681,0.0249481346356912,0.0238624855465315,0.0259285506115126,0.0001636009108393,0.0311654089609933,-6.857301596762652e-05,0.0299481771531767,0.0003812534342141,0.0324563127474428,0.0042081636345436,0.0033832432473051,0.0039670577862638,0.001918066399527,0.0045045136171163,0.0049125916634632,0.0001165712605968,0.1058566275447492,-0.0004919156243581,0.0917753867421632,0.0006984330495329,0.1233442384722132,0.0043616612040191,0.0346260636378353,0.0039379108311725,0.0324358954324508,0.0047781634508442,0.0370003167716786,0.0040670909295115,0.0316661380016929,0.0037303628982643,0.0303156210550336,0.0044011634500015,0.032983699905842
7,13.75422494736842,0.0031700168556614,0.0028592268892114,0.0034779634107375,0.026446379164844,0.0253121496828767,0.0276218940685483,0.0176503043468524,0.0169103036044623,0.0183644300784986,0.0142926340561992,0.0136557144175357,0.0149348973415941,0.0048748361659204,0.0030399283153897,0.0065392806066413,0.0117711746846613,0.0110482992648278,0.0126610028089782,0.006437819626881,0.0059928496050205,0.0069009133293382,0.031261779002117,0.0286984987234753,0.033472740885821,0.0264133327887899,0.0252309819599462,0.027743230905485,0.0207561092475204,0.0198233331784543,0.0216797392694952,-0.0002006713558838,0.0270680134034998,-0.0004464161897488,0.0258184254239682,3.35407787488117e-05,0.0282563427047496,0.0032976513351645,0.0043604901493871,0.0030516739464628,0.0024416995331819,0.0035556847532278,0.0060418489880449,-9.276234868582286e-06,0.0891954411450027,-0.0005769579314377,0.0765169377359587,0.0005895619198891,0.1058403326305142,0.0030693979083145,0.03141557871265,0.0027186047360201,0.0288693918456159,0.0034592410811509,0.0336620841404721,0.003205551998819,0.0273842028043798,0.0029046098804404,0.0260583455975176,0.0035141055862457,0.0287417754253194
8,13.861971368421052,0.0028439031787245,0.0025538639639839,0.0031396044086647,0.0238645574001784,0.0226417008626827,0.0251298923483278,0.0150936663985933,0.0143932592777773,0.0158340784247567,0.011796002082949,0.0112900619330658,0.012390652087717,0.0060021054430906,0.0040838407945281,0.0076338994514004,0.0100421045741063,0.0093152333325528,0.0107747746920188,0.0055785043343583,0.0051705099716479,0.0059995969569615,0.0297592002393258,0.0273167069552156,0.0323504542742281,0.024118184765746,0.0228598108878359,0.0254066340498172,0.0174338609788801,0.0165960629527442,0.018242966116775,-0.0004040421694755,0.0240167863851378,-0.0006389607939718,0.0228993741198005,-0.0001910623905948,0.025157362636887,0.0027153527533345,0.0052583314895163,0.0024970607171139,0.0031727965108331,0.0029705295189882,0.0069607693812629,0.0002418614181173,0.0815461769053052,-0.000369950079159,0.0718546485820749,0.0008116915366469,0.0921183613901399,0.0023242424289093,0.0292255560160901,0.0019879672390132,0.0268687809941012,0.0026585806765987,0.0314921287804359,0.0026404760328013,0.0244286508422062,0.0023665585828252,0.0231747003478053,0.0029319351240236,0.0256579273180156
9,13.969717789473684,0.0026022583228509,0.0023340048001749,0.0028838380323369,0.0218483462961341,0.0206481172020811,0.0230120413815361,0.0125707263460562,0.0119656403623072,0.0132649461599622,0.0096076967284162,0.0091138613906483,0.010108851692935,0.0082735506685495,0.0061139893752004,0.0097254405286105,0.0089533820321868,0.0082617415766097,0.0096839867493969,0.0050546522648566,0.0046803345183438,0.0054835734940224,0.0298688594294057,0.0277984693334373,0.0320465424418865,0.0228337885025884,0.0216114551382716,0.0243042410107266,0.0147112711149078,0.0138783168591987,0.0154408102453708,-0.0003852525749088,0.0211827684743878,-0.0006125095613469,0.0202067531509204,-0.0001806497216719,0.0223550485879768,0.0024813891258133,0.006983340638065,0.0022393123383921,0.0051914873032423,0.0027333302504407,0.0083771205405502,0.0011118374889793,0.0790561472669972,0.0004693735363727,0.0718171356620053,0.0017920538884291,0.0874609103799285,0.0020770926342115,0.0281111598017548,0.0017533134059657,0.0258712393396406,0.0024417962350961,0.0301420487532134,0.0023856293529115,0.0221733801407417,0.0021332970876672,0.020941932509146,0.0026522742840543,0.0233284697344346
