bin,M_500c,M_hot_gas_500c_T_sl_500c_cov,M_hot_gas_500c_T_sl_500c_cov-,M_hot_gas_500c_T_sl_500c_cov+,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov-,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov+,M_hot_gas_500c_Y_X_500c_cov,M_hot_gas_500c_Y_X_500c_cov-,M_hot_gas_500c_Y_X_500c_cov+,M_hot_gas_500c_Y_SZ_500c_cov,M_hot_gas_500c_Y_SZ_500c_cov-,M_hot_gas_500c_Y_SZ_500c_cov+,T_sl_500c_L_X_ROSAT_obs_500c_cov,T_sl_500c_L_X_ROSAT_obs_500c_cov-,T_sl_500c_L_X_ROSAT_obs_500c_cov+,T_sl_500c_Y_X_500c_cov,T_sl_500c_Y_X_500c_cov-,T_sl_500c_Y_X_500c_cov+,T_sl_500c_Y_SZ_500c_cov,T_sl_500c_Y_SZ_500c_cov-,T_sl_500c_Y_SZ_500c_cov+,L_X_ROSAT_obs_500c_Y_X_500c_cov,L_X_ROSAT_obs_500c_Y_X_500c_cov-,L_X_ROSAT_obs_500c_Y_X_500c_cov+,L_X_ROSAT_obs_500c_Y_SZ_500c_cov,L_X_ROSAT_obs_500c_Y_SZ_500c_cov-,L_X_ROSAT_obs_500c_Y_SZ_500c_cov+,Y_X_500c_Y_SZ_500c_cov,Y_X_500c_Y_SZ_500c_cov-,Y_X_500c_Y_SZ_500c_cov+,M_hot_gas_500c_T_mw_hot_gas_500c_cov,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov,M_hot_gas_500c_T_mw_hot_gas_500c_cov-,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov-,M_hot_gas_500c_T_mw_hot_gas_500c_cov+,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov+,T_sl_500c_T_mw_hot_gas_500c_cov,T_sl_500c_L_X_ROSAT_obs_ce_500c_cov,T_sl_500c_T_mw_hot_gas_500c_cov-,T_sl_500c_L_X_ROSAT_obs_ce_500c_cov-,T_sl_500c_T_mw_hot_gas_500c_cov+,T_sl_500c_L_X_ROSAT_obs_ce_500c_cov+,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_cov,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_cov,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_cov-,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_cov-,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_cov+,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_cov+,Y_X_500c_T_mw_hot_gas_500c_cov,Y_X_500c_L_X_ROSAT_obs_ce_500c_cov,Y_X_500c_T_mw_hot_gas_500c_cov-,Y_X_500c_L_X_ROSAT_obs_ce_500c_cov-,Y_X_500c_T_mw_hot_gas_500c_cov+,Y_X_500c_L_X_ROSAT_obs_ce_500c_cov+,Y_SZ_500c_T_mw_hot_gas_500c_cov,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_cov,Y_SZ_500c_T_mw_hot_gas_500c_cov-,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_cov-,Y_SZ_500c_T_mw_hot_gas_500c_cov+,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_cov+
0,13.0,0.0037199508956065,0.0031365747365897,0.0043305520777915,0.1883567898005745,0.1840253686099234,0.1929183318915639,0.0933208734551747,0.0914407905317482,0.0952897578590539,0.0872777017160889,0.0853565600798022,0.0889640756340994,0.0224923200635227,0.0199603010285065,0.0253233878147773,0.0243519634760605,0.0235677896875223,0.0252234777940037,0.0165115651076078,0.0157854301395995,0.0171640719817308,0.2106640000297368,0.2053113561348404,0.2166843793586188,0.1785324719814511,0.1736690504109276,0.1835600030290686,0.1037637893642055,0.1015627495653399,0.1060338785829699,-0.0024394565080546,0.2057284669102385,-0.0030454115907553,0.2008427713238188,-0.001856097249588,0.210959100636688,0.0128370150440985,0.025077852233603,0.012493044266372,0.0224255191560728,0.0132238404595249,0.027732842966772,-0.0100021309632616,0.8738769191744864,-0.0120958889777951,0.8447156785356246,-0.0079631926597231,0.9019894096102192,0.0104400805608982,0.2310501794744871,0.0097120876012091,0.2252705885000974,0.0111396093267553,0.2364410569337534,0.0156702253099086,0.1968612953952078,0.0149790861180966,0.1923156781101928,0.0163757248161537,0.2015475057939448
1,13.107746421052632,0.0027598188961502,0.0022052379789543,0.0033198556604784,0.1379089606615108,0.1343011496295579,0.1417868812633121,0.0705730776862603,0.0690648824764434,0.0721185987313821,0.0665598116477594,0.065068743737272,0.0680943196108186,0.010757912233976,0.008657811312526,0.0130295244674103,0.0227017004266349,0.0218671286521673,0.0234839235819001,0.0141636401034882,0.0134721065482598,0.0148267887157207,0.1483993354785663,0.1439159557354665,0.1533476513547045,0.130837743247243,0.1270439170183632,0.1345174775413738,0.0807075066589426,0.0789260214948019,0.0826734611620201,-0.0012106599671427,0.1502209006051518,-0.0016863201923964,0.1467079662716348,-0.0007342980654279,0.1541449821281376,0.0113682942886439,0.0118431596088,0.0110252696526371,0.0094450303166575,0.0117087933398311,0.0143162626591234,-0.0072232055662591,0.6493532240315454,-0.0088998877675749,0.6238686484683699,-0.0054316022900817,0.6768265208186863,0.0102035345832585,0.1626163731961838,0.0095858769394865,0.1577377529707765,0.010836312957785,0.1674822785172764,0.0128231305348966,0.1440970445192029,0.012249362431784,0.1400981275010724,0.0134095424573589,0.148015835650849
2,13.215492842105265,0.0025635044333245,0.0020434709676547,0.003105312293022,0.0977277402124636,0.0948387887287957,0.1007731994101683,0.0528013892306637,0.0513664319972276,0.0541286975010456,0.0499106019816964,0.0486666128286018,0.0511573161337925,0.0035727257686684,0.0015419360876124,0.0054668250857853,0.0213053879910869,0.0204231260773318,0.0222174417675368,0.012454379836821,0.0117968932812583,0.0131176222271649,0.1011993943314523,0.0973152153554889,0.1051020891229765,0.0935287635431762,0.0904670519520268,0.0965708348843684,0.0623726806164245,0.0607819857717302,0.0640618347249158,-0.0002854671570762,0.1060232916195951,-0.0007061583972214,0.1031034365137868,7.433460607141495e-05,0.1092945635731808,0.0098771483536801,0.0039726857139371,0.0095463533780566,0.0019681862566349,0.0102126322968912,0.006056454161385,-0.0041449717584232,0.4574382875283814,-0.0054972977288574,0.4380153843831686,-0.0028443694704747,0.4798530557206046,0.0096180204736841,0.1100654776050328,0.0090588697357307,0.1063359452834064,0.0101243976969237,0.1137821896317631,0.0103958131329116,0.102617091144451,0.0099224255814354,0.0996275986200545,0.0108932161731941,0.1059521802995454
3,13.323239263157896,0.002876858945208,0.0024086760971665,0.0033871405728532,0.0682890035114845,0.0660913065423131,0.07052616869524,0.0396148849846573,0.0384221193003108,0.0408770519600659,0.0371515351545507,0.0360935256552643,0.0382128922128441,0.0006897380331879,-0.0008437504160709,0.0024054810389142,0.0199682615565897,0.0190532328120398,0.0208683161001077,0.0112127445204468,0.0105926392253265,0.0118639583025297,0.0689546544824377,0.066095871239023,0.0720621713337478,0.0664996397744362,0.0638318220459958,0.0689848017003931,0.048368970129564,0.0468854138224239,0.0498458385332732,0.0003771522938261,0.0736588452135827,5.428350798049624e-05,0.0712826292284512,0.0007178507705365,0.0760075069257664,0.0083434330523279,0.0008133242475772,0.0080239275797096,-0.0009629027347879,0.0086687626071651,0.0023620262881469,-0.0018215835242101,0.3085944560142306,-0.0028459770117325,0.2931763439809535,-0.0007956473443626,0.326468010016705,0.0086999058432637,0.074144277789991,0.0082055048245056,0.0714144465484481,0.009170900654181,0.0772964167017371,0.0083551544227705,0.0724090783397415,0.0079508861595603,0.0698614031112059,0.0087611062080336,0.0747033863000511
4,13.430985684210526,0.0032976493508307,0.002843161784119,0.0037689190320766,0.0484583624632132,0.0465307741761121,0.0502785506208772,0.0305917518564546,0.0295515290395513,0.031529544229838,0.0278471831981431,0.0269679983757351,0.0287794534834272,0.0007424346779977,-0.0006814333396352,0.0019923723479216,0.0183750072955713,0.0174611521188701,0.0193270785179167,0.0101030814145519,0.0095336931304289,0.0106862587078584,0.0491793688962261,0.0467081650317114,0.0515722402419518,0.0478310635805587,0.04586747348387,0.0499574487923079,0.0379505564582796,0.0366803978227242,0.0391162191410824,0.0006359262315795,0.0515593593354786,0.0003568979542393,0.0497327139032579,0.0008959984047419,0.053282194206965,0.0068088823089309,0.0006858531269834,0.0065229097771449,-0.0006907642101392,0.0071196724278936,0.0021519041701923,-0.0003965085751718,0.2042690710763272,-0.0011581933224416,0.1899040446076303,0.0003700749878992,0.2191088438814104,0.0074363178305844,0.0524253592683802,0.0070115731391184,0.0500959293958361,0.0078657935155557,0.0547604046997927,0.0066338602101711,0.0516734313856977,0.0062960811047369,0.0497491505001472,0.0070078814180498,0.0537615046759788
5,13.538732105263158,0.0034813077074686,0.0030697060728593,0.0038847601829991,0.0363049182175987,0.0348834722943431,0.0377978994402452,0.0244578570079622,0.0235190807296317,0.0254115437892502,0.0214109060416714,0.0206492270579769,0.0222345846603101,0.0021889793910455,0.000927475859199,0.003552309129155,0.0162894124774714,0.0154328568854812,0.0171406619676572,0.0089258888064555,0.0083681534116124,0.0094775853068686,0.0386580797560718,0.0364156790265332,0.0408924446274075,0.0364644605430207,0.0348942527524053,0.0381799125971642,0.0303262160594762,0.0292785547550977,0.0314226565023822,0.0005089043061267,0.0382471256119932,0.0002859784294816,0.0368221020227769,0.0007340276257924,0.0397037303970891,0.0054160223023998,0.0020962725520933,0.0051603303564952,0.0008269614290263,0.0057000824840859,0.0034631243393474,9.983549254995592e-05,0.1391414856284839,-0.0004740054420353,0.127025173250152,0.0007007890882483,0.1542769604516275,0.0059053193027338,0.0403740335387763,0.0054655885186623,0.0382902568650304,0.0063621151649694,0.0425608020485993,0.0052033645175721,0.0387470219838237,0.004868431194298,0.0372681140767741,0.0055446073024042,0.0404283099109147
6,13.64647852631579,0.0034377658460812,0.0030518870712343,0.003805841360435,0.0296681773764138,0.0283872209511879,0.0308763791324364,0.0203889886531728,0.0196142256105705,0.0212499843718467,0.0171452918970462,0.0165445763256091,0.0178054511677938,0.0036397015688127,0.0021343245699089,0.0050052970983839,0.0139237723846129,0.0130311067363322,0.0148175463412472,0.0076018393613144,0.0071457323734875,0.0081542870458578,0.0332451653408241,0.0311539755015225,0.0354182865334794,0.0298013526842973,0.0285023519902885,0.0312938714685158,0.0247616962065031,0.0237920287090162,0.0257310223591021,0.0001853469265131,0.0308139985705892,-4.572365401622588e-05,0.0295891547985096,0.000398076394042,0.0321197044485198,0.0042233945055726,0.0033506368144478,0.0039600871446301,0.001879541658975,0.0044943096839777,0.0049543552982885,0.0001467483757082,0.1047408065909564,-0.0004022092951663,0.0903477045414794,0.0007513705227855,0.12182930200648,0.0043784514556162,0.0341264647068256,0.0039637651119955,0.0320890319153814,0.0047764715096001,0.0363520813464642,0.0040574020066049,0.0313334860319867,0.0037418487310314,0.0300050861946628,0.0043981420940804,0.0328147811021194
7,13.75422494736842,0.0031029422966282,0.0027987496994604,0.0034268641413634,0.0259919532797029,0.0247556029552801,0.0271867194467,0.0173528942907808,0.0165554735426405,0.0180567856652071,0.0140780050858558,0.013451571354076,0.0146796909669986,0.0046235251546951,0.0028137586827688,0.0062390073996136,0.0116767436372575,0.0108851286328237,0.0125891015268237,0.0063994642604566,0.0059546834299308,0.0068470387789416,0.0304989639690677,0.0281722830900647,0.0325163455242498,0.0259223601936803,0.0247348369903682,0.0272936473897453,0.0203505193282375,0.0195240334036336,0.0213397629671235,-0.0001627267144735,0.0264503492383727,-0.00040767130735,0.0251936478512244,6.155362748462617e-05,0.0275958781662884,0.0033265973017347,0.0041034706918195,0.0030667927278472,0.0021792500265037,0.0035709620659755,0.0057294187300596,3.1482668626039085e-05,0.0877593272659724,-0.0005774228383896,0.0751550130346871,0.0006554453730388,0.1034591128431897,0.0031597289687104,0.0304345020425039,0.0027690763353837,0.0279671032917563,0.0035298823151325,0.0327680842489715,0.0032240649994501,0.0268464347580731,0.0028784807767726,0.0255610528922965,0.0035425107237623,0.0281612354371624
8,13.861971368421052,0.0027676152709962,0.0024708464465237,0.0030415460534886,0.0232606728875694,0.0220983771375422,0.0244620790008923,0.0146446215608152,0.0139604422356695,0.0153876382930214,0.0115279404627101,0.0109922865246479,0.0121430448577443,0.0054452702212541,0.0032992644966992,0.0071959384079309,0.0099289574091546,0.0091326512161417,0.0107960955053552,0.0054750223273206,0.0050748157429023,0.0059001327523889,0.0284849824808975,0.0258807246817324,0.030775874543429,0.0234166277825705,0.0220341023119437,0.024768424266948,0.0169948193275969,0.0162128715737623,0.0178792786869504,-0.0003324319213685,0.0231305575434133,-0.0005842984596113,0.022079884026517,-0.0001264201106662,0.0243401265946528,0.0027165445115498,0.0049368747953316,0.0024806015324944,0.0026303153722759,0.0029410677234904,0.0066232465889866,9.531415214062807e-05,0.0786962865352612,-0.0005135650188928,0.0692332895528209,0.0007013156222716,0.0912744824633534,0.0023847139286315,0.027952082360543,0.0020090971135122,0.0255646464376978,0.0027575382606505,0.0301578485408198,0.0026778931305387,0.023593695380196,0.0024043140303415,0.0223137529497319,0.0029687981793871,0.0247645648526836
9,13.969717789473684,0.0024486645651456,0.0021582693924998,0.0027374453557786,0.021116735878337,0.0199763717930609,0.0222583646574517,0.0122844696362322,0.0115891098178949,0.0129847816814261,0.0094639209751161,0.0089147365652062,0.0100405161334753,0.0066506037270472,0.004535776155332,0.0081873283335894,0.0085752383437638,0.0078753902797442,0.0092753564618991,0.0047963877990659,0.0044004525892657,0.0052207015608467,0.0275996414174925,0.0251490890711205,0.029801994518891,0.0215880490938625,0.0201850989453476,0.0229970888948103,0.0142473808202305,0.0134631399362297,0.0150982996576878,-0.0003390670486958,0.0203192546618832,-0.0005667196666516,0.0193186888713386,-0.0001417239823107,0.0214152071805227,0.0023357586114286,0.005906238533558,0.0021295741965124,0.0038503661721069,0.0025846569529988,0.0073864289711106,0.000440673571278,0.0738394778900473,-0.0001515930540809,0.0661164075520085,0.0010842376634585,0.0829222300383917,0.0020074318776879,0.0261669696540561,0.0016922045013818,0.0235984764393702,0.0023507835613661,0.0282392227090137,0.0023464463676333,0.0212203489812035,0.00208813268015,0.0199769149765653,0.0026072344412729,0.022436684649182
