bin,M_500c,M_hot_gas_500c_norm,M_hot_gas_500c_norm-,M_hot_gas_500c_norm+,M_hot_gas_500c_slope,M_hot_gas_500c_slope-,M_hot_gas_500c_slope+,M_hot_gas_500c_scatter,M_hot_gas_500c_scatter-,M_hot_gas_500c_scatter+,T_sl_wo_recent_AGN_500c_norm,T_sl_wo_recent_AGN_500c_norm-,T_sl_wo_recent_AGN_500c_norm+,T_sl_wo_recent_AGN_500c_slope,T_sl_wo_recent_AGN_500c_slope-,T_sl_wo_recent_AGN_500c_slope+,T_sl_wo_recent_AGN_500c_scatter,T_sl_wo_recent_AGN_500c_scatter-,T_sl_wo_recent_AGN_500c_scatter+,L_X_ROSAT_obs_wo_recent_AGN_500c_norm,L_X_ROSAT_obs_wo_recent_AGN_500c_norm-,L_X_ROSAT_obs_wo_recent_AGN_500c_norm+,L_X_ROSAT_obs_wo_recent_AGN_500c_slope,L_X_ROSAT_obs_wo_recent_AGN_500c_slope-,L_X_ROSAT_obs_wo_recent_AGN_500c_slope+,L_X_ROSAT_obs_wo_recent_AGN_500c_scatter,L_X_ROSAT_obs_wo_recent_AGN_500c_scatter-,L_X_ROSAT_obs_wo_recent_AGN_500c_scatter+,Y_X_500c_norm,Y_X_500c_norm-,Y_X_500c_norm+,Y_X_500c_slope,Y_X_500c_slope-,Y_X_500c_slope+,Y_X_500c_scatter,Y_X_500c_scatter-,Y_X_500c_scatter+,Y_SZ_500c_norm,Y_SZ_500c_norm-,Y_SZ_500c_norm+,Y_SZ_500c_slope,Y_SZ_500c_slope-,Y_SZ_500c_slope+,Y_SZ_500c_scatter,Y_SZ_500c_scatter-,Y_SZ_500c_scatter+,T_mw_hot_gas_wo_recent_AGN_500c_norm,T_mw_hot_gas_wo_recent_AGN_500c_norm-,T_mw_hot_gas_wo_recent_AGN_500c_norm+,T_mw_hot_gas_wo_recent_AGN_500c_slope,T_mw_hot_gas_wo_recent_AGN_500c_slope-,T_mw_hot_gas_wo_recent_AGN_500c_slope+,T_mw_hot_gas_wo_recent_AGN_500c_scatter,T_mw_hot_gas_wo_recent_AGN_500c_scatter-,T_mw_hot_gas_wo_recent_AGN_500c_scatter+,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_norm,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_norm-,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_norm+,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_slope,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_slope-,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_slope+,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_scatter,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_scatter-,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_scatter+,T_sl_500c_norm,T_sl_500c_norm-,T_sl_500c_norm+,T_sl_500c_slope,T_sl_500c_slope-,T_sl_500c_slope+,T_sl_500c_scatter,T_sl_500c_scatter-,T_sl_500c_scatter+,T_mw_hot_gas_500c_norm,T_mw_hot_gas_500c_norm-,T_mw_hot_gas_500c_norm+,T_mw_hot_gas_500c_slope,T_mw_hot_gas_500c_slope-,T_mw_hot_gas_500c_slope+,T_mw_hot_gas_500c_scatter,T_mw_hot_gas_500c_scatter-,T_mw_hot_gas_500c_scatter+,L_X_ROSAT_obs_500c_norm,L_X_ROSAT_obs_500c_norm-,L_X_ROSAT_obs_500c_norm+,L_X_ROSAT_obs_500c_slope,L_X_ROSAT_obs_500c_slope-,L_X_ROSAT_obs_500c_slope+,L_X_ROSAT_obs_500c_scatter,L_X_ROSAT_obs_500c_scatter-,L_X_ROSAT_obs_500c_scatter+,L_X_ROSAT_obs_ce_500c_norm,L_X_ROSAT_obs_ce_500c_norm-,L_X_ROSAT_obs_ce_500c_norm+,L_X_ROSAT_obs_ce_500c_slope,L_X_ROSAT_obs_ce_500c_slope-,L_X_ROSAT_obs_ce_500c_slope+,L_X_ROSAT_obs_ce_500c_scatter,L_X_ROSAT_obs_ce_500c_scatter-,L_X_ROSAT_obs_ce_500c_scatter+
0,13.0,11.305513309337162,11.305262261444685,11.305783871376798,1.8405600070175088,1.8395070076971265,1.8416154748278224,0.2772145321003643,0.27670462671430124,0.27771870427328504,6.722069725250229,6.721925336466038,6.722211807010091,0.7341392688867729,0.7336362961188805,0.7346823667750939,0.13641668400241524,0.13608255656962334,0.13677137564583755,40.95920875678437,40.95864531601297,40.959763940049676,2.442448743986124,2.4402099688953918,2.4446773382941687,0.5990823690579775,0.5975544411372616,0.6005366808223209,18.027628732245084,18.02726428588373,18.027979237321688,2.5746996184631277,2.573368566411032,2.5760171788089354,0.3479266767662156,0.34730804359969425,0.34853952558067974,18.0743079553428,18.073968460422822,18.074633448358792,2.5504934765240526,2.5492613677949922,2.5516893272921064,0.33238173162252305,0.3317370685741023,0.33295730781051286,6.768764546567569,6.76863482544696,6.768897031022736,0.7099433325667464,0.7093461985311166,0.7104647216913035,0.1475229733061308,0.14715494452802097,0.1479140391132725,40.793650027232744,40.79321307958475,40.7941151709464,2.5592510991852016,2.5571585255829863,2.5612113522687845,0.5023735967390214,0.501076483861934,0.5036079822896611,6.731192083774047,6.7309333854643265,6.7314718490603545,0.7416630115189056,0.7406183468715916,0.742645904504167,0.25302111500017477,0.2504273292212694,0.25546400693797455,6.770102313638025,6.7699688711817805,6.770235547871399,0.7047541103880282,0.7042129781602374,0.7053304188180455,0.14949632848205788,0.149131038369693,0.1499025271445072,40.986367164305804,40.98568806219164,40.9869996069523,2.4290866559153703,2.426491115340239,2.4317093515166404,0.7046246504241056,0.7021831975217604,0.7066838985036604,40.80340310351053,40.802883656846994,40.80393731663408,2.564789045568779,2.5625292966764177,2.5670778909433434,0.5680508717282774,0.5654289265894402,0.5703967114280641
1,13.103992368421052,11.497077544812452,11.496776082957197,11.49734763927002,1.840965110031936,1.8400057529050908,1.8419715387989861,0.24715623084897642,0.2466458622490271,0.24768025871021407,6.799950463393451,6.799797820657357,6.80009588263054,0.7443627073831502,0.7439186811189299,0.7448522959777204,0.12675995258513995,0.12645927387626157,0.1270945520562524,41.211830123569655,41.211297769826984,41.21233912347925,2.4324857329514957,2.430477838032791,2.434392961127516,0.5215339389720872,0.5203073295244967,0.5229105146425501,18.29700989000348,18.296655211450954,18.297346508911414,2.5853389048265236,2.5840869411749807,2.5865298301123514,0.31792042076072735,0.3172538682521672,0.31859235823804205,18.336983883615297,18.336662044760132,18.337315793377257,2.530869131987676,2.529748255729524,2.5320504087198414,0.2977223333778758,0.2971089987807073,0.2983238811115355,6.839908069324267,6.839770840937989,6.8400380407665935,0.6898685100371351,0.6893612136610464,0.6903719458362099,0.12917039732375357,0.12880595245362794,0.12950004036886856,41.06102667773068,41.060575899816065,41.0614596707158,2.5682291221519877,2.566625748185294,2.5701257131578803,0.43676454275108606,0.4356486310040745,0.4378661143884338,6.809635746188744,6.809325340096395,6.809933429786265,0.7504086059147721,0.7493771019464541,0.7514512858095482,0.2461509711875291,0.24341235226925154,0.24902676872295196,6.840863423541416,6.840737115331019,6.84099973168038,0.6858992290242107,0.6853779565542689,0.6863725930316952,0.13030801750144572,0.12994985082427288,0.13068826240837536,41.23775454413269,41.23715374753501,41.23839982716045,2.420881531350057,2.4182240155073127,2.423096465640907,0.6205619684197801,0.6182473275840464,0.6227666216294753,41.071146448405344,41.07059080701147,41.07171003253652,2.5721973385664176,2.570249855924574,2.574088641383058,0.5047995620407,0.5022943426364999,0.5075071912059034
2,13.207984736842105,11.686999288158304,11.68668606827193,11.687276678748242,1.8293873410912371,1.8284406400545994,1.8303663220288304,0.22257402700712509,0.22207505419451934,0.2230816210372573,6.876546036539327,6.876390536439785,6.876682692652648,0.7375208766520347,0.7370424755211983,0.7379832781351603,0.11646319586813011,0.11612763321651846,0.11682022020797328,41.46296256812191,41.46242963201702,41.46346638060473,2.4193253506564245,2.417374347265128,2.4214194452265407,0.45515692261160234,0.4538205150213108,0.4564854152646548,18.56352469167391,18.563185436535672,18.56389364796308,2.5669341708190543,2.565718820434749,2.5681257445181656,0.2903502363357059,0.2897582421179961,0.2909923204437851,18.59457780010201,18.594240649060993,18.594915992298166,2.490142353062616,2.4891081252099703,2.491288455156722,0.2669995232880804,0.26647791148151756,0.2676291398634818,6.907571183212601,6.907436946835897,6.90770005737926,0.6607917463700297,0.6602674688702586,0.6612696679949164,0.11287565775128791,0.11252762370455523,0.11321378883761707,41.32871496978967,41.3282345176501,41.32922007827081,2.5719220031065593,2.5700470708677092,2.5736150988949564,0.3866672478494896,0.38559219247272347,0.3878329533693388,6.8865656481244315,6.886239725868352,6.886892435745435,0.7412650920869075,0.7402960874302837,0.7423845938989068,0.2372590138955442,0.23442534261703976,0.24027152540163324,6.908258064822743,6.908122774998207,6.908397936741208,0.6577615430997453,0.657298205778285,0.6582436028747648,0.11345571611244717,0.11310139383406112,0.11380882894445872,41.48776688014251,41.48709859400557,41.48845223298185,2.4082247190825177,2.40569113125089,2.410546225961971,0.547809231039331,0.5453205595965882,0.550250584001473,41.33893651182236,41.33840274956633,41.339575692786,2.5735993665030907,2.571652379462415,2.575563692423651,0.45481043524868225,0.452274486588233,0.457567129805921
3,13.311977105263157,11.873389988021238,11.87308251803458,11.873667517488977,1.8016692629014133,1.8006685426282292,1.8027495783567802,0.2040055722513451,0.20352082839987562,0.20447750793356664,6.949780133301135,6.9496397945909125,6.9499233387985795,0.7127426508695259,0.7122287262084485,0.713193219921249,0.10614342596178555,0.10576522616167061,0.10649367882645636,41.7108172557456,41.71027182815806,41.71137032452693,2.392573508022166,2.3905321104003288,2.3944760076676848,0.4030664195894721,0.40184678828705334,0.4043290135936815,18.823191481062068,18.822787909349675,18.823537918977802,2.5143948035776558,2.513158519507803,2.51564861541158,0.26604013555764905,0.2654171948644865,0.2666681923476405,18.844587960128667,18.844262254117357,18.84492846073857,2.427054207569103,2.425881381668053,2.4281566971714863,0.24098701715552745,0.2404240931406267,0.24156188097805453,6.971211144657855,6.971070259557963,6.971350965158594,0.625363886040722,0.6249033784672348,0.6258573243384659,0.09938378622463077,0.09904534691012815,0.09975825055757899,41.59384266141727,41.59328715668317,41.59435838660362,2.5537014441656476,2.5518802708684296,2.555623520010725,0.35446337757641433,0.3534350529661732,0.3554784781387658,6.959755033569755,6.959381930651106,6.960069637551412,0.7133306538760813,0.7121974898034401,0.714468473113021,0.22582940819540404,0.22271167383001084,0.22885887036965863,6.971706792116357,6.971566942878354,6.971841713276385,0.6232107091946772,0.6227060787556838,0.623731894846607,0.09962926959795258,0.09928304113975868,0.0999926217643185,41.73442414508392,41.73373831409867,41.735133074715804,2.380745979239592,2.378379804859142,2.382897931320652,0.4888589792782615,0.48620905259492325,0.491357414020822,41.603772693088814,41.603120714987625,41.60438102780561,2.552119752008598,2.550128289458387,2.554233510485486,0.41873226490740273,0.4160433331602395,0.4218310386046999
4,13.41596947368421,12.054408202112093,12.054089701631712,12.054708915058912,1.7572490709828894,1.7561243233399655,1.7583917107971898,0.19004891654147443,0.18956520887666137,0.1905443500969329,7.018608948207191,7.018461006880749,7.0187494554526255,0.6758766160195282,0.6753430288845272,0.6764025458280354,0.09565556884974603,0.0952791671760365,0.09601319673915121,41.952872274155894,41.95229783492984,41.95346985016397,2.3445454141750277,2.3425433352326888,2.346577966871924,0.3649605127539605,0.36373920019049083,0.36628670166536964,19.073027243581507,19.072601487060492,19.073364302056287,2.433062086177485,2.4316996400897173,2.4343668350738197,0.24372555508328184,0.24305110439959116,0.24436700554488835,19.085294789991337,19.084955472525476,19.08565599328149,2.3460784757661974,2.3447616284741617,2.34727050130342,0.21864215079686528,0.21807629650889404,0.2192832897233757,7.030902394755943,7.030758607018489,7.031042725219634,0.5888749874510582,0.5883895376160911,0.5893583337638739,0.0887658858816819,0.08840296838842185,0.08910988140903266,41.85239356170453,41.851803615272416,41.85297438958857,2.503637520323994,2.501613770485645,2.505774842919285,0.3366970104636722,0.335649636686813,0.3378422382927562,7.028081198057787,7.027751990790916,7.028440868210444,0.6728105012648387,0.671705820548047,0.673925472309726,0.21152266627500882,0.20840521695444364,0.21467515293874304,7.031269810059818,7.031121425555468,7.031396248402966,0.5872615754500601,0.5867399977193942,0.587752185004569,0.08884598821869392,0.08851928868379728,0.08917315264008993,41.97503289179882,41.97431734856467,41.97579867687845,2.331712199593544,2.3293111621192235,2.334201075184818,0.44262507948244234,0.43991603042309185,0.4451305172781307,41.86166003114114,41.86102777852217,41.86238013351205,2.498942441027807,2.4966206733713845,2.5009761479915547,0.39335153517686916,0.3907038373850527,0.3959194970395857
5,13.519961842105262,12.228656650904009,12.228299798610744,12.228997274626106,1.6989602347888637,1.6978684009505491,1.7000491960828168,0.1783967370152313,0.1778687608613203,0.17894965514039296,7.083018875684354,7.082866562894616,7.08315852470529,0.636029002105448,0.6354979696348563,0.6365740018756497,0.08527251395541899,0.08485610360480622,0.08567409432625793,42.1865868388156,42.18592378306643,42.187168528097835,2.274842062668661,2.27254591347498,2.276965536048099,0.33785140698385246,0.3366050179224283,0.3392077222318882,19.31165623089257,19.31127364921331,19.312068499383834,2.3351162163220547,2.333813733304674,2.3363998775275014,0.22192796282789817,0.22129127379238325,0.22257882851059435,19.315993594898366,19.315653989715706,19.316329105614415,2.2554212314110935,2.2542123668044,2.256666156726465,0.19844645008954295,0.19789546527364243,0.1990613439361724,7.087329882969681,7.087177257897586,7.087486910867962,0.556450322777472,0.5559098078183181,0.5570618396687984,0.08072139140912787,0.0803521209570026,0.08106773185283307,42.1009442053396,42.10024976453002,42.10162948919533,2.421589027014942,2.419377856528653,2.42378285556176,0.3271828076540257,0.3260430525753184,0.32824607948976825,7.091696845553699,7.091341118032677,7.092022263559204,0.6296832090517619,0.6284671314706074,0.6307906493771054,0.19429069404731708,0.19124961916432812,0.19731320278016534,7.0875842290735775,7.087425145377882,7.08773057868731,0.5553237730796056,0.554815755586939,0.5558613448056581,0.08073479237037182,0.08038017969344853,0.08108184345322843,42.20735911556727,42.2065473887956,42.20809952462256,2.261409726627859,2.25888225052666,2.2641801339207697,0.40684701230359155,0.40410818418194583,0.40969188555180275,42.109237304510245,42.10855974539873,42.10996296721387,2.4137361794983057,2.4114315580648644,2.4161285082560338,0.3741273659536918,0.37172406397108493,0.37692444857640006
6,13.623954210526316,12.39543241504565,12.395067470661292,12.395733478827527,1.6318713726240768,1.6306629371031105,1.63300222904394,0.16715107610217586,0.16659148278145502,0.16768622766811278,7.143906888698506,7.143757043095587,7.144065225492398,0.6012046158652697,0.6006459696900601,0.6017187006486823,0.07574676272532381,0.0752414409281114,0.07626660231383975,42.41044557718097,42.409765623972454,42.41115182594201,2.188726698332243,2.1864521847673006,2.1909536807891343,0.3175948535426444,0.31618794420196494,0.3191064199997302,19.539314781996517,19.538934310068356,19.539709909171854,2.23308794725389,2.2317289548477226,2.234403511000891,0.20033864176747773,0.19969925563650348,0.20096346729938283,19.536908808716404,19.536551670482947,19.537236298566174,2.16387799614672,2.162642231137177,2.1651516919598683,0.17957639188224228,0.1789814981026858,0.18012269211453108,7.141475719877898,7.141309184591663,7.141639553637235,0.5320235250891259,0.5314595313911606,0.532569083884309,0.07488187727941178,0.07452835284913237,0.0752481636954369,42.33715948686136,42.336426416699396,42.33786965192494,2.315474911854788,2.312947043848336,2.317929804175686,0.31946881062655796,0.31828270631483535,0.320695243842881,7.151563162388985,7.151210267279376,7.1519519651597445,0.5925870495891878,0.5914611383290417,0.5938620563767598,0.17522309421539184,0.17201097056034242,0.17850876773492633,7.141662339235905,7.141502386751287,7.141823960414928,0.5311645277704133,0.5306704410115222,0.5317005851304082,0.07492714602206188,0.07455297146325193,0.07530227422451165,42.429910467125936,42.429064140191976,42.43076243625006,2.175723305231985,2.1730690204037924,2.178477937063651,0.3785163130630278,0.3754326727691228,0.3812234625572339,42.3443555818351,42.34351223259046,42.34522375888203,2.305861951246883,2.3031983559215052,2.308746402851768,0.3568276251292406,0.3543618017281854,0.35918369861994826
7,13.727946578947368,12.554364332867817,12.553987316593638,12.554746500250683,1.5605185625420805,1.5592752264282264,1.5617223361694654,0.1552275571663906,0.1546868548756777,0.15580073846472975,7.20248964158753,7.202324499343558,7.202645883139652,0.5756126977373187,0.5750309479152257,0.5761450284127224,0.06799588080250898,0.06739419564206273,0.06872862824687312,42.62353558437612,42.62287197863606,42.624300568529286,2.092283868561511,2.090050208724503,2.094584581955184,0.3008502713090092,0.2993468657777792,0.30238281305244963,19.7568578333407,19.756449535152317,19.757286260577242,2.1361238027361265,2.1346986933808703,2.1375660318249983,0.17935515916874473,0.17865889284242203,0.18002399221050264,19.74881140943107,19.748467187397203,19.74921773072424,2.0775504787678285,2.076325551272395,2.078851390425271,0.1616502529546997,0.16106027656721414,0.16223239593887384,7.19446064894951,7.194283920769915,7.194649417221403,0.5170099803833952,0.5164682176878744,0.5176574257366289,0.0707407292537203,0.07032423072469952,0.07117198793813176,42.559865604193504,42.55907920156836,42.560662182127494,2.194987044996955,2.192691526751654,2.1976699418024515,0.3096429283247718,0.30827041021232005,0.31090580752945957,7.209028771259224,7.208699088599241,7.209385034617195,0.5655341406146523,0.5643905916815692,0.5667424421426871,0.15625167394542172,0.153160701305069,0.15921728545173475,7.1946097343001,7.194425681326601,7.194786071116064,0.516439318550654,0.5158213035802591,0.5169877872813926,0.07078492267030924,0.07039643837961436,0.0711440637651563,42.641697065093545,42.64082196530208,42.642613103145266,2.079660782314277,2.0767422537325997,2.0826837882833438,0.3541534478591951,0.3510071306064603,0.3574683136731851,42.566044077740976,42.56514971550202,42.56685211503423,2.185066766592618,2.18208381082752,2.1876184340044658,0.33876956042693307,0.3365105199278968,0.34121166320844487
8,13.831938947368421,12.705627637154214,12.70526183113791,12.706015442205267,1.48858017720024,1.4872969887335388,1.4899097109105925,0.1424211532412482,0.1418263904896952,0.1430032077624132,7.259846240872054,7.259674390157207,7.260018451658367,0.559796958312599,0.559149821677989,0.5603964072919403,0.06251166171771665,0.0618093263659359,0.06328575517595011,42.82572082760831,42.82492147866905,42.82655582260927,1.9912677233392988,1.9885448644792791,1.9939469811978123,0.2847547664663834,0.283304114811916,0.28630603915714203,19.965499777876488,19.96504759218547,19.96590063243621,2.04837719085979,2.046914958910436,2.049805993716626,0.15994286222740262,0.1592332053015439,0.1606206905970487,19.952854357518945,19.95249944126452,19.95326163301775,1.9995440573844867,1.9981756703370888,2.0009085817207115,0.14519650679045457,0.14456624139949276,0.1458684434019483,7.247230767067377,7.247022323980834,7.247433785265894,0.5109207479214256,0.5103015752034636,0.5115753988237485,0.06764942613412915,0.06722921582662814,0.06812489873787567,42.76880349936596,42.76795191039357,42.7695913391515,2.069014201674987,2.066052876073627,2.071721990967253,0.29602918742935397,0.2946116356655131,0.29743913998938465,7.265194832707325,7.2648389515426715,7.265539262667544,0.5487827193225796,0.5476353366157748,0.5499977089863575,0.137916895554488,0.13465252906140582,0.14097189590276157,7.2473314401558415,7.247126615538282,7.247523440341441,0.5104919505297196,0.5098378012292195,0.5111558991031254,0.06766013830412747,0.06723055386303771,0.06811962622759465,42.84253109442588,42.84158455770093,42.84351269628226,1.9784925855802655,1.975261081951139,1.9815641046505785,0.3320387194233908,0.32904112753832593,0.3355377139068371,42.773855919342715,42.772992969790785,42.77485331820318,2.0586805870384906,2.0556427609864842,2.0614694207581583,0.3183494104890148,0.31606606965340683,0.3207640313344384
9,13.935931315789473,12.849394266860163,12.84902088268927,12.8497806680644,1.4188247210558385,1.4174394575809066,1.4201572848920823,0.12877944251749834,0.12824691933348165,0.1294209334264554,7.316752854073542,7.316548442388767,7.316968062206154,0.551868037254015,0.5511358303190026,0.5525816962648298,0.05932814023581966,0.0585772925705801,0.06024094693287472,43.01667215724788,43.01574208273723,43.01765940326966,1.8891766213832477,1.88633352819869,1.892222433453529,0.2685800932066334,0.2669594379301485,0.2702601549410049,20.16616239458576,20.165740025518886,20.16660340671176,1.9706719244807163,1.9691616017594404,1.9722667671056695,0.14285850605683975,0.14213280675243417,0.14361117625576034,20.1498581897999,20.149447681661975,20.150284069987965,1.930824989271903,1.9294008990932439,1.9322690763600594,0.13044762513342145,0.12985178395806066,0.13109560537561155,7.300467173966128,7.30025109503537,7.300717187237531,0.5120128214166387,0.5112518752272711,0.5127023982183232,0.06511879416399416,0.0646686513075403,0.06557542947179595,42.96411799296622,42.96318145132653,42.96500218633509,1.943079020389812,1.9402754788750443,1.946187303057628,0.2789924048796859,0.2776783758301672,0.28049232219002096,7.320959436608986,7.320606498196826,7.321301397996691,0.5408878116090972,0.539595699920898,0.5420659794441367,0.12097389650344191,0.11791508091295416,0.12411878963711945,7.300556278399594,7.300330898159025,7.300804299065497,0.5117066207661409,0.5109308196346048,0.5124302307901304,0.0651198631362243,0.06460561985815218,0.06557656432728838,43.03200567009163,43.03099511345661,43.0330776840106,1.8761279085124674,1.8728076152866149,1.8795791341985262,0.31024865474615104,0.3068266229547319,0.31348765065305445,42.968093549032865,42.96715043061518,42.969040869258926,1.9330438090230186,1.9299274958355834,1.9362330824190686,0.29573596729864815,0.2935285654478958,0.29781902711939806
