bin,M_500c,M_hot_gas_500c_norm,M_hot_gas_500c_norm-,M_hot_gas_500c_norm+,M_hot_gas_500c_slope,M_hot_gas_500c_slope-,M_hot_gas_500c_slope+,M_hot_gas_500c_scatter,M_hot_gas_500c_scatter-,M_hot_gas_500c_scatter+,T_sl_wo_recent_AGN_500c_norm,T_sl_wo_recent_AGN_500c_norm-,T_sl_wo_recent_AGN_500c_norm+,T_sl_wo_recent_AGN_500c_slope,T_sl_wo_recent_AGN_500c_slope-,T_sl_wo_recent_AGN_500c_slope+,T_sl_wo_recent_AGN_500c_scatter,T_sl_wo_recent_AGN_500c_scatter-,T_sl_wo_recent_AGN_500c_scatter+,L_X_ROSAT_obs_wo_recent_AGN_500c_norm,L_X_ROSAT_obs_wo_recent_AGN_500c_norm-,L_X_ROSAT_obs_wo_recent_AGN_500c_norm+,L_X_ROSAT_obs_wo_recent_AGN_500c_slope,L_X_ROSAT_obs_wo_recent_AGN_500c_slope-,L_X_ROSAT_obs_wo_recent_AGN_500c_slope+,L_X_ROSAT_obs_wo_recent_AGN_500c_scatter,L_X_ROSAT_obs_wo_recent_AGN_500c_scatter-,L_X_ROSAT_obs_wo_recent_AGN_500c_scatter+,Y_X_500c_norm,Y_X_500c_norm-,Y_X_500c_norm+,Y_X_500c_slope,Y_X_500c_slope-,Y_X_500c_slope+,Y_X_500c_scatter,Y_X_500c_scatter-,Y_X_500c_scatter+,Y_SZ_500c_norm,Y_SZ_500c_norm-,Y_SZ_500c_norm+,Y_SZ_500c_slope,Y_SZ_500c_slope-,Y_SZ_500c_slope+,Y_SZ_500c_scatter,Y_SZ_500c_scatter-,Y_SZ_500c_scatter+,T_mw_hot_gas_wo_recent_AGN_500c_norm,T_mw_hot_gas_wo_recent_AGN_500c_norm-,T_mw_hot_gas_wo_recent_AGN_500c_norm+,T_mw_hot_gas_wo_recent_AGN_500c_slope,T_mw_hot_gas_wo_recent_AGN_500c_slope-,T_mw_hot_gas_wo_recent_AGN_500c_slope+,T_mw_hot_gas_wo_recent_AGN_500c_scatter,T_mw_hot_gas_wo_recent_AGN_500c_scatter-,T_mw_hot_gas_wo_recent_AGN_500c_scatter+,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_norm,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_norm-,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_norm+,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_slope,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_slope-,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_slope+,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_scatter,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_scatter-,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_scatter+
0,13.0,11.305556578117407,11.305294628768669,11.305802203165648,1.8405499213480172,1.8394526427056976,1.841665693013951,0.2771267150853046,0.27658545967006926,0.27768395958892783,6.722084450106699,6.72192777058755,6.722215717479813,0.7341264965942111,0.733621932891361,0.7346400025648556,0.13643856348953154,0.13611112015122043,0.13676907058845453,40.95918536416231,40.95864228960369,40.95969640491479,2.4423435719917084,2.4402119416998858,2.4445547195831496,0.5990459568546607,0.5975560369709025,0.6004767129724649,18.0275997740671,18.027240204303986,18.02795289537377,2.574702955862408,2.573368660936688,2.5760969665388322,0.34795197627868546,0.3472812125700589,0.3485743086775403,18.074313341954735,18.074004067348437,18.074625535888273,2.55044094520854,2.549263127079728,2.5517136867832773,0.3323514746654407,0.33175109552624693,0.33295288300335096,6.768759392900879,6.768619408840369,6.768905095093775,0.7098982173562448,0.7093285939895916,0.7104315015782872,0.14751063081612664,0.14709555251948192,0.14791499665402985,40.79363709946226,40.79321244270671,40.794111023048565,2.559078882146837,2.557315488079377,2.5609728540496373,0.5024522098572627,0.5011397832597473,0.5037172414344975
1,13.103992368421052,11.497077332873364,11.496821072020582,11.497338257745792,1.8410509792906038,1.8401158685589063,1.8420127381018736,0.24712936839689842,0.24669744934699983,0.2476267436947689,6.799941014624902,6.799801765113589,6.80008231045559,0.7443844990321932,0.743895230754671,0.7448555258920226,0.1267483522359561,0.12644335172272572,0.12709205009500882,41.211810942480646,41.21126679100493,41.212315410761704,2.432370049687764,2.4304271994662536,2.4342203186240816,0.5215427898349909,0.520195308209062,0.5229600241812083,18.29700361034407,18.296628716337136,18.297381021729553,2.585354919187707,2.5840211905025914,2.5865798328253478,0.3179047008681063,0.31727473842092735,0.3185270796374422,18.337005769531373,18.336682373105454,18.337297359683326,2.5308128951599116,2.529782540569741,2.531933248046518,0.29772299611785924,0.29711950010056065,0.29831295052325424,6.839907055675793,6.83977732853288,6.840044634513846,0.6898829932210988,0.6894143531030967,0.6903702461569962,0.12915543488361542,0.12879662818676876,0.12954716240141875,41.061037007063305,41.060587162332915,41.061490624471276,2.5681327526227644,2.5666200831946946,2.5698629739357934,0.43677711207472786,0.4355931655681653,0.4379242302210102
2,13.207984736842105,11.686987261677885,11.686717948995746,11.687269884181534,1.829457908488433,1.8284026559676847,1.8304434248246413,0.22257717297569296,0.2220885399349795,0.223045939401255,6.876527603424102,6.87639666057317,6.876676199373529,0.7375436090218671,0.7370701650029824,0.7379873841336212,0.11648502626274415,0.11613753092979019,0.11684854733870464,41.46298242854675,41.462372121941726,41.46352703421095,2.4194247669936733,2.417401327579148,2.4214249145090045,0.45508071855077503,0.45379192040240535,0.4563781769217083,18.56351466852456,18.56315014432765,18.563924793667816,2.566948167689546,2.565624681904463,2.568227787944323,0.2904222875451569,0.28970503036875317,0.29104896195807334,18.594556111786055,18.59424768340736,18.594884064612273,2.490137329452208,2.4891465444872902,2.49129832550113,0.2669909099625768,0.2664360449050523,0.26753351575350853,6.9075766028020915,6.907441205806012,6.907712512240264,0.6607598211661101,0.6602605323219659,0.6612514963975966,0.11285952308054174,0.11251612399864802,0.11324947753921903,41.32875519887429,41.32826320354871,41.32924124892673,2.5720047794542475,2.570201504055341,2.5736842862951432,0.38666783134504357,0.3856230469557036,0.3877715462787453
3,13.311977105263157,11.873380409487385,11.873084456864746,11.873665602962118,1.8016684257201383,1.8006798114643134,1.8026648680501736,0.20398558500191974,0.20351968276665208,0.20451519960877557,6.94979466146912,6.9496510090620145,6.949945126250923,0.7127296180523545,0.7122571393168426,0.7132475241715759,0.10611949207824486,0.10576611077063776,0.10650319129854117,41.71082713736587,41.710296484536975,41.71133759602282,2.3923329242523925,2.3901549614794244,2.394415736954311,0.4030755206102956,0.40188372681501455,0.4042473916935223,18.823159402511266,18.822780116407607,18.82353395878564,2.514436939533569,2.513216114152726,2.515751055089441,0.2660465682423492,0.2653853772702694,0.26673065876687035,18.844576406344927,18.844243663012268,18.844899911184548,2.4270800241694435,2.4258606894317682,2.428293129457512,0.24094658044156544,0.2403993060608001,0.24149770341349697,6.971202463131142,6.971072324611606,6.971343887245853,0.625359771827334,0.6248615973440765,0.6258663727735138,0.09939319366167819,0.09904103945590102,0.09973861898084563,41.593822171432706,41.593310716037536,41.59435136301873,2.5537671297828863,2.5520774617115474,2.5555560141917373,0.3544843086728706,0.3534501482757696,0.3555434021458293
4,13.41596947368421,12.054387735236984,12.0540697339569,12.054715750379096,1.7571651164102007,1.7560798908364752,1.7582282114228565,0.19008979686683258,0.1895796736604576,0.19056640063153546,7.018605297778373,7.018452176467137,7.018752814896507,0.6758594340323889,0.6753337504120909,0.676395448232125,0.0956405866317862,0.09523628431455283,0.09599321057084048,41.95277654358691,41.95216452061846,41.953387199617225,2.344239625921027,2.3421041190594023,2.3461598110378445,0.3649526393742396,0.36365074176470485,0.366289498363756,19.07300664681135,19.072624336736038,19.073388225748097,2.433068902338567,2.4317871155997537,2.4344213224363593,0.24365598682040737,0.24304391243922802,0.2443182298811508,19.08529012231444,19.08495175977975,19.08564908267634,2.3460327011814797,2.3448266886333617,2.3471415311629293,0.2185981419626624,0.2180659706252863,0.21919320798490463,7.030895391557102,7.030767377171921,7.031044073735283,0.5888472953502493,0.5883394822417652,0.5893907136315701,0.08877396373590221,0.08843327539277783,0.08911858736804398,41.85239867830212,41.85178101349329,41.85302583450743,2.503616003798322,2.5017094707662224,2.505728924518184,0.33673142284948065,0.33566367069460085,0.3378305693527635
5,13.519961842105262,12.228666988935643,12.228313591603413,12.228989842602708,1.69897084628845,1.6978305746893236,1.7001608559171717,0.17842941131735682,0.17793605351454958,0.17899032846173638,7.083005773129384,7.082867539704835,7.083162357108292,0.6360045064609665,0.6354828470865066,0.6365504138195833,0.08530328281330132,0.08487513589400394,0.08570310285552526,42.186529268611,42.18591005737717,42.18719520961153,2.274912329877382,2.2725975729937646,2.2770124265200065,0.337851252841277,0.33659437635181216,0.33924126443505087,19.311657146136053,19.311294781079283,19.31207273144909,2.335012787674623,2.3337261487682652,2.3363614659348806,0.2219134838710825,0.22130742172925194,0.22259237410260907,19.31596837665451,19.315636875791686,19.316306494371357,2.255458545865931,2.254228707379422,2.256626029398259,0.19845272434994288,0.1978754804648195,0.19907607409748815,7.087323118013412,7.087165616864161,7.087472503296135,0.556469741285367,0.5559556525880534,0.556997026522499,0.08069600090653627,0.08035002264797593,0.08107163982677587,42.1009053761968,42.10023953999729,42.10157691066518,2.421510652380986,2.4194720339835896,2.4236577157781807,0.32711872767149697,0.3260454852960727,0.3284316258549543
6,13.623954210526316,12.395406605871921,12.395060346713501,12.395753772674766,1.6318521407514863,1.6306676143750714,1.6329856554560132,0.1671729738876408,0.16664425726583965,0.167734021443038,7.1439107697055135,7.143765214725341,7.144075924046948,0.6011747489535013,0.6006360134779406,0.6017130198479355,0.07573107888920225,0.07522789212864316,0.07628502518366428,42.410457185146804,42.40973949002423,42.41114186791666,2.188824881460173,2.1865333569165664,2.191110180979104,0.3176326176950096,0.31617216161802736,0.31920485526595715,19.53931049159431,19.53893780692771,19.539719194810516,2.232970890742962,2.231626579459229,2.234464559390678,0.20031022003652627,0.1996533015090094,0.2009582007890796,19.536860070990972,19.536508119256112,19.53722439059936,2.1638158326490027,2.1625725128311033,2.165115419832316,0.17949461019620216,0.17888282035859268,0.18006123285987202,7.141472526218828,7.14129975083187,7.1416395301178826,0.5320479760919272,0.531480922953218,0.5326008950814789,0.07488782873639657,0.07450715095568104,0.07526828446425374,42.337146503797264,42.33639302209288,42.33788084328518,2.315357546223283,2.3129816692093415,2.317832059471431,0.3195144754264256,0.31821862368478687,0.3207389966172825
7,13.727946578947368,12.554398310254074,12.553984446488375,12.55476369922364,1.5605647880221216,1.5592524221692772,1.561821343123376,0.15523181806641362,0.1546382985353414,0.15582956117201877,7.20249059505589,7.202318638982515,7.202645461268427,0.5756148085859535,0.5750357396257112,0.5761738812615663,0.06798526810726646,0.06737849529672947,0.06869824554808375,42.623647686092795,42.622887216369506,42.624422468569854,2.092367068398178,2.0901056038030896,2.0950071104717503,0.300715438258359,0.29915246986756583,0.3022705511866726,19.7568635225065,19.756455757458905,19.757265558600928,2.1361496223062,2.134729588323005,2.1375743374419263,0.17936844484101874,0.17866613419679925,0.18004724084138787,19.74887796005848,19.74850632718686,19.749217846377338,2.0776189794551225,2.076227520146208,2.0788274267545828,0.1616787672382667,0.1610185110408745,0.16229126175077416,7.194468082908496,7.194294529615046,7.194651852190162,0.5170719957831124,0.5164606748169476,0.5176047971493446,0.07076575791488729,0.07036354790100587,0.07119129036446106,42.559909491694725,42.55906990421337,42.5606853930069,2.195187071670652,2.1928002815207863,2.19767485254141,0.30957371919574095,0.308281020470524,0.31091856115390787
8,13.831938947368421,12.705637669809757,12.705247287228765,12.70599979082908,1.4886609591186,1.4872890287036977,1.4900556590301974,0.1424063332803554,0.14181692535250173,0.14300149354764286,7.259839501158282,7.25965279915772,7.260030423966824,0.559722906780793,0.5591002066232689,0.5602999669910861,0.062466877016314815,0.0617678970757242,0.06333376209959507,42.825686405878066,42.82485899750295,42.8264934201075,1.9912322991635971,1.9885659863067822,1.9940122695013625,0.28476948607849706,0.2832438395147612,0.2864789246621519,19.965465069634668,19.965042991234156,19.965870950029974,2.0484615025891157,2.0469611513280626,2.0499480556518783,0.15994361794928097,0.159297348598744,0.16062896536723145,19.95283208028593,19.952458418340104,19.953219551594362,1.9994929632493816,1.9982628342140147,2.000806526042976,0.14520034076401522,0.14454667701683857,0.14581457408400267,7.247223731121113,7.247021978119221,7.247410842427551,0.5109224668801533,0.5102726957136358,0.5115720794698531,0.06769459226041452,0.06725582001369337,0.06816514678249172,42.76879929605866,42.76796177637381,42.76973884906933,2.068908673309556,2.066185354760453,2.071686099990467,0.296103559710904,0.2947621659704459,0.2974077524846284
9,13.935931315789473,12.849401696408666,12.848994521394603,12.849800628214282,1.4188494377605059,1.4174598437153456,1.42017635099436,0.12883921435274642,0.12826518001723317,0.12943754451209172,7.316741801931823,7.316533895011183,7.316967811596418,0.5518570529560687,0.5510583303627212,0.5525402685633711,0.0593577050917931,0.05864845108829064,0.0601190320375809,43.016643083005015,43.01571981842332,43.01761315837061,1.889229444869915,1.886516345985093,1.892224449398018,0.2685489687810184,0.2668950807394571,0.27020722498733785,20.166125168019043,20.165677610214416,20.166557472350433,1.970516263859439,1.968921576731673,1.9719874512985207,0.14285504213741512,0.14218901185158736,0.1436045857951903,20.149866483191055,20.149447971487728,20.150271024385116,1.9308193765716686,1.9294207734644098,1.932270654555523,0.13045450144103682,0.12982652423613528,0.13109729178065724,7.300479932060989,7.300255233264234,7.300687210504245,0.5119720677541915,0.5112410891541296,0.5127415570696743,0.06511823754953497,0.06463639499693813,0.06558102302377691,42.964120256005145,42.96317599282999,42.9650805829284,1.9433152702156458,1.9402500263411206,1.946520555686701,0.27902992968934215,0.27750032698817106,0.28036809084713615
