bin,M_500c,M_hot_gas_500c_norm,M_hot_gas_500c_norm-,M_hot_gas_500c_norm+,M_hot_gas_500c_slope,M_hot_gas_500c_slope-,M_hot_gas_500c_slope+,M_hot_gas_500c_scatter,M_hot_gas_500c_scatter-,M_hot_gas_500c_scatter+,T_sl_500c_norm,T_sl_500c_norm-,T_sl_500c_norm+,T_sl_500c_slope,T_sl_500c_slope-,T_sl_500c_slope+,T_sl_500c_scatter,T_sl_500c_scatter-,T_sl_500c_scatter+,L_X_ROSAT_obs_500c_norm,L_X_ROSAT_obs_500c_norm-,L_X_ROSAT_obs_500c_norm+,L_X_ROSAT_obs_500c_slope,L_X_ROSAT_obs_500c_slope-,L_X_ROSAT_obs_500c_slope+,L_X_ROSAT_obs_500c_scatter,L_X_ROSAT_obs_500c_scatter-,L_X_ROSAT_obs_500c_scatter+,Y_X_500c_norm,Y_X_500c_norm-,Y_X_500c_norm+,Y_X_500c_slope,Y_X_500c_slope-,Y_X_500c_slope+,Y_X_500c_scatter,Y_X_500c_scatter-,Y_X_500c_scatter+,Y_SZ_500c_norm,Y_SZ_500c_norm-,Y_SZ_500c_norm+,Y_SZ_500c_slope,Y_SZ_500c_slope-,Y_SZ_500c_slope+,Y_SZ_500c_scatter,Y_SZ_500c_scatter-,Y_SZ_500c_scatter+,T_mw_hot_gas_500c_norm,T_mw_hot_gas_500c_norm-,T_mw_hot_gas_500c_norm+,T_mw_hot_gas_500c_slope,T_mw_hot_gas_500c_slope-,T_mw_hot_gas_500c_slope+,T_mw_hot_gas_500c_scatter,T_mw_hot_gas_500c_scatter-,T_mw_hot_gas_500c_scatter+,L_X_ROSAT_obs_ce_500c_norm,L_X_ROSAT_obs_ce_500c_norm-,L_X_ROSAT_obs_ce_500c_norm+,L_X_ROSAT_obs_ce_500c_slope,L_X_ROSAT_obs_ce_500c_slope-,L_X_ROSAT_obs_ce_500c_slope+,L_X_ROSAT_obs_ce_500c_scatter,L_X_ROSAT_obs_ce_500c_scatter-,L_X_ROSAT_obs_ce_500c_scatter+
0,13.0,11.694291541032769,11.692393939549314,11.696136525386049,1.4640987690239804,1.4572102461635632,1.4718760542079805,0.32441366383272396,0.32107884831563016,0.3279758298392659,6.672575668020256,6.671486088109645,6.673648608666815,0.5671569809986277,0.5631857146607158,0.5712211614009948,0.15374814082043636,0.15094148619276898,0.15627036068127143,41.40324276815046,41.39671925979867,41.410118310895975,2.3946121151378748,2.3668662138088457,2.422203107864206,1.2494717354227265,1.2345987995354089,1.264647551056005,18.366959606236005,18.36503643016391,18.36896044466886,2.0327464116056166,2.024240785000743,2.0411407390413223,0.3590189364784926,0.3551166676098043,0.3630163344484952,18.454045428040107,18.452247669387507,18.456119697371644,2.0927072975706946,2.0853313167616085,2.0998931114710726,0.3214618767790694,0.31803011271855475,0.324793228781575,6.759783613650514,6.758812223235102,6.760735418021043,0.6277941972347119,0.6242268632436688,0.6312984123317913,0.15086791419161696,0.1491203732658943,0.1523448189340444,41.29177853749634,41.28497153489148,41.29815934571868,2.621199984035079,2.594195654220323,2.6484191116101368,1.1921877717557527,1.1774956817607083,1.207088441337127
1,13.095847789473684,11.837910286648228,11.836252329258146,11.839619165566182,1.4862794667956924,1.4799039870460833,1.4930667906185073,0.2812939146016754,0.2784078854152918,0.2847840641225007,6.73008063694918,6.728832594972222,6.731374846826003,0.5886729095144576,0.5845476164797412,0.5926400385817384,0.1531751360473258,0.15095525509919405,0.15537837487832096,41.63538858090827,41.628749586285124,41.641586396680744,2.4133284479375705,2.3884209125779177,2.437360751581629,1.0807669167621705,1.0659719364419504,1.0965380896402983,18.56803547673283,18.565820555370816,18.570201426050858,2.0754004954263436,2.0678381678064714,2.0830677727736266,0.3180484951141578,0.31441769296925204,0.32158139435596345,18.65649142142579,18.654652560179688,18.658399356613504,2.104309561291326,2.09786629741844,2.1108371518514053,0.28404818867636616,0.2806517402515602,0.2870814651765325,6.818546032023447,6.817579134508399,6.819580706890083,0.6182021746632833,0.6148795663300626,0.6215973620446392,0.13829902815188677,0.13674750025039964,0.1400762036311955,41.540802598270304,41.534524373317794,41.54728448929838,2.6066743820979683,2.5845765738662445,2.6288129003723095,1.0378863159573255,1.022787007515842,1.0533586633662528
2,13.19169557894737,11.982404361056648,11.980810411773263,11.98400188110553,1.499087681743485,1.4929581710903719,1.5052081866615583,0.23936806925851495,0.23642402014639397,0.24234664007114975,6.789677605959188,6.788287398627305,6.791095241694168,0.6101589973819506,0.6054033566479762,0.6142162541084428,0.15244142020867096,0.15037336227546708,0.15454578131754504,41.867755875834625,41.86260908913196,41.87387502078347,2.420697353075131,2.400112020355572,2.4436207921677333,0.9100095140153611,0.8958624105033658,0.9244335695229506,18.772193177815986,18.769969201635572,18.7743710641285,2.1099467555908555,2.102726744263713,2.1171013710120348,0.28070248432806877,0.27733267386169824,0.28408703917276246,18.858657170533654,18.856778636292155,18.860562714840746,2.107014144059804,2.100952500081241,2.113429858528244,0.2479465751130006,0.24505789129279495,0.2509374852669843,6.876252758481801,6.875245243521994,6.87719214282107,0.6074670561278974,0.6042081136921884,0.6106115459909189,0.12527485598605448,0.12354386090595224,0.12705075944308583,41.78688910653782,41.78107765458566,41.79258780686389,2.580958587649613,2.5600173674074522,2.602107530609606,0.880630840439887,0.8657620237583141,0.8951773474737685
3,13.287543368421053,12.126440149263976,12.12490692781714,12.127993787283277,1.5007514690744475,1.4952059473848116,1.5062769543233818,0.2025086424026271,0.19966053832474775,0.20514063733147814,6.851000781717369,6.849412643112794,6.852598771852473,0.6288248900676517,0.6235216119391017,0.6340249452858796,0.1510480037755909,0.1489272501652052,0.15325656762402717,42.099818942657706,42.09458884236878,42.1054894756981,2.4203420012323313,2.39827995308955,2.442096316614544,0.7531483176841474,0.7395077341845797,0.7677401796020221,18.9773220511156,18.97499306498861,18.97965178003766,2.128991502470222,2.120813461575746,2.1368991466007534,0.2502599894541117,0.24730361781369053,0.25363575910046765,19.059190607534273,19.05734121396913,19.061034674985944,2.09652953374309,2.090323843392683,2.1031027766063204,0.21608809787663824,0.21302217971872708,0.21932436706702613,6.932687019092382,6.931692974914813,6.93359207816822,0.5954312072144256,0.5923320603192704,0.5988948846135709,0.11214681917630073,0.11051612624815975,0.11392774103494203,42.0287386189434,42.02378762106353,42.03421488699047,2.5464607267007664,2.524753268918393,2.5654006193565033,0.730242497864637,0.7162683551913658,0.743776392804981
4,13.383391157894737,12.26873268368748,12.267077650626263,12.270353531018628,1.4894637271050044,1.4841311131887591,1.4951177128907054,0.17163048273902617,0.1690865672839282,0.17435533710701626,6.913045851678833,6.9111593965053535,6.914697977739297,0.6411922907876999,0.6356971956862432,0.6460343213876965,0.14901951997714488,0.14651833883211857,0.15135183162325183,42.3303475663291,42.32527766211901,42.33568914597629,2.4100875476157424,2.3890098879334043,2.430112350813329,0.6155986915443595,0.6024530327723844,0.6302371316837069,19.18179490673637,19.179467452860735,19.184220781706077,2.1299960719785513,2.122179737626911,2.1385628787456192,0.22790178609083644,0.22439028235377237,0.2320535648684605,19.256763608530576,19.254886950654114,19.258617117059224,2.073001929215999,2.066316835611377,2.079282878324132,0.19014846434455443,0.18692599135370486,0.193353636262875,6.987936704515533,6.98693345673646,6.988805330598126,0.5830201951439049,0.5798051873867286,0.5863781778055094,0.09955018667688875,0.0978766516349196,0.10154229002890074,42.26657156492625,42.261612387522234,42.271685538640725,2.5013168088334794,2.482399404460218,2.5192862118902433,0.599967185572072,0.5882187409935047,0.6127789657982332
5,13.47923894736842,12.408087465223808,12.406520681349642,12.409668505021465,1.4653212894281236,1.459914960804153,1.4701678627770238,0.14756984659124128,0.14490337530220038,0.15014945584024209,6.975255471067664,6.973279335234136,6.977251923386778,0.6453822808791931,0.6395624321142169,0.6512440229658308,0.14593284129763512,0.14336455942804519,0.14869222172871396,42.55757999683401,42.55204645455284,42.56264060889978,2.38049919527837,2.3637444965734655,2.3987603781621063,0.5081540525560164,0.49182652197355436,0.5259483563815508,19.383355331944358,19.380610971091038,19.385951887989584,2.110338500551636,2.101890635728153,2.1188145728397094,0.21419670771622187,0.21022064821024178,0.21832625575495002,19.44978227829126,19.44789145544549,19.451763803511657,2.0345431920592336,2.0281768781731686,2.040904226597747,0.16955265632980335,0.16643014228585645,0.1729100399925291,7.041985132720358,7.0410730080727,7.042874671756572,0.5699900422340926,0.5667239038688507,0.5732860423636204,0.08812580322058901,0.08615529615819062,0.08997095390738295,42.4984411068855,42.49341980391279,42.503811611352035,2.445200830614647,2.4273564702936192,2.461698967730417,0.49468869650625297,0.4803925264572569,0.5095460499428084
6,13.575086736842106,12.54342161937424,12.541767342781545,12.544996621073496,1.428635797497311,1.4234040972366244,1.433303596778735,0.12948203375761752,0.1267139634813294,0.1321713967295549,7.036497855276352,7.034432073346867,7.038561424479016,0.6407833298285411,0.6345032189996268,0.6474296480155278,0.143000020254475,0.14011057512375663,0.14626795311775828,42.77844080325757,42.77342066623936,42.783522690612486,2.3305923923733447,2.3149368944455335,2.346613383336962,0.42477341395621443,0.40804877846431675,0.444759295736457,19.57973551256712,19.576713532148567,19.582483261710163,2.06882003031466,2.0595374644430695,2.078699693959802,0.20566946329271385,0.2008103415652164,0.21016249623428251,19.638079281351143,19.636105444613182,19.640152674484767,1.9848943444741212,1.9787201240960564,1.991557113742322,0.15365049129647873,0.15026936534392352,0.15684503894746085,7.094686103791812,7.0937244452331045,7.095701011369722,0.5569876951926749,0.5536070273847888,0.5604355512786557,0.07795478224327154,0.07628759556371462,0.0797103419322713,42.72233875227524,42.71822088024229,42.72685866034621,2.375385459322654,2.3592587822958575,2.390290679474078,0.41315370458951206,0.39863762745097375,0.4287896744158379
7,13.67093452631579,12.673871883431332,12.672468244798093,12.675448549571891,1.3833892742302845,1.378337478277748,1.3886531203442756,0.11498187585533998,0.11232784937090429,0.11748805516463838,7.0965086752019495,7.094323229227529,7.098837710248578,0.6308676345393436,0.6229776502094674,0.6373678846332929,0.14060291292618998,0.13722988469871003,0.14426445833756235,42.99320145687864,42.98873488722744,42.997402010143134,2.268044444311353,2.2519656460886606,2.283914633846715,0.36265797566613095,0.34568653362212004,0.37992623121823205,19.770069359434743,19.767045562805254,19.773462872359325,2.014179651873585,2.0040582495290753,2.024629566884993,0.20071371272774174,0.19555852228473414,0.20511893015306637,19.82048962861829,19.81849610942593,19.822339715770624,1.9292176097255038,1.9225950026270888,1.936615785561925,0.1406765897729163,0.13779146200564787,0.14369679234478674,7.146465949527821,7.145459440078794,7.147442183173237,0.5458392001434488,0.5419657979642831,0.5493014351258192,0.07067095050590033,0.06889949462572477,0.07240736893376493,42.938527250471054,42.93398837764582,42.942904545367355,2.293033567471864,2.2782547353372924,2.30706684063617,0.3511614872718482,0.33542395164108835,0.3676159118182022
8,13.766782315789474,12.799786909128535,12.7982020603807,12.8013571171247,1.3338446587953623,1.3286396803641138,1.3392865640597964,0.10281680382317504,0.1004858847608217,0.10514582450513174,7.155557990960215,7.153112991568999,7.157865989660031,0.6203695165689669,0.6131991247666944,0.6281058203058835,0.13895741941158932,0.13500031100386678,0.1427421920276757,43.20103455362576,43.196584595978265,43.20540795862379,2.1985048448163003,2.18146295945872,2.214548459485267,0.31258660893560963,0.29891384861123327,0.32718733959859286,19.955293698456927,19.9516096732617,19.958663717273826,1.9542091909192443,1.9419826821072523,1.9659994815512323,0.19589093200780927,0.1909340281136274,0.20189339916462284,19.99771634798044,19.99560455315282,19.99989161375468,1.8733656475168068,1.866120750061059,1.8804237897533496,0.13019238784173165,0.12699517151722364,0.1332907944581351,7.197825497293243,7.196707414718724,7.198949588873232,0.5392495183880871,0.535629034627213,0.5431049908789642,0.06576688854613492,0.064167591862425,0.067630381999714,43.14599271898837,43.14182267461463,43.15007183317303,2.2024448912394163,2.186910172854864,2.2168534098937918,0.30114027444807134,0.28795263724734976,0.3148882467311076
9,13.862630105263158,12.921142268044969,12.919508613225732,12.922575914751361,1.2819868428049896,1.2772628219167275,1.2870880170377976,0.09226494881253117,0.09008000605306365,0.09463342218984652,7.213835356621965,7.211084227947484,7.21643990811015,0.6110076062678915,0.603328941476566,0.6193300912521988,0.1372064399636418,0.13276876074213212,0.14198931323773867,43.402199575967046,43.39767172387997,43.40684417625091,2.1215762727076513,2.106245537344908,2.1377824098895344,0.27801016948498725,0.2683860568763222,0.2885488067499318,20.134861459758724,20.13118710599864,20.138176379870096,1.8929668454799775,1.8814156418887296,1.9045971741332695,0.19226323328483885,0.18630479106034226,0.1984477615591546,20.1702890783119,20.16817983970187,20.172428285114076,1.8204021740588194,1.813687996732982,1.8272561191771277,0.122153533603997,0.11924625986715084,0.12539789918295685,7.249414819714978,7.248147262072438,7.25069063760964,0.5381232145501107,0.5343989351560843,0.541730970060086,0.063715828205365,0.06173393096597725,0.06572164256625779,43.344735310885675,43.34087139055065,43.348679844052526,2.10259029466434,2.0894330467458735,2.116491386168668,0.2636325106120473,0.25288912387237145,0.27365922238579826
