bin,M_500c,M_hot_gas_500c_norm,M_hot_gas_500c_norm-,M_hot_gas_500c_norm+,M_hot_gas_500c_slope,M_hot_gas_500c_slope-,M_hot_gas_500c_slope+,M_hot_gas_500c_scatter,M_hot_gas_500c_scatter-,M_hot_gas_500c_scatter+,T_sl_500c_norm,T_sl_500c_norm-,T_sl_500c_norm+,T_sl_500c_slope,T_sl_500c_slope-,T_sl_500c_slope+,T_sl_500c_scatter,T_sl_500c_scatter-,T_sl_500c_scatter+,L_X_ROSAT_obs_500c_norm,L_X_ROSAT_obs_500c_norm-,L_X_ROSAT_obs_500c_norm+,L_X_ROSAT_obs_500c_slope,L_X_ROSAT_obs_500c_slope-,L_X_ROSAT_obs_500c_slope+,L_X_ROSAT_obs_500c_scatter,L_X_ROSAT_obs_500c_scatter-,L_X_ROSAT_obs_500c_scatter+,Y_X_500c_norm,Y_X_500c_norm-,Y_X_500c_norm+,Y_X_500c_slope,Y_X_500c_slope-,Y_X_500c_slope+,Y_X_500c_scatter,Y_X_500c_scatter-,Y_X_500c_scatter+,Y_SZ_500c_norm,Y_SZ_500c_norm-,Y_SZ_500c_norm+,Y_SZ_500c_slope,Y_SZ_500c_slope-,Y_SZ_500c_slope+,Y_SZ_500c_scatter,Y_SZ_500c_scatter-,Y_SZ_500c_scatter+,T_mw_hot_gas_500c_norm,T_mw_hot_gas_500c_norm-,T_mw_hot_gas_500c_norm+,T_mw_hot_gas_500c_slope,T_mw_hot_gas_500c_slope-,T_mw_hot_gas_500c_slope+,T_mw_hot_gas_500c_scatter,T_mw_hot_gas_500c_scatter-,T_mw_hot_gas_500c_scatter+,L_X_ROSAT_obs_ce_500c_norm,L_X_ROSAT_obs_ce_500c_norm-,L_X_ROSAT_obs_ce_500c_norm+,L_X_ROSAT_obs_ce_500c_slope,L_X_ROSAT_obs_ce_500c_slope-,L_X_ROSAT_obs_ce_500c_slope+,L_X_ROSAT_obs_ce_500c_scatter,L_X_ROSAT_obs_ce_500c_scatter-,L_X_ROSAT_obs_ce_500c_scatter+
0,13.0,11.581299695305137,11.579544696173127,11.583065457356016,1.6952167667632936,1.6886296786701225,1.7025911195022922,0.29945769884596896,0.29633600552455147,0.30221746301851105,6.654778642654106,6.653790205605272,6.655823821285651,0.634404277237965,0.6305406388062277,0.6380711808323544,0.14388405108473287,0.14230486900338737,0.14555674824689316,40.974658820644606,40.96933092520141,40.98002313166649,2.7373522136386383,2.7146952008965437,2.7586577427928938,0.9617959187710499,0.9466744723836029,0.977585936222534,18.23608619293196,18.234052381392033,18.238055930508075,2.3298298882491935,2.3217398443815243,2.337797586294368,0.34300458515341303,0.33939090448534825,0.3466995603180649,18.291818444993268,18.290132209028446,18.293692520429587,2.347323863716542,2.339853684683706,2.3539878240115546,0.32078855839173837,0.3174417543519317,0.3239343632549049,6.710619670833985,6.7098881407701825,6.711374354497286,0.651890752424596,0.6490630431617701,0.6547750803527984,0.13444393308825187,0.13290067857527382,0.13606008624026963,40.870063497207155,40.86432443419784,40.87510565092674,2.950753937502218,2.9292082020252113,2.971691863245945,0.9725384824647028,0.9562334612497901,0.9885070535849755
1,13.107746421052632,11.764268679782663,11.762576181554575,11.765932551191058,1.696801499556713,1.6907162943499126,1.7026144448352298,0.2603013109731004,0.2576182704392238,0.26320260154057096,6.725497630079387,6.724480290053709,6.726525082158148,0.6513372779658715,0.6475844604061989,0.6547971459974402,0.140910620672899,0.13921020276419194,0.14262401182045606,41.267093015995584,41.262545706609465,41.27208500508011,2.718286669815262,2.6997212011080407,2.7362867709760015,0.8240402779533974,0.8101048391765121,0.8386992107184645,18.489714841544618,18.487550167342977,18.49183034705607,2.3476083706013706,2.3405244901388578,2.3549521286037507,0.3055387545049506,0.30206182670641346,0.30893627953443725,18.542247921420802,18.540463172805357,18.544149696567544,2.327970837439066,2.3218219778083253,2.334768808871524,0.28175450813951197,0.27859792922572674,0.2849707180698223,6.778044701426679,6.777270719139837,6.7787891668918,0.631770929146306,0.6289828029451597,0.6345761129219336,0.1185641025460947,0.11708089994971309,0.12004676210989575,41.1805041492825,41.17517216666513,41.18529869704207,2.898975337175718,2.8812743656966693,2.9168095066845923,0.837694219573665,0.821060824604573,0.852633445434467
2,13.215492842105263,11.945526894215817,11.943834891465032,11.947096973013,1.6845342957300224,1.679201865838632,1.6899972188199996,0.2239029963736055,0.2213311611992607,0.22674573283065444,6.7969417055089165,6.7957937657424665,6.798105674301215,0.6588600596993126,0.6552235524663469,0.6626708194268333,0.13673029568750356,0.13472440581196896,0.13861497674886508,41.55468432981592,41.55011920033509,41.55932991367887,2.6799673706822835,2.6644065434486754,2.6960558331281392,0.6898555351757791,0.6752377850112038,0.7060010040910615,18.742376724420943,18.740287557501517,18.744361546508188,2.3431403779110913,2.336184371946979,2.350515625523995,0.27217689347120144,0.2684348051907298,0.2754965731682795,18.787757127269792,18.78595735331244,18.78955986407472,2.2897993874522298,2.283453988714787,2.296397838431383,0.24557085234769171,0.24242736290041036,0.24856147852104862,6.842271315941559,6.841523745547217,6.843033379199714,0.6051004871895451,0.6022265588737197,0.6075386029297699,0.10317735762770694,0.10165263378023004,0.10464277536592011,41.482121601699376,41.47751511703701,41.48696597424485,2.8238652402949924,2.8067063548152342,2.8396674410017995,0.7033879324245171,0.6859220326366646,0.7199401375217727
3,13.323239263157895,12.123330859704783,12.12176735552238,12.124653213581816,1.6586591265954302,1.6529556729231902,1.6637604683082667,0.19160180811140853,0.1891110076527663,0.19429537815329367,6.86759496251935,6.866319012483478,6.868881733872403,0.656375773472472,0.6524105709907808,0.6601222279199032,0.13069862418147132,0.12846802965639847,0.13336097448371534,41.836607911115934,41.8326753718955,41.84071088344768,2.634333077412988,2.6182847195745285,2.649669433744287,0.5665423071322272,0.5528416084926734,0.5830447553462044,18.990942872591916,18.988810493733457,18.9930850977113,2.3149164817157377,2.307826870209129,2.3222245882365184,0.24424307397905307,0.2404937380153605,0.24757958930257606,19.026537243499313,19.02477074584173,19.028357010392128,2.2352199019588754,2.2294970672540044,2.2414868902954654,0.21346982282775007,0.21042054283751527,0.21640400381358008,6.903271715390488,6.902503869345601,6.9040216099586145,0.5766460687305213,0.57416518234688,0.579248398208076,0.08929607918759633,0.0878494469279629,0.0906999392585882,41.7738783049029,41.76999918581933,41.777860253349054,2.7407841127874284,2.7254897384373544,2.755901133248617,0.5754831666425455,0.5592481343411987,0.5924048950909299
4,13.430985684210526,12.296370647035785,12.294831144727619,12.29786717778192,1.6189116427016437,1.6135863076285817,1.6243517936441052,0.16497623417531804,0.16267594743076963,0.16750117350292038,6.936894034751052,6.935573215529515,6.9381226008894155,0.645210446152026,0.6409280967260477,0.6493197032673376,0.12271037372296975,0.12009963786623001,0.12553070746698064,42.11272347514435,42.10888646790414,42.11643006881746,2.579889650567001,2.5658075408504875,2.594524028528612,0.46177710566795355,0.44750609599070984,0.4784889082189278,19.2330804583449,19.230846855644273,19.23535148679638,2.2634987758929332,2.256231443251763,2.2708658164879836,0.22099406083468282,0.2175136351272198,0.22482392667809856,19.258034920764622,19.256376045482558,19.25979836106043,2.1704927703628565,2.164318054137078,2.1761398044939377,0.1856680015873285,0.18260109863327592,0.18861810055695144,6.961667810508749,6.960983232798415,6.962421060887993,0.5516478062716632,0.5489599215893688,0.5542255601085047,0.07739852131948895,0.07607208999519703,0.07881957697319292,42.05713834005746,42.053259330164565,42.06086473007516,2.655285687086125,2.640336173845254,2.6698249770603035,0.4658087364795048,0.4521845961465422,0.4827244832587454
5,13.538732105263158,12.463175932210518,12.461730233558216,12.464620727955399,1.5646805729866857,1.5594505492006587,1.5704470437811424,0.14487544268836564,0.1425476797857176,0.14720042334313896,7.0038841020283416,7.00258917615439,7.005064863216293,0.6282312773709778,0.6240058799598773,0.6327069000060002,0.1130476676594763,0.11038538694663205,0.11591994708268517,42.38039926625042,42.3763936791598,42.38436181195609,2.5071637577661097,2.4926383766840554,2.5217681447930627,0.3836215869254283,0.36639818738820323,0.402400045958858,19.467035679079345,19.4650564566659,19.469275083071373,2.1930473307813116,2.184785994472894,2.200896561349716,0.20188657456802556,0.19851433198186258,0.20564217469236085,19.481423816163055,19.47971955598868,19.483068123832602,2.0971850295182874,2.091236599186397,2.1040320730062043,0.16307497807080548,0.16022305083857402,0.16613129602463242,7.018461636127929,7.01770263488679,7.019197677870012,0.533253124312381,0.5307211792109932,0.5359317985065161,0.06867384965124987,0.06706028238140768,0.07021137952858346,42.32912453696342,42.325440342274206,42.333300429487885,2.558857035220117,2.5455662705838664,2.5753699271945445,0.3814212090539595,0.3648143464150697,0.4014235207290329
6,13.64647852631579,12.622268447743988,12.62066126568938,12.623974751830968,1.4976365027937941,1.4920216330560336,1.5032155035622687,0.13038804600870418,0.12783894576978788,0.13303368104730268,7.068965616649546,7.067706346642315,7.070182967095446,0.6096175707083775,0.6053554593777503,0.6142215139624365,0.10262311604368307,0.09956885229288842,0.1058622036474383,42.63767654381258,42.63345389782672,42.642357815860734,2.4149441782805283,2.4004003373216656,2.430030562323129,0.33383484929147156,0.3126355135397505,0.3569098473768333,19.69132211144703,19.688907295207166,19.693771359623685,2.107590230672135,2.099296489403618,2.115671757944896,0.18495957102048408,0.18156132878303846,0.18906829428899433,19.696517779713144,19.694742526217517,19.698436680166306,2.0203059449926837,2.0145746409780396,2.0264703423676176,0.14587546557249698,0.14288307613697987,0.1487885172902147,7.074383894912437,7.073557966209292,7.075150960197915,0.5230416007346539,0.5201886440103559,0.5260371895547052,0.06238999772150436,0.06059048837626581,0.06420271373330157,42.589157631749956,42.58496938882348,42.593730055256415,2.4456628611274813,2.4311708790977553,2.460793500849461,0.3300578782821436,0.30714438403423255,0.35416144300984786
7,13.75422494736842,12.77304605183972,12.771325969657802,12.774835972827496,1.4239906029747784,1.41753902815534,1.4296165859819665,0.11939485141734212,0.11664296072419562,0.12198574017676933,7.132435108128895,7.130994512917419,7.133653094510411,0.5941603647717921,0.5893178815114493,0.5989368815980531,0.09255459802166341,0.08927639521569308,0.09604464282376847,42.882339985124574,42.877968435537056,42.88683767507789,2.304437815961995,2.2892083068209126,2.32194347649558,0.3049571927059902,0.28429039661146227,0.32813806613914315,19.90536010589628,19.9029271313889,19.907809621157345,2.0178019545464476,2.0086366906794453,2.026675186781671,0.17056719401833897,0.16666608667091015,0.17413627512094723,19.903326146332113,19.901172386619198,19.905302039448138,1.9435212024122044,1.9368728794127588,1.9502256166147371,0.13143553315943296,0.12867409652417622,0.13448961712854,7.130121010095306,7.129336657320283,7.131092902257033,0.5196396684732316,0.5165806435807475,0.5228451892466675,0.05825065630430814,0.05609542478097978,0.06037433588423896,42.83418159965318,42.82960098574857,42.83856787986781,2.3137962054597794,2.2988589543736726,2.330563335165816,0.29857349068457184,0.2745576300872168,0.32439569439293997
8,13.861971368421052,12.915669997222945,12.913789119154856,12.917436170999654,1.3513161502766469,1.3450884910824967,1.3582662107704813,0.1090335144944345,0.10641631303438134,0.11171659068202332,7.194788624503859,7.193288448211321,7.1962131836447965,0.5838784404666529,0.579015282855438,0.5890691048025201,0.08466453764915957,0.08111659603672625,0.08845704313507526,43.11402810479123,43.108673713928084,43.119209040615026,2.1951490786495897,2.17631183460786,2.2145621073603254,0.291532021253074,0.2740163697266123,0.31172388001264023,20.110508372663986,20.10774284824171,20.113090090265743,1.9357121625871097,1.9263954015871423,1.9447796813589786,0.1566298726567002,0.15259661436011862,0.16075830777665068,20.102136815485732,20.099968044701043,20.10426618171429,1.8737175920350033,1.8666425038131393,1.881404409816015,0.11909060654232567,0.11645903411565046,0.12209152416724887,7.186573447413078,7.185565323896212,7.187545769505949,0.5227597818889149,0.519436089955576,0.5261742961657694,0.05484906331155208,0.05263904040736584,0.05723165382479317,43.06373861453093,43.05898288597761,43.06876296663824,2.1808033599237655,2.165496147540583,2.1986290813986997,0.2797649135409394,0.26057600169511946,0.2997709845476113
9,13.969717789473684,13.050769672625883,13.048951157055942,13.052690004019114,1.2862689630312967,1.2795246535944582,1.2931947780809774,0.0991916846288669,0.09645351298832544,0.10175037061915841,7.25687564054617,7.255288226176619,7.258488386436225,0.5780442209966847,0.5727859222823679,0.5838894939698057,0.07797867857144092,0.07412694286677754,0.08194798049346104,43.3350337650898,43.32811973708061,43.34183163309092,2.09727701510136,2.0759473905776002,2.1213242755358404,0.28630627572147016,0.2723871311636848,0.3004971883351316,20.307643007533347,20.304843659298662,20.31050681105677,1.8643759592531686,1.8546948980623286,1.8751099458409606,0.14452552700073862,0.140242207701468,0.14828573946034995,20.29494063138224,20.29275560245259,20.297196176245667,1.817577007555184,1.8096911819623982,1.8248752805175865,0.10854679661634734,0.10555386150686714,0.11180848047097933,7.244235677520448,7.243101216862372,7.245340993399024,0.5312839743219944,0.5275347430459457,0.5347945643764888,0.051958858464314195,0.04982618469351651,0.054357981975401815,43.27852351449238,43.27337035175348,43.284368078284096,2.0561147790661773,2.036823478861785,2.0762722322496407,0.26514954514387445,0.25031595572325654,0.2827562881219562
