bin,M_500c,M_hot_gas_500c_mpq,M_hot_gas_500c_mpq-,M_hot_gas_500c_mpq+,T_sl_wo_recent_AGN_500c_mpq,T_sl_wo_recent_AGN_500c_mpq-,T_sl_wo_recent_AGN_500c_mpq+,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq-,L_X_ROSAT_obs_wo_recent_AGN_500c_mpq+,Y_X_500c_mpq,Y_X_500c_mpq-,Y_X_500c_mpq+,Y_SZ_500c_mpq,Y_SZ_500c_mpq-,Y_SZ_500c_mpq+,T_mw_hot_gas_wo_recent_AGN_500c_mpq,T_mw_hot_gas_wo_recent_AGN_500c_mpq-,T_mw_hot_gas_wo_recent_AGN_500c_mpq+,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq-,L_X_ROSAT_obs_wo_recent_AGN_ce_500c_mpq+,T_sl_500c_mpq,T_sl_500c_mpq-,T_sl_500c_mpq+,T_mw_hot_gas_500c_mpq,T_mw_hot_gas_500c_mpq-,T_mw_hot_gas_500c_mpq+,L_X_ROSAT_obs_500c_mpq,L_X_ROSAT_obs_500c_mpq-,L_X_ROSAT_obs_500c_mpq+,L_X_ROSAT_obs_ce_500c_mpq,L_X_ROSAT_obs_ce_500c_mpq-,L_X_ROSAT_obs_ce_500c_mpq+,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq-,M_hot_gas_500c_T_sl_wo_recent_AGN_500c_L_X_ROSAT_obs_wo_recent_AGN_500c_Y_X_500c_Y_SZ_500c_mpq+
0,13.0,0.1422782313535749,0.1419985745837738,0.1425559318006838,0.2087315260455374,0.208185020640536,0.2092928932484914,0.2780306086154472,0.2772553451379297,0.2787738737603921,0.1337883752080534,0.1335319153454263,0.1340465766068616,0.1284089828960877,0.128171312862913,0.128643262727771,0.2138008510573299,0.2132963826579474,0.2143433377364382,0.204084032188149,0.2034701163495361,0.2047592717056962,0.329052088650449,0.3267577967822863,0.3312022338821593,0.2163531383191972,0.2158246836978572,0.2168846900172927,0.3423644121969214,0.3412707588239569,0.3433617770001131,0.2362639115558303,0.2351830049468647,0.2373057748520801,0.128094044832768,0.1276400194690404,0.1283382257360901
1,13.093647789473684,0.1277454017982393,0.1274655026995207,0.1280014108070159,0.1941264188660637,0.193536585923091,0.1947174476661802,0.248662462589703,0.247932213122226,0.2493767909529367,0.123355773020341,0.1231005719458322,0.1236006303874834,0.1170187855461023,0.1168031608283259,0.1172387266556604,0.1939987561883638,0.1934180689700004,0.1945312894246431,0.1818708177939859,0.1812209872578607,0.1825625222699064,0.3021203276692818,0.2997811259150273,0.3043323793460321,0.1956472306964506,0.195112041923927,0.1961733404543657,0.3079253540836657,0.3069414442716486,0.3088883157399767,0.2135220062650289,0.2125795398907598,0.2144379978114798,0.1167300052080288,0.1162532593681115,0.1169583943596858
2,13.187295578947367,0.1155361587660151,0.115264308794946,0.1157828572381392,0.1821585368756335,0.181473907617078,0.1828740422755919,0.2219796978849176,0.22117476819846,0.2227784221363896,0.1146875045622418,0.1144404206640937,0.1149564148075149,0.1071011240699132,0.1068517398076217,0.107352661656137,0.1765146860067859,0.1759425178881686,0.1770416126397758,0.162737645478358,0.1620841491305145,0.16343423923159,0.2758329305154502,0.2736636377614447,0.2781117191773162,0.1775191604623187,0.1770521809884608,0.1780672140055497,0.2760420630827295,0.2750822166157355,0.2771076381355143,0.1927560306810211,0.1918244518735412,0.1936144659679129,0.1065021031651339,0.1057880873585007,0.1068426177958775
3,13.280943368421052,0.1061784934776024,0.1059149929021911,0.1064301834167793,0.1729069227461042,0.1720644355141082,0.1736817499477991,0.1991125993619776,0.1984328166025022,0.1998876026958976,0.1080500170928658,0.1077630099377604,0.1083421109650644,0.0990147520729576,0.0987493410813181,0.0992569387776183,0.1621578057921641,0.1616290732981267,0.1627401740876884,0.1480188933411155,0.1474042446816861,0.1486380643940426,0.2520308150757858,0.2500431340398285,0.2539665138884929,0.1627887896896053,0.1621936784981424,0.1633515551621665,0.2487361588528968,0.2475928011465417,0.249802506030677,0.17537855243845,0.174472204740646,0.1762652578867497,0.098042856348806,0.097372814262167,0.0983928879799854
4,13.374591157894736,0.0994925614087955,0.099243619132654,0.0997621952091082,0.1663746483006797,0.1653237824401251,0.1674440112363118,0.1804490703086764,0.1795751526036915,0.1812172874119421,0.1029899320117344,0.1026524766687928,0.103325324092419,0.0924802009940492,0.0922275473275766,0.0927677857047131,0.1508637154527467,0.1503038769375498,0.1514305760769511,0.1378778359981252,0.1373048402005199,0.1384029376562875,0.2313791807075455,0.2293023157795871,0.2335023709890355,0.1511947175349133,0.150636588336558,0.1517361200924009,0.2260906468259325,0.2248656989872748,0.2272654737183821,0.1617074779012592,0.1608354377806649,0.162607027627797,0.0909687147720732,0.0898287881028629,0.0914598433244523
5,13.46823894736842,0.09478292162183,0.0944939079079195,0.0950897499932563,0.1607810574627475,0.1594490863708985,0.1622201953932959,0.1655932323166771,0.1648110618221364,0.1663378924884283,0.0987424520246905,0.0984180197244698,0.0991122391132812,0.0869764161043136,0.0867083955166044,0.0872575373549311,0.1419610008973706,0.1412567074564967,0.1426639753687635,0.1312438496046614,0.1306425042281523,0.1318408711445182,0.2137023687102275,0.211456270973097,0.215811583967006,0.1421613268199812,0.1414707752209039,0.142891722387676,0.2085916972027454,0.2072241581484729,0.2100177406897139,0.1515023776136108,0.1507257471563331,0.1523504330317368,0.0849030183731464,0.0835229979434638,0.08559762842444
6,13.561886736842103,0.0912292784793974,0.0909056322645943,0.0915551591339596,0.1555557991687897,0.1536580463769813,0.1571163142587771,0.1536686932869509,0.1528946343621528,0.1545020055375523,0.0946489841830302,0.0942225873640174,0.0950816909660661,0.0819518771955753,0.0816533072681689,0.0822441963862261,0.1346243743441518,0.1338926808700323,0.1353538681663585,0.127150852774611,0.1265083054376808,0.1277585723098286,0.1988198615778115,0.1962612085367021,0.2013703294197486,0.1347746951037863,0.1340894321660879,0.1354611732289305,0.1954589198394198,0.1939070142869194,0.197061260097023,0.1442739663284192,0.1434140970892967,0.1451369404166073,0.0794559845425896,0.0779120624428271,0.0802956099059993
7,13.65553452631579,0.0880717044210015,0.0877231818155484,0.0884071948350758,0.1497663871805347,0.1475712952067057,0.1520244838138946,0.1442751420218914,0.1432907592513036,0.1452429587071002,0.0902420412164063,0.0897544310780951,0.0907263728742314,0.0770703279702161,0.0767605795238046,0.0774112195784425,0.1285525294859951,0.1277359165471135,0.129330732681147,0.1243692118849777,0.1237426219175215,0.1249422228885122,0.1858391456528624,0.182676375043412,0.1887249655874184,0.1287012565802691,0.127878525919282,0.1294633745678886,0.1859561978677119,0.1842589315197143,0.1877536648085442,0.1389483669357211,0.1379399290320592,0.1398874726387836,0.0744725097840413,0.0729658480790906,0.0754189026611035
8,13.749182315789474,0.0848107846555117,0.084464268060622,0.0851421707618823,0.1443076729730291,0.1414438880255869,0.1473607586376382,0.1367481181891654,0.1357468376652488,0.1378191480504618,0.0855483448799439,0.0849561501079304,0.0861475189395256,0.0722762351821443,0.0719531065150716,0.0725874383422447,0.1234825149122281,0.1226583602092572,0.1243394178481695,0.1222058407278263,0.1215730877162973,0.1228206724043875,0.1747190076416087,0.1712253599414834,0.1782157128858855,0.1235313718080129,0.1226582689219625,0.1242980304103156,0.1788650600699133,0.1766120753907444,0.1810230112258923,0.1346349947411939,0.133605923905745,0.1355440649325489,0.0697075883392647,0.0680923468476677,0.0706453712946038
9,13.842830105263156,0.0811779859204478,0.0808038954082576,0.0815714135408132,0.1403586780464021,0.1361360732813727,0.1442627891145366,0.130646024310184,0.1294679480382864,0.1317806610056375,0.0808080099726341,0.0800550444471308,0.0815637979503654,0.0676074343240816,0.0672411740932096,0.0679389173392041,0.1189908672538772,0.1181125937099743,0.1199224757896545,0.1202316004201045,0.1194908637486173,0.1209561445480688,0.1653835702657775,0.1612880092280208,0.1694861126990497,0.1190333304901547,0.1182689287410766,0.1198508985014162,0.1737791895204459,0.170762630025585,0.176738299782366,0.1310371527931914,0.1298642485521823,0.1321786621337448,0.0653058744609763,0.0638292420204706,0.0661302501748458
