bin,M_500c,M_hot_gas_500c_T_sl_500c_corr,M_hot_gas_500c_T_sl_500c_corr-,M_hot_gas_500c_T_sl_500c_corr+,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr-,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr+,M_hot_gas_500c_Y_X_500c_corr,M_hot_gas_500c_Y_X_500c_corr-,M_hot_gas_500c_Y_X_500c_corr+,M_hot_gas_500c_Y_SZ_500c_corr,M_hot_gas_500c_Y_SZ_500c_corr-,M_hot_gas_500c_Y_SZ_500c_corr+,T_sl_500c_L_X_ROSAT_obs_500c_corr,T_sl_500c_L_X_ROSAT_obs_500c_corr-,T_sl_500c_L_X_ROSAT_obs_500c_corr+,T_sl_500c_Y_X_500c_corr,T_sl_500c_Y_X_500c_corr-,T_sl_500c_Y_X_500c_corr+,T_sl_500c_Y_SZ_500c_corr,T_sl_500c_Y_SZ_500c_corr-,T_sl_500c_Y_SZ_500c_corr+,L_X_ROSAT_obs_500c_Y_X_500c_corr,L_X_ROSAT_obs_500c_Y_X_500c_corr-,L_X_ROSAT_obs_500c_Y_X_500c_corr+,L_X_ROSAT_obs_500c_Y_SZ_500c_corr,L_X_ROSAT_obs_500c_Y_SZ_500c_corr-,L_X_ROSAT_obs_500c_Y_SZ_500c_corr+,Y_X_500c_Y_SZ_500c_corr,Y_X_500c_Y_SZ_500c_corr-,Y_X_500c_Y_SZ_500c_corr+,M_hot_gas_500c_T_mw_hot_gas_500c_corr,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr,M_hot_gas_500c_T_mw_hot_gas_500c_corr-,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr-,M_hot_gas_500c_T_mw_hot_gas_500c_corr+,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr+,T_sl_500c_T_mw_hot_gas_500c_corr,T_sl_500c_L_X_ROSAT_obs_ce_500c_corr,T_sl_500c_T_mw_hot_gas_500c_corr-,T_sl_500c_L_X_ROSAT_obs_ce_500c_corr-,T_sl_500c_T_mw_hot_gas_500c_corr+,T_sl_500c_L_X_ROSAT_obs_ce_500c_corr+,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_corr,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_corr,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_corr-,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_corr-,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_corr+,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_corr+,Y_X_500c_T_mw_hot_gas_500c_corr,Y_X_500c_L_X_ROSAT_obs_ce_500c_corr,Y_X_500c_T_mw_hot_gas_500c_corr-,Y_X_500c_L_X_ROSAT_obs_ce_500c_corr-,Y_X_500c_T_mw_hot_gas_500c_corr+,Y_X_500c_L_X_ROSAT_obs_ce_500c_corr+,Y_SZ_500c_T_mw_hot_gas_500c_corr,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_corr,Y_SZ_500c_T_mw_hot_gas_500c_corr-,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_corr-,Y_SZ_500c_T_mw_hot_gas_500c_corr+,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_corr+
0,13.0,0.0864000165410335,0.0733365989602694,0.0996421103198524,0.6552861877267304,0.645634036875288,0.663474435893072,0.9086003205752912,0.9060522331064882,0.9111507568113876,0.9082029091305605,0.905775216211428,0.9106744203886684,0.1624023651832242,0.1453104375796196,0.1802301015805866,0.4946112401508292,0.4838083002450745,0.5056813086436841,0.3589992746322421,0.3473198127350921,0.3702265423557369,0.6396793507450634,0.6312454825511393,0.6479619784851977,0.5787829896973553,0.5686254180093655,0.5888908288992236,0.9428535819787124,0.9403979425668056,0.9451178494644132,-0.0607051779938396,0.7067652985671486,-0.0740610298540203,0.6973107277208038,-0.0458115249625734,0.716403694931184,0.663363657618453,0.1793344185447318,0.651051130106398,0.1622015306277656,0.6758593193232779,0.195389536458944,-0.077556854202849,0.9345482014748864,-0.0939080915702935,0.9306482255100382,-0.0622880659373097,0.9388394927123338,0.2262115245313913,0.6914376235848375,0.2111751871900102,0.6830884285813178,0.2407439896617275,0.6995016604681378,0.3629375259195007,0.6312302701470338,0.3511399295237651,0.6193728286427865,0.3758857352581977,0.6439460027674103
1,13.107746421052632,0.0767229105406653,0.061560623584466,0.0917990110783082,0.6427710059246614,0.6304663942054484,0.6536793360874698,0.8879645924606925,0.8845470611469672,0.8911797156629466,0.9073372984118924,0.9044806175474244,0.9104028059200424,0.0920273097265557,0.0744926645611877,0.1113317724209689,0.5276083048830478,0.5157420413172689,0.5389080340538641,0.3575447641481812,0.3440168162156424,0.3709655218206894,0.5903396274321056,0.5786819475526146,0.6016380676140424,0.5630078817563541,0.5492249058715437,0.5751781715352294,0.9386555052169424,0.9360668580949024,0.9410557246540876,-0.0389509295026494,0.6899074164431762,-0.0540825016401327,0.6775100671756461,-0.0244384407906319,0.7031853526859204,0.6833461656506135,0.1008012755201144,0.6698156283533971,0.0822310540094619,0.6942484081197964,0.119765852794272,-0.0736073414397575,0.9409910656178846,-0.0906907008251471,0.936456309506964,-0.0554064776655094,0.9449414887333782,0.2813328243359881,0.6350530980648347,0.2666023244193751,0.6230002554845157,0.2958189982739069,0.646512449400607,0.3844834696506845,0.6101410470931694,0.3716264335268243,0.5964254030145169,0.3965194784634896,0.6235990502737502
2,13.215492842105265,0.0851358403563232,0.0688392117149164,0.1026709685060151,0.6326374689951124,0.6166782822720662,0.6469490094139067,0.8654933033585074,0.861159629311844,0.8696039131442118,0.9074597264047995,0.9043790163532412,0.910361218354967,0.037923993832473,0.0170993637918006,0.0579502384299889,0.572343945018176,0.5601721222649373,0.5838526957946827,0.3694390486426488,0.3551392898194016,0.3835286258562177,0.5392761003908433,0.5238748610945966,0.5545415826289908,0.5524631179483518,0.5355184154042802,0.5674191149299962,0.9331806554954348,0.9300122024980196,0.935985688968429,-0.0104888998406843,0.6755816502105335,-0.0293269888153435,0.6606332242398077,0.0057391442688685,0.6920261662339905,0.6997695404739039,0.040217958097264,0.6872774422062988,0.0184499287996484,0.7119179612699355,0.0608274159686571,-0.060106744802617,0.946165661704048,-0.0795620929239217,0.9418848993768882,-0.0407726555689569,0.9502758429208628,0.343715821248265,0.5761308364489213,0.3272085085532707,0.5606566180206713,0.3579384759438167,0.59176863069616,0.4109700716090904,0.5958413006349474,0.3967275785929853,0.5794675795114921,0.424213499520509,0.6114730574992833
3,13.323239263157896,0.1140049539639754,0.0944539320311798,0.1336191685197399,0.6270472722942796,0.6078903918156889,0.6464759751131856,0.846500807154122,0.8410298999472274,0.8521619687386498,0.9083858922648724,0.9049761050755804,0.911693212228102,0.0086906849320434,-0.0136694944249723,0.0323410665015405,0.6260882703064985,0.6145828334257235,0.6376457585394815,0.4025685774336222,0.3858298137724957,0.4182027511313954,0.4985213031672152,0.4787473521048481,0.5165028233537741,0.5482805739281579,0.5300961758575128,0.5672553493058453,0.9280604569234496,0.9248887700179792,0.9314359618340788,0.0219331656408965,0.6669995138408793,0.0021851812522315,0.6460214375789046,0.0414955430539963,0.6874913225205498,0.7133973708840584,0.0098272655121268,0.7011167479251083,-0.0121775715238742,0.7253018559280171,0.0300313347690686,-0.0356519436692705,0.9493503474195498,-0.0548768594404624,0.9435114682202428,-0.0155766596823358,0.954160796928086,0.3995520600821131,0.5287444841302684,0.3836488091319515,0.5093379717212115,0.4148520228889809,0.5478147252739277,0.4381937538028824,0.5895466927378781,0.4239755067741406,0.5694708289047211,0.4536955599214306,0.6108102266105003
4,13.430985684210526,0.1619453632707423,0.1423052472582816,0.1830635495484292,0.6334830677689329,0.6082361328937443,0.6564291845071228,0.8363025180088357,0.8295057596963274,0.8432456215263291,0.9088124996890288,0.9050211970904652,0.9127509022028968,0.0140027613543073,-0.0104096782969081,0.0391257695964493,0.6764890955965408,0.6643219891452261,0.6885670963616338,0.4433581581702057,0.4243057061418822,0.4595685686790111,0.4806170691900231,0.4572554204437783,0.5028087056006765,0.5590453241999849,0.5362559353590963,0.5816032282352033,0.9245277352936728,0.9209578998460476,0.9280906545213132,0.0481497059066148,0.6707661890493455,0.0279348355778233,0.6446498624085985,0.0689998412773569,0.6978681877383011,0.7166634852182514,0.0124972633694207,0.7043096556006098,-0.0102322153154486,0.7282755595605079,0.0346648919356436,-0.0109303051866838,0.949901409240012,-0.0306929014359815,0.9428242465272269,0.0077167291678475,0.9567601220433256,0.433061060944896,0.5067145681022122,0.415272991634765,0.4851169743393833,0.4515009811421855,0.5311320701199546,0.4609379104231668,0.5974728751940606,0.4447555654172628,0.5714615244925637,0.4768102431038828,0.6224706215479636
5,13.538732105263158,0.2135277676010466,0.1920620818871053,0.2350690951695704,0.6550089256008204,0.6175258593483535,0.6860656668494794,0.8368996407271516,0.8300983611589463,0.8443768797318212,0.9082929599204352,0.9036606869562436,0.912526135759854,0.0514870701336781,0.0234035167262108,0.0827660411148548,0.7126175082784906,0.6999714576561165,0.7261339403038195,0.4820846747322695,0.4620031289701251,0.5007003475368986,0.4972023664118637,0.4702039830395087,0.5260193939107167,0.5813183225327277,0.5508541290773724,0.6147664490133418,0.921627222239722,0.917125746194159,0.9260012661399682,0.0514155863630662,0.6909910851588553,0.0259612554184762,0.6515309347391658,0.0717583568656687,0.7275667204476326,0.6984658408192683,0.0481645542268683,0.6838560158748118,0.0158394119581781,0.7127193624845743,0.0763959585075083,0.0043699502842017,0.950339297078798,-0.0174323329830745,0.9403257777234768,0.028261065707025,0.9599068718998326,0.4269305903091381,0.5223954717108628,0.4055046351830564,0.4931774672806975,0.4475630714194843,0.5495615833252162,0.4635001286075391,0.6206333096015746,0.4441552088870721,0.5881523253236071,0.4824664385789786,0.6577106162275639
6,13.64647852631579,0.2573848848932958,0.2349420492626657,0.2793891152688219,0.6864398650249726,0.6388936380827661,0.7283840510910267,0.8461450938970216,0.8378060905175457,0.8536123166885419,0.9042982264498882,0.8979423131866663,0.9095855718792826,0.1111525228261919,0.0670159593378069,0.1500189488112943,0.7340320856531425,0.7192817815511751,0.7462793456734981,0.5108730779337587,0.4885506921660494,0.5319258047360521,0.5396004149626625,0.5038099538628323,0.5777640976982493,0.6157015581481424,0.566581256984226,0.6606437244171502,0.9194944897558216,0.912937447000851,0.9249852803150104,0.0204671675508577,0.7229795497999847,-0.0080537847177691,0.6677828085199911,0.049213889429983,0.7723058986752865,0.6594318221393622,0.102914134779738,0.6366558975460562,0.0592472082458092,0.6798544193782179,0.1436808182507505,0.0025709902136614,0.9548298932973822,-0.0227756732060926,0.9419927337561824,0.0336227991857056,0.9655814136348552,0.3761134926497961,0.5625772185047431,0.3459288347569383,0.5228271906663076,0.4044111708169841,0.6033279328582168,0.4432476141726612,0.6535089741077702,0.4187109042632137,0.6024950316985761,0.4689142363927751,0.7016437135260262
7,13.75422494736842,0.2822853223450965,0.2580550724110188,0.3083073166950723,0.707592092450053,0.6594898615227873,0.7604710859092498,0.8554519618476869,0.8452615837095326,0.8642306442710641,0.8983641124753747,0.8900557954722098,0.9056954397976452,0.1700302742676802,0.0996904537897886,0.2274161136972434,0.7398502138184241,0.7235129828157055,0.7537792623217623,0.5282400582531078,0.5030599050774973,0.5536815311886257,0.589938849838954,0.5369072574612127,0.6466607452880678,0.6495283218972137,0.601553909906839,0.6979917851568235,0.9159099789688048,0.905332274635428,0.9239798307096322,-0.029804706470395,0.7512051933416035,-0.0618323577601918,0.6869199743315548,0.0041515642434133,0.8087579618700862,0.613102028388791,0.1630361821391734,0.5820850380233883,0.0919035283842626,0.6409844778872532,0.2224178660078297,-0.0018345306515243,0.9610438763135624,-0.0341664755345903,0.9483631728497148,0.0300444159383604,0.9708527209547302,0.3089965968811163,0.6080001402522603,0.2807937803764648,0.5484381839962069,0.3435310225850089,0.6634554800952339,0.4132749379870452,0.6893322225898058,0.3827582222512435,0.6369988079351143,0.441799723983537,0.7467276170696069
8,13.861971368421052,0.3033442006848143,0.2733737166471536,0.3333410919749033,0.7138961609196843,0.6745583200817993,0.7602733003379103,0.8602488596878558,0.8488423790644568,0.8705906157195176,0.8893313060359088,0.8791847563669186,0.8981300995136067,0.236941914212251,0.1484891481079562,0.3161691779930517,0.7473271518090137,0.7326583006477698,0.7628048612299451,0.5511319424050142,0.5160309668486516,0.5777109916491971,0.6291029756150226,0.5607772058887921,0.6915457349960907,0.6691276362622234,0.6224685764655267,0.7051657601308651,0.9143515712634128,0.901389820036622,0.9237213865586,-0.0665916194664026,0.7652543028142913,-0.1000470971956607,0.7080293288195609,-0.0303568581919566,0.8168307913848001,0.5854579030767717,0.2236880585809031,0.5477831282198834,0.1245723868934681,0.6194263007358536,0.3136133949167042,0.0113988121031593,0.9535048850265332,-0.020877871378287,0.9438439138869644,0.0455139504245377,0.9625622495841228,0.2659136357779654,0.6528860263758756,0.227622360747969,0.5701263352322598,0.3007905866524022,0.7308646397541093,0.3966906159019961,0.71817696281178,0.365300519754947,0.6714343280893407,0.4261293437720335,0.7643535674788142
9,13.969717789473684,0.3255608304241418,0.2934597631526312,0.3582350615353275,0.6856280682225004,0.6529027612529611,0.719421042647604,0.8584952939927712,0.8458350671599436,0.8708778026727974,0.8765627831296816,0.8646604240046087,0.886818608455114,0.3229727333269945,0.2371572632931183,0.3960513130201656,0.764162992356437,0.7482207781490664,0.7797860033390251,0.5840462265780144,0.5492134165433497,0.6142578900838245,0.6417263516592194,0.5796773067273561,0.692091788274608,0.655661223715769,0.6253361999082169,0.6829036418266302,0.9151180356271084,0.9016008855013744,0.9259362193987848,-0.071035730133961,0.7861489906351307,-0.1118599873300632,0.741490217558255,-0.0360139015726959,0.828039383956068,0.594687023405821,0.3186827944142966,0.5534243383501589,0.2241837166084626,0.631138709906736,0.412563806195356,0.0614913018480961,0.9130325838755065,0.0269909997474375,0.8947875363898147,0.0975435027409546,0.9294341894203282,0.2682516157792328,0.7104813975944557,0.230310153450707,0.6189417421805551,0.3057350706766238,0.7833372870176567,0.4126959757562631,0.7423307132512874,0.3826361229682844,0.7055720113731248,0.4464961262665413,0.7776534338951617
