bin,M_500c,M_hot_gas_500c_T_sl_500c_corr,M_hot_gas_500c_T_sl_500c_corr-,M_hot_gas_500c_T_sl_500c_corr+,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr-,M_hot_gas_500c_L_X_ROSAT_obs_500c_corr+,M_hot_gas_500c_Y_X_500c_corr,M_hot_gas_500c_Y_X_500c_corr-,M_hot_gas_500c_Y_X_500c_corr+,M_hot_gas_500c_Y_SZ_500c_corr,M_hot_gas_500c_Y_SZ_500c_corr-,M_hot_gas_500c_Y_SZ_500c_corr+,T_sl_500c_L_X_ROSAT_obs_500c_corr,T_sl_500c_L_X_ROSAT_obs_500c_corr-,T_sl_500c_L_X_ROSAT_obs_500c_corr+,T_sl_500c_Y_X_500c_corr,T_sl_500c_Y_X_500c_corr-,T_sl_500c_Y_X_500c_corr+,T_sl_500c_Y_SZ_500c_corr,T_sl_500c_Y_SZ_500c_corr-,T_sl_500c_Y_SZ_500c_corr+,L_X_ROSAT_obs_500c_Y_X_500c_corr,L_X_ROSAT_obs_500c_Y_X_500c_corr-,L_X_ROSAT_obs_500c_Y_X_500c_corr+,L_X_ROSAT_obs_500c_Y_SZ_500c_corr,L_X_ROSAT_obs_500c_Y_SZ_500c_corr-,L_X_ROSAT_obs_500c_Y_SZ_500c_corr+,Y_X_500c_Y_SZ_500c_corr,Y_X_500c_Y_SZ_500c_corr-,Y_X_500c_Y_SZ_500c_corr+,M_hot_gas_500c_T_mw_hot_gas_500c_corr,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr,M_hot_gas_500c_T_mw_hot_gas_500c_corr-,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr-,M_hot_gas_500c_T_mw_hot_gas_500c_corr+,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_corr+,T_sl_500c_T_mw_hot_gas_500c_corr,T_sl_500c_L_X_ROSAT_obs_ce_500c_corr,T_sl_500c_T_mw_hot_gas_500c_corr-,T_sl_500c_L_X_ROSAT_obs_ce_500c_corr-,T_sl_500c_T_mw_hot_gas_500c_corr+,T_sl_500c_L_X_ROSAT_obs_ce_500c_corr+,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_corr,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_corr,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_corr-,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_corr-,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_corr+,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_corr+,Y_X_500c_T_mw_hot_gas_500c_corr,Y_X_500c_L_X_ROSAT_obs_ce_500c_corr,Y_X_500c_T_mw_hot_gas_500c_corr-,Y_X_500c_L_X_ROSAT_obs_ce_500c_corr-,Y_X_500c_T_mw_hot_gas_500c_corr+,Y_X_500c_L_X_ROSAT_obs_ce_500c_corr+,Y_SZ_500c_T_mw_hot_gas_500c_corr,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_corr,Y_SZ_500c_T_mw_hot_gas_500c_corr-,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_corr-,Y_SZ_500c_T_mw_hot_gas_500c_corr+,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_corr+
0,13.0,0.0862001055889755,0.0720970291348522,0.0991227562338727,0.6553743740196458,0.6453357112550591,0.664670753996182,0.9085396677202188,0.9058600067942254,0.9108958950331064,0.9081690720484736,0.9056497497516788,0.9106946446192792,0.1622055894270688,0.1463119545598231,0.1779106942555978,0.4948031042848235,0.4842269370652452,0.5053377307294351,0.3587637388298048,0.3465234614421563,0.3704961722026821,0.6399149340551689,0.6317342411762208,0.6492500481255586,0.5795730696406123,0.5686898258609088,0.5905110532705521,0.9427127343452266,0.9402806699851914,0.9450788940812356,-0.0600405438156551,0.7060453743341688,-0.0738395421267232,0.6966610869165865,-0.0454300879886915,0.7159094659498274,0.6631977443416,0.1784446708681169,0.6513683503102224,0.1614388867975612,0.6754930723473285,0.195525021954236,-0.0771322635329737,0.9343053142531216,-0.0938999017956086,0.9304035502361429,-0.0616518407712222,0.938579747190406,0.2262108640436559,0.6917212376197179,0.213203148436428,0.6828624193612914,0.2408632355134422,0.6996150430532988,0.3629815723612641,0.6301403429604676,0.3511267204913401,0.6190580772214852,0.3765435436022311,0.6427841825354358
1,13.107746421052632,0.076413317060907,0.0616454181330572,0.090916022619373,0.6427742506214495,0.6299414679981228,0.6535060311405613,0.8878873907279549,0.8847076339720648,0.8913534674224249,0.9071979301713236,0.9047141883222504,0.9100958807787158,0.0919873037245845,0.0730334993973832,0.1106073518168619,0.5268118944211169,0.5155935337124735,0.5379052263897868,0.357719379119185,0.3433993964111763,0.3698326830135391,0.5911992322554578,0.5796513351178714,0.6024311572267491,0.5628336509884839,0.5496174942348776,0.5754460002580353,0.9385534114845906,0.9360377308502542,0.9410585333671008,-0.0398424777514204,0.6892506567591953,-0.0549891301761764,0.6761411619147468,-0.0247801007876456,0.7013171658648971,0.6818606738458588,0.101518028637966,0.6689337984609732,0.0818322960133563,0.6944703282407427,0.1191365184819473,-0.0740158641156288,0.94085249311221,-0.0915375619360451,0.9368769343290634,-0.0564028767453993,0.9446579766063034,0.2808048817112687,0.6352006904397669,0.2644540351626945,0.6235235768676851,0.2953965369678997,0.6464919897073117,0.3844777664090546,0.6094440128165417,0.3723389024654284,0.5942323801360611,0.3969178183244101,0.6241903849864409
2,13.215492842105265,0.0857384104145561,0.0682697677921912,0.1036890439412498,0.632218267242047,0.6173358302785807,0.646130768150297,0.8655369113605859,0.8606808968521773,0.8701908785730265,0.907489755460828,0.904388575385006,0.910408338323467,0.0377351170947917,0.0179783686446203,0.0589348536340611,0.5717527259372448,0.5593515367014346,0.5844016332622274,0.371512615072915,0.3567404094116545,0.3851616135075703,0.5392439213069019,0.5245273588564212,0.5547073664524326,0.5523561788740208,0.5374116770967107,0.5670896948447762,0.9332824637375304,0.9303314031283824,0.9361249163732434,-0.0111390170116861,0.6746166191213996,-0.0280288038265244,0.6575335833633639,0.0058981605090712,0.6902740218591547,0.6987749877934379,0.0398507257876282,0.6874227068389048,0.021439694467672,0.7104986504379863,0.0618151094474988,-0.0603644394893126,0.9463273957605534,-0.0781234833824769,0.9420730498786164,-0.0418174381185273,0.9501629056386948,0.3430281439447968,0.5757340305203483,0.3279856051946287,0.5604257169174238,0.3587687154104312,0.5919375637193566,0.4102023045009895,0.5950276766927383,0.3963108933913816,0.5773292650225748,0.425072848597168,0.6113240655997718
3,13.323239263157896,0.1141272168498078,0.0957382342714492,0.1345013660797836,0.6269550121603922,0.6102435322407551,0.6449425295069453,0.8469435904879876,0.840810145226558,0.852134548810561,0.9082106847752456,0.9047257304485108,0.9117269311254628,0.0088428560610257,-0.0127776109563876,0.0298581580263232,0.62642117703402,0.6136550309519545,0.6383189901458585,0.4016130234851808,0.3847338784000613,0.4176309191297653,0.4980365766715212,0.4781711851357447,0.5155911763044838,0.549789669523927,0.5307714249728333,0.5682905786492509,0.9282412407758228,0.9249197201158272,0.9313018184382372,0.0211227471588134,0.6676714544884248,0.0029495005505541,0.6467344222787171,0.0385577585708565,0.6875855535333687,0.7123747601839112,0.0101811022996403,0.7007415512907983,-0.0103363179998371,0.7239054017300195,0.0328629467657673,-0.0363979402360692,0.9491286743056548,-0.0565370147803353,0.9441639564865804,-0.0160206411541414,0.9540242589063576,0.4001969999724463,0.5289139807402178,0.3837606382966096,0.5099547268181177,0.416108418940517,0.5474649985532019,0.4389194110598027,0.5879760335224635,0.4243055823904974,0.5702366050059159,0.4544160256907477,0.6098684920880079
4,13.430985684210526,0.1619957194790312,0.1403745224287567,0.182880937041181,0.6338625830443037,0.6124894497252815,0.6584977606678508,0.8363452131698625,0.8294400211289503,0.8428737200998114,0.909040449800192,0.905304550810932,0.9129858240486822,0.0147440641663574,-0.0088572443602721,0.0369433928209101,0.6769255016389066,0.6637908074566174,0.6896861073273337,0.4432115864086322,0.4250231537751862,0.4596709170399922,0.4795786024464789,0.4565673460710763,0.5029581689425927,0.5587602147453647,0.5356822355110439,0.5816474194346554,0.9246828321148692,0.9207171580178296,0.9280245796427016,0.0488929043837781,0.6702501033778903,0.0275758929299776,0.6422339442523524,0.0683779347554161,0.6963225143533888,0.7169629166918607,0.0122871484584642,0.7047672386013044,-0.009836017078331,0.7280138488210628,0.0359578446607332,-0.0123189461447167,0.9497189110034876,-0.0313531724270146,0.9422803465987174,0.0058609805617252,0.9567424862677504,0.4351805125638781,0.5065257452792123,0.4169758989747422,0.4831537100822992,0.4519977896970756,0.530274406888804,0.461251198005579,0.5992293135872897,0.4426327241003694,0.5720037033647855,0.4775832863732818,0.622164105473493
5,13.538732105263158,0.2165504177309621,0.1934375275757208,0.2380787514930177,0.650129726016039,0.6165605777589993,0.6825165035352446,0.8374938024646277,0.8296354368721245,0.8444568347984314,0.9080006575047004,0.9033479887401616,0.9123527849743812,0.0504927802880442,0.0228278364485606,0.079208234038119,0.7138906820094545,0.7005575236536536,0.7267957547060274,0.4830526404363383,0.4638436811628583,0.5018250394050514,0.4983089486295647,0.4691963746414333,0.525472548786198,0.583701597513976,0.5470517458839604,0.6155287831854744,0.9212014067519714,0.9169814697781428,0.9254550265567272,0.0507083381917709,0.6926540092772697,0.0294300469231034,0.6548768909387758,0.0742485441117853,0.7252919368777525,0.6982424907464602,0.0483193397029464,0.6823619508625768,0.0198839197280553,0.7130263889411623,0.0778790772211633,0.003645705048191,0.9514815846597546,-0.0174500857285278,0.9405001751943792,0.0268312199423469,0.9598548645744468,0.4277686911636537,0.5228766907363247,0.4059781934866202,0.493651682786924,0.4495403346840747,0.5519407771072989,0.4664139747956916,0.6245474884118833,0.4447382592127459,0.585874592311457,0.485011820516615,0.6569441270880726
6,13.64647852631579,0.2566307034890391,0.234470647771649,0.2783557361267672,0.6808560554098363,0.6366844944090881,0.729640231418607,0.8455371968630905,0.8369477207776977,0.8532925036733698,0.9039748163429588,0.897966312029724,0.9098830590730717,0.1095511964525263,0.0650156869386438,0.1484407659290505,0.7332327215935512,0.7195642213414202,0.7468601135032094,0.5122826713517029,0.4914324355738241,0.5333077449921246,0.5386216353319232,0.5016759673767106,0.5783747475471108,0.615950016139879,0.5716671682571413,0.6580110647189041,0.9188565788238114,0.912588898997551,0.9249030744632956,0.0190456631069387,0.7195073107143465,-0.0093203877401128,0.6681220433832119,0.0479328493028918,0.7674139928861752,0.6583142425991813,0.0996816405259416,0.6367256199318154,0.0554006844770539,0.6799402153505586,0.1391332174353168,0.0074661273582734,0.955630887154026,-0.0214769272593452,0.942591871205513,0.0357329101219614,0.9663430450507569,0.3822603772655292,0.559060620278247,0.3525596944038572,0.5191118303963322,0.4094643888623909,0.5978639770630927,0.4462860972975196,0.6575637463593189,0.4223405438883003,0.6025441369971241,0.4707922408613673,0.7056516141354462
7,13.75422494736842,0.2817910809524457,0.2560271479644856,0.3056572405648772,0.7150727184886244,0.6602713755788,0.7606300840737538,0.8529030404049822,0.8432526190603797,0.8616932292350172,0.8967915760404005,0.888143075516568,0.9039502628361308,0.1678803577720479,0.098673367851124,0.2243939220176915,0.7404143151089344,0.7260963614846662,0.756062054808959,0.5260174297810898,0.5014231900892859,0.5513741731025832,0.5855679252736132,0.5308924876446448,0.6397824613336047,0.6465818557222531,0.5973779108675803,0.6988412023039088,0.9149578859997184,0.9047766526592004,0.923454682927874,-0.0253155747775844,0.7443815747302036,-0.0585992976869763,0.6845648402887343,0.0096242285880729,0.8061699848996645,0.6149410239624254,0.1494664575565408,0.5832513817139054,0.0736767449814754,0.6437814223657078,0.2150225035955651,0.0013817319697962,0.9644242234880508,-0.0320216586617225,0.952921662664849,0.0323577092220025,0.973720947566946,0.3184118057889301,0.6026413672037065,0.2835474218069587,0.5357008345610168,0.3517577528685541,0.662018320387105,0.4219327762590568,0.6837388663359867,0.3946661222272465,0.62516918611666,0.4495672735676096,0.7412476266446226
8,13.861971368421052,0.2992797080138974,0.2665034455002156,0.3300319381691561,0.7359887796594089,0.6872416070944606,0.7820675007504992,0.8571108292807453,0.8446597695208425,0.8679381454881202,0.8882179364039724,0.8779930204209874,0.8977303595777207,0.2167573704867154,0.1324591214523526,0.3010536739599281,0.7477525652560617,0.7307526053380053,0.7649216049623576,0.5434553809236176,0.509498187301879,0.5737047924839389,0.6326988745384143,0.5547144127171341,0.7035046345786821,0.6712226320890391,0.6264148503454838,0.713888859038792,0.912097738682913,0.8981689853578526,0.9233346149609908,-0.0576815966815671,0.754540525956332,-0.0931317162125388,0.6998191087740518,-0.0204235157396917,0.8129724576946104,0.5885453734947227,0.2069482327568836,0.5490474900584167,0.1046741112372173,0.6240107814631264,0.2991022330400733,0.0057204465047773,0.9719049475877792,-0.0302702680238432,0.963610673615338,0.0466387918611595,0.9786104687772426,0.2757198512795614,0.6456377608731465,0.2396041324485639,0.553181982820209,0.3134361592392035,0.7257761447592229,0.4084853252114041,0.7086679036575659,0.3778191917041991,0.6557665444562385,0.4384214015791052,0.7562579615339968
9,13.969717789473684,0.3155901321172926,0.2806821968452647,0.3521474536924039,0.7467223539395519,0.7063322170973261,0.7834498468891993,0.8585313915393875,0.8456282017045608,0.8703632747554729,0.8791996082369571,0.8676462614505593,0.8893151958235725,0.2989784650327397,0.1934126791560964,0.3846856724260832,0.7582007571544058,0.7410211434374463,0.7750834466520993,0.567310745767249,0.5302496762745409,0.6016627477941487,0.6726491381910352,0.5957899991400251,0.7386532945972836,0.6961069276138065,0.6604270321715645,0.726189580636914,0.9115998707866984,0.8957563400102553,0.9243317578996813,-0.0691167341963683,0.7756216649608183,-0.1122047611829058,0.726886539758209,-0.0295658449958373,0.824491082255476,0.5851045025858339,0.2810288023094311,0.5400472252368782,0.1713852474612267,0.6235926775748509,0.3871776152532923,0.0295912620324206,0.9737731400290248,-0.009534941240083,0.9690563485198,0.0699406894203069,0.9780225722168224,0.2688805946311645,0.6881077068125303,0.227268813617826,0.6007810977560967,0.3112405726116036,0.7721075138317294,0.4158181640230704,0.7318029813583986,0.3821860453489344,0.688912106858413,0.448797147873172,0.7729173550299037
