bin,M_500c,M_hot_gas_500c_T_sl_500c_cov,M_hot_gas_500c_T_sl_500c_cov-,M_hot_gas_500c_T_sl_500c_cov+,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov-,M_hot_gas_500c_L_X_ROSAT_obs_500c_cov+,M_hot_gas_500c_Y_X_500c_cov,M_hot_gas_500c_Y_X_500c_cov-,M_hot_gas_500c_Y_X_500c_cov+,M_hot_gas_500c_Y_SZ_500c_cov,M_hot_gas_500c_Y_SZ_500c_cov-,M_hot_gas_500c_Y_SZ_500c_cov+,T_sl_500c_L_X_ROSAT_obs_500c_cov,T_sl_500c_L_X_ROSAT_obs_500c_cov-,T_sl_500c_L_X_ROSAT_obs_500c_cov+,T_sl_500c_Y_X_500c_cov,T_sl_500c_Y_X_500c_cov-,T_sl_500c_Y_X_500c_cov+,T_sl_500c_Y_SZ_500c_cov,T_sl_500c_Y_SZ_500c_cov-,T_sl_500c_Y_SZ_500c_cov+,L_X_ROSAT_obs_500c_Y_X_500c_cov,L_X_ROSAT_obs_500c_Y_X_500c_cov-,L_X_ROSAT_obs_500c_Y_X_500c_cov+,L_X_ROSAT_obs_500c_Y_SZ_500c_cov,L_X_ROSAT_obs_500c_Y_SZ_500c_cov-,L_X_ROSAT_obs_500c_Y_SZ_500c_cov+,Y_X_500c_Y_SZ_500c_cov,Y_X_500c_Y_SZ_500c_cov-,Y_X_500c_Y_SZ_500c_cov+,M_hot_gas_500c_T_mw_hot_gas_500c_cov,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov,M_hot_gas_500c_T_mw_hot_gas_500c_cov-,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov-,M_hot_gas_500c_T_mw_hot_gas_500c_cov+,M_hot_gas_500c_L_X_ROSAT_obs_ce_500c_cov+,T_sl_500c_T_mw_hot_gas_500c_cov,T_sl_500c_L_X_ROSAT_obs_ce_500c_cov,T_sl_500c_T_mw_hot_gas_500c_cov-,T_sl_500c_L_X_ROSAT_obs_ce_500c_cov-,T_sl_500c_T_mw_hot_gas_500c_cov+,T_sl_500c_L_X_ROSAT_obs_ce_500c_cov+,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_cov,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_cov,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_cov-,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_cov-,L_X_ROSAT_obs_500c_T_mw_hot_gas_500c_cov+,L_X_ROSAT_obs_500c_L_X_ROSAT_obs_ce_500c_cov+,Y_X_500c_T_mw_hot_gas_500c_cov,Y_X_500c_L_X_ROSAT_obs_ce_500c_cov,Y_X_500c_T_mw_hot_gas_500c_cov-,Y_X_500c_L_X_ROSAT_obs_ce_500c_cov-,Y_X_500c_T_mw_hot_gas_500c_cov+,Y_X_500c_L_X_ROSAT_obs_ce_500c_cov+,Y_SZ_500c_T_mw_hot_gas_500c_cov,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_cov,Y_SZ_500c_T_mw_hot_gas_500c_cov-,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_cov-,Y_SZ_500c_T_mw_hot_gas_500c_cov+,Y_SZ_500c_L_X_ROSAT_obs_ce_500c_cov+
0,13.0,0.0066331892993183,0.0056361686264108,0.0075458930581062,0.2168747608713221,0.2095074042074673,0.2248856911950156,0.088496999022823,0.0859965010678039,0.091135744914019,0.0613670487567735,0.0592535332534567,0.0634269687146825,0.0581969636190613,0.0534009060380575,0.0635428269660092,0.0276825557583629,0.0260941362746956,0.0295208896868409,0.0166879902201814,0.0158257087276214,0.0175769557072168,0.2758253699804757,0.2649199790695672,0.2863639611468116,0.1675059283271068,0.1611011044332636,0.1743007404549109,0.0780583917940321,0.0757234353093791,0.0806191884598972,-0.0205383195365238,0.1772166835164714,-0.0216047269975625,0.1703404666933272,-0.0195984501240567,0.1836866883794425,0.0100720746007503,0.0657501054505867,0.0095281912679161,0.0606048123570409,0.0106573394980602,0.0713629812793028,-0.0495124763724734,0.7608406024012045,-0.0538727608556602,0.7296426216958891,-0.0454015291173121,0.7909180166027686,-0.0104490083251652,0.2436064846290468,-0.0115326860714718,0.2341764493977074,-0.0094013256828721,0.2530288657684125,0.0032176969274672,0.1419192171433528,0.0023103479799231,0.1354662032404583,0.0041256914256174,0.1478961875243776
1,13.049368,0.0062362602669398,0.0053339253246077,0.007196813558612,0.1906598204445582,0.1836670821057411,0.1981130656897909,0.07854223245973,0.0759820286347621,0.0813509375916208,0.0543105857796928,0.052329426139603,0.0562970598082168,0.0536425529873316,0.0486499477502155,0.0590716591286827,0.0274195618740479,0.0256828981585678,0.0292007073533479,0.0163320683143855,0.0154402438557922,0.0172291369090895,0.2441149259083709,0.2347029173083095,0.2552367218132319,0.1474412487958055,0.1409319454234686,0.154403545177971,0.0706737841064737,0.068265213232032,0.0730721069269759,-0.0180556802453937,0.1580756180810548,-0.0189865269226907,0.1519111629366575,-0.0171297252584666,0.1650752597387483,0.0100956385308065,0.0586643731585686,0.0095260911518814,0.0533813108975237,0.0107088998272208,0.0647820865197222,-0.043482592580761,0.685160541853953,-0.0472379785876539,0.6557612373639308,-0.0398771225969755,0.7133104321451883,-0.0079501960695678,0.2160812897129279,-0.0090615263105337,0.2068544596057582,-0.0068918807041895,0.226812382648802,0.0038737396774106,0.1254738835094471,0.0030120776421293,0.1198112643715587,0.0046863482254036,0.1311696954566702
2,13.098736,0.0059752968321633,0.0050164371645052,0.0069312777745866,0.1658958238941385,0.1588572725011238,0.1733953707442623,0.069180165088294,0.0665526396153971,0.0720079373328129,0.0476309887400928,0.0456116913019896,0.0496696569562065,0.0484767267509108,0.0437224021817561,0.0535749549614082,0.0270891646741291,0.0252336928579458,0.0289058057490777,0.016070434294258,0.0151356083196947,0.0169581404483254,0.214792651015814,0.2051615963539009,0.2247390929458207,0.1290435188621524,0.1227512879226074,0.1352523603723809,0.0635434389457717,0.0612140368497583,0.0657191428999651,-0.0155543727476618,0.1385577227011004,-0.0163856325664104,0.1324569098684641,-0.0146656077788734,0.1451944971298285,0.010079932547845,0.0516272473607844,0.0094463040166889,0.0464487228749254,0.010729435061242,0.0575812576723458,-0.037407698724745,0.6092848488159175,-0.0412328303975771,0.5806751859155154,-0.0339603811043548,0.6387102353214977,-0.0055204881853403,0.1905589066868838,-0.0066126668938453,0.1807741750481555,-0.0044207687872585,0.2005847413432756,0.0043547787796141,0.1100214775647515,0.0035332642365931,0.1041789047849387,0.0051845706364202,0.1153637164373739
3,13.148104,0.005698462620369,0.0048186039727248,0.0066187453391798,0.1426687157897627,0.1361307127725498,0.1495792504930095,0.0602130279450754,0.0575726497376338,0.0629691456668743,0.0414067927206546,0.0396896707179455,0.0431948569931709,0.0438351338135053,0.0387216958973938,0.049628848771873,0.0267372352427462,0.0251118040142261,0.028548677651832,0.0156466096562617,0.0147479512756074,0.0165906594805941,0.1860185524510791,0.177854856564546,0.1960440121204131,0.1109373236165118,0.1050016577940768,0.1169298219221396,0.0571787976694434,0.0549323809877254,0.0593756880767563,-0.0131843461483179,0.1204663955774566,-0.014003740681843,0.1141461735706736,-0.0123374328973225,0.1264747853130798,0.0100384381305543,0.0451384204005585,0.0093369783892009,0.0399696687946367,0.0106725494087483,0.0507154743222248,-0.0319204861044031,0.5348374772746387,-0.0352206880333001,0.5083191440764937,-0.0284185527835744,0.5640616419729325,-0.0033008837128146,0.1652628241326765,-0.0043565143329283,0.1567076324503345,-0.0022032259115118,0.175233593312569,0.0048792540709544,0.0953766944950151,0.0040115216456104,0.0902109066569742,0.0056416178173384,0.1001771541380493
4,13.197472,0.0055237194601419,0.004670929424496,0.0064652500647507,0.1209125377572565,0.1146233459275002,0.1277323701661425,0.0522121514120723,0.0499624399221592,0.0546599969221981,0.0357241022236059,0.033992088186392,0.0376914730456605,0.0398919581547048,0.0351499652781404,0.0450609860620655,0.026681409281955,0.0248349536459982,0.0285117405319564,0.0153130945136478,0.0143529169337745,0.0162918747724163,0.1603095161764745,0.1520059587011346,0.1703520267997558,0.0946016690070474,0.0891934404746759,0.1002344808265552,0.051129583430236,0.0488484058055618,0.0534738616071746,-0.0109680853451938,0.103448069485064,-0.011776099098959,0.0976312446626884,-0.0102075166017197,0.1092336576903033,0.0098418891603908,0.0390877630505741,0.0091245038487116,0.0343226593963089,0.0105152066110501,0.0442999985446177,-0.0261926265109842,0.4651007694242636,-0.0294803155985572,0.4397978568936975,-0.0230976520524539,0.4900226545008272,-0.0011361808545286,0.1424203379543571,-0.0021410833185329,0.1340938597591062,-7.182247837550425e-05,0.1514596544403062,0.0051941850456058,0.0818919410454174,0.0043608382410533,0.0773803118844865,0.0060237365265213,0.0871017017781011
5,13.24684,0.0053767473712236,0.0045345848003627,0.006277003114857,0.101862465271694,0.0957954676502545,0.1078876411393804,0.0454836468202385,0.0429049167078369,0.0480157056198703,0.031064225963214,0.0292454176410722,0.0331006375667475,0.0359140097842497,0.0310915064433035,0.040368967036985,0.0264181720571298,0.0245769314857863,0.0282908303246155,0.0150549746539502,0.0140255945721766,0.0160504919496244,0.138089651805485,0.1301791720675437,0.1462487326715868,0.0807299911062105,0.0752180317344305,0.0862132966408371,0.0462035631651965,0.0440085093883441,0.0484447615841953,-0.0089374815040738,0.0877639186065028,-0.0096553757470793,0.0817365610998311,-0.0082423850566727,0.0930808082850185,0.0096012823225848,0.033781480259612,0.0089782925308141,0.029627885640763,0.0103645733156054,0.038154104079638,-0.0209603749160161,0.3974717349158631,-0.0243207631860835,0.3744834238288284,-0.0179150281768823,0.4232544063484188,0.0007558810154128,0.120459213326917,-0.0003134231503304,0.1134880269655035,0.0016490784384222,0.128633165697576,0.0054192676132097,0.0702820249414627,0.0046644375716796,0.0655971872991244,0.0062594460901257,0.0750573965854217
6,13.296208,0.005352697489948,0.0043948315889667,0.0062700539809405,0.0853058010219718,0.0798519296474436,0.0907024332061009,0.0393258914609139,0.0370452313564755,0.0419419913694841,0.0271945502970958,0.0250972012860097,0.0293694802716933,0.0324639228541541,0.0283581663990663,0.0366670605527479,0.0262096469589173,0.024381869840949,0.0280994949743971,0.0146661317959255,0.0136116807675299,0.0157438745560214,0.117368974885903,0.1100094707473654,0.1247741555160576,0.0689215082592569,0.0642670249319795,0.0742062806467284,0.0418003323879133,0.039388493828037,0.0443928714784414,-0.007069103208035,0.0733286343823725,-0.0077984425598729,0.0683538660771933,-0.006395344509158,0.0788741823555987,0.0093262558335064,0.0286717157085018,0.0086607733097968,0.0249171032276899,0.0100962548966855,0.0331198086401227,-0.0162415529770158,0.3376679984115624,-0.0192353784382952,0.3153330153099284,-0.0132420322468669,0.3588166165492079,0.0021953490807197,0.1020097264563843,0.0012529104145522,0.0947377846079967,0.0032184643158117,0.109458414918837,0.0056826068844204,0.059936454265036,0.0048949398417889,0.0556539457057779,0.0064697075693732,0.0643591317982087
7,13.345576,0.0053282087115482,0.0044002122458049,0.0062172677178123,0.0712135386983962,0.0660139225234106,0.0764136622984608,0.0345086303331652,0.0323015176724505,0.0372576303012583,0.0238518465094859,0.0215823658041211,0.0263382473104459,0.0297346564039973,0.0258931597548043,0.03336734670773,0.0261788100378894,0.0244492284789723,0.0281235074950787,0.0144047140806749,0.0132563696264023,0.0155385271662543,0.1008955850982226,0.0935189212880925,0.1077177956777326,0.0587995850970735,0.0543039272583969,0.0637336951804472,0.0383266730682832,0.0357098344477519,0.0411147238607256,-0.0054881678774773,0.0615591997512345,-0.0061141319228665,0.0567519196037987,-0.0048485081256096,0.0668008933320374,0.00907523094343,0.0249228351488814,0.0083853230210938,0.0215221504705282,0.0098013200399817,0.0285642219052228,-0.0122059374781774,0.2832272769812247,-0.0147066364359912,0.264239370418129,-0.0096808632079993,0.3034602723971028,0.0035879362471391,0.0868458120928873,0.0026443391871657,0.0799168464662604,0.0044850985885558,0.0940384733885333,0.0058329998449534,0.0512575826357045,0.0050771620110669,0.0469422004337186,0.0065494636951745,0.0561326627124053
8,13.394944,0.0053070091172319,0.0043987006195153,0.0062572606747006,0.0589263972818157,0.0542154150112686,0.0639137972333393,0.0307002355489068,0.0278833322019666,0.0339392072029874,0.0211849473279694,0.0184992294268434,0.024247549840924,0.0271511164235684,0.023873689644834,0.0305135549245379,0.0261854871262124,0.0243061369078856,0.028290215773804,0.0141395676500397,0.0130914390534169,0.0152474219981007,0.0858649297098246,0.0793650397313522,0.0924611147775435,0.0504684088596741,0.0458511508225198,0.0562446200877041,0.0351950338318316,0.0325334131362011,0.0387407001338266,-0.0040236872170738,0.0512492560805726,-0.004651715610492,0.0463293668443992,-0.0034952536793183,0.0564080248410412,0.0088324909130855,0.0217090055834213,0.0081579985050009,0.0186543372801495,0.0095617979585683,0.024623170818682,-0.0084383576616549,0.2352562846429816,-0.0107765716764291,0.2193213609993452,-0.0060543421897011,0.2532359464362343,0.0047917309741452,0.0727631666158755,0.0038859528649313,0.0669540959767824,0.0057664132258713,0.0792563987384125,0.0059680108994317,0.0440012357853175,0.00529200016118,0.0398349095221226,0.0066725379423889,0.0488596071261501
9,13.444312,0.0052893053837626,0.004449429816165,0.0061906364458449,0.0493399913015914,0.0446819409514985,0.0540569466497181,0.0272120552642687,0.0240632059463969,0.0311826600730443,0.0191827984044704,0.016121554970728,0.0229460246619216,0.0252534618525882,0.0221671506064281,0.0286154641240482,0.0264179390476311,0.0247127324245619,0.0284360589776643,0.0139878056588007,0.0129706625762586,0.0150735627678794,0.0743334682513935,0.0681919884009525,0.0809964648918609,0.0439849676396257,0.0392076621080964,0.0495065074082393,0.0327658148203252,0.0297419159971734,0.0368868721058953,-0.0028377682659254,0.0424249842251317,-0.003406354430887,0.03758566262689,-0.0023340069314243,0.0472202218639062,0.0087450803225028,0.0191127294658987,0.0081281775639263,0.0166685073313423,0.0094235411512873,0.0217891631574151,-0.0051391605364937,0.1954417337549365,-0.0072536993772113,0.1803629025238264,-0.0031354813814458,0.2105852282081631,0.0058604124657906,0.0615317379650214,0.004949927713934,0.0558527375892127,0.0067652151908438,0.0679487409258763,0.0061566304210198,0.0381957093031935,0.0054855814501888,0.0334178969178477,0.0067860258232824,0.0435130101781288
