bin,M_500c,M_hot_gas_500c_norm,M_hot_gas_500c_norm-,M_hot_gas_500c_norm+,M_hot_gas_500c_slope,M_hot_gas_500c_slope-,M_hot_gas_500c_slope+,M_hot_gas_500c_scatter,M_hot_gas_500c_scatter-,M_hot_gas_500c_scatter+,T_sl_500c_norm,T_sl_500c_norm-,T_sl_500c_norm+,T_sl_500c_slope,T_sl_500c_slope-,T_sl_500c_slope+,T_sl_500c_scatter,T_sl_500c_scatter-,T_sl_500c_scatter+,L_X_ROSAT_obs_500c_norm,L_X_ROSAT_obs_500c_norm-,L_X_ROSAT_obs_500c_norm+,L_X_ROSAT_obs_500c_slope,L_X_ROSAT_obs_500c_slope-,L_X_ROSAT_obs_500c_slope+,L_X_ROSAT_obs_500c_scatter,L_X_ROSAT_obs_500c_scatter-,L_X_ROSAT_obs_500c_scatter+,Y_X_500c_norm,Y_X_500c_norm-,Y_X_500c_norm+,Y_X_500c_slope,Y_X_500c_slope-,Y_X_500c_slope+,Y_X_500c_scatter,Y_X_500c_scatter-,Y_X_500c_scatter+,Y_SZ_500c_norm,Y_SZ_500c_norm-,Y_SZ_500c_norm+,Y_SZ_500c_slope,Y_SZ_500c_slope-,Y_SZ_500c_slope+,Y_SZ_500c_scatter,Y_SZ_500c_scatter-,Y_SZ_500c_scatter+,T_mw_hot_gas_500c_norm,T_mw_hot_gas_500c_norm-,T_mw_hot_gas_500c_norm+,T_mw_hot_gas_500c_slope,T_mw_hot_gas_500c_slope-,T_mw_hot_gas_500c_slope+,T_mw_hot_gas_500c_scatter,T_mw_hot_gas_500c_scatter-,T_mw_hot_gas_500c_scatter+,L_X_ROSAT_obs_ce_500c_norm,L_X_ROSAT_obs_ce_500c_norm-,L_X_ROSAT_obs_ce_500c_norm+,L_X_ROSAT_obs_ce_500c_slope,L_X_ROSAT_obs_ce_500c_slope-,L_X_ROSAT_obs_ce_500c_slope+,L_X_ROSAT_obs_ce_500c_scatter,L_X_ROSAT_obs_ce_500c_scatter-,L_X_ROSAT_obs_ce_500c_scatter+
0,13.0,11.764429450705327,11.762541492110957,11.766440720331637,1.3367139077883117,1.3292740059732113,1.344596166359026,0.3089355318081516,0.30579046305915414,0.31221513695937014,6.705831498172254,6.70456707545668,6.70714172920944,0.5364124290853346,0.5320433849178993,0.5407717993366803,0.14803394169773537,0.1452915874610033,0.1513212468318509,41.75577226410839,41.747827039748806,41.76320345920215,2.220507890869279,2.1881593733640954,2.250538314535918,1.1924931318277663,1.1770218082705408,1.2068778600256025,18.47053401490262,18.468074070128292,18.472759898729603,1.8731707560944568,1.8636002430495886,1.8821482007320538,0.3437394343437358,0.3395963671815663,0.3480098688462448,18.58494547424531,18.58316244723002,18.58694390738359,1.9497154765675915,1.942491794781915,1.9579447604241706,0.2899427032770898,0.28672517737188685,0.2930581271025247,6.8205100762137025,6.819281006857774,6.821689988858317,0.6133671478109104,0.6091596547224326,0.617178773220272,0.15297277027680362,0.1513107706395467,0.1547777832029771,41.637344686768664,41.63000416022214,41.644666274001466,2.4737419866058223,2.446158161932889,2.5011375997392684,1.0833659557566526,1.0685244595769818,1.100176746442152
1,13.076400526315789,11.86972614851007,11.867656969077553,11.871590594532911,1.3564674778544308,1.3496429983014029,1.3633315638577437,0.27675546030563447,0.2733924702100004,0.27989052925874996,6.748950172845314,6.747588036641238,6.750382704271699,0.5515358771833573,0.5469412053492504,0.5561897441613113,0.14820799971079712,0.1450663891871676,0.15168618249777074,41.9313733735945,41.92288534659543,41.93904863788186,2.2590529649153424,2.231274239820469,2.2856727464406585,1.0714981930823124,1.0555129845810554,1.086812797432217,18.61855923707818,18.61616300437047,18.621082503346862,1.9080061297542354,1.8997745860891089,1.9165330197108612,0.3139841730815513,0.31012086887465873,0.31786418481540385,18.73628322167319,18.734251980464503,18.738205689245966,1.9650161446571857,1.9580219413503595,1.971569304103472,0.2627988939531008,0.2599418451330129,0.2656852030881158,6.866524737502775,6.865342580936426,6.867712115935552,0.6080163521970419,0.6044149999296435,0.6120227365661307,0.1434214588472632,0.14161744258747705,0.14525341330232122,41.82655743948554,41.81935829673041,41.83298225386755,2.470430255738701,2.4487415181999257,2.4957511231462073,0.9825599316175322,0.9675613798967848,0.9983121440376574
2,13.15280105263158,11.976071958319672,11.974152672611115,11.977949091534217,1.3739075283053086,1.3676333951559159,1.3808477453583532,0.24467662708566787,0.24175964846571202,0.24768454934313558,6.793764655987068,6.792105484949564,6.7952613557837385,0.568450423759262,0.5633615503690669,0.5736570623434389,0.14910863542412744,0.14633293742120052,0.15240404419204517,42.10814187384307,42.100854528987824,42.114668872814946,2.2884183814746857,2.2636856966444556,2.3124289025196196,0.9478702752457715,0.9326715253051362,0.9633783901944402,18.769766739898024,18.767492290249734,18.772179221504043,1.9427444761249124,1.9340797927586713,1.95185761211485,0.285388491358727,0.2818187903298115,0.28956686709384105,18.888304663424755,18.886304942828875,18.89018964742829,1.9770255838987851,1.9704926159650888,1.9839517507189226,0.23656430406222034,0.2336354021933524,0.23980835847119897,6.9121742706811355,6.910963967276531,6.913327493078455,0.6029309134086565,0.5987143917346063,0.606846607938921,0.1336147460975925,0.13172868574669824,0.13526443823842857,42.01474681107418,42.00797682734545,42.02231378457597,2.4704206069803734,2.446105659161255,2.494001852722599,0.8780551001038794,0.8616109398681506,0.8940466984786013
3,13.229201578947368,12.083062397626023,12.081136680852008,12.084944562760448,1.3863912443546926,1.3804439589772823,1.3931786998639593,0.21446007067713602,0.21153010152669308,0.21755153291217189,6.8397720201040695,6.838033593637112,6.8416376746470515,0.5862025556818214,0.5809810848635844,0.5916857059879771,0.14969798277017515,0.14706762668495452,0.15315878611606185,42.286920744450214,42.28021484646359,42.29444662797832,2.314380147082467,2.28844850114489,2.3393573981326523,0.8297667314354052,0.8142786159354587,0.8472947533622076,18.922871033394657,18.92030821915016,18.925448610199602,1.9735998729096007,1.9643666279574143,1.9823010689168443,0.26093272616485086,0.2571001488006144,0.26493218429125753,19.040343172857266,19.038322561519387,19.042401965926906,1.9846345044184484,1.977979237958555,1.9915420201891343,0.21261696834097668,0.20955976158133244,0.2159421772981952,6.9576704927061375,6.956426354475428,6.958959271184373,0.5982915941861968,0.5943463016733269,0.6021109512589793,0.12352116769288055,0.12174295462031107,0.12539420844651403,42.20261847711873,42.196151826316665,42.209619579830544,2.4644660548254143,2.441541302454846,2.4880433604761336,0.7733655206773482,0.7566090084809279,0.7900722572339639
4,13.305602105263159,12.189753146817363,12.187882075186684,12.191571335014434,1.3928907448825443,1.3867267589155043,1.3994251544488066,0.18808484408077247,0.18510834448039273,0.191341886216487,6.887211066349311,6.88508863434103,6.889239550525453,0.6036876600904859,0.597853328310422,0.6098277807933866,0.15061176708657018,0.1478489912418255,0.15380016397588728,42.46661582531559,42.45949353156906,42.47343129026731,2.332919157049498,2.3094540128025,2.3569888336016636,0.7217903037320027,0.7052612905613073,0.7385263360016426,19.077158065350183,19.07433819047117,19.079911698607745,1.9966484069992716,1.9876345527341088,2.0058563644175664,0.2410150502259013,0.23718540323817702,0.24510585189052578,19.19230144360179,19.19029327022215,19.19439841573917,1.9850635817192621,1.9786909045942382,1.9917435958610041,0.1922997452622534,0.18890003647610518,0.1959648804161374,7.002381638020816,7.001090079597304,7.003658306952107,0.5922093995510627,0.5885901074166989,0.5961981250029164,0.11410789939282762,0.11210755263101932,0.11607170739550512,42.389939704888604,42.383462019827036,42.39625558965307,2.4565747606669177,2.4360251351445514,2.477272400656782,0.6746798276252162,0.6586587959152144,0.6913679357810754
5,13.382002631578947,12.295925778910075,12.29409447778137,12.297851664991867,1.3910864449414033,1.38473135316159,1.3968133375984166,0.16553996112274716,0.16255700392216965,0.16858043114014093,6.935609080910455,6.933395955665555,6.9377660900536275,0.61828399221372,0.6116951903565998,0.6248024746968979,0.15125437018777876,0.1484278481797394,0.15410623857712946,42.64575638743708,42.63971996584239,42.65214679840438,2.3433326925378006,2.3220541466238296,2.3645925627818034,0.6245801970147344,0.6095125315292524,0.6418094110839607,19.231396937088945,19.22834193718736,19.23461928691621,2.0089392393128835,2.0000824079552744,2.0184239892220877,0.22632540590972866,0.22256847296391952,0.23026827252003396,19.34283805542981,19.340632455575488,19.344945543627293,1.9765495586073905,1.9696336324009283,1.9831006976039536,0.17587320849904603,0.1723436125074314,0.17972054843311913,7.046580939808491,7.04538100868981,7.047800998963638,0.5853816349232912,0.5813598273298412,0.5894029394409616,0.10528572704546688,0.10334155799401451,0.10721968285859348,42.575415661851935,42.56982581674587,42.58108658520396,2.441587401564669,2.4206136153062223,2.4625570531302,0.5864845554454838,0.5693367394081645,0.6019832234577599
6,13.458403157894738,12.40084362407909,12.399044740115375,12.402645952590394,1.3799692198651474,1.3743714139287744,1.3863231457437188,0.1472584495937172,0.14402948690640094,0.15087420830256226,6.984187414910318,6.982001793261716,6.986454624242135,0.6281765233849268,0.6212272087728765,0.6347545896378389,0.15065205903340617,0.1478978204868382,0.15368921449862355,42.82595427111572,42.81967665263639,42.83210839387965,2.3440956173894794,2.3225167954688333,2.3654817685916694,0.5429968618199139,0.5276033910365061,0.5583922243940423,19.38498409659644,19.381920039031733,19.388172502213596,2.0084658287433435,1.9980388545713132,2.018487380447278,0.21561271818033406,0.21144442188469822,0.2198400510587698,19.4909157899338,19.488638125822895,19.493231148428034,1.9567907429077471,1.9504858788220938,1.9638258635678258,0.163042345985472,0.15887099174261868,0.16705966948175985,7.090190005766927,7.08878889097521,7.091339114273457,0.5768657637247349,0.5725489528702573,0.5805787347507917,0.09706195118419306,0.09518561762631654,0.0991379155746234,42.7583725718722,42.75274770778281,42.76412165587795,2.4167554040917922,2.395509488590087,2.436669209716079,0.5097481328239755,0.49216471767504827,0.5254080022405591
7,13.534803684210527,12.503751535645623,12.50205108640204,12.50559593445878,1.3624510007769626,1.356454407008838,1.3684266057558019,0.13180119777101929,0.12850170998626936,0.1360136172207021,7.03288329466878,7.03037786829055,7.035286869007914,0.6330833226667594,0.6254650452200207,0.6403249886244745,0.1499949204340368,0.14701039262332266,0.15303723980323364,43.0036248975111,42.99772221951204,43.00943334109475,2.3357286166554783,2.3142731548731774,2.355595142398466,0.4703905807588891,0.4565508617001738,0.48612095470530575,19.53645823136212,19.53329293344948,19.54005776814742,1.9949900635153157,1.9845963724698383,2.0039901807489393,0.2081578845608193,0.2035543143378919,0.2126666220237217,19.636724411717363,19.634376099396217,19.638913824395654,1.9295534479931975,1.9223258722805219,1.936024028006526,0.15232943501347462,0.14788920108157821,0.15734561887516135,7.132851137220682,7.13154173689902,7.134215233065923,0.5672277525812806,0.5631388087136371,0.5714300285651973,0.08980853117468718,0.08783376228271837,0.09182312472495727,42.93818000908291,42.93301558353356,42.94427993220374,2.382281582573703,2.3646227655370002,2.4012060836230624,0.44179448273947897,0.4253292967726969,0.45761949133544094
8,13.611204210526315,12.604980240093413,12.603208427473394,12.606632600823259,1.3394040743485822,1.3337971341580925,1.3450889316106147,0.1200177612890367,0.11567015166496696,0.12480570437005739,7.081414790754435,7.078728353489962,7.083984776807818,0.6344634327379457,0.6268294059120941,0.6426476979745515,0.14872882466742998,0.1457366727459718,0.15192679007926438,43.179348182680414,43.17369676215889,43.1851181672871,2.3119180079073223,2.2936802240341256,2.330567327754615,0.41046233428140105,0.39537073302255343,0.4260389670067957,19.68644834599462,19.683074436533765,19.689736216743885,1.973465744380405,1.9630224919810215,1.9838601579372044,0.20234206585131975,0.19705900591759742,0.20675027726472572,19.780181598258743,19.777850840097788,19.782385830042294,1.898543612059334,1.8913345679242624,1.9050574810764829,0.14260645349092893,0.13749978977499144,0.1484351787654746,7.17511934232076,7.173753575271565,7.1764202869231175,0.5588986892059706,0.5550694222433109,0.5625892774941506,0.08281483843017363,0.08072672240127923,0.0848065568356389,43.11441763723994,43.10918513051211,43.12001200130262,2.335919023058472,2.3191048011386375,2.354668781148816,0.3850800334208928,0.36939111787788415,0.40201482324472665
9,13.687604736842106,12.704025200693362,12.70229553778457,12.705850177984953,1.3119130963134196,1.306733385478658,1.3175806741825207,0.10961446414441066,0.10506507194894626,0.11485714830324546,7.130095286593203,7.127391783275061,7.132785258063015,0.6356950800754229,0.6274787550200224,0.6440569193067308,0.14686973079221427,0.14353825524172767,0.15013882927830932,43.35067532681734,43.345011414053445,43.35676577398055,2.271797738300827,2.252404944157447,2.290394720723778,0.3623310835277813,0.3477084847129749,0.37756655030683145,19.833752518441905,19.830270735656757,19.83754215789182,1.9468318365305466,1.9360046219781215,1.9574823630797047,0.1975264164996367,0.1921023171488338,0.20268663765504213,19.92120960137362,19.918988343589916,19.9233819554195,1.8662674562879862,1.8589929592250798,1.8725942796136443,0.1334822189890199,0.12784643144591412,0.14024686748118495,7.2171949708274745,7.215951826155035,7.218398857648112,0.5532970822956407,0.5494566276307612,0.5576250617211403,0.07659171590612084,0.07477763356235918,0.07837918996704615,43.28636720111572,43.281136550208245,43.29133702958762,2.2797188981639733,2.261844594175486,2.2963238983916487,0.33783098523896204,0.3227740739140371,0.35317124944703504
